"","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00353","1642.MS00624","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00452","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00561","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00597","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00359","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00424","1642.MS00365","1642.MS00434","1642.MS00574","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00558","1642.MS00586","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00468","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00630","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences",0,0.763,0.71,0.9234,0.7786,0.948,0.9174,0.6816,0.9222,0.6004,0.93,0.8058,0.919,0.8646,0.95,0.768,0.8494,0.9248,0.8204,0.917,0.928,0.9188,0.9216,0.7844,0.7598,0.7952,0.922,0.9332,0.8668,0.932,0.6866,0.9198,0.932,0.8442,0.9304,0.9168,0.78,0.7658,0.8016,0.9666
"2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences",0.763,0,0.7604,0.9406,0.8152,0.9546,0.937,0.658,0.941,0.6468,0.9404,0.6924,0.9358,0.8962,0.9604,0.472,0.8784,0.9368,0.598,0.9388,0.941,0.9408,0.9352,0.833,0.5848,0.8144,0.9412,0.9454,0.8458,0.9456,0.7126,0.937,0.9492,0.6184,0.9418,0.933,0.8438,0.8284,0.8484,0.9824
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.71,0.7604,0,0.8976,0.6198,0.9296,0.8928,0.5902,0.8926,0.6618,0.9074,0.8174,0.8942,0.761,0.944,0.7646,0.782,0.9078,0.821,0.8874,0.9202,0.914,0.891,0.6154,0.7838,0.5646,0.9182,0.9202,0.8784,0.9102,0.7442,0.899,0.913,0.8618,0.9136,0.8912,0.7026,0.6958,0.7168,0.9732
"1642.MS00546",0.9234,0.9406,0.8976,0,0.8814,0.643,0.4846,0.9224,0.558,0.9346,0.5008,0.9624,0.52,0.8586,0.6872,0.9364,0.8556,0.6108,0.9238,0.5028,0.6454,0.612,0.4978,0.911,0.957,0.9026,0.5252,0.635,0.926,0.5928,0.9284,0.5984,0.5016,0.953,0.6934,0.5224,0.863,0.8774,0.8802,0.995
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7786,0.8152,0.6198,0.8814,0,0.9354,0.8816,0.703,0.8894,0.7474,0.909,0.8894,0.8856,0.6786,0.944,0.804,0.673,0.9056,0.8322,0.8874,0.9204,0.9052,0.8862,0.632,0.85,0.5162,0.9046,0.918,0.8942,0.9066,0.8048,0.8954,0.9088,0.8738,0.9172,0.8798,0.5854,0.5122,0.592,0.982
"1642.MS00353",0.948,0.9546,0.9296,0.643,0.9354,0,0.6882,0.9398,0.654,0.9524,0.6604,0.9734,0.6742,0.9168,0.4526,0.957,0.9178,0.6014,0.9424,0.5882,0.4444,0.629,0.6686,0.9392,0.97,0.9392,0.6412,0.7324,0.9408,0.5848,0.9462,0.631,0.632,0.9694,0.5114,0.6894,0.9116,0.9338,0.9292,0.9944
"1642.MS00624",0.9174,0.937,0.8928,0.4846,0.8816,0.6882,0,0.9182,0.5338,0.929,0.564,0.9588,0.4744,0.8512,0.7414,0.9266,0.843,0.5858,0.9136,0.5392,0.6772,0.5944,0.496,0.9102,0.9522,0.8988,0.5768,0.6032,0.9176,0.5708,0.9216,0.577,0.5632,0.9488,0.6622,0.4818,0.8484,0.883,0.881,0.9944
"2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences",0.6816,0.658,0.5902,0.9224,0.703,0.9398,0.9182,0,0.9164,0.568,0.9242,0.6414,0.921,0.8218,0.9498,0.6016,0.8306,0.9244,0.7108,0.9154,0.9324,0.9188,0.914,0.7258,0.6892,0.6558,0.9276,0.9324,0.848,0.924,0.5956,0.9196,0.9274,0.7318,0.9306,0.9166,0.7486,0.7412,0.7568,0.9708
"1642.MS00452",0.9222,0.941,0.8926,0.558,0.8894,0.654,0.5338,0.9164,0,0.934,0.575,0.9594,0.4814,0.8464,0.7206,0.9356,0.8526,0.5442,0.922,0.5026,0.6404,0.5156,0.4784,0.9022,0.9518,0.8982,0.585,0.5992,0.918,0.509,0.9286,0.5112,0.5512,0.9548,0.6158,0.511,0.861,0.8944,0.8884,0.9932
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.6004,0.6468,0.6618,0.9346,0.7474,0.9524,0.929,0.568,0.934,0,0.938,0.7166,0.9304,0.886,0.9574,0.6432,0.8726,0.935,0.746,0.9294,0.9372,0.9314,0.928,0.7742,0.5828,0.7432,0.9306,0.9434,0.8576,0.9398,0.6486,0.9314,0.9404,0.7578,0.9364,0.9274,0.8088,0.7848,0.8164,0.9728
