"","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00353","1642.MS00624","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00452","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00561","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00597","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00359","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00424","1642.MS00365","1642.MS00434","1642.MS00574","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00558","1642.MS00586","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00468","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00630","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences",0,0.258,-0.115,1,0.906,1,1,-0.496,1,-0.96,1,-0.177,1,1,1,0.351,1,1,0.923,1,1,1,1,0.918,-0.718,0.958,1,1,0.996,1,-0.78,1,1,-0.144,1,1,0.912,0.795,0.979,0.922
"2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences",0.258,0,0.47,1,0.978,1,1,-0.825,1,-0.885,1,-0.94,1,1,1,-1,1,1,-0.98,1,1,1,1,0.998,-1,0.968,1,1,0.933,1,-0.659,1,1,-1,1,1,0.998,0.994,0.998,0.99
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",-0.115,0.47,0,1,-0.444,1,1,-0.866,1,-0.649,1,0.00800000000000001,1,0.988,1,0.528,0.996,1,0.992,1,1,1,1,-0.523,-0.494,-0.924,1,1,1,1,-0.097,1,1,0.264,1,1,0.886,0.71,0.929,0.994
"1642.MS00546",1,1,1,0,1,0.375,-0.978,1,-0.521,1,-0.972,1,-0.802,1,0.632,1,1,0.375,1,-0.946,0.61,0.59,-0.965,1,1,1,-0.834,0.791,1,0.222,1,0.379,-0.971,1,0.994,-0.81,1,1,1,1
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.906,0.978,-0.444,1,0,1,1,0.697,1,0.619,1,0.992,1,0.567,1,0.96,0.22,1,1,1,1,1,1,0.125,0.728,-0.984,1,1,1,1,0.877,1,1,0.557,1,1,-0.484,-0.996,-0.442,1
"1642.MS00353",1,1,1,0.375,1,0,0.95,1,0.552,1,0.649,1,0.892,1,-1,1,1,-0.38,1,-0.513,-1,0.159,0.821,1,1,1,0.367,1,1,-0.571,1,0.151,0.125,1,-0.992,0.942,1,1,1,1
"1642.MS00624",1,1,1,-0.978,1,0.95,0,1,-0.688,1,-0.301,1,-0.97,1,0.986,1,1,0.081,1,-0.466,0.962,0.537,-0.936,1,1,1,0.119,0.481,1,0.0720000000000001,1,0.23,-0.31,1,0.938,-0.992,1,1,1,1
"2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences",-0.496,-0.825,-0.866,1,0.697,1,1,0,1,-0.998,1,-1,1,1,1,-0.988,1,1,-0.172,1,1,1,1,0.902,-0.98,-0.00600000000000001,1,1,0.99,1,-0.998,1,1,-0.976,1,1,0.99,0.964,0.992,0.979
"1642.MS00452",1,1,1,-0.521,1,0.552,-0.688,1,0,1,-0.32,1,-0.996,1,0.92,1,1,-0.777,1,-0.938,0.517,-0.866,-0.994,1,1,1,0.01,0.187,1,-0.91,1,-0.9,-0.651,1,0.245,-0.919,1,1,1,1
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",-0.96,-0.885,-0.649,1,0.619,1,1,-0.998,1,0,1,-0.906,1,1,1,-0.914,1,1,0.106,1,1,1,1,0.877,-1,0.484,1,1,0.984,1,-0.916,1,1,-0.88,1,1,0.998,0.958,1,0.988
