"","1642.MS00452","1642.MS00365","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00624","1642.MS00546","1642.MS00430","1642.MS00343","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00597","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00468","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00434","1642.MS00427","1642.MS00359","1642.MS00424","1642.MS00561","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00586","1642.MS00353","1642.MS00396","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00452",0,0.0270749036249,0.0782551334657,0.1609787399494,0.0993816199644,0.0765064947048,0.0775706036931,0.0191182249857,0.0781088000384,0.0995952230798,0.0646742848995,0.0769635336755,0.0814506164968,0.0763395344482,0.0842509356487,0.0782169122445,0.0901674580729,0.0226522853831,0.0755037010749,0.0212200506313,0.0244304015493,0.0222035251979,0.0208572286149,0.0259336755172,0.0827564509166,0.0215401114372,0.0613549569782,0.0186618594009,0.0790707323534,0.0199730696782,0.0211486541721,0.0273566744492,0.0181408477242,0.0205089718415,0.0825994184924,0.0863598233845,0.0240811861247,0.02693614179,0.0208549979376,0.0779494322907
"1642.MS00365",0.0270749036249,0,0.07159227973,0.120679458159,0.1078000211306,0.0741029820626,0.0750534098994,0.0317862405704,0.0761828085692,0.0905207209337,0.0629282987195,0.0761152518677,0.0739204574914,0.0767343060764,0.0765770279921,0.0715850051876,0.0884748876205,0.0366384412226,0.0720971574806,0.0316620215564,0.0339127342145,0.0338809849879,0.0238540040237,0.0179427474333,0.0739949677002,0.0335327002172,0.062539596147,0.03055188835,0.073454908862,0.0239989332349,0.0208078669296,0.0182243666659,0.0241367511158,0.0342312951855,0.0720187473969,0.078919940018,0.0402514980999,0.0148951103909,0.0234348150701,0.0761794585673
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0782551334657,0.07159227973,0,0.1083532768419,0.0468354588235,0.029546530193,0.0194700849128,0.0776461252623,0.0334850028516,0.0396277485258,0.0295260096108,0.021540779134,0.0311805992107,0.0264511697661,0.0254115138264,0.0167702051908,0.0405125693337,0.0815045172231,0.0195116528033,0.0784973191445,0.0802958145718,0.0724938922704,0.0767652161972,0.0738714957282,0.0475937750184,0.0774007019683,0.0298295518321,0.0805393681956,0.0308000148279,0.081615062646,0.0773219524251,0.0739005417956,0.0673709177095,0.0815978031669,0.0184143600672,0.0290548514685,0.0956937734469,0.0730855043538,0.0853362724195,0.0282069128155
"1001.SKB7",0.1609787399494,0.120679458159,0.1083532768419,0,0.0999604693517,0.1179944637943,0.1283285647677,0.1528135779093,0.073223001024,0.0936882556128,0.1147129427382,0.1429535049022,0.0786975921617,0.0711199010559,0.0874626953496,0.0871432048856,0.0804156046776,0.1631792624597,0.0788377854679,0.1663734775688,0.1560803192644,0.147046865349,0.1418800173359,0.1295259143667,0.0982728131394,0.1538400219381,0.1244596925151,0.1529770368151,0.0909107036523,0.1461966372165,0.1475832369114,0.1074128453353,0.1448186902954,0.1587076537859,0.1013703641012,0.0801361104382,0.1804084209299,0.1209033816858,0.1612243905882,0.1228927387382
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",0.0993816199644,0.1078000211306,0.0468354588235,0.0999604693517,0,0.0511620583947,0.0461248673935,0.1106349911265,0.0242623135569,0.0132440621305,0.0526890943735,0.0446076194606,0.0328635807388,0.0227977915761,0.022737661536,0.0356138215328,0.018040875527,0.1132784174852,0.0292566502884,0.1060601264346,0.1113454091534,0.1045828616812,0.098638492652,0.1113106153961,0.0355562524565,0.1111244397942,0.0427511147038,0.1105357804582,0.0235443534156,0.1112764748222,0.1057803740742,0.0987684225629,0.0930651339981,0.1074013072646,0.0533950851532,0.0189195401461,0.1254341514323,0.1105546813872,0.1159201434151,0.0528138339689
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0765064947048,0.0741029820626,0.029546530193,0.1179944637943,0.0511620583947,0,0.0250807886416,0.0756267262081,0.0363706099481,0.0519105528634,0.0283189809498,0.0221589144206,0.0349646873956,0.0369738454745,0.0384574845018,0.0339159953749,0.0439065856695,0.0791519777735,0.0287793720521,0.076026209799,0.076508280883,0.0745192025407,0.0760315615356,0.0744938536319,0.0324384581904,0.0775718979098,0.0266335734765,0.0847105980848,0.0329788178241,0.080386201476,0.0766386043213,0.075301228484,0.066767995057,0.0792119128558,0.0376631500598,0.0421562870392,0.0935000225858,0.0742739107783,0.0825879705285,0.0310292012404
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0775706036931,0.0750534098994,0.0194700849128,0.1283285647677,0.0461248673935,0.0250807886416,0,0.0761192973593,0.0323929917256,0.0430330609455,0.0272087249571,0.0181773249683,0.0287088946587,0.0281292107746,0.0289912032708,0.0230340255498,0.0419896432916,0.0801877657312,0.0231448362256,0.0767363841277,0.0781248244903,0.07135010083,0.0756204387403,0.0757340610975,0.0445992553613,0.0776691603834,0.026647280966,0.0793055098177,0.0309924805761,0.0808624981429,0.0767318596451,0.076109367391,0.0672547018483,0.0787887268612,0.0272030693077,0.0326290723216,0.0950410965607,0.0753322799038,0.0844967031916,0.0215312607572
"1642.MS00574",0.0191182249857,0.0317862405704,0.0776461252623,0.1528135779093,0.1106349911265,0.0756267262081,0.0761192973593,0,0.0859289066264,0.1032143078977,0.0674447846822,0.0752003765314,0.0861017456253,0.0868507815984,0.0917573948928,0.0805820176298,0.1050254467997,0.0213364986412,0.0833133759949,0.0184599612429,0.0208982403913,0.0194106037464,0.0213930542941,0.0288286354722,0.0986412911696,0.0185500514153,0.0619790902934,0.0187318665568,0.0879633287873,0.0206397372673,0.0225211783617,0.0310149479296,0.0192189403568,0.0189628578843,0.0812550576218,0.0902646852825,0.0196991448807,0.0311634867098,0.0218595714689,0.0782945576665
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",0.0781088000384,0.0761828085692,0.0334850028516,0.073223001024,0.0242623135569,0.0363706099481,0.0323929917256,0.0859289066264,0,0.0227072632987,0.0383756128533,0.0325827423562,0.0276204814694,0.0180458830712,0.0226758030329,0.026719221665,0.024623317013,0.0877317306422,0.0223896403193,0.085915745857,0.0898527429748,0.0837450421535,0.074989814945,0.0797594589522,0.0308981652974,0.0850136958993,0.0347225940202,0.0906467019324,0.0240835861894,0.0874310550933,0.0817893999958,0.0747546670681,0.0728338754136,0.0877484386118,0.0373867880431,0.020912969438,0.1014338213456,0.0825288091067,0.0909993335211,0.0397198282686
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.0995952230798,0.0905207209337,0.0396277485258,0.0936882556128,0.0132440621305,0.0519105528634,0.0430330609455,0.1032143078977,0.0227072632987,0,0.0508579460392,0.0462356431224,0.0268711404693,0.020044753154,0.0174880752968,0.0302417875517,0.0185952152343,0.1037628313843,0.0256285284723,0.1018623624602,0.1091550547103,0.0982131538026,0.0939338490159,0.0959745894073,0.0388842968685,0.1025954788507,0.0451562825355,0.1045113986613,0.0247950531727,0.1035974321087,0.0956450717671,0.0862114400963,0.0875299904086,0.0997594371824,0.0419539040996,0.0158919177075,0.1194668238678,0.0940063956191,0.1078709136893,0.04829042675
