"","1642.MS00452","1642.MS00365","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00624","1642.MS00546","1642.MS00430","1642.MS00343","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00597","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00468","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00434","1642.MS00427","1642.MS00359","1642.MS00424","1642.MS00561","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00586","1642.MS00353","1642.MS00396","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00452",NA,-2.11194334299814,3.62120006595968,3.92280603683041,-0.307277046640876,6.3481978376827,4.99911584028343,-2.09616635758223,-0.177773198307751,0.99755442818836,2.51886295331828,3.78833240983367,1.28641164929795,-0.672428769032096,0.741641830922026,2.54308117963344,-0.603924012192199,-2.51572328202712,0.306938200135129,-2.11871779883415,-0.906664879565854,-2.09600112949622,-2.08141162791425,-2.48383553899156,0.247253492394061,-1.52903173582295,-0.0586769488513071,-2.92906131213198,-0.337227874990187,-2.53690258765997,-2.20566108684437,-2.70105881544737,-2.81502214557139,-3.69507012618726,4.43849208971535,0.280481689904771,-2.91759073659716,-2.66800160761179,-2.14846956062775,4.39325614585783
"1642.MS00365",-2.11194334299814,NA,-0.158159558790638,-0.976478265080849,-0.0118587736813302,1.605061910702,0.87473523203717,-2.08568785734752,-1.030007782668,-1.2431029641076,-0.736303489584468,1.19821827515261,-0.526271651414627,-1.04746029451221,-1.08047064316108,-0.64027732769253,-1.07323213984403,-0.769458273068299,-1.05306114425918,-2.32775443767181,-1.21116091005015,-1.28352885583103,-2.79799889688471,-4.03257188280131,-0.677969020746479,-1.34971665611718,-1.10768947561437,-2.20551020305411,-1.87851542137801,-1.97505368099591,-2.45920717752961,-4.22092810451968,-2.98656186033468,-2.37120222838114,-0.133598980233074,-0.943759030000424,-1.47003801481199,-5.42092929522858,-2.8915609780458,1.33107448726365
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",3.62120006595968,-0.158159558790638,NA,-1.91566321212857,-6.3882750735477,-5.13193474312658,-6.92396159899323,4.23977955601025,-4.18457166492089,-7.09573332449711,-8.03583911770657,-8.25532298130847,-6.88790014578972,-8.04162369534521,-7.60133410955046,-8.42601995331029,-6.53164184150451,3.21476399371405,-4.54053540599885,4.77876514445396,5.92198485224325,0.905465461277162,4.13751085986781,0.610466288268413,-2.51393237521772,4.50357662306391,-8.16640741256831,2.23783192841409,-7.51987553371921,5.29148441397209,1.7644636585445,-0.565827482977126,0.301420107879908,3.0402454761725,-8.40184792843748,-6.75102141282443,8.8709053617032,-0.450097408302944,6.3436704708553,-5.15057986288225
"1001.SKB7",3.92280603683041,-0.976478265080849,-1.91566321212857,NA,-2.18644548219796,-0.719634180948164,-0.33378239906009,0.88926659041315,-3.41127512171196,-3.29156537336814,-1.13095540576817,0.305787103310763,-3.70492243519681,-3.09788907930099,-2.88251057114277,-3.1552568628897,-2.32840494094591,1.41622013865601,-3.69446593671817,2.7918940696467,1.35536892750158,0.36164083646891,0.890677178091185,-0.255994802763451,-1.64026885701638,1.22368958347671,-0.182514670153761,0.7998813665231,-2.33592056346204,1.26497409075702,0.886937172694052,-1.68116361117671,0.439003928874238,1.72627045449673,-2.63046209597998,-3.21116847989265,3.66667016379314,-1.20741041417963,2.4290417256742,-0.705337685399495
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",-0.307277046640876,-0.0118587736813302,-6.3882750735477,-2.18644548219796,NA,-4.92536382238378,-5.75066576978484,0.717831330681503,-3.45243181699973,-4.04852457824084,-3.31220374134582,-5.1761475083338,-5.32413713468781,-3.42967252697105,-4.84706423873255,-6.23377149113841,-4.42930085026994,0.622912532820972,-4.43397554401397,0.414144262714346,0.960903077378603,0.0662030923998875,-0.391127922430444,0.52021903310673,-2.41069589951423,0.730594791658718,-3.5082539433127,0.362320262445865,-4.99684073595424,0.762464534873685,0.135276853314982,-0.859618316359037,-0.715348397272886,0.198580248023399,-5.61945097938967,-3.74704847125157,1.434288982534,0.0449325219556883,1.13623753340268,-4.69249729403179
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",6.3481978376827,1.605061910702,-5.13193474312658,-0.719634180948164,-4.92536382238378,NA,-4.92344171766327,7.10964088129661,-3.37753915377884,-3.96741007957268,-7.56985836914749,-5.53498811217882,-4.79283052065972,-2.27299701729693,-2.74253090427331,-3.49249791102936,-5.62181141151871,4.401539097291,-4.48686422942499,7.6535022355572,8.46705797722845,3.43480015591639,7.18386098562417,2.49238008218725,-5.72107165205613,8.34637796046128,-8.37950402703612,4.97669130304224,-5.68960251699055,8.44874945182397,3.61402145580962,0.260999755941222,1.70940291238161,4.49407321642166,-2.32293155487111,-2.26590532385261,11.4178223617273,1.08530915270056,9.38543174058736,-3.32409631495512
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",4.99911584028343,0.87473523203717,-6.92396159899323,-0.33378239906009,-5.75066576978484,-4.92344171766327,NA,5.44677628541409,-3.92314625186422,-4.81475744620589,-9.10118363701302,-8.61815928963104,-5.97259842732166,-3.08153156321287,-4.28537811787172,-6.12674101908264,-5.75861693804482,3.39177538052044,-4.43743589701296,6.38183012071553,6.8553347867458,1.66682532551051,5.17452916159076,1.83552389073581,-2.3177839068922,5.67201363072824,-8.58969891191482,2.87545938736371,-6.17888167933987,6.63926623119821,2.57913323407397,-0.0281793535730703,1.04303752903918,3.27014621110278,-4.42758285259975,-2.89551164081163,9.63536440657457,0.593403764706434,7.75511506839722,-8.37249818357554
"1642.MS00574",-2.09616635758223,-2.08568785734752,4.23977955601025,0.88926659041315,0.717831330681503,7.10964088129661,5.44677628541409,NA,0.898108125471713,1.60531175545943,3.84359951546245,4.12117389996444,2.12097982228647,0.237700095534453,1.92290936366951,3.93774335904413,0.45780227191471,-3.04229688439746,1.71334352661929,-3.81784137659864,-1.8369750381725,-2.72004606283918,-3.83813510648756,-3.22393489114544,1.71445145009786,-3.75856046666704,0.635580398179708,-3.71329684241702,1.19002028203402,-4.20637702915047,-2.2098688349427,-2.44100763591779,-3.53025739232175,-4.96905893060551,5.02311877392243,0.786859882090313,-4.59967647988826,-2.86801630800861,-3.49457465591348,5.20720658883138
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",-0.177773198307751,-1.030007782668,-4.18457166492089,-3.41127512171196,-3.45243181699973,-3.37753915377884,-3.92314625186422,0.898108125471713,NA,-3.60019354341508,-3.82193326175371,-3.9025686745783,-4.45104418037843,-2.996971730747,-3.64601060416193,-4.70247521832939,-3.76619347778444,0.84091815037663,-3.70635032900145,0.895253395180543,1.45400960278757,0.260046397411464,-0.609725389645317,-0.533649467530325,-2.80642161795628,0.96350061072612,-4.27283505236396,0.897519900718224,-4.23523460954721,0.919143237570331,-0.0438892814552433,-1.17025241567379,-0.655273502055166,0.565050432151916,-4.20679654057887,-3.14346566839418,2.29322614989013,-0.379822460228637,1.36423389618444,-3.277907270315
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.99755442818836,-1.2431029641076,-7.09573332449711,-3.29156537336814,-4.04852457824084,-3.96741007957268,-4.81475744620589,1.60531175545943,-3.60019354341508,NA,-5.58489722001016,-4.63459460473307,-4.87657891312791,-3.92241253964508,-6.88458711812128,-7.23281842191745,-4.76650226893414,1.13356951438139,-4.88477175516851,1.69880568266956,2.59954924091977,0.355408581984386,0.187021079404465,-0.277688413734507,-2.98643382433016,1.45354767491869,-5.44423850682797,1.03715236880457,-5.25041341578306,1.56432086259638,-0.0119740702257499,-1.70599517901487,-0.57170653033208,0.597579754601642,-6.64423228042079,-4.59657617983059,3.37511172959289,-0.949773247374482,2.23848018376887,-4.76638298450674
