"","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00385","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","1642.MS00530","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","1642.MS00417","1642.MS00555","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0,0.8942,0.5098,0.885,0.9558,0.9506,0.9592,0.9234,0.5006,0.9516,0.9612,0.9518,0.5358,0.581,0.96,0.8852,0.6672,0.8158,0.456,0.9686,0.8972,0.9582,0.5112,0.9526,0.5424,0.4152,0.8846,0.8576,0.9724,0.6622,0.5762,0.4986,0.5242,0.965,0.7772,0.9568,0.9544,0.9664,0.9338,0.929
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8942,0,0.8458,0.5964,0.8904,0.8874,0.9142,0.6882,0.8908,0.8868,0.9088,0.9026,0.8192,0.8014,0.9232,0.5396,0.862,0.7798,0.8946,0.9298,0.749,0.8834,0.8788,0.8922,0.8494,0.8808,0.6258,0.9212,0.9398,0.8368,0.7748,0.9248,0.866,0.9328,0.8908,0.9222,0.8864,0.8978,0.7714,0.7284
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.5098,0.8458,0,0.8574,0.937,0.9332,0.947,0.8932,0.5832,0.9356,0.9458,0.9366,0.571,0.5798,0.9448,0.8256,0.7442,0.7116,0.6086,0.9544,0.8604,0.9414,0.5692,0.9346,0.5602,0.5352,0.8562,0.8342,0.9604,0.6426,0.5502,0.5978,0.563,0.9476,0.6624,0.9492,0.9376,0.9418,0.903,0.8994
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.885,0.5964,0.8574,0,0.9034,0.9034,0.9246,0.7314,0.8834,0.8926,0.9138,0.9114,0.7978,0.7762,0.9318,0.6272,0.874,0.799,0.8904,0.9258,0.7468,0.8976,0.8856,0.9092,0.8548,0.8616,0.5832,0.9418,0.9452,0.8294,0.7338,0.9164,0.871,0.9364,0.8908,0.93,0.8948,0.9086,0.8196,0.7588
"1642.MS00453",0.9558,0.8904,0.937,0.9034,0,0.5524,0.5474,0.8694,0.9506,0.5172,0.566,0.4954,0.933,0.9212,0.6826,0.8896,0.9164,0.9246,0.9582,0.5704,0.909,0.4902,0.9588,0.5376,0.934,0.9482,0.8786,0.9534,0.6562,0.929,0.9012,0.9656,0.9486,0.6142,0.9528,0.66,0.4982,0.5704,0.8736,0.873
"1642.MS00385",0.9506,0.8874,0.9332,0.9034,0.5524,0,0.5592,0.8606,0.944,0.5904,0.538,0.554,0.9318,0.9186,0.5972,0.8876,0.9146,0.916,0.9558,0.5826,0.8932,0.598,0.955,0.5488,0.9316,0.9466,0.8718,0.9474,0.6518,0.9238,0.8948,0.964,0.9424,0.678,0.9436,0.6156,0.4712,0.651,0.8636,0.8638
"1642.MS00548",0.9592,0.9142,0.947,0.9246,0.5474,0.5592,0,0.8966,0.954,0.5488,0.4802,0.4806,0.9464,0.9338,0.6674,0.9156,0.9336,0.9364,0.9624,0.4852,0.926,0.5706,0.9612,0.512,0.9396,0.9566,0.9106,0.9608,0.5062,0.937,0.9242,0.9696,0.9552,0.5548,0.9606,0.5278,0.5346,0.6,0.9032,0.9024
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.9234,0.6882,0.8932,0.7314,0.8694,0.8606,0.8966,0,0.9118,0.8624,0.8916,0.8812,0.8822,0.8602,0.9154,0.6986,0.8664,0.8538,0.9302,0.9158,0.798,0.8656,0.9082,0.8606,0.8712,0.917,0.69,0.9156,0.9292,0.8564,0.8432,0.9402,0.8982,0.9274,0.9158,0.9058,0.8554,0.8672,0.7326,0.3612
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.5006,0.8908,0.5832,0.8834,0.9506,0.944,0.954,0.9118,0,0.9462,0.9556,0.9468,0.4686,0.5986,0.9606,0.8798,0.738,0.8148,0.4672,0.9632,0.8756,0.9518,0.6034,0.9478,0.5882,0.481,0.8778,0.9036,0.9686,0.7172,0.6592,0.4378,0.511,0.958,0.806,0.9554,0.951,0.9584,0.9186,0.9202
"1642.MS00596",0.9516,0.8868,0.9356,0.8926,0.5172,0.5904,0.5488,0.8624,0.9462,0,0.5846,0.4922,0.9312,0.9194,0.722,0.8842,0.924,0.922,0.9604,0.5614,0.9084,0.4842,0.9556,0.5548,0.93,0.9444,0.8724,0.9552,0.6474,0.9248,0.8994,0.9636,0.9432,0.5968,0.9544,0.6452,0.5066,0.5364,0.8766,0.8682
"1642.MS00409",0.9612,0.9088,0.9458,0.9138,0.566,0.538,0.4802,0.8916,0.9556,0.5846,0,0.5396,0.9434,0.9314,0.6434,0.9036,0.9252,0.9332,0.9646,0.506,0.916,0.595,0.9624,0.5476,0.9382,0.953,0.8934,0.9586,0.4472,0.9312,0.9154,0.9734,0.9508,0.6426,0.9566,0.4744,0.5086,0.6414,0.891,0.8966
"1642.MS00530",0.9518,0.9026,0.9366,0.9114,0.4954,0.554,0.4806,0.8812,0.9468,0.4922,0.5396,0,0.9344,0.9272,0.673,0.8986,0.9172,0.927,0.9552,0.5538,0.9118,0.5186,0.9532,0.5296,0.9312,0.9502,0.884,0.9546,0.609,0.9248,0.9062,0.9674,0.9412,0.5818,0.9502,0.6346,0.502,0.5768,0.8784,0.8832
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.5358,0.8192,0.571,0.7978,0.933,0.9318,0.9464,0.8822,0.4686,0.9312,0.9434,0.9344,0,0.524,0.9478,0.816,0.7804,0.7114,0.574,0.9522,0.8392,0.9352,0.6716,0.9356,0.589,0.4732,0.8176,0.918,0.9586,0.676,0.567,0.5476,0.5532,0.9528,0.7484,0.9494,0.9346,0.937,0.9044,0.893
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.581,0.8014,0.5798,0.7762,0.9212,0.9186,0.9338,0.8602,0.5986,0.9194,0.9314,0.9272,0.524,0,0.9404,0.7798,0.758,0.7124,0.6742,0.9462,0.8036,0.9238,0.6336,0.9238,0.6582,0.5618,0.763,0.8798,0.9536,0.6792,0.548,0.624,0.6248,0.9438,0.6986,0.935,0.9186,0.9316,0.8962,0.8752
"1642.MS00377",0.96,0.9232,0.9448,0.9318,0.6826,0.5972,0.6674,0.9154,0.9606,0.722,0.6434,0.673,0.9478,0.9404,0,0.92,0.928,0.9388,0.9616,0.6766,0.9304,0.7138,0.9612,0.6766,0.941,0.9572,0.9144,0.943,0.7128,0.9322,0.9274,0.9736,0.9536,0.7314,0.951,0.7168,0.6108,0.7276,0.9062,0.9168
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8852,0.5396,0.8256,0.6272,0.8896,0.8876,0.9156,0.6986,0.8798,0.8842,0.9036,0.8986,0.816,0.7798,0.92,0,0.863,0.7758,0.8862,0.9302,0.6964,0.8882,0.8698,0.8862,0.8504,0.8714,0.6292,0.9248,0.9406,0.8344,0.766,0.9132,0.8648,0.9328,0.8714,0.9192,0.8886,0.8994,0.7912,0.7308
