"","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00385","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","1642.MS00530","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","1642.MS00417","1642.MS00555","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0,0.971,-1,0.929,1,1,1,1,-1,1,1,1,-1,-0.996,1,0.94,-0.914,-0.0639999999999999,-1,1,0.97,1,-0.998,1,-0.996,-1,0.922,0.198,1,-0.908,-0.998,-0.998,-0.998,1,-0.546,1,1,1,1,1
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.971,0,0.988,-0.0649999999999999,1,1,1,0.796,0.998,1,1,1,0.988,1,1,-0.521,1,0.996,0.967,1,1,1,0.974,1,0.994,0.99,0.351,1,1,0.989,0.998,0.998,0.998,1,1,1,1,1,1,0.952
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",-1,0.988,0,0.996,1,1,1,1,-0.954,1,1,1,-0.944,-0.942,1,0.928,-0.255,-0.366,-0.966,1,0.998,1,-0.978,1,-0.966,-0.99,0.99,0.0880000000000001,1,-0.8,-0.98,-0.986,-0.97,1,-0.818,1,1,1,1,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.929,-0.0649999999999999,0.996,0,1,1,1,0.976,0.992,1,1,1,0.915,0.937,1,0.315,1,1,0.956,1,0.996,1,0.98,1,0.998,0.962,-0.316,1,1,0.974,0.889,0.976,0.994,1,0.998,1,1,1,1,0.992
"1642.MS00453",1,1,1,1,0,-0.017,-0.043,1,1,-0.303,0.071,-0.648,1,1,0.958,1,1,1,1,0.129,1,-0.683,1,-0.147,1,1,1,1,0.705,1,1,1,1,0.694,1,0.745,-0.557,0.264,1,1
"1642.MS00385",1,1,1,1,-0.017,0,0.022,1,1,0.575,-0.259,-0.091,1,1,0.154,1,1,1,1,0.26,1,0.662,1,-0.021,1,1,1,1,0.66,1,1,1,1,0.99,1,0.252,-0.802,0.982,1,1
"1642.MS00548",1,1,1,1,-0.043,0.022,0,1,1,-0.024,-0.812,-0.847,1,1,0.894,1,1,1,1,-0.778,1,0.206,1,-0.468,1,1,1,1,-0.874,1,1,1,1,-0.116,1,-0.677,-0.189,0.617,1,1
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",1,0.796,1,0.976,1,1,1,0,1,1,1,1,1,1,1,0.884,1,1,1,1,1,1,1,1,0.998,1,0.739,0.998,1,1,1,1,1,1,1,1,1,1,0.978,-1
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",-1,0.998,-0.954,0.992,1,1,1,1,0,1,1,1,-1,-0.982,1,0.986,-0.591,0.467,-1,1,0.976,1,-0.95,1,-0.956,-1,0.986,0.865,1,-0.675,-0.866,-1,-1,1,0.028,1,1,1,1,1
"1642.MS00596",1,1,1,1,-0.303,0.575,-0.024,1,1,0,0.41,-0.656,1,1,1,1,1,1,1,0.12,1,-0.594,1,0.2,1,1,1,1,0.671,1,1,1,1,0.554,1,0.66,-0.34,-0.025,1,1
