"","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00527","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00555","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00417","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00530","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00453","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0,0.0886323707037,0.0453484520831,0.0804764965327,0.0937377974947,0.0472616352878,0.0468895850876,0.0435751282791,0.1030388060657,0.0370469926398,0.0324737564125,0.0400117285363,0.055460433858,0.0267928028395,0.0835676236547,0.0486471955683,0.0346013402417,0.0548113452569,0.0401203179077,0.0908586836763,0.0682564854951,0.0911104779999,0.0809350159111,0.0558954586069,0.0950676947648,0.0533853702304,0.0810970459261,0.0279628117912,0.117365181824,0.0282150098348,0.0379716440127,0.0340238849624,0.0363879545511,0.0920265379891,0.0492351738776,0.0989499030096,0.0330776246909,0.0833915574688,0.059612412731,0.0967950530456
"1642.MS00508",0.0886323707037,0,0.0971750202287,0.0267960686947,0.0221531325415,0.0858570312557,0.0890705410915,0.0865850629797,0.0264923247873,0.0741564650993,0.0795950571138,0.0873591932958,0.0970598206672,0.0846380393919,0.0218518668432,0.0827997765026,0.0831887456436,0.0953011978798,0.0841932999865,0.025937061808,0.1002982331074,0.022964089794,0.0178972073419,0.0967818345573,0.0195846672331,0.0974527635448,0.0189991230154,0.0902549766865,0.0203443182466,0.0914462300902,0.1267121475243,0.0823962577404,0.0828540658737,0.0231645029131,0.0997589668362,0.0304546490708,0.087545859696,0.0235866248815,0.1050478889447,0.0187739534289
"2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences",0.0453484520831,0.0971750202287,0,0.0936672501634,0.1081588663881,0.0743385824086,0.0201109180285,0.0228163986202,0.1193779551027,0.0550580011663,0.0311382710868,0.0167838354783,0.017172001666,0.0405654099852,0.0994032436596,0.0330886886019,0.0180567814948,0.0165480615564,0.0297914563924,0.1097915012134,0.0445743594406,0.1113155418805,0.0936962538263,0.0147549350803,0.1107744506769,0.0282228477756,0.0891545392147,0.0487628834449,0.1311478266845,0.056884779453,0.0557068415552,0.0234121093418,0.017085709778,0.1064665524912,0.0157052056142,0.1072890777269,0.0481910238963,0.1034891385877,0.0139046608432,0.1087682329428
"1642.MS00385",0.0804764965327,0.0267960686947,0.0936672501634,0,0.0294704767489,0.0815898606405,0.0899902329793,0.0850599882202,0.032223110656,0.0672343799302,0.0785217719827,0.0862480948524,0.0977694099895,0.0813161288654,0.020249448213,0.0819083297241,0.0803769214,0.0958312597398,0.0801723741997,0.0323815273274,0.0958556362774,0.0287048736639,0.0200591240256,0.0977848833593,0.0263375068551,0.0924247244053,0.025701364514,0.0790676173603,0.0364146554504,0.0833022807358,0.076427351934,0.0813301521857,0.0787674618079,0.0270844704952,0.097408952215,0.0252990211365,0.0807012111644,0.0267036311337,0.104277919495,0.0261046354498
"1642.MS00527",0.0937377974947,0.0221531325415,0.1081588663881,0.0294704767489,0,0.0999719255152,0.1030233148944,0.0974759780973,0.029615373761,0.083370567644,0.0909714781419,0.0998376864945,0.11520716819,0.0907679989124,0.0265630505663,0.0977129562119,0.0937597667362,0.1120166609419,0.0956268535816,0.0284544599797,0.122181305072,0.0251988470148,0.0240373215794,0.1105473781166,0.0261895313438,0.1122959604333,0.0265867504637,0.0960313553923,0.0249161483803,0.0961602432767,0.104747149042,0.0903107200496,0.0930672079946,0.026831213966,0.1120517438664,0.0349344498726,0.0969823225508,0.0289615912065,0.1171424510241,0.0236117118015
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0472616352878,0.0858570312557,0.0743385824086,0.0815898606405,0.0999719255152,0,0.0618162984469,0.0547390792789,0.1043504616613,0.0357896385848,0.0554939538636,0.0633458635678,0.0804860151943,0.0526567521337,0.0850798399727,0.0403078909824,0.0569901806779,0.073645120552,0.0509579451803,0.0948030138672,0.0672039021707,0.098413525115,0.0800775262982,0.0805889173981,0.0997344871406,0.0741156444749,0.078114336739,0.0411833227433,0.1250232243229,0.0428627175684,0.03855990001,0.0573057947347,0.0600671110964,0.0966354383803,0.0721801839841,0.0961719467949,0.0579328284249,0.0856273628293,0.0916461543101,0.0990138105715
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",0.0468895850876,0.0890705410915,0.0201109180285,0.0899902329793,0.1030233148944,0.0618162984469,0,0.0146808338042,0.1132399817828,0.0514638847125,0.0296508535723,0.017876400795,0.017281201785,0.045211618458,0.0935123152612,0.0239180213001,0.0223347038934,0.0174290199638,0.0177521349696,0.1019350287571,0.0350490435586,0.1039129399731,0.087631201509,0.0189996586543,0.1022533257049,0.0268281214826,0.0800446168738,0.0489178473909,0.1243575573523,0.0525648506156,0.0541823026147,0.0259025666894,0.0217363752517,0.1001948389609,0.015700508384,0.1062514013151,0.0480669709709,0.0961021403535,0.0176321231767,0.1007361942894
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.0435751282791,0.0865850629797,0.0228163986202,0.0850599882202,0.0974759780973,0.0547390792789,0.0146808338042,0,0.1119921818141,0.043181896182,0.026964990375,0.0206029203289,0.0184469509318,0.0418237363143,0.0890678799241,0.0255750624733,0.0252092417451,0.0220800844041,0.0135155056973,0.0972217021822,0.0332994848061,0.1002120522865,0.0825257455169,0.0234390097315,0.0984524909417,0.0300618344163,0.0783190438452,0.0468486511408,0.121511593659,0.0471925813524,0.0544915507106,0.0255932406191,0.023408855405,0.0949170537706,0.019084592505,0.1015280853256,0.0459294269385,0.0929919162949,0.0242458819163,0.0982397047856
"1642.MS00555",0.1030388060657,0.0264923247873,0.1193779551027,0.032223110656,0.029615373761,0.1043504616613,0.1132399817828,0.1119921818141,0,0.0873735612745,0.1016938761861,0.1165507815086,0.1296969008062,0.0976041179946,0.0264307034206,0.1118562100726,0.1045942207117,0.122865900985,0.1078357590534,0.0273679190134,0.1317509686491,0.0255297280342,0.0270803981969,0.1264085573192,0.0264400062013,0.1233096355117,0.0327282861661,0.1010747012318,0.030516636362,0.1021074530224,0.0927455863352,0.1045506621822,0.1021159793716,0.0271864369956,0.1232895292218,0.0378848744238,0.1124712896576,0.0268513324556,0.1263418163102,0.0258403135918
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0370469926398,0.0741564650993,0.0550580011663,0.0672343799302,0.083370567644,0.0357896385848,0.0514638847125,0.043181896182,0.0873735612745,0,0.0410633776317,0.0502203262251,0.0600232873671,0.0412481245635,0.0705535261365,0.0420994048832,0.0437152125011,0.0564227855279,0.0414645183613,0.0799991943749,0.0549673347284,0.0808597578665,0.0667795452678,0.0615979308869,0.0795061862153,0.0579810384365,0.0648449618172,0.0357579021739,0.1080622842256,0.0374399698223,0.0156579961786,0.0465325514415,0.0444577016385,0.0789701841092,0.0509404037313,0.0790025033235,0.0414643205509,0.0698439411608,0.0709326007577,0.0806772380855
