"","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00527","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00555","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00417","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00530","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00453","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",NA,0.232676976149057,-6.17478886230424,2.5328846628845,2.06546844054365,-5.97855405543211,-6.62599060572006,-5.84281220435011,8.47511445152615,-6.36282203414282,-5.14623776695085,-4.62107147080058,-4.15793143124156,-8.6113192448531,4.15230032308327,-5.51602488152318,-4.57886944340703,-4.82823143321341,-6.21559202375411,6.36886018153949,-3.3520523915705,7.23530782944671,0.490954098950139,-5.47993596204151,6.10814778048177,-4.0784038638624,-0.186729606726353,-7.92034388053833,11.8364961479534,-2.91409318415461,-6.80971846513493,-6.77286761401691,-5.33497067436367,5.97106287937538,-4.36654878880752,3.79403157750213,-6.25059894791934,3.047479548268,-4.69416666671647,3.54483838657743
"1642.MS00508",0.232676976149057,NA,-0.640493862619708,-3.91390501532725,-3.53084748443262,7.42252788642386,-0.732810980445532,-0.792789567916311,-4.06924094104598,-0.343170763608814,-0.79294451638053,-0.782002985710918,-0.724244820637189,-0.0303518672524175,-6.35218590667547,-0.845710593072512,-0.755525998141817,-0.931845507834935,-0.843524738220776,-3.52640306435008,-0.703581625569275,-5.77319043983333,-6.88115842639079,-0.882471404779207,-5.34399467082683,-0.619829900463186,-5.57396818985877,0.379223610284364,-6.29338162456891,0.451752272635463,2.56979713587303,-0.516195000659992,-0.686937429456951,-4.08863275361583,-0.455954608053941,-3.56171625889021,-0.136479230698617,-5.0712462762298,-0.829377935929828,-4.58443534984798
"2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences",-6.17478886230424,-0.640493862619708,NA,-0.442603051540226,0.0784271603939563,-1.45992796722078,-6.36167209356613,-5.66244896652322,0.706811821536715,-2.091992263797,-6.1625673444942,-6.98684504443527,-5.17160925897283,-5.95446887013554,-0.000911316280485989,-6.08575525263107,-3.47432125073872,-4.24844189998997,-5.20210485130865,0.2841170591614,-5.14403977095995,0.489547101450769,-0.547465396678603,-5.41993941143932,0.282549188165027,-5.77662399516035,-0.836473410371529,-1.74269899069054,1.14665488744183,-4.11766706550151,-1.86216011265387,-5.9269823355675,-4.68745175876451,0.0845440014999394,-4.47142534380074,-0.194034381720013,-6.73356721091018,-0.0227321021203738,-6.42647820218309,0.164465853885814
"1642.MS00385",2.5328846628845,-3.91390501532725,-0.442603051540226,NA,-1.8053319270962,5.58830455608416,-0.487083594888641,-0.622853068363983,-2.43872153159822,0.0223647762268076,-0.570089603811251,-0.636946585027415,-0.543406336988695,2.07734118085012,-4.6164974290299,-0.739360822078237,-0.578047273894454,-1.18098134274548,-1.14429666894147,-0.86924978028262,-0.963777110675857,-3.00920594808946,-5.66972934615849,-0.623916733815776,-2.90336076182363,-1.02857632850812,-3.78526389226943,2.46234929525182,-1.59218498257971,3.54442107448726,2.62682478026405,0.0776030485562127,-0.534938991815075,-1.97206015121576,-0.251834027720761,-4.23483298564937,1.24363937577603,-3.11024628579289,-0.763371555832353,-2.87299470150163
"1642.MS00527",2.06546844054365,-3.53084748443262,0.0784271603939563,-1.8053319270962,NA,8.98364464024933,-0.147408446482577,-0.191217677161656,-1.20963417073835,0.949280100680649,-0.0776084330465829,-0.107220486129849,-0.103192552032494,1.62778056318743,-1.14417325878516,0.00114050827729699,-0.0112298171476862,0.0218369404557388,-0.078476068547536,-1.25494428573113,0.515272934170131,-2.16010516420434,-2.44357633673228,-0.212486825686971,-2.01019299241136,0.510059183441219,-1.06660882556566,2.61829237164629,-4.54312995032379,2.71414949093107,3.87363739448623,0.275072272255556,-0.186591649744194,-1.89249612490358,0.0551600505933245,-2.9297959403051,1.85967750097276,-2.00315439097718,-0.270839044127169,-3.25387526545833
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.97855405543211,7.42252788642386,-1.45992796722078,5.58830455608416,8.98364464024933,NA,-1.47225081958253,-1.87548390102872,12.3295484019244,-8.45612111583818,-2.53533751889977,-1.77010050143245,-1.20184934290744,-5.19233965510379,8.11942142670474,-2.52723094329151,-2.22251782675409,-3.0473000697389,-3.45905005706997,9.48578274249822,-3.00307731099781,11.9113786603573,6.35240448433376,-1.35729380578429,9.49712131087016,-3.73357819655126,4.67944017945388,-7.8471871369241,15.3650849179551,-6.4290782704156,-7.2834742179855,-1.83242418834519,-1.04970730616218,9.25723621471487,-0.82312672601689,5.30583673070767,-4.49653762233199,8.8448007160017,-1.26766981383062,12.2039546238751
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",-6.62599060572006,-0.732810980445532,-6.36167209356613,-0.487083594888641,-0.147408446482577,-1.47225081958253,NA,-7.02618417032127,0.419547079381347,-2.01263970927304,-6.43263175079108,-7.10239178491249,-5.44605312822815,-6.91549283703832,-0.246739396537577,-7.29944466712306,-4.34470299284946,-5.73740361941884,-6.65999498064208,0.0549062604475051,-6.10086462924229,0.221613755617852,-0.695635844565735,-5.88880907046661,0.0487954534696926,-6.14857554020154,-1.05988462322806,-1.58027692696953,0.88864112040613,-4.78069738810283,-1.7109787322796,-6.61031215492445,-6.6464379892176,-0.0524946652684529,-5.57426428407873,-0.0769063016112301,-6.70766881518627,-0.261786686076215,-6.98837555331941,-0.125430480613247
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",-5.84281220435011,-0.792789567916311,-5.66244896652322,-0.622853068363983,-0.191217677161656,-1.87548390102872,-7.02618417032127,NA,0.833653057049947,-2.48298277911032,-5.74914744988096,-6.96046292039813,-5.78592524965904,-6.35225510402213,-0.282818840600647,-6.70267874207274,-4.20604802639505,-5.08008369082175,-6.749000127143,0.125719312787003,-6.34403875841366,0.333507278982413,-0.854156377587385,-5.86981130917775,0.134766400341521,-4.92923402852189,-1.13238107346066,-1.82015829275009,1.29379519383577,-3.82627362267671,-1.45880796797578,-7.88511444756648,-5.3631437741802,-0.0705454811902501,-5.09675758036954,-0.0711591310962177,-5.64999558973732,-0.195786768356634,-5.17709598454029,0.0154756959760662
"1642.MS00555",8.47511445152615,-4.06924094104598,0.706811821536715,-2.43872153159822,-1.20963417073835,12.3295484019244,0.419547079381347,0.833653057049947,NA,6.29807464570986,1.88617961071952,1.19216462249614,0.703539797092877,6.90269835194224,-3.40773219593439,1.87473476640822,1.27057095107948,1.84075973533315,1.61418624856522,-1.87869751025541,2.69324648693145,-3.30902724226396,-2.99713796138128,0.691997552037827,-3.05895029258978,3.64468707986517,-0.938874830509584,9.26310787588653,-3.25868577131024,9.3607287686975,7.84822631626199,1.91153762514334,0.199678467984751,-2.74642214620446,0.416614393386087,-2.94055768233698,9.8880560937443,-3.49620230085629,0.268489986289459,-3.41363091448975
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",-6.36282203414282,-0.343170763608814,-2.091992263797,0.0223647762268076,0.949280100680649,-8.45612111583818,-2.01263970927304,-2.48298277911032,6.29807464570986,NA,-2.9504825293475,-2.34676731496224,-2.11283813204285,-6.07316955132836,1.73566165484512,-3.58021451854026,-2.68936782236821,-4.56336941773057,-4.0277381469165,5.07555588337511,-3.19296651134397,5.80953755734963,-0.429703038352485,-2.36027275533221,3.09053201671738,-4.06944598240774,-0.896831692623244,-6.94157069285599,8.09167980276368,-5.2357932405544,-6.44790467065367,-2.65312820137588,-1.36904876381184,4.19441170905774,-1.23797413203246,0.659750369800444,-6.93980383802486,0.908797644012498,-2.007962511613,1.50794445423164
