"","1642.MS00608","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00450","1642.MS00452","1642.MS00539","1642.MS00453","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00537","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00331","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00522","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00342","1642.MS00578","1642.MS00412","1642.MS00399","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00499","1642.MS00446","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,0.9212,0.6108,0.9692,0.5542,0.96,0.526,0.509,0.5214,0.5318,0.4826,0.9166,0.9328,0.561,0.9506,0.5258,0.923,0.556,0.591,0.9504,0.4948,0.8822,0.6108,0.6612,0.9168,0.5156,0.5434,0.908,0.9388,0.9508,0.9094,0.5396,0.7476,0.622,0.58,0.608,0.9638,0.5212,0.5492,0.913
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",0.9212,0,0.9162,0.5856,0.9,0.5834,0.916,0.916,0.9168,0.9184,0.9162,0.8314,0.6054,0.8776,0.7344,0.905,0.6666,0.9184,0.9198,0.5904,0.9136,0.8372,0.9394,0.9126,0.798,0.9002,0.926,0.763,0.4854,0.6678,0.7396,0.9142,0.938,0.9426,0.9218,0.9268,0.747,0.9038,0.9142,0.7568
"1642.MS00546",0.6108,0.9162,0,0.964,0.5296,0.953,0.5606,0.558,0.5448,0.558,0.556,0.8856,0.9186,0.6298,0.9376,0.5516,0.9178,0.5368,0.5314,0.939,0.4978,0.8582,0.5438,0.6204,0.8912,0.5334,0.58,0.88,0.9284,0.954,0.8898,0.5684,0.749,0.6446,0.605,0.6066,0.9544,0.54,0.5206,0.8774
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.9692,0.5856,0.964,0,0.9558,0.668,0.962,0.9602,0.9548,0.959,0.9636,0.94,0.7806,0.9298,0.8212,0.9438,0.713,0.9568,0.9552,0.7426,0.9558,0.9428,0.9728,0.949,0.9404,0.9526,0.9652,0.9318,0.6734,0.5352,0.9322,0.9498,0.9726,0.9678,0.9626,0.9576,0.8486,0.9496,0.9646,0.9322
"1642.MS00407",0.5542,0.9,0.5296,0.9558,0,0.9472,0.5042,0.5124,0.494,0.5196,0.5214,0.9018,0.9106,0.5616,0.938,0.53,0.891,0.491,0.515,0.9378,0.4958,0.8654,0.5398,0.5504,0.893,0.5026,0.5236,0.8838,0.9154,0.9446,0.8868,0.5222,0.6966,0.5982,0.5222,0.5466,0.9554,0.5006,0.5072,0.8876
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",0.96,0.5834,0.953,0.668,0.9472,0,0.9486,0.9492,0.9448,0.9466,0.9516,0.9232,0.6716,0.9238,0.7066,0.9396,0.868,0.9424,0.9472,0.4702,0.945,0.9208,0.9628,0.934,0.8962,0.9396,0.9502,0.871,0.6466,0.639,0.8608,0.9426,0.9624,0.9582,0.9522,0.9498,0.6498,0.9372,0.9478,0.864
"1642.MS00450",0.526,0.916,0.5606,0.962,0.5042,0.9486,0,0.5026,0.4998,0.4822,0.4942,0.8974,0.916,0.5986,0.9404,0.5016,0.9096,0.5426,0.5584,0.937,0.4854,0.8744,0.565,0.6124,0.9,0.4702,0.5152,0.8896,0.923,0.9556,0.8996,0.5324,0.7298,0.6358,0.5362,0.5498,0.9522,0.502,0.4728,0.885
"1642.MS00452",0.509,0.916,0.558,0.9602,0.5124,0.9492,0.5026,0,0.4972,0.472,0.4832,0.8938,0.9204,0.57,0.936,0.5124,0.8998,0.556,0.5538,0.9398,0.4784,0.85,0.5754,0.6196,0.898,0.4754,0.5536,0.8894,0.9286,0.9422,0.887,0.5468,0.7212,0.6634,0.5408,0.604,0.9558,0.4824,0.4758,0.8944
"1642.MS00539",0.5214,0.9168,0.5448,0.9548,0.494,0.9448,0.4998,0.4972,0,0.516,0.4782,0.9082,0.917,0.565,0.9372,0.4848,0.9042,0.5008,0.5536,0.9396,0.4516,0.869,0.5738,0.6158,0.9022,0.4836,0.5248,0.8972,0.926,0.9462,0.9,0.4972,0.7388,0.614,0.5278,0.5686,0.9566,0.4836,0.506,0.899
"1642.MS00453",0.5318,0.9184,0.558,0.959,0.5196,0.9466,0.4822,0.472,0.516,0,0.4904,0.8974,0.9196,0.58,0.9382,0.5292,0.9054,0.5496,0.5708,0.9382,0.4848,0.8728,0.5704,0.6288,0.903,0.4738,0.5544,0.8898,0.929,0.9476,0.8996,0.5414,0.7368,0.6628,0.567,0.6236,0.9586,0.5118,0.4758,0.8952
"1642.MS00606",0.4826,0.9162,0.556,0.9636,0.5214,0.9516,0.4942,0.4832,0.4782,0.4904,0,0.9004,0.9176,0.5722,0.9406,0.4902,0.9094,0.5162,0.5606,0.94,0.4538,0.856,0.5898,0.6444,0.8996,0.4898,0.5458,0.8852,0.9286,0.9486,0.8896,0.5196,0.7562,0.6128,0.5718,0.6074,0.956,0.4836,0.497,0.8952
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.9166,0.8314,0.8856,0.94,0.9018,0.9232,0.8974,0.8938,0.9082,0.8974,0.9004,0,0.8258,0.9106,0.895,0.9028,0.9006,0.9178,0.9136,0.8632,0.8978,0.7156,0.9352,0.9216,0.6726,0.8834,0.9222,0.6242,0.8546,0.933,0.6528,0.914,0.9354,0.9418,0.9164,0.9336,0.8888,0.8952,0.8976,0.6476
