"","1642.MS00608","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00450","1642.MS00452","1642.MS00539","1642.MS00453","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00537","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00331","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00522","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00342","1642.MS00578","1642.MS00412","1642.MS00399","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00499","1642.MS00446","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,1,0.746,1,-0.323,1,-0.792,-0.934,-0.755,-0.745,-0.99,1,1,-0.144,1,-0.728,1,-0.269,0.099,1,-0.963,1,0.708,0.967,1,-0.798,-0.569,1,1,1,1,-0.563,1,0.645,0.397,0.492,1,-0.749,-0.38,1
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",1,0,1,-1,1,-1,1,1,1,1,1,1,-0.976,1,-0.889,1,-0.856,1,1,-0.998,1,1,1,1,0.996,1,1,0.97,-1,-0.998,0.869,1,1,1,1,1,-0.782,1,1,0.95
"1642.MS00546",0.746,1,0,1,-0.776,1,-0.209,-0.352,-0.469,-0.337,-0.21,1,1,0.928,1,-0.32,1,-0.7,-0.888,1,-0.954,1,-0.647,0.583,1,-0.585,0.089,1,1,1,1,-0.147,1,0.906,0.781,0.501,1,-0.528,-0.799,1
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,0,1,-0.994,1,1,1,1,1,1,-0.884,1,-0.531,1,-0.988,1,1,-0.954,1,1,1,1,1,1,1,1,-1,-1,0.998,1,1,1,1,1,-0.214,1,1,1
"1642.MS00407",-0.323,1,-0.776,1,0,1,-0.908,-0.913,-0.962,-0.835,-0.763,1,1,-0.043,1,-0.62,1,-0.986,-0.947,1,-0.96,1,-0.641,-0.617,1,-0.894,-0.829,1,1,1,1,-0.787,0.885,0.246,-0.712,-0.64,1,-0.932,-0.913,1
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,-0.994,1,0,1,1,1,1,1,1,-0.98,1,-0.944,1,0.909,1,1,-1,1,1,1,1,1,1,1,0.99,-0.986,-0.996,0.97,1,1,1,1,1,-0.99,1,1,0.978
"1642.MS00450",-0.792,1,-0.209,1,-0.908,1,0,-0.958,-0.924,-0.994,-0.964,1,1,0.725,1,-0.918,1,-0.512,-0.522,1,-0.98,1,-0.215,0.58,1,-0.998,-0.88,1,1,1,1,-0.639,0.993,0.858,-0.444,-0.56,1,-0.914,-0.998,1
"1642.MS00452",-0.934,1,-0.352,1,-0.913,1,-0.958,0,-0.947,-0.996,-0.996,1,1,0.0780000000000001,1,-0.898,1,-0.374,-0.638,1,-0.994,1,-0.069,0.61,1,-0.996,-0.465,1,1,1,1,-0.482,0.989,0.98,-0.497,0.43,1,-0.992,-0.998,1
"1642.MS00539",-0.755,1,-0.469,1,-0.962,1,-0.924,-0.947,0,-0.833,-0.987,1,1,0.0980000000000001,1,-0.972,1,-0.928,-0.562,1,-1,1,0.119,0.656,1,-0.971,-0.77,1,1,1,1,-0.949,0.994,0.618,-0.54,-0.181,1,-0.974,-0.884,1
"1642.MS00453",-0.745,1,-0.337,1,-0.835,1,-0.994,-0.996,-0.833,0,-0.976,1,1,0.305,1,-0.695,1,-0.468,-0.286,1,-0.982,1,-0.182,0.746,1,-0.996,-0.435,1,1,1,1,-0.615,0.996,0.98,0.097,0.757,1,-0.842,-0.998,1
"1642.MS00606",-0.99,1,-0.21,1,-0.763,1,-0.964,-0.996,-0.987,-0.976,0,1,1,0.29,1,-0.952,1,-0.83,-0.429,1,-0.998,1,0.373,0.946,1,-0.932,-0.41,1,1,1,1,-0.787,1,0.623,0.469,0.624,1,-0.972,-0.924,1
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.994,1,1,0.68,1,1,0.265,1,1,0.842,1,1,1,1,1,0.998,1,1,0.629
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",1,-0.976,1,-0.884,1,-0.98,1,1,1,1,1,1,0,1,-1,1,0.438,1,1,-0.998,1,1,1,1,0.195,1,1,0.962,-1,-0.452,0.998,1,1,1,1,1,-1,1,1,0.86
"1642.MS00595",-0.144,1,0.928,1,-0.043,1,0.725,0.0780000000000001,0.0980000000000001,0.305,0.29,1,1,0,1,0.669,1,0.455,0.71,1,0.122,1,0.649,0.998,1,0.316,0.773,1,1,1,1,0.478,1,0.987,0.952,0.992,1,0.284,0.55,1
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",1,-0.889,1,-0.531,1,-0.944,1,1,1,1,1,1,-1,1,0,1,-0.898,1,1,-1,1,0.993,1,1,0.908,1,1,0.982,-0.984,-0.484,0.999,1,1,1,1,1,-1,1,1,0.688
"1642.MS00536",-0.728,1,-0.32,1,-0.62,1,-0.918,-0.898,-0.972,-0.695,-0.952,1,1,0.669,1,0,1,-0.303,-0.319,1,-0.974,1,0.646,0.93,1,-0.943,-0.119,1,1,1,1,-0.616,1,0.941,0.691,0.549,1,-0.882,-0.805,1
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",1,-0.856,1,-0.988,1,0.909,1,1,1,1,1,1,0.438,1,-0.898,1,0,1,1,0.979,1,1,1,1,1,1,1,1,-0.665,-0.681,1,1,1,1,1,1,0.98,1,1,1
"1642.MS00537",-0.269,1,-0.7,1,-0.986,1,-0.512,-0.374,-0.928,-0.468,-0.83,1,1,0.455,1,-0.303,1,0,-0.986,1,-0.998,1,-0.795,-0.28,1,-0.424,-0.97,1,1,1,1,-0.854,0.994,-0.984,0.345,-0.774,1,-0.754,0.358,1
"1642.MS00466",0.099,1,-0.888,1,-0.947,1,-0.522,-0.638,-0.562,-0.286,-0.429,1,1,0.71,1,-0.319,1,-0.986,0,1,-0.849,1,-0.936,-0.812,1,-0.422,-0.929,1,1,1,1,-0.982,0.99,-0.965,0.324,-0.946,1,-0.947,0.077,1
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",1,-0.998,1,-0.954,1,-1,1,1,1,1,1,1,-0.998,1,-1,1,0.979,1,1,0,1,1,1,1,0.998,1,1,0.9,-0.978,-0.866,0.926,1,1,1,1,1,-1,1,1,0.888
"1642.MS00574",-0.963,1,-0.954,1,-0.96,1,-0.98,-0.994,-1,-0.982,-0.998,1,1,0.122,1,-0.974,1,-0.998,-0.849,1,0,1,-0.162,0.582,1,-1,-0.724,1,1,1,1,-0.992,0.994,0.315,-0.119,-0.013,1,-0.99,-0.964,1
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,0.994,1,1,0.993,1,1,1,1,1,1,0,1,1,0.916,1,1,0.839,0.999,0.987,0.955,1,1,1,1,1,1,1,1,0.934
"1642.MS00527",0.708,1,-0.647,1,-0.641,1,-0.215,-0.069,0.119,-0.182,0.373,1,1,0.649,1,0.646,1,-0.795,-0.936,1,-0.162,1,0,-0.282,1,0.044,-0.88,1,1,1,1,0.231,1,-0.609,0.564,-0.788,1,0.349,-0.43,1
"1642.MS00331",0.967,1,0.583,1,-0.617,1,0.58,0.61,0.656,0.746,0.946,1,1,0.998,1,0.93,1,-0.28,-0.812,1,0.582,1,-0.282,0,1,0.656,-0.103,1,1,1,1,0.612,0.754,-0.267,-0.148,-0.998,1,0.6,0.899,1
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.996,1,1,1,1,1,1,1,1,1,0.68,0.195,1,0.908,1,1,1,1,0.998,1,0.916,1,1,0,1,1,-0.567,0.197,1,0.284,1,1,1,1,1,0.956,1,1,-0.862
"1642.MS00462",-0.798,1,-0.585,1,-0.894,1,-0.998,-0.996,-0.971,-0.996,-0.932,1,1,0.316,1,-0.943,1,-0.424,-0.422,1,-1,1,0.044,0.656,1,0,-0.426,1,1,1,1,-0.82,1,0.934,-0.083,0.313,1,-0.99,-0.99,1
