"","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00452","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","1642.MS00536","1642.MS00546","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00331","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00537","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00578","1642.MS00446","1642.MS00450","1642.MS00466","1642.MS00550","1642.MS00539","1642.MS00527","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","1642.MS00499","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00574",0,0.0686815368828,0.0271098872187,0.0205407218698,0.0937073127691,0.0223247592962,0.0832546871407,0.0842224367669,0.0204758175001,0.0906490301092,0.0278726909777,0.0186005173077,0.0209238509257,0.0969196799888,0.0815514553032,0.0254025193415,0.1020194320765,0.0606627089163,0.1082789256228,0.0215770068227,0.0192665809277,0.0821368191197,0.0199328664306,0.0223976618463,0.0210735672815,0.0212768922424,0.0195468112529,0.020672265315,0.0201734176996,0.0261065744253,0.0922031040585,0.0228200690746,0.0201948026245,0.0887576714849,0.1040141425644,0.0230089065735,0.0781312998243,0.0228750638661,0.0905033825337,0.1010833373147
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0686815368828,0,0.0749176461386,0.0677179988216,0.0402275923778,0.0607972444264,0.0317805453215,0.028347245167,0.0774888821594,0.0359194954542,0.0616348060891,0.0669205002698,0.0656502833129,0.0463617530882,0.0316389047287,0.0586717664315,0.0474722913922,0.073169387993,0.0516230392346,0.0690430276363,0.0718490792708,0.0293367156421,0.0681045465136,0.0838935227993,0.0684370653139,0.0759344391735,0.0702796396705,0.0768692897873,0.0748728637783,0.0743572092267,0.0406396471173,0.0757019533575,0.0671518772163,0.033270293187,0.0464199561435,0.0741325883057,0.0294819614614,0.0835352890874,0.0351752259029,0.0499727572554
"1642.MS00412",0.0271098872187,0.0749176461386,0,0.0252564207914,0.0972920768947,0.0250145776994,0.0863462802282,0.0896598036227,0.0292904867566,0.0931203295394,0.0335079004975,0.0263449417854,0.0294318075684,0.1023010653368,0.0865798832597,0.0226605636523,0.1063576535384,0.0408010498111,0.107266503061,0.0275586456726,0.0279050831378,0.0848365307372,0.0262100042177,0.0294457229311,0.0265556316118,0.0258604653369,0.0275886242766,0.0296910326332,0.0240864773958,0.0270448901751,0.0889899695142,0.029054433899,0.026163150925,0.0852229947128,0.1040746464119,0.0234578755011,0.083927061359,0.0260825463938,0.0890642396022,0.1009768576461
"1642.MS00452",0.0205407218698,0.0677179988216,0.0252564207914,0,0.0895375233851,0.0205638960802,0.0857219582731,0.0841360264718,0.0218232552784,0.0886403412036,0.0266744309305,0.0204491184412,0.0248306104998,0.0931500215128,0.0848820888906,0.0224367383445,0.0998014225945,0.043391115692,0.1012017794466,0.0202798428047,0.0217376927868,0.0817525881738,0.0216619786124,0.0256562664849,0.0230019634409,0.0211512352832,0.0203301120818,0.0243640965556,0.0226436007424,0.0252291348514,0.0835225486802,0.023869248789,0.020466949915,0.0825602098965,0.0923291251544,0.022882474506,0.0804961911749,0.0249943309874,0.0845463802392,0.0919076681945
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.0937073127691,0.0402275923778,0.0972920768947,0.0895375233851,0,0.0793551381714,0.0407880680892,0.03593073307,0.1003395689517,0.0223542183996,0.081269708719,0.0888610211361,0.089402283376,0.0166033616883,0.0448758308137,0.0754309982574,0.0241567699031,0.0965178778871,0.0135271687528,0.0935773238206,0.0899674789929,0.0361069193402,0.0941573539785,0.1007458569629,0.0930883891722,0.0990842477202,0.0952161868013,0.0978870224716,0.0961424901604,0.0945365324204,0.0373986623002,0.1040249770193,0.0907051934602,0.0186980102708,0.0239813371044,0.0900489263697,0.0362424411896,0.1032105094566,0.0228962564283,0.025023900277
"1642.MS00407",0.0223247592962,0.0607972444264,0.0250145776994,0.0205638960802,0.0793551381714,0,0.073274955741,0.0734434424498,0.0233220586924,0.0787746027579,0.0248523987458,0.020743909709,0.0229537271621,0.083073973035,0.0763033506149,0.0198601873056,0.0905047241272,0.0394223385576,0.0888830921119,0.0212067319661,0.0213100716534,0.0745461726933,0.0219455508748,0.0245230546906,0.0208250141649,0.0205871830709,0.0183372352048,0.0212565300253,0.022411582255,0.0260642852702,0.0726289077171,0.0262347276118,0.0205779258745,0.0702372449514,0.0808056801058,0.0202563074063,0.0691565978144,0.0247049688485,0.0755510498496,0.0796695822138
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0832546871407,0.0317805453215,0.0863462802282,0.0857219582731,0.0407880680892,0.073274955741,0,0.0269180447914,0.0931488535806,0.024058763903,0.0775810038422,0.0809275584421,0.0805055825359,0.0429060537047,0.0329896012549,0.0727168063682,0.050956286682,0.0830344766073,0.0499484838584,0.0869231493704,0.0865028679835,0.0271136081937,0.0828339170576,0.0981360561115,0.0820343062255,0.0913980444981,0.0933528346459,0.0934008626532,0.0876294605368,0.0899309987843,0.0437233195401,0.0953602894664,0.0815095798457,0.0302075455159,0.0576273030061,0.08787191405,0.0238904659936,0.0984678852304,0.0267990329508,0.0538772159626
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0842224367669,0.028347245167,0.0896598036227,0.0841360264718,0.03593073307,0.0734434424498,0.0269180447914,0,0.0941592808603,0.036418395678,0.0734923177229,0.0812641250182,0.081585209836,0.0456622328897,0.0314357152484,0.0712822625418,0.055840679418,0.0803533002059,0.0465626064275,0.0894731698095,0.0854856645749,0.0212832939113,0.0847691361858,0.0985575416701,0.0851507808759,0.0913320410967,0.0920568173101,0.0927753808676,0.0897248962617,0.0891772902976,0.0490673452684,0.092911461477,0.0820184258515,0.0288399588067,0.0513822008762,0.0876608148514,0.0206376052491,0.0983955855844,0.035714965292,0.0523199325381
"1642.MS00606",0.0204758175001,0.0774888821594,0.0292904867566,0.0218232552784,0.1003395689517,0.0233220586924,0.0931488535806,0.0941592808603,0,0.1003352615095,0.0295894788028,0.0199048251652,0.0232750929855,0.1027710802025,0.0906356444813,0.0277105449802,0.1107581805254,0.056063334615,0.1144254308376,0.0222404403875,0.0224135186129,0.0887840592098,0.0213568335458,0.0226646050357,0.0222100203993,0.0218556754005,0.0227446914275,0.0234174321416,0.0224559335018,0.026055798042,0.0964800124761,0.0226808328653,0.0198512095751,0.0917690492214,0.1113204167751,0.0241405799039,0.0868645600451,0.0225771837682,0.0945727538636,0.1031519790692
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",0.0906490301092,0.0359194954542,0.0931203295394,0.0886403412036,0.0223542183996,0.0787746027579,0.024058763903,0.036418395678,0.1003352615095,0,0.079479520885,0.0845154391163,0.0832691690407,0.0222540494373,0.0408163876315,0.0717489623772,0.0240006094258,0.0926125604859,0.0237620824007,0.0900275644291,0.0912378365605,0.0438869008499,0.0889820535308,0.1008378285422,0.0896136872891,0.0959421435743,0.0848539514765,0.0950066096754,0.0932372488363,0.0902612438031,0.0315318496441,0.1012075220028,0.0862783519221,0.0198405037169,0.0267024411254,0.0887408788064,0.030227705457,0.1028877897554,0.015873630148,0.0293324095973
