"","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00452","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","1642.MS00536","1642.MS00546","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00331","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00537","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00578","1642.MS00446","1642.MS00450","1642.MS00466","1642.MS00550","1642.MS00539","1642.MS00527","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","1642.MS00499","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00574",NA,1.79351930542634,-1.94686666677434,-1.85549444376793,0.461443428308133,-1.82728413048723,4.08486066890737,5.14702780040824,-1.17416978834334,0.853386120823338,-1.59052402050432,-1.86321598489769,-3.01930560174214,-0.358818438286317,3.38288016632487,-2.64477352728779,0.480568312384613,2.10669079810241,1.29202487354337,-1.34341669113131,-4.31602113417878,4.85763146557849,-1.58080475267769,-5.9162599205241,-1.4926469733334,-1.6147672231084,-2.43180715317508,-3.84233582983661,-3.85655642726757,-0.987876602381573,1.34213031939482,-1.83460074425256,-4.68223241651063,1.0985291099849,0.111042992831731,-2.39418879341419,2.90628929289629,-1.62299171401071,0.537972047306282,-0.96023501156018
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",1.79351930542634,NA,3.94769998496006,1.77613892833904,-5.52088656573581,-1.05161771987937,-6.86978225536437,-8.8475601851023,5.80129959859055,-4.03255030830453,-1.20810819016413,0.894584563997566,0.208983176312431,-4.89825450179152,-7.54832263906567,-1.60733268170512,-4.77435593737196,-0.469938272701666,-5.3224539717944,1.40893189229434,0.987794545803341,-9.18059394012855,2.89751597837644,1.45062703267332,2.1121296623851,4.80405288689438,0.292589922276081,3.89436199158317,3.35342927621153,0.438210760021768,-4.55153201050167,3.26262900537707,1.99254912530795,-6.64876481906918,-3.09729208257701,0.534282444583013,-8.80985171657101,3.86916033307621,-6.3994719963212,-4.75473286436083
"1642.MS00412",-1.94686666677434,3.94769998496006,NA,-2.89386437621309,1.07603477729438,-1.04612543091365,4.75611858294012,7.4519453465762,-1.28367531699517,1.29901327364461,-1.76160587179438,-1.92887190232232,-1.83985603388993,0.0358476282316619,5.20845737282382,-4.89095122242057,0.804421954195045,-0.0947506274968913,1.39769115977131,-1.44953912399446,-2.2885543888924,6.46328563619582,-2.86854865982515,-4.36685821883412,-1.30697752237031,-2.40365414065517,-2.54618128423057,-2.14864385673943,-4.4213994144809,-2.82552104841833,0.764896353256026,-2.41893060369796,-3.53809003001849,0.966816299846596,0.0995385125156392,-2.98328823675275,4.67470986995835,-3.16456863253788,0.533428575915845,-0.665263998577465
"1642.MS00452",-1.85549444376793,1.77613892833904,-2.89386437621309,NA,-0.38383289313558,-5.38397158498191,4.86009405956067,5.67906576167059,-3.10586427399569,0.45798619228545,-2.99985884365954,-2.20539776998683,-1.07289872299065,-0.99084827080758,4.69912044706717,-6.12553650688511,-0.0580937861861708,-1.13876789655384,0.210459325864258,-2.68067175593658,-3.20643631992518,4.66587756849089,-2.63520014293888,-4.61121539490087,-1.26831077896386,-4.35487665026007,-4.87761217793619,-3.46376916465121,-1.77725643188065,-3.10053750283046,0.178608418005421,-2.95687603291286,-4.29568396246377,0.233405403933306,-0.963149950003307,-4.6487682982397,3.53161627272034,-2.31409029589616,-0.49241823494322,-1.47612853557384
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.461443428308133,-5.52088656573581,1.07603477729438,-0.38383289313558,NA,-1.80515963954698,-5.24918005050409,-4.84443887044297,1.75438859204064,-7.32918380267083,-1.07776684486368,-0.200162537984156,-0.379598943921056,-7.50032037784228,-5.26701802038846,-1.79540208097594,-6.2762480847234,-0.68717644780739,-6.20582844859909,0.37504436675934,-0.571883787765589,-4.10522727929069,0.950295680955863,0.275573073113505,0.765983887943532,1.30490970845239,0.141152327027171,0.955917333891961,0.842533048081917,-0.397438512680051,-4.57403378582996,1.29014155456993,0.511954467589111,-4.95066839006485,-5.56151266456869,-0.476502604826241,-6.33868761238648,1.27691949595434,-5.59058495989551,-5.87862432042544
"1642.MS00407",-1.82728413048723,-1.05161771987937,-1.04612543091365,-5.38397158498191,-1.80515963954698,NA,0.353079636992351,1.18103826385409,-2.75217225553817,-0.621302431199032,-3.19742557710221,-2.05466541072455,-1.61794734599541,-2.06647980461559,1.70829051805421,-6.1861818611505,-1.15027925616714,-1.48624783717499,-1.57057443832889,-2.04554215369629,-2.13629842967194,1.64118065079483,-4.74962530097689,-4.98944857211088,-4.29649983616012,-4.31875029044985,-7.2195940602636,-5.27286173892592,-1.53077768795029,-1.36123174618278,-1.12146846514915,-2.37525500808869,-5.93525070155697,-1.67813873569125,-2.1469793699316,-6.358558109528,-0.397325917556517,-3.66686574152613,-1.66237506455633,-2.59046168681688
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",4.08486066890737,-6.86978225536437,4.75611858294012,4.86009405956067,-5.24918005050409,0.353079636992351,NA,-8.85908126046212,8.90822040603181,-4.94622896574225,1.02676118332507,2.3844559115171,1.37722671330624,-5.17388206301359,-6.21814443713203,-0.348385116624011,-5.78000949899916,-0.337721709296042,-5.77266771086214,4.19381376159152,2.18550633930092,-6.9459246555109,4.96296681196292,2.34231277071969,4.58192988620222,7.64855929077181,3.09725206620645,7.08494646811894,5.03141110802681,1.70819557816322,-4.43870366568147,6.81476573795727,4.87629765031181,-4.85399200053938,-4.67708590522257,1.5432272194236,-7.7938373744575,5.78936359395143,-4.50298927138009,-4.31971670819065
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",5.14702780040824,-8.8475601851023,7.4519453465762,5.67906576167059,-4.84443887044297,1.18103826385409,-8.85908126046212,NA,11.0043506246378,-3.8724822042048,1.69783951097487,2.7847076184688,2.00156672945729,-4.52352594748494,-5.56617736823209,-0.271843854067736,-4.60445871835202,-0.251049213988238,-5.76767622167098,5.71927135410543,2.99964037214791,-6.6461378809135,7.99410865657212,3.19814689266858,6.61084586909021,9.49084113499381,3.56410202143972,8.24889367045839,6.71393676407883,2.25419190680951,-4.53574816954361,7.88115739900193,6.00488743636643,-5.04559862950824,-6.62334849624749,1.85753745462564,-9.16992990945409,6.83109562371241,-6.07982656688723,-7.2061566866182
"1642.MS00606",-1.17416978834334,5.80129959859055,-1.28367531699517,-3.10586427399569,1.75438859204064,-2.75217225553817,8.90822040603181,11.0043506246378,NA,2.41953140368872,-0.920903688987461,-2.08121564151365,-1.11810962993954,0.273205045261387,7.18332917616383,-2.9910607482779,1.71601660996897,1.30571103128393,2.60260859595121,-1.34206177381662,-1.60549334646414,9.05382094895015,-3.53496457370184,-5.09259029547914,-3.12201235034453,-3.63485437911814,-2.88644793335912,-2.36756245338765,-1.3752569248733,-2.4159102299654,1.84979427851111,-2.02850170604103,-5.38584115003439,2.10486209088203,0.730382502405859,-3.89853960654898,6.70615617704717,-4.00819054428381,1.05149557578658,-0.804826917207776
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",0.853386120823338,-4.03255030830453,1.29901327364461,0.45798619228545,-7.32918380267083,-0.621302431199032,-4.94622896574225,-3.8724822042048,2.41953140368872,NA,-0.223588909752387,0.136088791956001,-0.279339711416937,-6.09551133782793,-5.33966627670866,-1.40038192273675,-7.73440424245833,-0.340911486240355,-7.63776727039689,0.684364188521709,0.461838944794599,-2.52325503720612,0.920940533090353,0.834304360946292,1.3096842633672,1.61660564808759,-0.196448992241698,1.34948364650399,1.29099786263484,0.0168874263175904,-4.60341232909188,1.93088474965537,0.608526118728076,-8.52363875341603,-7.17295267208205,0.040974037952999,-5.20839319648844,1.88848702868851,-6.58967473894374,-6.93168541648179
