"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0,0.9258,0.9224,0.7202,0.9166,0.626,0.7244,0.9138,0.94,0.9138,0.7574,0.9194,0.9104,0.9268,0.7726,0.9182,0.9156,0.7712,0.923,0.9364,0.923,0.9254,0.7518,0.8244,0.918,0.7518,0.9256,0.9154,0.9374,0.9476,0.9102,0.7388,0.9192,0.9444,0.7052,0.9202,0.7744,0.7762,0.918,0.6844
"1642.MS00389",0.9258,0,0.5872,0.9668,0.6404,0.9494,0.9738,0.601,0.603,0.5188,0.9276,0.6502,0.626,0.6252,0.9126,0.5268,0.6186,0.9156,0.5466,0.5016,0.6232,0.5488,0.9608,0.9174,0.5606,0.9586,0.6292,0.6332,0.4792,0.9906,0.5718,0.921,0.4574,0.5642,0.9168,0.5626,0.917,0.9242,0.549,0.9198
"1642.MS00515",0.9224,0.5872,0,0.963,0.4792,0.9426,0.9702,0.493,0.6964,0.5112,0.9128,0.5096,0.5212,0.5184,0.902,0.57,0.4732,0.9028,0.4912,0.6518,0.5136,0.4626,0.9604,0.9042,0.4914,0.9584,0.5214,0.5252,0.517,0.9918,0.5244,0.9058,0.5436,0.7338,0.9046,0.55,0.9132,0.9106,0.5466,0.9094
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.7202,0.9668,0.963,0,0.9548,0.61,0.776,0.9548,0.9714,0.9614,0.931,0.94,0.958,0.9712,0.9408,0.9546,0.9632,0.9302,0.9568,0.9684,0.9674,0.9666,0.7934,0.94,0.962,0.8314,0.9656,0.9674,0.9662,0.9546,0.9588,0.9398,0.9694,0.9728,0.9302,0.9626,0.9392,0.9268,0.9628,0.9364
"1642.MS00541",0.9166,0.6404,0.4792,0.9548,0,0.9342,0.9608,0.513,0.7232,0.5354,0.9164,0.4882,0.5714,0.5448,0.909,0.5984,0.5184,0.902,0.5296,0.6608,0.5772,0.5228,0.953,0.905,0.5318,0.9532,0.5478,0.5632,0.5466,0.9892,0.572,0.9164,0.5866,0.7538,0.9012,0.5808,0.913,0.9122,0.5862,0.909
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",0.626,0.9494,0.9426,0.61,0.9342,0,0.5728,0.934,0.9536,0.936,0.8622,0.943,0.9316,0.9488,0.883,0.9328,0.9394,0.8532,0.937,0.9522,0.9482,0.9458,0.609,0.8856,0.9434,0.637,0.9466,0.9428,0.9504,0.9708,0.9344,0.8714,0.9466,0.9574,0.8776,0.938,0.8792,0.8508,0.9406,0.8768
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.7244,0.9738,0.9702,0.776,0.9608,0.5728,0,0.9626,0.9736,0.9678,0.9048,0.9648,0.964,0.9734,0.9152,0.965,0.9672,0.9096,0.969,0.9704,0.9714,0.9738,0.5544,0.939,0.9684,0.5962,0.971,0.9696,0.9752,0.9702,0.9672,0.912,0.9718,0.978,0.9122,0.9706,0.9156,0.9192,0.9684,0.8996
"1642.MS00539",0.9138,0.601,0.493,0.9548,0.513,0.934,0.9626,0,0.7222,0.5074,0.9058,0.5158,0.4836,0.5216,0.8908,0.5634,0.4688,0.8968,0.5286,0.645,0.4996,0.4836,0.9502,0.9052,0.5176,0.949,0.4956,0.5114,0.5576,0.991,0.4926,0.902,0.5454,0.7444,0.89,0.5278,0.9028,0.8996,0.5278,0.8964
"1642.MS00350",0.94,0.603,0.6964,0.9714,0.7232,0.9536,0.9736,0.7222,0,0.6274,0.9336,0.7346,0.747,0.7372,0.9328,0.6892,0.728,0.9256,0.6752,0.6,0.7478,0.6764,0.9684,0.9266,0.6654,0.9706,0.7566,0.7514,0.6812,0.9928,0.713,0.9344,0.6472,0.5196,0.9306,0.6128,0.9374,0.933,0.6338,0.9362
"1642.MS00421",0.9138,0.5188,0.5112,0.9614,0.5354,0.936,0.9678,0.5074,0.6274,0,0.8972,0.5628,0.5536,0.5538,0.893,0.517,0.5266,0.8882,0.527,0.573,0.5794,0.4844,0.9538,0.8944,0.5104,0.9528,0.5796,0.5654,0.552,0.9884,0.4938,0.899,0.5058,0.6468,0.8814,0.5218,0.903,0.8994,0.4986,0.896
