"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0,1,1,-0.974,1,-0.998,-0.977,1,1,1,0.994,1,1,1,0.994,1,1,0.996,1,1,1,1,-0.689,1,1,-0.704,1,1,1,0.994,1,0.94,1,1,0.656,1,0.998,1,1,0.209
"1642.MS00389",1,0,-0.337,1,0.544,1,1,-0.0659999999999999,-0.671,-0.982,1,0.752,0.452,0.309,1,-0.98,0.266,1,-0.904,-1,0.365,-0.81,1,1,-0.721,1,0.483,0.576,-1,1,-0.526,1,-1,-0.972,1,-0.591,1,1,-0.812,1
"1642.MS00515",1,-0.337,0,1,-1,1,1,-0.992,0.841,-0.939,1,-0.964,-0.85,-0.918,1,-0.432,-1,1,-0.998,0.633,-0.947,-1,1,1,-0.998,1,-0.902,-0.865,-0.976,1,-0.873,1,-0.764,0.992,1,-0.475,1,1,-0.669,1
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",-0.974,1,1,0,1,-1,-0.916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.816,1,1,-0.483,1,1,1,0.925,1,1,1,1,1,1,1,1,1,1
"1642.MS00541",1,0.544,-1,1,0,1,1,-0.954,0.982,-0.793,1,-0.998,-0.271,-0.717,1,-0.118,-0.935,1,-0.932,0.739,-0.255,-0.907,1,1,-0.877,1,-0.685,-0.441,-0.815,1,-0.33,1,-0.164,0.999,1,-0.109,1,1,-0.104,1
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",-0.998,1,1,-1,1,0,-1,1,1,1,0.992,1,1,1,1,1,1,0.967,1,1,1,1,-0.994,1,1,-0.97,1,1,1,1,1,0.994,1,1,1,1,1,0.965,1,1
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",-0.977,1,1,-0.916,1,-1,0,1,1,1,0.828,1,1,1,0.95,1,1,0.938,1,1,1,1,-1,0.998,1,-1,1,1,1,0.988,1,0.932,1,1,0.954,1,0.96,0.977,1,0.826
"1642.MS00539",1,-0.0659999999999999,-0.992,1,-0.954,1,1,0,0.988,-0.936,1,-0.927,-0.99,-0.843,1,-0.504,-1,1,-0.865,0.577,-0.978,-0.994,1,1,-0.922,1,-0.976,-0.927,-0.656,1,-0.985,1,-0.626,0.996,1,-0.68,1,1,-0.78,1
"1642.MS00350",1,-0.671,0.841,1,0.982,1,1,0.988,0,-0.27,1,0.992,1,0.997,1,0.73,0.998,1,0.525,-0.7,1,0.616,1,1,0.399,1,1,1,0.604,1,0.955,1,0.032,-1,1,-0.496,1,1,-0.206,1
"1642.MS00421",1,-0.982,-0.939,1,-0.793,1,1,-0.936,-0.27,0,1,-0.301,-0.3,-0.36,1,-0.961,-0.742,1,-0.863,-0.61,0.091,-0.994,1,1,-0.961,1,0.026,-0.171,-0.7,1,-0.986,1,-0.978,-0.118,1,-0.749,1,1,-0.982,1
