"","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00350","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00412","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","1642.MS00368","1642.MS00415","1642.MS00523","1642.MS00617","1642.MS00502","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1001.SKM7","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00539","1642.MS00497","1642.MS00612","1642.MS00601","1642.MS00421","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00515","1642.MS00525","1642.MS00438","1642.MS00477"
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0,0.085625526674,0.0402371470921,0.0654616974379,0.1020796277636,0.0914516765307,0.08236675138,0.0302938482537,0.0317161159673,0.0344921380057,0.0954814537162,0.0840948287979,0.0853283467764,0.1056271273501,0.0922951271507,0.0909612145413,0.031572975424,0.1006784290317,0.0313131815433,0.0915271935272,0.1190466564006,0.0343704388918,0.0295180311141,0.0930602156713,0.0325294440135,0.067333020517,0.0789725657544,0.0934022933488,0.0940586404514,0.0955612453149,0.0937726210007,0.0782035408636,0.0616614912226,0.0784764099793,0.0735221623789,0.0795872005003,0.0952926833098,0.0866994481537,0.088577739274,0.0908278906179
"1642.MS00350",0.085625526674,0,0.078153777901,0.0822790985901,0.0395159546418,0.0294693340368,0.0336057882353,0.0847759487506,0.0767414405862,0.0853987376532,0.038637141821,0.0176966442219,0.0282120481921,0.0472003396575,0.0446724223795,0.0420901471491,0.0800925288888,0.0397527863682,0.0850168382523,0.039315407991,0.1385750106647,0.0806062707861,0.08380407865,0.0253863891034,0.0838478001392,0.0894408613209,0.0258517945613,0.0377865506022,0.0345392274872,0.0436288285979,0.0448015210109,0.029135439166,0.0776981141313,0.0935089517091,0.0902674023386,0.037990704151,0.0370412947092,0.0400485038097,0.0320014761091,0.0375274464579
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0.0402371470921,0.078153777901,0,0.0315889765726,0.0995236385057,0.0920883279739,0.0845066955417,0.0377113494734,0.0300593458027,0.03743520651,0.0978699276579,0.0782273599874,0.0872649788346,0.105001373361,0.0960099183232,0.0851157137927,0.02754797675,0.0951791707097,0.0324593260226,0.0935819385049,0.0860141819278,0.0360720084064,0.0294610078043,0.0844642046447,0.046539054341,0.0301395097356,0.074553118473,0.0937338461895,0.0940656327744,0.0979491543956,0.0951179555141,0.0786696055138,0.0264010626313,0.0339775503691,0.0319320972793,0.0777387692804,0.0968405499595,0.0921220554433,0.0827848786995,0.0847733674971
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.0654616974379,0.0822790985901,0.0315889765726,0,0.1023745936676,0.0999403310956,0.095178850493,0.0677036443948,0.0528095666545,0.0589541275294,0.1030782753803,0.0792076115715,0.0934972897901,0.1090751671945,0.1035635895141,0.0875862245609,0.0558584072199,0.0996671737339,0.0538270655378,0.1050232808736,0.1024815883302,0.0588083866434,0.0529509043921,0.0856842197881,0.0724902297232,0.0268150528116,0.0834215532558,0.0983371478984,0.1056522425214,0.104263503991,0.1027844444401,0.0861496517361,0.0190423136774,0.0202809163728,0.0268087822981,0.0777101699081,0.1103933038829,0.0984643651713,0.0916332127348,0.0894208786609
"1642.MS00531",0.1020796277636,0.0395159546418,0.0995236385057,0.1023745936676,0,0.0276542416349,0.0238959084777,0.0988253032088,0.0964838998594,0.0974202870105,0.0223456144649,0.0384513211317,0.0253316827621,0.0235229110512,0.0243859595604,0.0204265783043,0.0961955218951,0.0205164952806,0.098197623542,0.0268280870323,0.1670100698178,0.095896356133,0.0987401105995,0.0296122151335,0.1025130783296,0.1166859267735,0.0264666092964,0.0214422589094,0.0209318036627,0.0241108928691,0.0239400594043,0.0223164142872,0.1031334095044,0.1297641152076,0.1187716657255,0.0254143863256,0.0208550761533,0.0213788716525,0.0226959485285,0.0206755875152
"1642.MS00412",0.0914516765307,0.0294693340368,0.0920883279739,0.0999403310956,0.0276542416349,0,0.0236326251225,0.0864779822262,0.0871916907295,0.0891296653437,0.027411908131,0.0278723182725,0.0199637081654,0.0280107184875,0.0289727975451,0.0291085946142,0.0850513920519,0.0295007798317,0.089525254413,0.0268563053555,0.160829938475,0.0843254212474,0.0877922004458,0.0275813678312,0.0893827188039,0.1075010021287,0.0224031230512,0.0243332168104,0.0242974811387,0.0292147070328,0.0283283520778,0.0224183653669,0.0948898521688,0.1222403789641,0.1118336666526,0.0314101970352,0.0265653674007,0.0278943253696,0.0225914218005,0.0257841181902
"1642.MS00410",0.08236675138,0.0336057882353,0.0845066955417,0.095178850493,0.0238959084777,0.0236326251225,0,0.07736137881,0.0797681088043,0.0772650881877,0.021278334441,0.0298877260342,0.0197507997799,0.0257079843163,0.022754521807,0.0235879610529,0.0769345605667,0.0258193951966,0.0800489992208,0.0230566832664,0.1570073195509,0.0765682336513,0.0795136578502,0.0259777411986,0.081224717842,0.1028880900636,0.0196540260222,0.0219047192926,0.0222367446412,0.022878213652,0.0237335520399,0.0192472001379,0.0884344262462,0.1150501857333,0.1035746257669,0.0243076239837,0.0223423828024,0.0216376289766,0.0186301372342,0.0219369562697
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0302938482537,0.0847759487506,0.0377113494734,0.0677036443948,0.0988253032088,0.0864779822262,0.07736137881,0,0.0296717355173,0.0290445116952,0.0926630101923,0.0794929682309,0.0810382443571,0.0986786979818,0.0900082098954,0.081397647456,0.0256883669809,0.0939907440261,0.031384523765,0.0854035348978,0.1149777058723,0.0269404567389,0.0233974603145,0.0857593218267,0.0336656155354,0.0535131033873,0.0707240918508,0.0872105667635,0.087903911995,0.0928860453506,0.0891091656212,0.0766414837061,0.0593747142844,0.0687554636599,0.0581890512801,0.073103287849,0.0885190616149,0.082581237145,0.0782540432367,0.0862396997889
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0317161159673,0.0767414405862,0.0300593458027,0.0528095666545,0.0964838998594,0.0871916907295,0.0797681088043,0.0296717355173,0,0.0240000549764,0.0911990599832,0.0762484329853,0.0827582175328,0.1033998275751,0.0917691101605,0.0845267581684,0.0183966516297,0.0927001839173,0.0273723786418,0.0868391860504,0.0980800260972,0.0259799632797,0.0240078358999,0.0843800911442,0.0319884056382,0.0520138638984,0.0722150252246,0.0882502407519,0.0880433165213,0.0933516575916,0.0895515645232,0.0731788573352,0.0483055564839,0.0608966939733,0.0545554203142,0.0744033995114,0.0899279144476,0.083626165656,0.0810734188053,0.084353972079
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0344921380057,0.0853987376532,0.03743520651,0.0589541275294,0.0974202870105,0.0891296653437,0.0772650881877,0.0290445116952,0.0240000549764,0,0.0922449068687,0.0839940894748,0.0849601148596,0.1020069024031,0.0918356465025,0.0860275754213,0.0286337184704,0.0951203009789,0.0214915093922,0.0853809405421,0.123498385633,0.0244093764963,0.021241571173,0.0918045264706,0.0260821440469,0.0487736525686,0.0769404495812,0.0893707868093,0.0891006422253,0.0929522400639,0.0894544835086,0.0750781939917,0.0431910392513,0.0678529270347,0.0586389592024,0.0748625640621,0.0921414411679,0.0820208384397,0.0840276685263,0.0876876321881
