"","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00350","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00412","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","1642.MS00368","1642.MS00415","1642.MS00523","1642.MS00617","1642.MS00502","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1001.SKM7","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00539","1642.MS00497","1642.MS00612","1642.MS00601","1642.MS00421","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00515","1642.MS00525","1642.MS00438","1642.MS00477"
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",NA,-0.030967028380378,-4.74794547173463,-3.63453578529077,8.15057369924729,6.24652628737992,3.78149225628046,-2.16656167860867,-5.41877963857296,-5.19267955635039,8.42957202603263,-0.345535540009564,2.95960573673194,9.59855166736572,6.28777289284771,1.19659674870313,-4.65662199801289,7.84552276199906,-6.49543659200461,7.00047928060542,-0.846894833894502,-5.14192556446247,-5.87171831237002,2.37861493076673,-5.44967920597188,-3.52127009908008,-0.0153742630180954,7.1990610702775,4.10321990268417,6.97628900954927,6.95091153282592,1.45481523575421,-3.60662475179846,-2.96111771654657,-2.67579764319519,0.652627854639265,6.39021921455806,3.44467083607567,1.75339560550122,2.44940843025474
"1642.MS00350",-0.030967028380378,NA,-1.71673683614023,-2.84489677968114,-2.6279727357919,-1.48627025523335,-3.15517478291219,0.656882410378375,-1.1406238904064,0.385936268912852,-2.34702055140463,-5.15199220853274,-2.08771601108839,-0.753740180013872,-0.800678819777908,-0.683094619489159,-0.642955912970176,-2.16900540762427,0.323914304475154,-3.30861407839353,-0.280618463290511,-0.425824664555062,-0.204555004466407,-4.14431925566756,-0.234177286378304,-2.47104235868236,-3.29064467826864,-2.77697055098718,-3.42547709922812,-2.06702665178196,-1.41813580641829,-3.1081109274299,-3.16291365260272,-2.53790803391364,-1.83274755575484,-2.75667368775132,-2.92274376909771,-1.95768949872463,-2.86016846211797,-2.68075664519725
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",-4.74794547173463,-1.71673683614023,NA,-5.59935309884728,4.0803214848321,3.18146994652535,1.4104997797002,-4.96942120892097,-4.87585638187757,-3.02854061246592,5.97767149004967,-1.33276543717416,1.13087871028154,6.20333812125765,4.65124148518012,-0.10256187834401,-4.87079503677442,3.27920399973422,-6.48372769838397,3.58427546708627,-2.54581714475362,-5.08886572671435,-6.52955470795303,-0.138072052102392,-4.40856505269723,-6.50975394382095,-1.10112510839889,3.29129725490115,1.9618203085854,4.22718243399712,3.79623296088863,-0.232610122179646,-7.53354515636735,-5.92387756000219,-6.2751402547369,-0.449386651391863,3.4179451025888,1.74615795435933,0.0859347068997982,0.245384555819243
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",-3.63453578529077,-2.84489677968114,-5.59935309884728,NA,-0.792931874312669,-1.05711344636949,-1.71119169327997,-3.49854572065052,-6.28544955681312,-3.20533040588012,-0.317410055859266,-2.56228551128441,-1.96898025433509,-0.499151826649491,-0.866838477638749,-1.96227625847592,-4.45146677447352,-1.15876045606247,-3.75547618624043,-0.793742850732765,-2.24662025967506,-3.66455680543767,-5.13617827336103,-2.60868593684144,-2.7338166590938,-4.6476681753152,-2.18373195882888,-1.22898063306427,-0.73086755014682,-0.879313362048329,-1.26769452115719,-2.29852836036185,-3.41698824130207,-5.78253015301778,-4.00911751933912,-2.43866968565924,-0.453636110206581,-1.36402530861979,-1.65821282210525,-1.95549376428911
"1642.MS00531",8.15057369924729,-2.6279727357919,4.0803214848321,-0.792931874312669,NA,-4.28877560836682,-3.93881960636287,6.46596508050114,8.21047627108659,6.78219247847902,-4.10295645511456,-2.73886216301432,-4.8737355984367,-3.91098785075642,-3.49064161319698,-5.70883475523546,7.27096866240859,-5.10694403710181,7.37811957200791,-3.49836069740259,2.02120960681572,6.26443531407212,7.67169337608364,-4.46401565986947,6.39132938166624,1.54108425695544,-4.34185266982918,-5.26165883736032,-5.76749948910212,-3.63908055350322,-5.24597364086692,-5.90566445041126,1.06015573419422,1.34980465660472,2.19050809773268,-3.801856455341,-5.19508584605347,-4.2880961316571,-5.58526929072842,-4.74343154484923
"1642.MS00412",6.24652628737992,-1.48627025523335,3.18146994652535,-1.05711344636949,-4.28877560836682,NA,-4.2524295289985,4.4198471776277,6.00643227672124,6.81622238747889,-2.92747388306449,-2.44851868500389,-4.67758758262551,-2.4584318640653,-2.23720267373822,-1.77363773355845,5.16242204146849,-2.76501835710497,6.0521495274412,-3.95942563078229,1.89601710303082,4.04572875620002,5.51644951358137,-2.86081770309694,4.54159434689248,0.826315956833276,-4.46349760488589,-4.95670250387746,-4.93803157485816,-2.07652083678452,-4.12795869860147,-4.61829656014901,0.0542541031079896,0.727325282113237,1.91837856650129,-1.08356619723497,-3.56335990663957,-1.55943706629129,-4.05193049598606,-4.56004621259168
"1642.MS00410",3.78149225628046,-3.15517478291219,1.4104997797002,-1.71119169327997,-3.93881960636287,-4.2524295289985,NA,1.75187645727539,4.02073916650707,1.90612603458032,-4.07398057997936,-4.22210158304378,-5.29307378201298,-2.60214535189338,-2.29110440788403,-5.19070733978334,2.65972332003351,-3.97924741528698,3.75372447581201,-4.64000366258296,1.56755326698779,1.94702288884599,2.86087452916933,-4.88430628681435,2.96380256140778,0.203303069287044,-5.83271566075491,-4.11850333383347,-6.11928373233667,-2.71485501590251,-4.74375654890288,-5.57136861316582,-1.08903304549389,-0.111907287550272,0.77064897972028,-3.35264311753166,-3.86869833437099,-3.76218310484767,-6.06256325554538,-5.00683563497346
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",-2.16656167860867,0.656882410378375,-4.96942120892097,-3.49854572065052,6.46596508050114,4.4198471776277,1.75187645727539,NA,-6.51883303622683,-7.29079400051474,6.93683460138974,0.464601623713248,1.51048155632008,6.7533367281332,5.16743510036186,2.92583719689466,-7.17890665557754,5.8274324387691,-5.57520872164939,4.59649967694364,-1.25863862171901,-8.58591330669297,-7.60501280938037,2.0114285613363,-4.29214757526464,-4.90830596048625,-0.190694842758824,4.6417335879238,4.55114051991168,4.98340644154035,4.95496816405378,2.03644464159376,-3.91338216083215,-3.64976505089967,-4.33162368443217,1.78996335885136,4.69921743668339,3.81493746920046,2.63752302538183,3.63485533966202
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.41877963857296,-1.1406238904064,-4.87585638187757,-6.28544955681312,8.21047627108659,6.00643227672124,4.02073916650707,-6.51883303622683,NA,-7.08193122481806,8.07015308743806,-0.897147486494881,3.15678746100598,11.4373806516958,8.60894342093532,0.909109455586492,-8.53300347646347,6.90128036792969,-6.78037674742161,6.37064031893338,-1.74196951135454,-8.25056220435374,-9.0727737918786,1.26988006722148,-6.22343515572176,-5.18713288391674,-0.633739774414652,7.03328554254582,3.45286524185037,7.58843660131409,6.79329704630484,0.816627511044965,-5.54469471777868,-4.36768864719517,-5.03000411507427,0.340647752329632,6.00955349606459,3.68787835387782,0.975083118739929,1.82646814165259
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.19267955635039,0.385936268912852,-3.02854061246592,-3.20533040588012,6.78219247847902,6.81622238747889,1.90612603458032,-7.29079400051474,-7.08193122481806,NA,7.5876568649987,-0.173887791495702,3.60088552148486,10.0101166049349,7.90777773032648,0.771791692601656,-5.52751133757154,6.35706066701181,-6.0817586498186,5.97215888916012,-0.638480329883214,-7.46537761659552,-9.86557717828084,2.04703800825797,-5.57853937590569,-5.63605257007407,-0.308292144635888,6.11746546830021,3.35604583600719,7.06077602348213,6.56261542105898,0.678132529077773,-5.19821821363499,-3.94530950337565,-3.72723487194344,0.336038400394793,5.49020963520875,2.218687363011,1.15993940361174,1.80283535741773
"1642.MS00602",8.42957202603263,-2.34702055140463,5.97767149004967,-0.317410055859266,-4.10295645511456,-2.92747388306449,-4.07398057997936,6.93683460138974,8.07015308743806,7.5876568649987,NA,-1.77208138076027,-3.47108554120833,-2.27356839513538,-3.27443643991119,-3.93671751754961,7.51247176865046,-4.09056186652789,8.42848958108974,-2.9222113762665,1.99253489461091,6.57445994935868,7.56478185258665,-3.40108783258022,6.3646063925427,1.67479925069167,-2.98900126918987,-4.04216757673152,-4.84470223805595,-2.05583998145726,-4.56767050795524,-3.54666123151814,1.12542248454401,1.33662628483602,2.36774096558653,-3.01441991086211,-4.49146940251673,-2.50700777712351,-3.11478554284861,-3.70435724005935
"1642.MS00368",-0.345535540009564,-5.15199220853274,-1.33276543717416,-2.56228551128441,-2.73886216301432,-2.44851868500389,-4.22210158304378,0.464601623713248,-0.897147486494881,-0.173887791495702,-1.77208138076027,NA,-4.53062638690337,-1.67102373002214,-1.1087802495074,-0.918926933484333,-0.697788099145829,-2.57146219137427,-0.170001366563572,-3.13731301248001,0.630807737846026,-0.455323752404402,-0.393521202986406,-3.8506368181368,-0.0754843691174681,-1.85558492297592,-3.15122192749701,-2.4773870553682,-2.64944667890185,-2.0040317874219,-1.49380999679904,-2.51858487724207,-2.29537237572446,-2.27295677745704,-1.50166427173896,-2.74233559330208,-2.85189381161285,-2.58641329955544,-2.87584142946295,-2.49089583431272
