"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","1642.MS00622","1642.MS00389","1642.MS00569","1642.MS00403","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00459","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00566","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00526","1642.MS00467","1642.MS00527","1642.MS00465","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00614","1642.MS00332","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00398","1642.MS00447","1642.MS00507","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,0.9468,0.9364,0.942,0.9266,0.9288,0.9214,0.95,0.9384,0.7772,0.4992,0.7598,0.7764,0.9358,0.8312,0.9346,0.939,0.9356,0.9552,0.9246,0.9426,0.9126,0.9072,0.9338,0.937,0.9432,0.9532,0.8342,0.9448,0.7826,0.9338,0.804,0.945,0.9308,0.9168,0.9512,0.9498,0.9552,0.943,0.8328
"1642.MS00489",0.9468,0,0.5776,0.6158,0.5596,0.5706,0.9276,0.7058,0.5526,0.9482,0.917,0.9526,0.964,0.5694,0.9642,0.5386,0.5076,0.4602,0.5512,0.5406,0.5792,0.9192,0.9258,0.5298,0.5726,0.5864,0.7422,0.944,0.5358,0.9576,0.5494,0.9546,0.554,0.5418,0.9288,0.7378,0.6804,0.547,0.5976,0.9356
"1642.MS00622",0.9364,0.5776,0,0.6266,0.4538,0.504,0.8872,0.6956,0.4688,0.939,0.891,0.9438,0.9552,0.6514,0.9548,0.5696,0.494,0.5928,0.589,0.6204,0.4732,0.8752,0.8894,0.6136,0.557,0.4812,0.7934,0.921,0.5852,0.9508,0.4804,0.9436,0.586,0.5366,0.888,0.7418,0.7446,0.5928,0.6618,0.908
"1642.MS00389",0.942,0.6158,0.6266,0,0.594,0.575,0.9306,0.7608,0.6036,0.947,0.9176,0.9516,0.9586,0.5994,0.962,0.6434,0.5972,0.5934,0.5308,0.6286,0.6318,0.922,0.9272,0.6226,0.5664,0.6558,0.5262,0.9396,0.6066,0.9594,0.6336,0.9534,0.4574,0.4964,0.9268,0.65,0.527,0.5898,0.516,0.938
"1642.MS00569",0.9266,0.5596,0.4538,0.594,0,0.5044,0.9016,0.6804,0.4822,0.9394,0.891,0.9416,0.949,0.5964,0.9516,0.5456,0.4674,0.5506,0.5672,0.5842,0.4946,0.8876,0.9012,0.5746,0.5424,0.512,0.756,0.924,0.5688,0.9478,0.492,0.9418,0.5408,0.5134,0.905,0.7288,0.7122,0.5572,0.6116,0.916
"1642.MS00403",0.9288,0.5706,0.504,0.575,0.5044,0,0.9004,0.703,0.4826,0.93,0.8852,0.9402,0.9484,0.6446,0.9496,0.5768,0.5052,0.5926,0.5842,0.5928,0.5408,0.8898,0.9074,0.578,0.583,0.5672,0.7112,0.9146,0.5446,0.9386,0.5256,0.9378,0.549,0.5472,0.902,0.6574,0.6786,0.5604,0.6614,0.9092
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9214,0.9276,0.8872,0.9306,0.9016,0.9004,0,0.9458,0.9052,0.8694,0.8858,0.8882,0.9042,0.936,0.867,0.922,0.9124,0.9328,0.9354,0.9236,0.9024,0.6044,0.599,0.9226,0.915,0.9178,0.9622,0.7624,0.9394,0.9276,0.9116,0.8794,0.9222,0.9118,0.5806,0.944,0.9544,0.94,0.9444,0.6968
"1642.MS00594",0.95,0.7058,0.6956,0.7608,0.6804,0.703,0.9458,0,0.689,0.9572,0.9384,0.964,0.9692,0.7076,0.972,0.701,0.6786,0.7042,0.7234,0.7206,0.636,0.9354,0.9438,0.7072,0.7246,0.6718,0.8344,0.9482,0.7292,0.9706,0.6442,0.9598,0.7346,0.7038,0.9432,0.8166,0.7982,0.7294,0.7384,0.9524
"1642.MS00459",0.9384,0.5526,0.4688,0.6036,0.4822,0.4826,0.9052,0.689,0,0.9474,0.9014,0.951,0.9612,0.6406,0.9564,0.5496,0.4946,0.5716,0.5704,0.6108,0.5008,0.8962,0.9084,0.5882,0.5634,0.5314,0.753,0.9296,0.5274,0.9496,0.47,0.9486,0.5668,0.5324,0.9052,0.711,0.7286,0.5624,0.653,0.9216
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",0.7772,0.9482,0.939,0.947,0.9394,0.93,0.8694,0.9572,0.9474,0,0.764,0.5184,0.6264,0.9406,0.6904,0.9398,0.9374,0.9452,0.954,0.9332,0.938,0.8474,0.8312,0.9378,0.9354,0.9434,0.9588,0.5372,0.9526,0.6814,0.9416,0.5014,0.9434,0.938,0.8438,0.9544,0.9556,0.9522,0.95,0.6274
