"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","1642.MS00622","1642.MS00389","1642.MS00569","1642.MS00403","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00459","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00566","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00526","1642.MS00467","1642.MS00527","1642.MS00465","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00614","1642.MS00332","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00398","1642.MS00447","1642.MS00507","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,1,1,1,1,1,1,1,1,-0.336,-1,-0.63,-0.699,1,0.446,1,1,1,1,1,1,1,1,1,1,1,1,0.758,1,-0.677,1,-0.082,1,1,1,1,1,1,1,0.79
"1642.MS00489",1,0,0.054,0.319,-0.271,-0.051,1,0.912,-0.452,1,1,1,1,-0.399,1,-0.593,-0.926,-1,-0.485,-0.664,0.122,1,1,-0.732,-0.077,0.157,1,1,-0.65,1,-0.404,1,-0.388,-0.633,1,1,0.95,-0.426,-0.153,1
"1642.MS00622",1,0.054,0,0.748,-1,-0.794,1,0.923,-0.99,1,1,1,1,0.959,1,0.141,-0.868,0.351,0.362,0.83,-0.98,1,1,0.826,0.0169999999999999,-0.973,1,1,0.437,1,-0.952,1,0.401,-0.443,1,1,1,0.616,0.924,1
"1642.MS00389",1,0.319,0.748,0,0.135,-0.15,1,1,0.314,1,1,1,1,-0.114,1,0.858,0.194,0,-0.836,0.556,0.79,1,1,0.568,-0.306,0.924,-0.984,1,0.285,1,0.823,1,-1,-0.99,1,0.442,-0.944,0.0740000000000001,-0.966,1
"1642.MS00569",1,-0.271,-1,0.135,0,-0.79,1,0.764,-0.99,1,1,1,1,0.0600000000000001,1,-0.311,-0.988,-0.435,-0.087,0.12,-0.919,1,1,0.108,-0.325,-0.803,1,1,0.0649999999999999,1,-0.939,1,-0.413,-0.785,1,1,1,-0.021,0.225,1
"1642.MS00403",1,-0.051,-0.794,-0.15,-0.79,0,1,0.94,-0.953,1,1,1,1,0.89,1,0.373,-0.77,0.328,0.314,0.436,-0.228,1,1,0.273,0.452,0.13,0.966,1,-0.266,1,-0.471,1,-0.272,-0.283,1,0.747,0.99,0.1,0.948,1
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0369999999999999,-0.429,1,1,1,1,0.945,1,1,1,1,1,1,-0.566,1,1,1,1,0.581
"1642.MS00594",1,0.912,0.923,1,0.764,0.94,1,0,0.818,1,1,1,1,0.922,1,0.907,0.75,0.943,0.988,0.984,-0.074,1,1,0.936,0.988,0.592,1,1,0.998,1,0.117,1,0.998,0.936,1,1,1,0.996,0.994,1
"1642.MS00459",1,-0.452,-0.99,0.314,-0.99,-0.953,1,0.818,0,1,1,1,1,0.833,1,-0.28,-0.908,-0.129,-0.00700000000000001,0.638,-0.864,1,1,0.373,0.01,-0.611,1,1,-0.636,1,-0.994,1,-0.03,-0.601,1,0.996,1,-0.034,0.855,1
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",-0.336,1,1,1,1,1,1,1,1,0,0.299,-1,-0.996,1,-0.831,1,1,1,1,1,1,1,0.996,1,1,1,1,-1,1,-0.953,1,-1,1,1,1,1,1,1,1,-0.916
