"","1642.MS00636","1642.MS00566","1642.MS00527","1642.MS00507","1642.MS00347","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00332","1642.MS00398","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00614","1642.MS00558","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00461","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00403","1642.MS00448","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00489","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00569","1642.MS00622","1642.MS00467","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00526","1642.MS00465"
"1642.MS00636",0,0.0239129159767,0.0265866333293,0.0233579250505,0.0383479917816,0.0867889063143,0.0270566361449,0.0396345431492,0.0335533587153,0.0996593670786,0.020153928189,0.0903039220635,0.0266942625597,0.0240055578748,0.0247154412481,0.0873078371153,0.091178634347,0.0257018771546,0.1020099852901,0.019129720603,0.0247293622995,0.023694142672,0.1013279435563,0.0228038218973,0.0248037461451,0.086117269083,0.0222778327782,0.096775395652,0.1083615314231,0.090464322115,0.0221383742099,0.022284270147,0.0229284906897,0.1050934537048,0.0879341732485,0.0231756910485,0.0224259988364,0.1053851065909,0.0225895892827,0.0246882193667
"1642.MS00566",0.0239129159767,0,0.0255015576422,0.0185730036004,0.0414895953278,0.1101732898688,0.0256399453593,0.0328690261232,0.0252585092144,0.0985423859732,0.0279760913011,0.1107218944844,0.0274800493594,0.0359442421196,0.0301874986356,0.1033636090459,0.0937929374271,0.0229018217179,0.0966561694327,0.0251315354351,0.0283617611797,0.0261830961479,0.102342431307,0.0254381330427,0.0223344621681,0.0880930201251,0.0229053551663,0.0959572108937,0.104889497648,0.0920767401109,0.0285089442283,0.0296331666638,0.022553335593,0.1062126397347,0.0988594777722,0.0243068946982,0.0231774839458,0.1014499770906,0.0223118848621,0.0205208190884
"1642.MS00527",0.0265866333293,0.0255015576422,0,0.0226683648377,0.0402006763468,0.1024696441142,0.0247376156335,0.0321062802998,0.0259363706314,0.0939598757598,0.0266743633754,0.1044037781461,0.0231518704872,0.028392691449,0.0254922710969,0.0971333280612,0.0879623230106,0.0227073019004,0.1015550581608,0.0242273575861,0.0271665606697,0.0227556426165,0.0974650726717,0.0360735657205,0.021447423554,0.08659386606,0.0256855972728,0.0955354782195,0.1047503209617,0.0865422975797,0.0278378879442,0.0248495633132,0.0244589561509,0.0989156333093,0.0849971841633,0.0226019066954,0.0238546383819,0.10261153617,0.022381152904,0.0255009630427
"1642.MS00507",0.0233579250505,0.0185730036004,0.0226683648377,0,0.0392539453235,0.1241655271042,0.0231224355508,0.0322351946472,0.0241688806756,0.0922782092357,0.0272539540235,0.1248354790996,0.0254357266559,0.0302967754254,0.0219688725373,0.1121082156092,0.0888295510162,0.0219582786491,0.0957536241812,0.0231472693126,0.0237794313538,0.0209362897558,0.0950016092555,0.0308037172338,0.0187414821281,0.0850122585277,0.0204853225079,0.0926576758784,0.1028206517195,0.0887729261903,0.0228508768057,0.0253756539254,0.0174956005649,0.1025771096155,0.0943640655798,0.0208104421454,0.0195560491207,0.0978068119948,0.0200689326807,0.0192399933348
"1642.MS00347",0.0383479917816,0.0414895953278,0.0402006763468,0.0392539453235,0,0.0974476399043,0.0272496003396,0.018464549519,0.0295663554503,0.0965452622387,0.0470135941145,0.1035100094051,0.0334397077664,0.0572781981542,0.0446028818935,0.0952524637702,0.0850868583131,0.0410711027694,0.0822901903314,0.0366589371551,0.0271145325431,0.0345778783821,0.0971964270601,0.0483812509229,0.0392050975183,0.0819035188875,0.0388347778801,0.0861750305336,0.0992180008154,0.086253928894,0.0456766625332,0.0432078428775,0.0362503086071,0.0915720459264,0.0896092800031,0.0309481748548,0.0373513184196,0.0953781835147,0.0413202280226,0.0392011203365
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0867889063143,0.1101732898688,0.1024696441142,0.1241655271042,0.0974476399043,0,0.0992706414785,0.115733847395,0.1087585713532,0.0396272396989,0.0827637717626,0.023512589921,0.0999415055028,0.0856882749057,0.097360734413,0.0171274316173,0.0376424281482,0.0968243476997,0.0598340431754,0.0856280875357,0.0755879133795,0.0978149699762,0.0425875875604,0.0757789248781,0.1065954639947,0.0535408770466,0.1017650245533,0.0586106556115,0.0432859612847,0.0489243816241,0.0865967886742,0.0853049292894,0.1049654717034,0.0514760764008,0.0244551697599,0.1052192435444,0.1000756743845,0.0494009690368,0.0872111863501,0.0963508025731
"1642.MS00389",0.0270566361449,0.0256399453593,0.0247376156335,0.0231224355508,0.0272496003396,0.0992706414785,0,0.0206477572053,0.0222379397764,0.0810734403371,0.0264718494726,0.1027165640449,0.0240634610534,0.0312633080045,0.025348412154,0.0907395052886,0.0779097299928,0.0249575696576,0.0849758561789,0.0223098013252,0.0198471068852,0.023155668055,0.0824226108213,0.0351453256084,0.0233688344894,0.0695424995722,0.0279719068228,0.0770252954187,0.0892431753854,0.0736969492275,0.0260024095925,0.0237582783208,0.0234549165395,0.0895666123048,0.0762616696518,0.0195567309992,0.0207951297882,0.0833793802406,0.02264936411,0.0239266094848
"1642.MS00332",0.0396345431492,0.0328690261232,0.0321062802998,0.0322351946472,0.018464549519,0.115733847395,0.0206477572053,0,0.0204333919268,0.0906840374578,0.0443695440172,0.118734228828,0.0290522515263,0.0535192668495,0.0370285892953,0.1065943235247,0.0866456903605,0.0348303100781,0.0806000533546,0.0353077275753,0.0286619603677,0.0288878481341,0.0939720936834,0.0479092421189,0.032336768159,0.0794534958636,0.0359345224478,0.0838819850551,0.0937530776124,0.0835434536106,0.0461150764375,0.0408913530398,0.0299786522709,0.0888087304507,0.0948994113048,0.0257749805244,0.0351012421316,0.0892010245696,0.0374984083476,0.031380098464
"1642.MS00398",0.0335533587153,0.0252585092144,0.0259363706314,0.0241688806756,0.0295663554503,0.1087585713532,0.0222379397764,0.0204333919268,0,0.0860435943574,0.0380846373627,0.110206563183,0.0247825612225,0.0449685876587,0.0326448455661,0.0985703022943,0.0817059534531,0.0267119532182,0.0783866161574,0.0306981339693,0.0284282257354,0.0259325948363,0.0867700205569,0.0557278414326,0.0254330526526,0.0784608174457,0.0303540162451,0.0846892978345,0.0925931308989,0.0793708731512,0.0371923949808,0.0347412764581,0.0249579598503,0.0906142116421,0.0854367681248,0.023772696557,0.0272202520554,0.0895592770774,0.029258699606,0.0252016827128
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.0996593670786,0.0985423859732,0.0939598757598,0.0922782092357,0.0965452622387,0.0396272396989,0.0810734403371,0.0906840374578,0.0860435943574,0,0.0971049029659,0.0439048591804,0.1078881647855,0.1052307073326,0.0946151761132,0.0353169316419,0.0259645716762,0.0947724661213,0.0209649323607,0.0998877119553,0.0859106905921,0.1040701263323,0.0164145375572,0.1045175406356,0.109615160297,0.0336211946303,0.1057427118167,0.0281831902275,0.0137618433581,0.0207717604244,0.0960964348337,0.0952828983198,0.1026928846388,0.015272932074,0.0432730608443,0.0905621780562,0.0886493011528,0.0165754637318,0.0971516884336,0.0929983749801
