"","1642.MS00636","1642.MS00566","1642.MS00527","1642.MS00507","1642.MS00347","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00332","1642.MS00398","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00614","1642.MS00558","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00461","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00403","1642.MS00448","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00489","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00569","1642.MS00622","1642.MS00467","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00526","1642.MS00465"
"1642.MS00636",NA,-5.02735047280052,-2.35159666100816,-4.74481388529799,-0.890797912237364,5.66423786745645,-2.69669264411593,-1.89702821758262,-1.98284588006952,0.635952342625818,-4.19233848381802,7.18767500467983,-2.93286180212802,-2.15922293427422,-1.84810089397922,5.15520150778855,2.29102476844659,-3.1382684722665,-0.319259292445808,-4.77554514477555,-1.77225624918239,-3.77616391969284,0.684387532244484,-2.81292999816536,-2.43309463012538,1.39164682129572,-3.71095782820773,0.383100729022299,1.52968848521494,0.970174978863553,-3.19204549402876,-1.65846516523105,-3.88290678660884,0.136391039520909,6.68034571498996,-3.55359554548523,-2.58584790096373,2.81506503174596,-2.94600754831563,-4.61018706019403
"1642.MS00566",-5.02735047280052,NA,-2.67907409072608,-3.94241122579558,-2.23407830656085,7.05449852860403,-3.67179140540672,-4.46776813724532,-3.06385991516666,-0.164170079676254,-3.1738024612034,7.65058379558898,-3.60493054657689,-1.42421769791996,-2.06650254493,5.47926145690591,1.35287938899055,-2.02789950134693,-0.983529479819085,-5.16104186814667,-3.33109982293053,-3.8950922446532,-0.0700633040800519,-2.6342998645857,-3.09466598175249,0.339927814755425,-3.64892689685194,-0.255047709802359,0.558646589038016,0.383494179426699,-1.97802866288602,-3.1467015704966,-2.09561473322556,-0.0793520911495418,4.50031926447834,-3.96841155431102,-3.3633921860719,1.23316121374115,-4.22014164924532,-3.65083850025348
"1642.MS00527",-2.35159666100816,-2.67907409072608,NA,-3.35925637878928,-1.70438134912902,4.32750052808896,-1.89320781244254,-3.83179766012356,-3.92154122616954,-0.558658500222009,-1.53025981359907,5.32107700524383,-3.00076317769481,-1.49273990771797,-2.98914886279635,3.42052440736567,0.359518083783661,-3.11473136418657,-0.59206058547514,-3.07329868424997,-1.08852852057284,-4.93148401922455,-0.458900970518766,-1.38881924516682,-3.31951145394692,0.0450174207917806,-3.54235700714774,-0.34726952183072,0.52425285944359,-0.18811419112988,-1.55298159349384,-2.52252279701231,-4.22174974047013,-0.633060494555486,1.35016090189394,-3.09106492594596,-2.12216800526725,1.19403756055227,-2.57658011900291,-3.18071606850158
"1642.MS00507",-4.74481388529799,-3.94241122579558,-3.35925637878928,NA,-1.59358780058733,4.84240943275911,-3.21981579676961,-2.76594913260963,-3.09415874087663,-0.879918817436894,-2.21009173298477,5.3886204356714,-3.48175478025985,-1.34228581993821,-4.56839230467286,3.35860216919299,0.0078418962842556,-3.90780333464708,-0.836873060167302,-5.14559749421095,-5.52812387998258,-5.66919960620022,-0.846373123250593,-1.3285875410466,-5.26205245058572,-0.238317756850829,-5.44978603107715,-0.585282719762882,-0.0117182718252067,-0.186831364719583,-4.58242470138488,-3.3612012278834,-5.84978637161909,-0.539435477358061,1.55266257411487,-4.92861826717145,-4.23650415290692,0.216813736859499,-6.11654361361543,-6.02672093683869
"1642.MS00347",-0.890797912237364,-2.23407830656085,-1.70438134912902,-1.59358780058733,NA,3.07463377009635,-2.24457951239374,-5.39613496121514,-2.1611049618598,-0.329004509945388,-0.232338448582828,4.44972126255789,-1.70883876642121,2.33681939886417,-0.254749610824294,2.61517953929885,-0.113926979686834,-1.87111803306701,-2.41280369356351,-1.61523570213354,-2.98623374763082,-1.39680364339731,-1.00619203369936,-1.48444798136278,-1.47479659649166,-0.764775607227735,-1.85319501045868,-1.43912721414101,0.0979206292067994,-0.294050443045772,-0.157147823177272,-0.613502864164153,-2.32790217339172,-1.08974556753536,1.95344385909918,-1.56975083511657,-1.52317080149116,0.424494287626329,-1.37892384152772,-2.09368896807591
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",5.66423786745645,7.05449852860403,4.32750052808896,4.84240943275911,3.07463377009635,NA,2.94710429809769,3.98580328311609,3.76337767497483,-5.5651616939146,4.18538637497175,-5.22575926147841,7.82233902350376,4.10904278480212,5.57913027365264,-6.59916023905981,-4.43104485707585,6.19985561580591,-4.40343082489025,5.23040414561631,2.39281726646198,6.78423590042082,-5.02347138212615,-0.860095562628303,8.024997032955,-4.03637813293454,9.16612025782446,-3.48222602525124,-4.72984767398295,-0.147742824677156,5.74851101217579,5.96402299611786,6.67519514462371,-3.94042157596564,-7.71257982421093,4.50284437237168,4.39695674668751,-2.20463037928277,5.62912618354332,5.83843062479785
"1642.MS00389",-2.69669264411593,-3.67179140540672,-1.89320781244254,-3.21981579676961,-2.24457951239374,2.94710429809769,NA,-6.19519066252199,-4.07566257021234,-1.6093426904322,-2.74181250196988,3.82956911841526,-2.018835621827,-1.01801245325433,-4.03564877681479,1.64418473964299,-1.04391588937785,-3.13050472186709,-1.57640919451929,-3.69315365613592,-4.54191707508338,-3.06704545243762,-1.67178358923888,-1.58049112277914,-2.6779448602196,-1.60705601289729,-2.82550275284414,-1.67375847001688,-0.69707544594517,-1.41885713895473,-2.19167832518056,-3.75939989395651,-4.07120341911832,-1.16064625052407,0.0726512239041927,-3.91162236025751,-4.63249334040847,-0.814827334602129,-3.7807880946751,-4.81169544088186
"1642.MS00332",-1.89702821758262,-4.46776813724532,-3.83179766012356,-2.76594913260963,-5.39613496121514,3.98580328311609,-6.19519066252199,NA,-4.79564646585171,-1.54796785518996,-1.41100026588708,4.84779976652928,-3.01854782263379,0.888336244774861,-2.54666467542168,2.40016093977553,-0.823778901587605,-3.17471299670282,-2.37923908439803,-3.32699674273466,-4.0694764952194,-2.63269333874678,-1.49747989432376,-1.60021932183187,-2.69342897165456,-1.438346473054,-2.93769803454041,-1.82058808225843,-0.972011656612546,-1.2063699207221,-0.393609420458016,-2.53369959449443,-4.03669389789974,-1.77478443239019,1.04727029114773,-3.38462262846997,-1.78202639329652,-1.14409728060714,-2.64134946500184,-4.34615123266698
"1642.MS00398",-1.98284588006952,-3.06385991516666,-3.92154122616954,-3.09415874087663,-2.1611049618598,3.76337767497483,-4.07566257021234,-4.79564646585171,NA,-1.63968416181714,-1.54215787296772,4.32822734480569,-2.87048729633036,-0.128174585049708,-2.07517401302657,1.9913750854738,-1.04633284474509,-3.01232504987057,-2.2031223778282,-3.05498250117478,-2.34352652654608,-2.99813748438031,-1.79393086660527,-0.471938526813067,-2.75649024511098,-1.11218805080852,-2.59374051120366,-1.44459966456159,-0.801084238852719,-1.1886247677263,-1.31521888981049,-2.1224451240139,-3.35349808928767,-1.32487984793309,0.460633912790086,-2.68926861177445,-2.70782305515678,-0.514718738499137,-2.83332681877321,-3.83602635932397
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.635952342625818,-0.164170079676254,-0.558658500222009,-0.879918817436894,-0.329004509945388,-5.5651616939146,-1.6093426904322,-1.54796785518996,-1.63968416181714,NA,0.321976807794278,-4.99456803760774,1.3887580596773,0.937781980059399,-0.256780163093487,-5.76938541007878,-5.86163645104809,-0.170531146834639,-5.1675401281397,0.666926274012184,-1.13269890377819,0.818154922184196,-5.32543220922839,-0.198505638239608,1.41489811817784,-6.23112359211102,1.18882293523767,-5.82498548435711,-4.71407096635407,-6.3867738838151,0.284099778245924,0.224200221975684,0.381896120522697,-4.80096197195721,-5.09597984772571,-0.739211388081664,-0.749678917926026,-5.35464391458784,0.37367416066535,-0.389649469076457
