"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00547","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00519","1642.MS00597","1001.SKD7","1642.MS00593","1642.MS00601","1642.MS00426","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00483","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00493","1642.MS00613","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00611","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00397","1642.MS00394","1642.MS00449","1642.MS00585","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00631","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1001.SKB7","1642.MS00447","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0,0.9558,0.9298,0.8854,0.5784,0.548,0.9404,0.9066,0.946,0.9258,0.9614,0.9464,0.9476,0.926,0.6332,0.9404,0.946,0.5226,0.9292,0.927,0.9452,0.6576,0.937,0.9454,0.9376,0.6446,0.9328,0.9234,0.9302,0.9338,0.8738,0.7404,0.9508,0.5444,0.9336,0.6078,0.9838,0.9516,0.8518,0.9448
"1642.MS00356",0.9558,0,0.7548,0.9232,0.9574,0.968,0.7482,0.7604,0.7102,0.7568,0.9836,0.7902,0.7684,0.641,0.9718,0.5826,0.751,0.9674,0.778,0.7362,0.8396,0.9502,0.7764,0.7088,0.6544,0.9522,0.6244,0.6994,0.7512,0.7746,0.9324,0.944,0.8142,0.9596,0.6154,0.9476,0.9898,0.753,0.9308,0.7448
"1642.MS00547",0.9298,0.7548,0,0.8762,0.9334,0.952,0.5012,0.5972,0.597,0.493,0.985,0.6004,0.531,0.5486,0.9514,0.6838,0.5366,0.9464,0.5432,0.485,0.6426,0.923,0.5364,0.5062,0.5208,0.9244,0.536,0.5212,0.5312,0.5056,0.8924,0.9406,0.64,0.9494,0.5996,0.9258,0.9934,0.5852,0.9032,0.5428
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8854,0.9232,0.8762,0,0.8996,0.9106,0.8524,0.893,0.9338,0.8632,0.9676,0.9112,0.8838,0.862,0.9108,0.9192,0.9014,0.8876,0.8426,0.8662,0.8638,0.8626,0.8658,0.8828,0.8948,0.8782,0.8798,0.8622,0.881,0.8786,0.7026,0.905,0.8306,0.8954,0.9164,0.8776,0.984,0.9196,0.7454,0.9164
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",0.5784,0.9574,0.9334,0.8996,0,0.6488,0.9428,0.9116,0.9454,0.9334,0.9592,0.9458,0.9488,0.9292,0.6714,0.94,0.946,0.6514,0.9286,0.9338,0.9488,0.7184,0.935,0.9458,0.941,0.5108,0.9328,0.9276,0.9392,0.9342,0.8812,0.7004,0.9504,0.542,0.9436,0.4994,0.979,0.9566,0.8668,0.9544
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.548,0.968,0.952,0.9106,0.6488,0,0.9634,0.935,0.9658,0.9548,0.9598,0.9598,0.9646,0.949,0.5804,0.9616,0.9648,0.4742,0.955,0.9534,0.9656,0.6952,0.957,0.9658,0.9574,0.6402,0.9564,0.952,0.9562,0.9574,0.8994,0.8244,0.9682,0.5692,0.956,0.6278,0.9832,0.967,0.8898,0.9662
"1642.MS00459",0.9404,0.7482,0.5012,0.8524,0.9428,0.9634,0,0.585,0.626,0.4834,0.9814,0.601,0.5146,0.5354,0.9564,0.6844,0.548,0.9576,0.529,0.475,0.6198,0.9298,0.5008,0.5076,0.558,0.9334,0.5388,0.4934,0.489,0.4876,0.8834,0.9518,0.5786,0.956,0.5952,0.9338,0.9904,0.5624,0.8928,0.5866
"1642.MS00595",0.9066,0.7604,0.5972,0.893,0.9116,0.935,0.585,0,0.6128,0.5364,0.9766,0.5894,0.539,0.5806,0.9482,0.7188,0.6048,0.9246,0.6038,0.5662,0.7158,0.9162,0.5606,0.5494,0.5998,0.9012,0.6126,0.5802,0.6054,0.5274,0.8972,0.9008,0.6868,0.9478,0.658,0.898,0.9856,0.6368,0.8976,0.5984
"1642.MS00519",0.946,0.7102,0.597,0.9338,0.9454,0.9658,0.626,0.6128,0,0.5834,0.9838,0.5624,0.5732,0.6026,0.966,0.6906,0.5718,0.9616,0.693,0.5728,0.7502,0.947,0.6356,0.496,0.4852,0.9482,0.5118,0.6174,0.6026,0.58,0.9346,0.9494,0.7564,0.9614,0.5128,0.9478,0.9936,0.567,0.9382,0.5098
"1642.MS00597",0.9258,0.7568,0.493,0.8632,0.9334,0.9548,0.4834,0.5364,0.5834,0,0.9802,0.5844,0.465,0.5258,0.9542,0.6968,0.529,0.9488,0.5022,0.4648,0.5964,0.9242,0.4804,0.4716,0.5338,0.9274,0.5442,0.4918,0.4988,0.4576,0.8776,0.9382,0.5846,0.9482,0.6252,0.9252,0.994,0.5706,0.8886,0.5636
