"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00547","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00519","1642.MS00597","1001.SKD7","1642.MS00593","1642.MS00601","1642.MS00426","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00483","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00493","1642.MS00613","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00611","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00397","1642.MS00394","1642.MS00449","1642.MS00585","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00631","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1001.SKB7","1642.MS00447","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-0.998,1,1,-1,1,1,1,-0.968,1,1,1,-0.968,1,1,1,1,1,-0.46,1,-1,1,-0.998,0.998,1,1,1
"1642.MS00356",1,0,1,1,1,1,1,1,0.998,1,1,1,1,0.641,1,-0.656,1,1,1,1,1,1,1,1,0.765,1,0.241,1,1,1,1,1,1,1,0.0069999999999999,1,1,1,1,1
"1642.MS00547",1,1,0,1,1,1,-0.952,0.662,0.32,-0.954,1,0.391,-0.684,-0.26,1,1,-0.655,1,-0.38,-0.979,0.942,1,-0.562,-0.93,-0.868,1,-0.691,-0.818,-0.696,-0.923,1,1,0.81,1,0.41,1,1,0.435,1,-0.594
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,0.788,1,1,0.988,1,1,1,1,0.996,1
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",-1,1,1,1,0,-0.996,1,1,1,1,0.998,1,1,1,-0.942,1,1,-0.986,1,1,1,-0.768,1,1,1,-1,1,1,1,1,1,-0.86,1,-1,1,-1,1,1,1,1
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",-1,1,1,1,-0.996,0,1,1,1,1,0.995,1,1,1,-1,1,1,-1,1,1,1,-0.986,1,1,1,-1,1,1,1,1,0.988,-0.121,1,-1,1,-0.998,0.992,1,0.979,1
"1642.MS00459",1,1,-0.952,1,1,1,0,0.448,0.873,-0.982,1,0.443,-0.865,-0.561,1,0.993,-0.442,1,-0.619,-0.992,0.734,1,-0.933,-0.911,-0.343,1,-0.661,-0.966,-0.982,-0.99,1,1,-0.328,1,0.359,1,1,-0.103,1,0.289
"1642.MS00595",1,1,0.662,1,1,1,0.448,0,0.718,-0.36,1,0.231,-0.509,0.516,1,1,0.762,1,0.882,0.277,1,1,0.0569999999999999,-0.278,0.629,1,0.812,0.422,0.835,-0.66,1,1,1,1,0.99,1,1,0.982,1,0.591
"1642.MS00519",1,0.998,0.32,1,1,1,0.873,0.718,0,0.254,1,-0.573,-0.094,0.616,1,0.996,-0.128,1,1,0.032,1,1,0.954,-0.984,-0.992,1,-0.958,0.785,0.521,0.0580000000000001,1,1,1,1,-0.952,1,1,-0.244,1,-0.963
"1642.MS00597",1,1,-0.954,1,1,1,-0.982,-0.36,0.254,0,1,0.24,-0.998,-0.505,1,1,-0.63,1,-0.815,-0.998,0.506,1,-0.959,-0.992,-0.643,1,-0.441,-0.956,-0.894,-0.998,1,1,-0.101,1,0.882,1,1,0.386,1,0.00800000000000001
"1001.SKD7",1,1,1,1,0.998,0.995,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.954,1,1,-0.984,1,1,1
"1642.MS00593",1,1,0.391,1,1,1,0.443,0.231,-0.573,0.24,1,0,-0.115,0.844,1,1,0.976,1,1,0.446,1,1,0.774,-0.441,-0.133,1,0.635,0.887,0.945,-0.22,1,1,1,1,0.781,1,1,0.952,1,-0.877
"1642.MS00601",1,1,-0.684,1,1,1,-0.865,-0.509,-0.094,-0.998,1,-0.115,0,0.0249999999999999,1,1,0.0509999999999999,1,0.334,-0.792,0.993,1,-0.217,-0.969,-0.643,1,0.264,-0.647,-0.459,-0.966,1,1,0.679,1,0.962,1,1,0.0680000000000001,1,-0.227
"1642.MS00426",1,0.641,-0.26,1,1,1,-0.561,0.516,0.616,-0.505,1,0.844,0.0249999999999999,0,1,-0.172,-0.288,1,0.695,-0.888,1,1,0.551,-0.779,0.0720000000000001,1,-0.91,-0.996,-0.381,0.0720000000000001,1,1,0.992,1,0.114,1,1,0.626,1,0.329
