"","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00631","1642.MS00593","1642.MS00525","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00356","1642.MS00554","1642.MS00601","1642.MS00449","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00493","1642.MS00397","1642.MS00613","1642.MS00611","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00394","1642.MS00595","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00426","1642.MS00547","1642.MS00597","1642.MS00377","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00629","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00585","1642.MS00459","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483"
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.0815257434648,0.1005537699412,0.0831216123584,0.0375015698481,0.0465338338117,0.0885788948476,0.0794949478716,0.0974701112101,0.0896152197806,0.0869890044301,0.0407155254152,0.0490523465131,0.0523610609842,0.1084330646796,0.081426394042,0.0775692388164,0.0914577739746,0.0852320100845,0.0267730504292,0.1167156555896,0.0799453943967,0.0740817692789,0.0417574412382,0.0773576206977,0.0864152883139,0.0827355185818,0.0895267100104,0.0453233988599,0.1036978906183,0.040181686642,0.0748239570233,0.0324069853403,0.0864491026142,0.0856664000596,0.0858855861577,0.0985535277485,0.0559188114291,0.0404502233873,0.099946258662
"1642.MS00631",0.0815257434648,0,0.0385007312659,0.0302473728413,0.0903612516864,0.1007555541528,0.0371879585345,0.0483711362135,0.0362631717457,0.0328704670514,0.0341555057888,0.089950164945,0.0955066504419,0.1044176150142,0.163121550884,0.0276725282833,0.0309725603769,0.0253881476519,0.0309999235188,0.0756575076493,0.1865445301257,0.0309979744594,0.0348753092953,0.1039428849576,0.0336995750191,0.0328044784446,0.0270922737506,0.0421941758328,0.1003491985763,0.0445482396209,0.0859839317657,0.0250225304773,0.0640798268175,0.0315035053868,0.0293469256718,0.027972056477,0.0394998284914,0.1074724422645,0.0946812523608,0.0328789765989
"1642.MS00593",0.1005537699412,0.0385007312659,0,0.0227086617695,0.1084019518085,0.1171886385395,0.0248039253452,0.0452907876607,0.0201398338434,0.0237228320404,0.0279804727357,0.1095500269696,0.1142377610774,0.1283282766855,0.167421263363,0.0274414685434,0.0243639341688,0.0407664261616,0.0267112828085,0.1019950466091,0.1857415212451,0.0305354640225,0.0240329192039,0.1083751726339,0.0308210719792,0.0247812344274,0.025251182406,0.0375604101707,0.1168755050985,0.031687689913,0.1049155443892,0.0341245273766,0.0886622134243,0.0227411314476,0.0230672734889,0.0247407915833,0.0217662902231,0.1328759447811,0.1112318793075,0.0272190779565
"1642.MS00525",0.0831216123584,0.0302473728413,0.0227086617695,0,0.0930132737116,0.104957766135,0.0240894095615,0.043094443579,0.0220826489581,0.0211858176065,0.0218658480065,0.0956828345173,0.1009262712876,0.1106113612709,0.1543605747038,0.0221742108753,0.0228863123726,0.0310570808492,0.0234244117671,0.0833186007297,0.164617459119,0.0251358084737,0.0256580839003,0.0949625879241,0.0252456086984,0.0221779322381,0.0211266018774,0.0368832873178,0.1040055231686,0.0287439474154,0.0891722936431,0.0262685534376,0.0740703181105,0.0213233314008,0.0221410172147,0.0216371609788,0.022895576167,0.1163768229457,0.0964997023126,0.0238255630753
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",0.0375015698481,0.0903612516864,0.1084019518085,0.0930132737116,0,0.0182730229868,0.0883815257118,0.0775557624806,0.0992974472416,0.0961705346858,0.0933358240906,0.0147822420829,0.0197725237756,0.0218128076038,0.09539989006,0.0871145392095,0.0812180816289,0.1021421063996,0.0876026396403,0.0375584108599,0.0998558124128,0.0945312322303,0.0767228897138,0.0310896979899,0.0817052372016,0.0920930722805,0.0857075472809,0.0885547172498,0.0259787531656,0.1033041119464,0.0244949676541,0.0849456832225,0.0415927357526,0.0883520993134,0.0910883458632,0.0934246196785,0.0951933246315,0.0238296084853,0.0217388158904,0.1017800142896
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",0.0465338338117,0.1007555541528,0.1171886385395,0.104957766135,0.0182730229868,0,0.0902509001618,0.0814961509638,0.1037626922785,0.1018724812955,0.1011968570436,0.0144853855974,0.018986986194,0.0180075814681,0.0934178803132,0.0936743748911,0.0844569380018,0.1149168509649,0.0980405508282,0.0494767442575,0.0963448334263,0.1039376217972,0.0845501564821,0.03039044741,0.0877284004798,0.0974534476439,0.0929904285202,0.0932200635668,0.0204213748418,0.1129726278417,0.0266565008538,0.0890090749062,0.0425264368154,0.0929096748597,0.0959664019854,0.0977778897625,0.1004156187617,0.0197466739999,0.0192491423594,0.1087509854987
"1642.MS00399",0.0885788948476,0.0371879585345,0.0248039253452,0.0240894095615,0.0883815257118,0.0902509001618,0,0.0339455324873,0.0227801928106,0.0278865198069,0.0209795514486,0.0896841130804,0.0996258865717,0.1096621633189,0.1408080640616,0.0248278460117,0.0195429341605,0.0363540957534,0.0293781411725,0.0878187658981,0.1513289703847,0.0244804893209,0.0305439806541,0.0864657398118,0.0251093622084,0.0251034520122,0.0261702620189,0.024535426671,0.099200403791,0.0233190024367,0.0880743983288,0.0326334190991,0.0776241909134,0.0226440724703,0.0270996362233,0.0234799998551,0.021505027349,0.1094297099637,0.0901316537097,0.0249200456597
"1642.MS00356",0.0794949478716,0.0483711362135,0.0452907876607,0.043094443579,0.0775557624806,0.0814961509638,0.0339455324873,0,0.04318955228,0.043451853735,0.0403263352941,0.0793450474785,0.095187971572,0.0968072977617,0.1209219241276,0.0401779580656,0.0299613121704,0.0584176694165,0.0476965030303,0.0832788474396,0.1229958849934,0.033393634879,0.0430600917834,0.0728442420008,0.0282903263284,0.0446490992912,0.0445736576702,0.0230580216605,0.0873442340749,0.0432549445909,0.0758202627597,0.0440157248599,0.0663285187831,0.0397444920728,0.0462234077311,0.0368617988623,0.0432042053422,0.0923759401492,0.0815491446503,0.0421619876032
"1642.MS00554",0.0974701112101,0.0362631717457,0.0201398338434,0.0220826489581,0.0992974472416,0.1037626922785,0.0227801928106,0.04318955228,0,0.0232869029844,0.025503288855,0.1033032987037,0.1108166024279,0.1244672711828,0.1593475551769,0.0257024168207,0.0244652206862,0.0368500662925,0.0264203378837,0.0985432904962,0.1652854544609,0.0285481644658,0.0251539438423,0.0967115564904,0.0278982867211,0.0235811462202,0.0243219606361,0.0343022096309,0.1113028393952,0.0268328374753,0.1001963857997,0.0316502555181,0.0845490011042,0.0213939437665,0.0243635011692,0.025124357518,0.0205810945168,0.1235944476621,0.1044772604181,0.0235046084163
"1642.MS00601",0.0896152197806,0.0328704670514,0.0237228320404,0.0211858176065,0.0961705346858,0.1018724812955,0.0278865198069,0.043451853735,0.0232869029844,0,0.0246684996598,0.0980687811531,0.1071105834815,0.120599958876,0.166451680681,0.0239761939509,0.0253382978449,0.0349928942213,0.0266140496126,0.0909415628858,0.1771009685245,0.0259786138679,0.0274226585449,0.0962615522456,0.0272080705522,0.0234152037726,0.0207154933418,0.0389305521054,0.1054140743442,0.0302035665029,0.096829445827,0.0280223469516,0.0793936447546,0.0218747105556,0.0222994321443,0.023762080639,0.0227632074272,0.1224201927446,0.101141591276,0.0257743560111
