"","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00631","1642.MS00593","1642.MS00525","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00356","1642.MS00554","1642.MS00601","1642.MS00449","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00493","1642.MS00397","1642.MS00613","1642.MS00611","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00394","1642.MS00595","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00426","1642.MS00547","1642.MS00597","1642.MS00377","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00629","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00585","1642.MS00459","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483"
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",NA,2.30488647808403,8.44507726469742,3.2454435704252,-5.9332802468294,-5.70977597891906,1.5806890852765,-0.416043519211011,6.53586980562772,6.99156659103293,7.07420427021149,-7.38145475184576,-6.31688102243477,-6.99267556398113,-2.06197019819439,4.30308558980083,0.520286240889268,6.08827581024949,5.44743682787583,-10.3590114855424,-2.07278503842644,3.065057885379,0.880789235931565,-7.08575640737951,2.9975219947315,2.89147181786025,4.75584521698435,2.34997077573725,-6.88804430879448,10.7736924079233,-5.34717255710045,2.41380284439499,-9.50194694673376,2.17090928741572,4.76782470784948,5.71808377979555,4.19171499678376,-5.25985656512435,-7.53074648901452,7.64427543853077
"1642.MS00631",2.30488647808403,NA,-4.77748094923269,-3.01267337541443,-0.751607204389116,-0.398522081541516,-4.12047593553293,-2.4498213133302,-3.48053101497719,-2.54480881000814,-1.5682973024013,-1.13028158247818,-1.23753080495748,-0.923248274521084,3.04049129768389,-4.37206001903106,-4.58564137499747,-3.03953928021809,-1.85371300649256,1.13694388718385,2.55252128168215,-3.60456993488855,-2.70379024758415,0.652766801492975,-3.71763918778964,-0.975358914266209,-4.49781116368967,-3.35587493129121,-0.191082268024845,0.554367047697048,-1.54122864742762,-4.08051513361907,-1.23101406954575,-3.80477897604911,-3.83351391876451,-4.68194566401283,-2.79869021802623,-0.546876441440551,-1.32544730848489,-2.13063089183591
"1642.MS00593",8.44507726469742,-4.77748094923269,NA,-5.66051730127,2.55250973477848,1.8592486885012,-6.20545986138532,-2.41758351927351,-6.09701580958249,-5.19240037339879,-5.31796573985006,2.54368364817175,1.30036927599656,1.22994609542562,3.88631015624016,-4.33833984300636,-6.8161640849212,-3.90522759679954,-5.85483935910502,9.08459592542239,3.47805750197725,-3.93655594058189,-6.05193776730571,3.45460035149329,-3.42475850886244,-2.40902512301226,-5.56828402614518,-3.82641511923015,2.71487866892854,-3.89354196187972,1.4022458726953,-4.55184556452437,4.76200010881445,-4.79491385779541,-7.00259827656117,-6.30315861596569,-5.91915621324253,2.36379956536535,0.796491660647996,-6.00243077496571
"1642.MS00525",3.2454435704252,-3.01267337541443,-5.66051730127,NA,-0.0955055269096056,0.473689483965408,-4.28342127247509,-1.35994613495401,-4.67562494907164,-4.56236817315785,-3.41506970210267,-0.118043318784574,-0.307010188737551,-0.225795928126391,2.37865254733841,-2.99690357312334,-3.92134523140112,-2.48024306019871,-3.07082408635658,3.13616725770337,1.76940587083446,-2.11186549370155,-2.38329880715139,0.344025370995106,-2.84057776047477,-2.15736012688925,-3.90257208367291,-2.06610317860188,0.849160448969376,0.502237008853678,-0.619031372089456,-3.00844217072782,1.1045387192959,-4.23399624589535,-4.38457896864412,-5.47431310737876,-3.8063498259401,0.688828636315872,-0.832922146954993,-1.08552494085882
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",-5.9332802468294,-0.751607204389116,2.55250973477848,-0.0955055269096056,NA,-6.29472979341907,-0.610641265109312,-1.94499483955902,0.908742282810668,0.782696403476258,0.681579794000146,-6.83783697772171,-7.38117572238893,-6.84054124398316,-3.71343077646397,-0.0315391186656119,-1.21486599716058,1.0822399506476,-0.287534342687754,-5.71017133846278,-3.17541162782767,0.396782619013736,-1.50009443630038,-5.824520804981,-1.05427148698556,0.244794152279179,-0.501152387320954,-1.05624673375657,-6.9203106359689,1.53791624089965,-4.67339099666919,-0.47194181342982,-5.23832188087623,-0.43961826144348,0.223399185886277,0.435379237919779,0.127101303403125,-6.50313994303017,-7.08026450243735,1.57030745313864
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",-5.70977597891906,-0.398522081541516,1.8592486885012,0.473689483965408,-6.29472979341907,NA,-0.961408206118082,-2.17082451790926,0.606554116399628,0.512622727340553,0.785254017208169,-7.68528448390938,-4.57522877874812,-7.77273269481002,-4.1115335489213,-0.101528292095092,-1.52739601847231,1.62018722770586,0.342541916583893,-5.04621372365399,-3.651340893391,0.618147800583129,-1.37760447419668,-5.80636114327065,-1.15748159878009,0.104845403712596,-0.38794559859076,-1.1880043125851,-6.61792802655052,1.92737806862007,-4.7447235806451,-0.803719858481869,-5.37339622142624,-0.739021876330748,0.00818713998885273,0.191404147291658,0.0315239180092723,-5.68354163042539,-6.4368785784347,1.65095634453977
"1642.MS00399",1.5806890852765,-4.12047593553293,-6.20545986138532,-4.28342127247509,-0.610641265109312,-0.961408206118082,NA,-2.74902259600293,-5.89801010558238,-5.35759169833077,-5.19334440795076,-0.842190749862114,-0.526707551957999,-0.274011319011982,0.348193991928781,-3.46283499484069,-6.32681698422659,-3.52117681815174,-2.84247382768593,1.41270411152132,0.0677592710932827,-3.24295257242756,-3.276973436328,-0.525981785356692,-3.87446855732213,-2.02007157144875,-5.10713470353488,-5.11626953131831,0.0555368459297944,-3.13788623090008,-0.723885313463984,-3.49698894374323,0.15617075652525,-5.12686687433707,-4.45288186512476,-5.51644370300446,-6.80883524363604,-0.157118053062745,-1.12936330751427,-4.46838780995537
"1642.MS00356",-0.416043519211011,-2.4498213133302,-2.41758351927351,-1.35994613495401,-1.94499483955902,-2.17082451790926,-2.74902259600293,NA,-2.22524187682688,-2.2991087341677,-1.6804141044594,-2.08054177946846,-1.45791011117247,-1.2747135841644,-1.34547169587478,-2.11971728158679,-4.4975571498433,-0.140231436740162,-1.1264919974996,0.150100815618753,-1.80131634015998,-2.57242525458063,-2.60694086993343,-2.38227785756571,-3.50435156801809,-1.20886669762508,-1.41242785449038,-6.99210545587092,-1.44513047610392,-0.735363246806034,-2.31288744356846,-2.23450416417228,-1.45955069129833,-2.12800764403106,-1.39655470556,-3.53508860696819,-2.75822225843134,-1.77209475146434,-2.27786933552841,-2.01783788327626
"1642.MS00554",6.53586980562772,-3.48053101497719,-6.09701580958249,-4.67562494907164,0.908742282810668,0.606554116399628,-5.89801010558238,-2.22524187682688,NA,-4.72121391609379,-4.85596022631007,1.1498623280593,0.956547201332391,0.868197896593772,2.95232923474712,-3.21235233102863,-4.73572514275268,-2.73375861701844,-4.21956134308805,6.48425715804556,1.61227770615979,-3.67768179489167,-4.2887226462373,1.58013422903436,-3.37293131533582,-4.3216431787989,-4.65000760833964,-4.05424777134638,1.92336006885596,-3.43939790830216,0.87136725119553,-3.83843696992465,3.11325256144891,-4.46342449187198,-5.51646643009477,-4.581203425854,-4.57124025259948,1.41081614296275,0.0562598536781225,-4.96687676967966
"1642.MS00601",6.99156659103293,-2.54480881000814,-5.19240037339879,-4.56236817315785,0.782696403476258,0.512622727340553,-5.35759169833077,-2.2991087341677,-4.72121391609379,NA,-4.60164866530407,0.753562383467083,0.794521463969663,0.720049444035061,4.23100167480879,-3.96789326920041,-5.10255266916646,-2.54966695620582,-2.16332336221751,7.87567562610352,2.27988739510873,-3.48365833614498,-1.82573981420888,1.05663539239901,-3.345246981835,-1.88871728100766,-5.17685826066443,-3.29774635498492,1.27226697661143,-1.39408914234062,0.754783337599763,-2.9690625555834,3.58677878702845,-4.24073914822088,-4.86334648881907,-5.00329078981126,-5.86393217378924,1.46375841698816,-0.257472146831605,-3.10037884438167
