"","1642.MS00489","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00568","1642.MS00625","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00409","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00467","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00586","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00584","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00585","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00417","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00489",0,0.9256,0.9664,0.9292,0.562,0.5534,0.5902,0.9018,0.583,0.9744,0.9516,0.9646,0.9318,0.969,0.5834,0.5062,0.9038,0.9358,0.9584,0.5732,0.9096,0.5494,0.9134,0.4602,0.575,0.9268,0.5732,0.9566,0.5408,0.9546,0.518,0.902,0.5346,0.8972,0.5856,0.957,0.5298,0.5378,0.9034,0.9096
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9256,0,0.9266,0.5426,0.9404,0.911,0.8928,0.79,0.9144,0.896,0.921,0.8666,0.8182,0.8922,0.9178,0.9084,0.854,0.815,0.761,0.9114,0.604,0.9182,0.7216,0.9274,0.9232,0.4736,0.9024,0.8306,0.922,0.8048,0.936,0.6872,0.9102,0.7738,0.9406,0.8504,0.9162,0.8976,0.8356,0.7492
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.9664,0.9266,0,0.9352,0.9676,0.9538,0.9618,0.9372,0.958,0.776,0.8618,0.6064,0.68,0.7692,0.9648,0.9484,0.9352,0.6198,0.7266,0.9592,0.9422,0.961,0.9402,0.9526,0.957,0.9322,0.9554,0.6828,0.9614,0.5824,0.9638,0.9274,0.9642,0.938,0.9678,0.798,0.9662,0.955,0.9412,0.9536
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9292,0.5426,0.9352,0,0.9424,0.9192,0.897,0.7918,0.9164,0.9086,0.925,0.8784,0.8272,0.8976,0.9166,0.9138,0.8416,0.8326,0.792,0.918,0.6864,0.9224,0.7384,0.9324,0.9236,0.5248,0.9026,0.8468,0.924,0.8184,0.9416,0.6456,0.9136,0.7822,0.9438,0.8574,0.918,0.9016,0.8164,0.7774
"1642.MS00511",0.562,0.9404,0.9676,0.9424,0,0.5192,0.6434,0.9194,0.6464,0.9722,0.9516,0.9632,0.9418,0.966,0.4362,0.5432,0.9242,0.9446,0.9616,0.5824,0.9296,0.5626,0.9272,0.5098,0.505,0.9398,0.5098,0.9578,0.559,0.9586,0.539,0.9196,0.6134,0.9204,0.455,0.957,0.6048,0.5964,0.9218,0.924
"1642.MS00568",0.5534,0.911,0.9538,0.9192,0.5192,0,0.5466,0.8858,0.598,0.9594,0.933,0.9492,0.9166,0.9546,0.5228,0.4728,0.8808,0.92,0.9398,0.5282,0.899,0.5036,0.894,0.484,0.5222,0.915,0.5018,0.9444,0.5244,0.9408,0.5048,0.8798,0.5216,0.8802,0.5206,0.9428,0.5628,0.517,0.8856,0.8902
"1642.MS00625",0.5902,0.8928,0.9618,0.897,0.6434,0.5466,0,0.8568,0.6308,0.9638,0.9354,0.957,0.9158,0.9582,0.5866,0.5266,0.8666,0.9194,0.942,0.5184,0.8696,0.5458,0.8696,0.5952,0.6488,0.8988,0.554,0.9462,0.5848,0.9442,0.588,0.8632,0.494,0.8562,0.679,0.9418,0.5512,0.5122,0.8604,0.8504
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9018,0.79,0.9372,0.7918,0.9194,0.8858,0.8568,0,0.8972,0.9274,0.8148,0.9252,0.8614,0.9156,0.8896,0.8758,0.598,0.8568,0.9092,0.8762,0.7132,0.8966,0.5942,0.9016,0.9042,0.8038,0.8766,0.905,0.904,0.9164,0.9202,0.628,0.8734,0.5494,0.9266,0.8896,0.8836,0.87,0.5198,0.7204
"1642.MS00429",0.583,0.9144,0.958,0.9164,0.6464,0.598,0.6308,0.8972,0,0.9696,0.9424,0.9578,0.9314,0.9644,0.5896,0.5788,0.8976,0.9346,0.9462,0.614,0.9024,0.6298,0.9074,0.6142,0.5768,0.9134,0.5738,0.948,0.6426,0.9478,0.6172,0.8864,0.5926,0.8926,0.6702,0.9508,0.5406,0.5296,0.8964,0.9036
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.9744,0.896,0.776,0.9086,0.9722,0.9594,0.9638,0.9274,0.9696,0,0.8724,0.652,0.6204,0.6066,0.9704,0.9552,0.9506,0.6742,0.569,0.9646,0.9146,0.9676,0.9322,0.969,0.9664,0.9092,0.9616,0.5686,0.97,0.6162,0.9724,0.9152,0.9642,0.9318,0.9752,0.5636,0.9714,0.9656,0.9454,0.9398
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",0.9516,0.921,0.8618,0.925,0.9516,0.933,0.9354,0.8148,0.9424,0.8724,0,0.8276,0.8172,0.822,0.9456,0.926,0.7962,0.7512,0.8766,0.9342,0.898,0.9472,0.8628,0.936,0.9436,0.9348,0.9338,0.8236,0.951,0.8696,0.9536,0.86,0.9438,0.8196,0.9538,0.7812,0.941,0.9378,0.8048,0.891
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9646,0.8666,0.6064,0.8784,0.9632,0.9492,0.957,0.9252,0.9578,0.652,0.8276,0,0.6598,0.7198,0.9578,0.9446,0.9258,0.6606,0.6016,0.959,0.9138,0.9544,0.9204,0.956,0.9504,0.8904,0.9538,0.6586,0.958,0.577,0.9646,0.891,0.9588,0.9232,0.9658,0.7306,0.963,0.9524,0.9284,0.9364
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",0.9318,0.8182,0.68,0.8272,0.9418,0.9166,0.9158,0.8614,0.9314,0.6204,0.8172,0.6598,0,0.7142,0.928,0.9114,0.8868,0.6104,0.6356,0.9224,0.829,0.9276,0.8446,0.9246,0.931,0.8236,0.9182,0.5176,0.9322,0.6076,0.9386,0.827,0.9274,0.8636,0.948,0.6746,0.9272,0.9158,0.8682,0.8754
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",0.969,0.8922,0.7692,0.8976,0.966,0.9546,0.9582,0.9156,0.9644,0.6066,0.822,0.7198,0.7142,0,0.9642,0.9528,0.9352,0.6124,0.699,0.9582,0.9148,0.9608,0.8948,0.9602,0.9632,0.905,0.9592,0.6816,0.9652,0.6798,0.9696,0.8942,0.9624,0.9074,0.9686,0.4456,0.9646,0.9596,0.9288,0.9294
"1642.MS00409",0.5834,0.9178,0.9648,0.9166,0.4362,0.5228,0.5866,0.8896,0.5896,0.9704,0.9456,0.9578,0.928,0.9642,0,0.5282,0.8932,0.9294,0.9468,0.565,0.9004,0.5866,0.9006,0.5472,0.4762,0.9204,0.4428,0.9524,0.6244,0.9512,0.5748,0.8854,0.5728,0.8894,0.5506,0.9508,0.5492,0.5086,0.891,0.8966
"1642.MS00474",0.5062,0.9084,0.9484,0.9138,0.5432,0.4728,0.5266,0.8758,0.5788,0.9552,0.926,0.9446,0.9114,0.9528,0.5282,0,0.8816,0.9114,0.9344,0.5258,0.8938,0.494,0.8856,0.4754,0.5382,0.9066,0.4964,0.9392,0.523,0.935,0.4866,0.8766,0.4906,0.8748,0.5624,0.9354,0.5172,0.4814,0.8754,0.8806
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9038,0.854,0.9352,0.8416,0.9242,0.8808,0.8666,0.598,0.8976,0.9506,0.7962,0.9258,0.8868,0.9352,0.8932,0.8816,0,0.8732,0.9196,0.8776,0.8254,0.8978,0.7236,0.9,0.9026,0.8652,0.8778,0.9252,0.9054,0.9262,0.92,0.7094,0.8786,0.5626,0.929,0.9152,0.8804,0.8676,0.509,0.7872
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",0.9358,0.815,0.6198,0.8326,0.9446,0.92,0.9194,0.8568,0.9346,0.6742,0.7512,0.6606,0.6104,0.6124,0.9294,0.9114,0.8732,0,0.5962,0.925,0.8446,0.9304,0.8312,0.9276,0.9344,0.8412,0.9208,0.5548,0.9364,0.4922,0.9408,0.8166,0.926,0.844,0.9514,0.5836,0.928,0.9194,0.8622,0.887
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.9584,0.761,0.7266,0.792,0.9616,0.9398,0.942,0.9092,0.9462,0.569,0.8766,0.6016,0.6356,0.699,0.9468,0.9344,0.9196,0.5962,0,0.9446,0.8634,0.951,0.9034,0.9522,0.9472,0.7888,0.9426,0.5284,0.9544,0.4814,0.9602,0.8638,0.9448,0.9094,0.96,0.6646,0.9484,0.9408,0.9152,0.9148
