"","1642.MS00489","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00568","1642.MS00625","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00409","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00467","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00586","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00584","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00585","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00417","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00489",0,1,1,1,-0.697,-0.614,0.16,1,-0.207,1,1,1,1,1,-0.219,-0.966,1,1,1,-0.237,1,-0.585,1,-1,-0.401,1,-0.267,1,-0.762,1,-0.886,1,-0.766,1,-0.284,1,-0.825,-0.719,1,1
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,0.996,-0.92,1,1,1,1,1,0.716,1,0.821,0.99,0.976,1,1,1,0.958,0.557,1,-0.393,1,0.958,1,1,-0.998,1,0.916,1,0.675,1,0.846,1,1,1,0.956,1,1,1,0.966
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",1,0.996,0,1,1,1,1,0.998,1,-0.827,0.0660000000000001,-1,-0.986,-0.829,1,1,0.998,-0.998,-0.948,1,1,1,1,1,1,0.998,1,-0.986,1,-1,1,0.999,1,1,1,-0.668,1,1,1,1
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.92,1,0,1,1,1,1,1,0.894,1,0.928,0.998,0.994,1,1,1,0.99,0.869,1,0.838,1,0.988,1,1,-0.966,1,0.986,1,0.798,1,0.438,1,1,1,0.975,1,1,1,0.998
"1642.MS00511",-0.697,1,1,1,0,-0.944,0.736,1,0.716,1,1,1,1,1,-1,-0.811,1,1,1,-0.274,1,-0.553,1,-0.976,-0.979,1,-0.976,1,-0.654,1,-0.834,1,0.216,1,-1,1,0.0820000000000001,-0.041,1,1
"1642.MS00568",-0.614,1,1,1,-0.944,0,-0.502,1,0.267,1,1,1,1,1,-0.888,-0.998,1,1,1,-0.719,1,-0.937,1,-0.992,-0.904,1,-0.954,1,-0.83,1,-0.921,1,-0.818,1,-0.935,1,-0.312,-0.873,1,1
"1642.MS00625",0.16,1,1,1,0.736,-0.502,0,1,0.858,1,1,1,1,1,0.184,-0.663,1,1,1,-0.779,1,-0.276,1,0.139,0.927,1,-0.299,1,0.186,1,0.463,1,-0.916,1,0.982,1,-0.335,-0.756,1,1
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.998,1,1,1,1,0,1,0.98,0.512,1,1,1,1,1,-0.745,0.998,1,1,0.884,1,-0.808,1,1,1,1,1,1,1,1,-0.2,1,-0.968,1,1,1,1,-1,0.768
"1642.MS00429",-0.207,1,1,1,0.716,0.267,0.858,1,0,1,1,1,1,1,0.04,0.0509999999999999,1,1,1,0.629,1,0.87,1,0.333,-0.264,1,-0.116,1,0.843,1,0.65,1,0.293,1,0.925,1,-0.587,-0.699,1,1
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",1,0.716,-0.827,0.894,1,1,1,0.98,1,0,0.128,-0.998,-1,-0.998,1,1,1,-0.998,-1,1,0.937,1,0.992,1,1,0.865,1,-1,1,-1,1,0.932,1,0.984,1,-1,1,1,1,0.998
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",1,1,0.0660000000000001,1,1,1,1,0.512,1,0.128,0,0.004,0.498,-0.023,1,1,0.263,-0.451,0.955,1,1,1,0.974,1,1,1,1,0.406,1,0.876,1,0.964,1,0.625,1,-0.3,1,1,0.35,0.998
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",1,0.821,-1,0.928,1,1,1,1,1,-0.998,0.004,0,-0.996,-0.896,1,1,1,-0.979,-1,1,0.998,1,1,1,1,0.982,1,-0.977,1,-1,1,0.978,1,1,1,-0.832,1,1,1,1
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",1,0.99,-0.986,0.998,1,1,1,1,1,-1,0.498,-0.996,0,-0.902,1,1,1,-0.966,-0.928,1,1,1,1,1,1,0.998,1,-1,1,-0.988,1,1,1,1,1,-0.908,1,1,1,1
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",1,0.976,-0.829,0.994,1,1,1,1,1,-0.998,-0.023,-0.896,-0.902,0,1,1,1,-1,-0.934,1,1,1,0.996,1,1,1,1,-0.94,1,-0.954,1,0.994,1,1,1,-1,1,1,1,1
"1642.MS00409",-0.219,1,1,1,-1,-0.888,0.184,1,0.04,1,1,1,1,1,0,-0.796,1,1,1,-0.303,1,0.123,1,-0.767,-0.996,1,-1,1,0.604,1,-0.177,1,-0.212,1,-0.744,1,-0.59,-0.92,1,1
"1642.MS00474",-0.966,1,1,1,-0.811,-0.998,-0.663,1,0.0509999999999999,1,1,1,1,1,-0.796,0,1,1,1,-0.72,1,-0.934,1,-0.996,-0.742,1,-0.955,1,-0.857,1,-0.982,1,-0.956,1,-0.538,1,-0.816,-0.968,1,1
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.998,1,1,1,1,-0.745,1,1,0.263,1,1,1,1,1,0,1,1,1,1,1,0.876,1,1,1,1,1,1,1,1,0.89,1,-0.944,1,1,1,1,-0.994,0.998
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",1,0.958,-0.998,0.99,1,1,1,0.998,1,-0.998,-0.451,-0.979,-0.966,-1,1,1,1,0,-0.994,1,0.998,1,0.984,1,1,1,1,-0.998,1,-1,1,0.966,1,1,1,-1,1,1,1,1
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",1,0.557,-0.948,0.869,1,1,1,1,1,-1,0.955,-1,-0.928,-0.934,1,1,1,-0.994,0,1,1,1,1,1,1,0.845,1,-1,1,-1,1,1,1,1,1,-0.928,1,1,1,1
