"","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00584","1642.MS00489","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00409","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00586","1642.MS00393","1642.MS00391","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00467","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00585","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00417","1642.MS00568","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625"
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",0,0.041039074093,0.0266612323299,0.0680657303762,0.0473878789904,0.1046227920015,0.0455626187972,0.0972138134852,0.1133717700874,0.1133212314597,0.0992041002808,0.0376564404314,0.1040116981764,0.0396070767723,0.0824840725633,0.0358770074589,0.0310495941851,0.1152802629247,0.0870344260881,0.092155181692,0.0347408702825,0.0410663411459,0.0931372549138,0.101343812434,0.0281181001332,0.0335816405288,0.055965780851,0.0443250159278,0.0391545133176,0.1136082177699,0.0972466063079,0.0302562432516,0.0548302164073,0.0953775130636,0.0504730582924,0.0350023573574,0.0904460016355,0.0951528611717,0.0551854950633,0.1074667841178
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.041039074093,0,0.0197513821533,0.047626651701,0.0588638062618,0.1035025379664,0.0459482054185,0.0997449596146,0.1087417098815,0.111429528912,0.0931997085696,0.0228337620192,0.1042001580574,0.0190636488924,0.0843003611472,0.0513872734378,0.0251472474967,0.1135715165005,0.0888665015469,0.0912504102252,0.0555653763112,0.0694384144767,0.0937799577995,0.0989978441463,0.0186050076,0.0167116136143,0.0378029473815,0.0479031652473,0.0205546028065,0.1098593655791,0.0994523168659,0.024054103791,0.0398441026733,0.0987791724234,0.0183289802199,0.0693464305469,0.0913588654178,0.0939399207725,0.0372962030691,0.1076641437195
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",0.0266612323299,0.0197513821533,0,0.0457956473427,0.058853473975,0.1003944319234,0.0383249852182,0.091046278801,0.1051228689758,0.1076011983553,0.0907097093425,0.0240759471722,0.0969187148956,0.018828197378,0.0768200161232,0.0401979233334,0.0200531875063,0.1066879570413,0.0810448958359,0.086680177696,0.0395791476054,0.0525557615461,0.0897861211268,0.0960545878124,0.0168543095974,0.0189279835335,0.0359973821218,0.0373527145409,0.0174367920569,0.1015485912354,0.0894241106148,0.0236827607054,0.0389243976999,0.0888394120694,0.0225509902163,0.0464834069825,0.0827086711395,0.087355028009,0.0389643231009,0.094981962038
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0680657303762,0.047626651701,0.0457956473427,0,0.0348540835279,0.0963423414389,0.0288554246724,0.085132500318,0.0970617462672,0.1005938302117,0.0843221306495,0.0700805630795,0.0909763942905,0.053143386384,0.072100034997,0.0337150687332,0.0595756160494,0.0979089222777,0.0763828260166,0.0867560765672,0.0378636183379,0.0426301946079,0.0875428955327,0.0933753590077,0.0503234421535,0.04354665599,0.0250246764011,0.0292073779686,0.0670047765406,0.0918616209961,0.0800790858719,0.0646259815567,0.0310737754827,0.0822341951268,0.0489924089156,0.0514908646751,0.0758032963565,0.081265981893,0.0243520030144,0.0784333884564
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0473878789904,0.0588638062618,0.058853473975,0.0348540835279,0,0.1047105353737,0.0337412292514,0.0796316623524,0.0953826261821,0.0839912727768,0.0778888052547,0.053013300186,0.0826450329153,0.0727654296357,0.0882657799579,0.0300887001995,0.0577749560756,0.0906411023224,0.0791756726858,0.0881716394058,0.0314624493305,0.0372055678833,0.1040015408311,0.0809079550966,0.0511029981119,0.0409832894743,0.0336889602299,0.0302458593426,0.0555905817516,0.0873906486521,0.0775022928251,0.0765390418977,0.0381964227248,0.0802900242256,0.0593346910926,0.0382560800974,0.0709864221434,0.0871393598684,0.03585353246,0.0757371824259
"1642.MS00578",0.1046227920015,0.1035025379664,0.1003944319234,0.0963423414389,0.1047105353737,0,0.0935753068829,0.0195913478777,0.020344494005,0.0213862079079,0.0268876092113,0.1198950563194,0.0255127012152,0.0982613474601,0.0223841250477,0.0930043214102,0.1128288428043,0.02074403049,0.0254373483792,0.0226037739066,0.0951694714715,0.1024200671392,0.0179333570074,0.0210132823178,0.1041667859898,0.0927444544757,0.0963363758579,0.0982759896724,0.10960716306,0.0234294751743,0.0229970553004,0.1017425110039,0.0991823828088,0.0258835766338,0.1024606772756,0.0999212888659,0.0261155948249,0.021227034901,0.0995452364276,0.0271058971057
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0455626187972,0.0459482054185,0.0383249852182,0.0288554246724,0.0337412292514,0.0935753068829,0,0.0821321301519,0.0963605391976,0.0955036063207,0.0782255487135,0.0609939471752,0.0876176654807,0.041566298298,0.0698258315553,0.0262634461524,0.0496591948334,0.097500266185,0.072861250162,0.0796656902682,0.0231724903931,0.0331934747769,0.0847425025211,0.0875433382108,0.0423609412138,0.0346533240692,0.0289638176069,0.0217643681224,0.0503157758899,0.0898222125575,0.0830151924492,0.0509651565823,0.0245258279257,0.082840738289,0.0435553064792,0.0303463659476,0.074242604923,0.0829957169094,0.0279882487654,0.081317956996
"1642.MS00474",0.0972138134852,0.0997449596146,0.091046278801,0.085132500318,0.0796316623524,0.0195913478777,0.0821321301519,0,0.0215233484207,0.0182730603183,0.0248049732691,0.1173608363191,0.0224973855145,0.0947822455353,0.0181042528288,0.0820117683189,0.1064888951277,0.0215228467755,0.0199712701138,0.0211815954575,0.0841446432331,0.0901505961388,0.0174837692403,0.0186304641528,0.0998865385485,0.0840270541851,0.0876533910128,0.0868469644034,0.1067934801231,0.0214783788992,0.0200484752603,0.0981850208835,0.0897974640934,0.0234803107049,0.0989809252171,0.0864899605541,0.0206961554005,0.0196036598726,0.0889907185443,0.0216330352921
"1642.MS00584",0.1133717700874,0.1087417098815,0.1051228689758,0.0970617462672,0.0953826261821,0.020344494005,0.0963605391976,0.0215233484207,0,0.0210535541035,0.0290119306604,0.1269879024351,0.0249072932494,0.1056179705682,0.0230119050422,0.0956360495512,0.1186407880777,0.0203449183659,0.0261283333665,0.0237246074136,0.0983907565073,0.1090139480402,0.0197145490934,0.0229725536664,0.1091135620752,0.0956657026605,0.0993576947216,0.100870202682,0.1179743692712,0.0223631234699,0.0235157220052,0.1056525815266,0.1023366101512,0.0257841115683,0.1086335943467,0.1025778484215,0.025344870378,0.0225878353715,0.1012346554139,0.0246919280831
"1642.MS00489",0.1133212314597,0.111429528912,0.1076011983553,0.1005938302117,0.0839912727768,0.0213862079079,0.0955036063207,0.0182730603183,0.0210535541035,0,0.0252681819591,0.1282485861743,0.0215267010418,0.1026993576544,0.0189274220938,0.0987900693981,0.1197285347317,0.0224508212514,0.0233950757801,0.0216732298467,0.0882387509933,0.107767413763,0.0177167527212,0.0178296248273,0.1171653818214,0.0975597007642,0.0993347162899,0.0962101110219,0.1145367524262,0.0244799071369,0.021915829749,0.1087762020253,0.107592990765,0.0254451114698,0.1171023013498,0.1028994198845,0.0222473377582,0.0212114013387,0.097418894731,0.0236478140705
