"","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00584","1642.MS00489","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00409","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00586","1642.MS00393","1642.MS00391","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00467","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00585","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00417","1642.MS00568","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625"
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",NA,-2.02344461487893,-6.04689155112005,-1.09012808927074,-1.69414963467474,0.132530594588388,-1.56785677118205,0.214964453480928,0.787687069905647,0.777628824861749,0.1531959809829,-2.50115711899293,0.440885460245027,-1.93129297570134,-0.476533107071437,-4.95293739795112,-2.07658280687528,0.755118924961132,-0.27453083427515,-0.269892788203811,-6.15242224701475,-1.16640141847762,-0.214164787078083,0.309271024733449,-6.75879389684305,-1.77577733845008,-1.78668307583519,-5.51106055545479,-1.99189593862055,0.804653915353875,0.18717878494393,-4.94952965427856,-1.89566890166088,0.129469924882105,-2.91417363915605,-5.63476621160844,-0.0640724402570381,0.0602022723425429,-1.79395709532742,0.815849728320049
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",-2.02344461487893,NA,-6.46621985647024,-3.98157395874328,-3.21403884685842,0.244328270488783,-3.87542120828889,0.988117037075662,1.51100958080386,1.89259531306842,-0.29046114487714,-5.5350578887235,1.34685423075905,-6.33689581396975,-0.505408492721671,-4.16875532884863,-4.56574938308916,1.71380068350494,-0.343903368050305,-0.359643947694592,-4.34508507683225,-2.37656184188914,-0.188170357606722,0.239428388407523,-6.50793204508948,-2.43029613999663,-4.65862638920994,-4.59742875801074,-6.52056289397597,1.89504022199464,0.960090775774748,-5.21832318973952,-4.47902936631974,0.588844406792956,-7.18435484353838,-2.43813334958531,-0.0463211798940049,0.188906454292732,-7.07054336752965,2.03154819391842
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",-6.04689155112005,-6.46621985647024,NA,-3.55191257526108,-0.981973307004637,0.382897114685342,-1.74759448934389,0.836512901135878,0.954312634882921,2.0138814151599,0.097558652465018,-4.43142202473994,1.09386602885381,-4.528868337735,-0.566183028778377,-5.28797043606424,-5.57648794638904,0.886495034710797,-0.306217918891065,-0.237492946641486,-5.14239775333039,-1.41779437758903,-0.116044574625749,0.338382283620987,-5.70047717666555,-6.98688107141413,-4.9542777351516,-4.8473800946053,-5.82635962725477,1.66472791678582,0.504068705404562,-6.47287861244417,-2.03914698676521,0.0731568763924348,-4.35665064831092,-1.88215826710839,-0.164775574935628,0.738417102990838,-5.1382534201713,1.22179915332192
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",-1.09012808927074,-3.98157395874328,-3.55191257526108,NA,-4.46212891722211,8.0313409845615,-6.34892662498197,6.45874364635998,9.33383709388677,7.47603723660699,4.60202050992743,-2.73976696547535,7.5738108065022,-2.37332626220183,3.65371910382772,-6.53895549141289,-2.48783084253622,8.04066103308777,5.38117259159414,5.40963005302413,-5.66350832730484,-4.64718115499598,7.05498355284913,6.79861167619631,-2.9947368726779,-2.58886234935503,-7.11025869943818,-6.57044424437619,-1.52967897231676,7.98137367669424,4.79002117021397,-3.33020301509613,-5.9756634733396,6.41831388158364,-2.39084954187384,-3.80435994722833,4.55895558577973,4.84912318389551,-8.89449312578042,5.47104276450014
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",-1.69414963467474,-3.21403884685842,-0.981973307004637,-4.46212891722211,NA,1.93892281822804,-5.84622551394958,3.29825004832136,4.19755579413516,2.98055017251845,2.50167577997288,-3.94735392925816,5.18213664970134,-0.627963331036288,0.972119450466047,-7.01422968855261,-2.54795291842587,6.91419345748495,1.11002877786114,1.44393343902437,-7.92727787547583,-6.25024535945131,1.36282065506759,1.4711921672435,-3.38199949391544,-3.42023993022795,-6.10302751185387,-7.68270511043653,-2.18515978982765,5.32570544027033,3.07392306839525,-1.0626309633648,-5.20449560504034,2.49373214579946,-1.67145363017058,-7.73575644551046,2.02453741056006,2.3071803358466,-6.45248985282659,5.39453872146307
"1642.MS00578",0.132530594588388,0.244328270488783,0.382897114685342,8.0313409845615,1.93892281822804,NA,1.24488159719668,-5.10899785931973,-2.7033253255859,-3.32071752034931,-3.7505044473567,0.0229699777173434,-4.46692948193351,-0.025611240664033,-5.19391317027539,1.05954837880407,0.129128427879824,-3.24238217738116,-3.887586937976,-4.10851799759461,1.14306255176169,11.1966084207881,-4.33438426655804,-3.13977964561669,0.0964357149331598,0.159950964532868,1.06972853443164,8.77048525492879,0.0829681094487609,-3.05031245618257,-5.51529374520654,-0.623099428766014,1.28251634891082,-3.13486958594753,0.413884447988947,9.34137106831452,-4.21116858543756,-3.64206032768067,1.31264915475577,-4.80817426938439
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",-1.56785677118205,-3.87542120828889,-1.74759448934389,-6.34892662498197,-5.84622551394958,1.24488159719668,NA,3.67438811347659,5.34365028252584,5.64894515366255,2.7649295065682,-3.54606553859317,6.62464625111204,-1.49774774402724,0.00175186714578873,-6.52539991359313,-2.65415244395412,8.1243955891873,0.480119879123087,0.618133073306606,-7.29353575018488,-3.9124278093184,0.457352240484542,2.43645673610168,-3.77682912023889,-4.33823785086425,-8.21352344936179,-6.29250705172236,-2.04715282892191,6.41989342562988,5.16902812760336,-1.91236122227573,-9.91926334977797,2.50549627189633,-2.5840093214165,-8.0120681069175,2.43727173756238,1.77774818657022,-10.3279979720212,6.50575498635948
"1642.MS00474",0.214964453480928,0.988117037075662,0.836512901135878,6.45874364635998,3.29825004832136,-5.10899785931973,3.67438811347659,NA,-3.44646758936347,-4.51241434470167,-3.04821080077421,0.477754747025111,-3.62004042265647,0.275427168425015,-5.3572701651573,3.06685209081309,0.174654376432464,-2.88261463515057,-3.21755320405846,-3.25671723655986,3.58488873519026,8.75686088328971,-5.56688589443692,-3.25075257960818,0.642058358319444,0.213355312527581,3.36185542924474,6.97757708938794,0.383882290164603,-2.99113284117935,-3.82317540796175,-0.691850264518485,3.90577524162008,-3.00291543097943,1.23971657495782,7.97644401529304,-3.06603312855519,-4.13714231427837,3.62245679073507,-3.89972887302922
"1642.MS00584",0.787687069905647,1.51100958080386,0.954312634882921,9.33383709388677,4.19755579413516,-2.7033253255859,5.34365028252584,-3.44646758936347,NA,-3.52251745632702,-2.34377783785463,1.06158899646624,-3.51500223750525,0.451035317422103,-3.5938310220617,4.59085926203805,0.801797885998442,-2.63043483677849,-2.43831183311891,-3.42986763167056,5.40262060487414,14.3302005466888,-4.05809791649684,-2.49632763384291,1.23780762382227,1.13007883447039,4.92191920606874,10.3677582686333,0.740605258913265,-2.9524011172618,-3.93689043028846,-0.201903519589816,5.63473801914611,-2.70431053932983,1.51491237231472,11.4661301699577,-2.67165293379095,-1.93364710660279,5.44615433423623,-4.08608681244936
"1642.MS00489",0.777628824861749,1.89259531306842,2.0138814151599,7.47603723660699,2.98055017251845,-3.32071752034931,5.64894515366255,-4.51241434470167,-3.52251745632702,NA,-2.58130225292934,1.03681130821439,-3.17032857869231,0.547370483193389,-4.57640942260594,5.58817291131375,0.848930844914595,-3.11774441855224,-2.4901065133143,-3.35401923020362,4.30154854093463,9.70587604479039,-5.00810318994228,-4.58701986579174,2.01609165502413,1.34901600967354,5.25191317435814,5.92302695736681,0.48708996290797,-2.66391184757446,-4.12850076500583,-0.205920952513338,6.77734963772528,-2.68469840121114,2.69629667211382,8.48332940965189,-3.03657450823193,-3.81709675192322,4.99310329798337,-4.83356294002728
