"","1642.MS00545","1642.MS00355","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00379","1642.MS00401","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00562","1642.MS00358","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00580","1001.SKM9","1642.MS00613","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00462","1001.SKB9","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00360","1642.MS00463","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414"
"1642.MS00545",0,0.631,0.916,0.9006,0.5492,0.6228,0.51,0.9566,0.9044,0.9322,0.5364,0.435,0.8026,0.9564,0.9528,0.9824,0.5556,0.9516,0.9306,0.9056,0.919,0.5346,0.9938,0.6606,0.9554,0.597,0.5188,0.9866,0.9506,0.9404,0.6346,0.514,0.5376,0.9472,0.9038,0.4882,0.9256,0.612,0.879,0.5598
"1642.MS00355",0.631,0,0.9274,0.9222,0.6364,0.6246,0.6256,0.9524,0.9282,0.9306,0.6304,0.6274,0.6846,0.9502,0.952,0.983,0.71,0.9568,0.9288,0.9126,0.9282,0.6838,0.9926,0.7882,0.958,0.6516,0.6758,0.9854,0.9442,0.941,0.4542,0.68,0.699,0.942,0.9182,0.6346,0.926,0.7376,0.899,0.6078
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.916,0.9274,0,0.5566,0.8926,0.9116,0.8944,0.8918,0.6514,0.793,0.8798,0.9102,0.9548,0.8538,0.8626,0.9544,0.9148,0.8964,0.7932,0.9022,0.8748,0.9296,0.9792,0.9196,0.903,0.921,0.892,0.9464,0.8154,0.842,0.9426,0.914,0.919,0.857,0.6206,0.9274,0.7414,0.9352,0.6412,0.9208
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9006,0.9222,0.5566,0,0.8806,0.9038,0.8784,0.8694,0.523,0.8146,0.8728,0.8944,0.9546,0.8578,0.8532,0.9596,0.898,0.874,0.778,0.8888,0.8638,0.919,0.9782,0.9024,0.8734,0.911,0.876,0.9666,0.8414,0.8242,0.9358,0.908,0.8982,0.8496,0.5022,0.9138,0.7554,0.9334,0.5854,0.91
"1642.MS00403",0.5492,0.6364,0.8926,0.8806,0,0.5054,0.4412,0.9508,0.8904,0.921,0.4614,0.5156,0.8102,0.945,0.9434,0.9796,0.5456,0.9484,0.9126,0.8946,0.9078,0.5814,0.9938,0.6712,0.9462,0.498,0.4786,0.9836,0.9374,0.93,0.643,0.553,0.5256,0.9378,0.8904,0.549,0.9098,0.6408,0.8506,0.5064
"1642.MS00379",0.6228,0.6246,0.9116,0.9038,0.5054,0,0.5048,0.9588,0.9098,0.9334,0.5248,0.6038,0.7886,0.9576,0.9572,0.9832,0.6102,0.9576,0.9286,0.913,0.9238,0.6144,0.9936,0.7062,0.959,0.4852,0.5694,0.9864,0.9534,0.944,0.555,0.6052,0.6072,0.9498,0.9028,0.538,0.9198,0.6672,0.8772,0.5038
"1642.MS00401",0.51,0.6256,0.8944,0.8784,0.4412,0.5048,0,0.9494,0.8864,0.9196,0.4508,0.4918,0.79,0.9442,0.9436,0.9846,0.511,0.949,0.9144,0.9,0.9104,0.5328,0.9926,0.6568,0.9502,0.4724,0.469,0.9874,0.9388,0.93,0.6214,0.502,0.5182,0.9364,0.885,0.5004,0.908,0.6088,0.854,0.4866
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.9566,0.9524,0.8918,0.8694,0.9508,0.9588,0.9494,0,0.877,0.7448,0.9436,0.9566,0.979,0.5828,0.4152,0.9598,0.9646,0.4228,0.655,0.8526,0.6948,0.963,0.9842,0.9656,0.5678,0.9576,0.9448,0.962,0.7692,0.5604,0.965,0.9556,0.958,0.5256,0.8598,0.9618,0.7548,0.963,0.881,0.9574
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9044,0.9282,0.6514,0.523,0.8904,0.9098,0.8864,0.877,0,0.8082,0.8774,0.9,0.9622,0.8778,0.8678,0.9746,0.912,0.8748,0.8042,0.8838,0.8642,0.9198,0.983,0.8948,0.8794,0.9132,0.882,0.9706,0.8636,0.8312,0.9374,0.9146,0.904,0.8674,0.4346,0.9196,0.7652,0.9372,0.5754,0.9122
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",0.9322,0.9306,0.793,0.8146,0.921,0.9334,0.9196,0.7448,0.8082,0,0.907,0.9284,0.9568,0.6182,0.7844,0.9502,0.9426,0.7572,0.6952,0.7548,0.7976,0.9442,0.9536,0.9466,0.7722,0.939,0.9188,0.9404,0.48,0.5976,0.9444,0.93,0.9352,0.6736,0.7988,0.9418,0.4946,0.9434,0.813,0.9298
"1642.MS00387",0.5364,0.6304,0.8798,0.8728,0.4614,0.5248,0.4508,0.9436,0.8774,0.907,0,0.5144,0.8064,0.9402,0.939,0.9802,0.5432,0.9448,0.9062,0.8832,0.8898,0.5588,0.9906,0.6348,0.939,0.5124,0.482,0.9808,0.9328,0.9212,0.6254,0.5496,0.5298,0.9292,0.8756,0.5412,0.8968,0.6314,0.844,0.4854
"1642.MS00562",0.435,0.6274,0.9102,0.8944,0.5156,0.6038,0.4918,0.9566,0.9,0.9284,0.5144,0,0.7886,0.9532,0.9522,0.9836,0.5264,0.955,0.9228,0.9098,0.9222,0.4968,0.9924,0.659,0.9538,0.5798,0.5016,0.9882,0.9478,0.9374,0.6324,0.5096,0.5116,0.9432,0.8942,0.4772,0.9202,0.5812,0.868,0.5432
"1642.MS00358",0.8026,0.6846,0.9548,0.9546,0.8102,0.7886,0.79,0.979,0.9622,0.9568,0.8064,0.7886,0,0.969,0.9766,0.9824,0.8486,0.9768,0.9498,0.963,0.9586,0.8068,0.9888,0.8958,0.9776,0.8214,0.8324,0.9866,0.961,0.9672,0.6586,0.813,0.8444,0.9636,0.9528,0.786,0.9608,0.84,0.9516,0.7722
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.9564,0.9502,0.8538,0.8578,0.945,0.9576,0.9442,0.5828,0.8778,0.6182,0.9402,0.9532,0.969,0,0.6258,0.9498,0.9616,0.6798,0.5956,0.8678,0.7564,0.961,0.9598,0.9638,0.6212,0.9552,0.946,0.9362,0.6272,0.5846,0.9624,0.9502,0.9544,0.51,0.8624,0.9592,0.6992,0.9538,0.8772,0.952
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.9528,0.952,0.8626,0.8532,0.9434,0.9572,0.9436,0.4152,0.8678,0.7844,0.939,0.9522,0.9766,0.6258,0,0.9714,0.9576,0.5,0.5986,0.8844,0.738,0.9606,0.987,0.9598,0.6184,0.9536,0.9422,0.9676,0.7982,0.5502,0.967,0.9504,0.9516,0.5142,0.8574,0.9608,0.7722,0.9594,0.873,0.9538
"1001.SKD7",0.9824,0.983,0.9544,0.9596,0.9796,0.9832,0.9846,0.9598,0.9746,0.9502,0.9802,0.9836,0.9824,0.9498,0.9714,0,0.9866,0.9652,0.958,0.968,0.964,0.9876,0.8082,0.9888,0.97,0.9854,0.9816,0.6994,0.9258,0.9696,0.9854,0.9836,0.9858,0.954,0.9654,0.9854,0.9534,0.9848,0.9622,0.9806
