"","1642.MS00545","1642.MS00355","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00379","1642.MS00401","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00562","1642.MS00358","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00580","1001.SKM9","1642.MS00613","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00462","1001.SKB9","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00360","1642.MS00463","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414"
"1642.MS00545",0,0.297,1,1,-0.348,0.594,-0.827,1,1,1,-0.501,-0.998,0.952,1,1,1,-0.322,1,1,1,1,-0.626,1,0.934,1,0.319,-0.715,1,1,1,0.35,-0.81,-0.55,1,1,-0.962,1,0.545,1,-0.272
"1642.MS00355",0.297,0,1,1,0.384,0.0600000000000001,0.198,1,1,1,0.298,0.25,-0.585,1,1,1,0.986,1,1,1,1,0.886,1,1,1,0.599,0.867,1,1,1,-1,0.909,0.972,1,1,0.252,1,1,1,-0.087
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0,-0.77,1,1,1,0.924,0.464,0.946,1,1,1,0.876,0.948,1,1,0.992,0.98,1,1,1,1,1,1,1,1,0.938,0.942,0.988,1,1,1,0.975,-0.035,1,0.859,1,0.435,1
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-0.77,0,1,1,1,0.694,-0.954,0.994,1,1,1,0.901,0.883,1,1,0.88,0.946,1,1,1,1,1,0.972,1,1,1,0.992,0.95,1,1,1,0.948,-0.982,1,0.924,1,-0.365,1
"1642.MS00403",-0.348,0.384,1,1,0,-0.905,-0.996,1,1,1,-0.993,-0.744,0.978,1,1,1,-0.307,1,1,1,1,0.203,1,0.986,1,-0.879,-0.932,1,1,1,0.528,-0.161,-0.53,1,1,-0.381,1,0.914,1,-0.826
"1642.MS00379",0.594,0.0600000000000001,1,1,-0.905,0,-0.898,1,1,1,-0.744,0.365,0.876,1,1,1,0.487,1,1,1,1,0.484,1,0.99,1,-0.978,-0.106,1,1,1,-0.76,0.387,0.437,1,1,-0.698,1,0.952,1,-0.932
"1642.MS00401",-0.827,0.198,1,1,-0.996,-0.898,0,1,1,1,-0.996,-0.92,0.918,1,1,1,-0.78,1,1,1,1,-0.636,1,0.916,1,-0.97,-0.977,1,1,1,0.121,-0.837,-0.683,1,1,-0.91,1,0.547,1,-0.948
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",1,1,0.924,0.694,1,1,1,0,0.774,-0.846,1,1,1,-0.998,-1,0.98,1,-1,-0.993,0.288,-0.938,1,0.99,1,-1,1,1,0.929,-0.754,-0.998,1,1,1,-1,0.535,1,-0.817,1,0.854,1
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.464,-0.954,1,1,1,0.774,0,0.972,1,1,1,0.98,0.974,1,1,0.883,0.988,1,1,1,1,1,0.988,1,1,1,1,0.962,1,1,1,0.998,-1,1,0.959,1,-0.589,1
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",1,1,0.946,0.994,1,1,1,-0.846,0.972,0,1,1,1,-0.984,-0.196,0.988,1,-0.712,-0.502,0.0129999999999999,0.551,1,0.79,1,-0.459,1,1,0.811,-1,-0.984,1,1,1,-0.888,0.972,1,-1,1,0.992,1
"1642.MS00387",-0.501,0.298,1,1,-0.993,-0.744,-0.996,1,1,1,0,-0.75,0.97,1,1,1,-0.379,1,1,1,1,-0.202,1,0.8,1,-0.786,-0.908,1,1,1,0.213,-0.223,-0.531,1,1,-0.481,1,0.845,1,-0.961
"1642.MS00562",-0.998,0.25,1,1,-0.744,0.365,-0.92,1,1,1,-0.75,0,0.898,1,1,1,-0.65,1,1,1,1,-0.934,1,0.931,1,0.0669999999999999,-0.828,1,1,1,0.34,-0.826,-0.784,1,1,-0.976,1,0.0800000000000001,1,-0.511
