"","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00601","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00545","1642.MS00401","1642.MS00636","1001.SKM9","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00358","1642.MS00438","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00414","1642.MS00463","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1001.SKB9","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00355","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","1642.MS00419","1642.MS00580","1642.MS00462","1642.MS00379","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00562","1642.MS00360"
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0,0.0945835699954,0.0433856939497,0.0853031837502,0.0809774567367,0.095662459235,0.1471829633643,0.0527933131451,0.1138249496753,0.0435873712421,0.0423756960747,0.0547720343014,0.0797844035384,0.1134511546515,0.0852980595375,0.0402767228039,0.0349621585979,0.0772852825808,0.0854639732296,0.086218986422,0.0503541480686,0.0366278365321,0.0380296210834,0.039002387816,0.0937273150053,0.017381106329,0.1005765667169,0.0578365897976,0.0395106573022,0.0669174923755,0.0440534265763,0.0461256607512,0.099422968036,0.0911498823,0.0989356056389,0.0863124621561,0.0841072432949,0.038311744117,0.0840867912964,0.0862166809394
"1642.MS00601",0.0945835699954,0,0.1163846901229,0.0232840848639,0.0235821929237,0.026719645458,0.1846292184981,0.0978125935367,0.0351165621884,0.1031112977596,0.1220608449743,0.0951334754774,0.0259698122793,0.0877342996776,0.0267548569822,0.1004521966345,0.0927102956621,0.0275699410499,0.0268702408626,0.0246609517903,0.0959209226428,0.0922449970662,0.1015378060443,0.125809614499,0.1618661312652,0.0990421927981,0.1609898362725,0.0940816258839,0.1133566845431,0.0392050219044,0.110055903366,0.0962989334198,0.028031478977,0.0269148217143,0.0227641181545,0.0240569967122,0.0310588083448,0.1133744525387,0.0228821452687,0.0410024838331
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.0433856939497,0.1163846901229,0,0.1069469359647,0.0981722572004,0.1163839134343,0.1326861412283,0.0565662038033,0.1224590372685,0.022529338859,0.0195206053386,0.0570517621845,0.0994794679041,0.126880056344,0.1057665291113,0.0310919947592,0.032044006162,0.1005602463138,0.1059679285051,0.1042565889602,0.0513085800055,0.0595864632451,0.0336573741859,0.0200164318803,0.0898290933822,0.0305931130863,0.0913662197095,0.0602288796525,0.0199935618778,0.0889178538415,0.0195549580743,0.0247447528215,0.1162208451768,0.1138157648124,0.1172124675951,0.107715513742,0.1059452331225,0.023602346896,0.1042456263753,0.099057517555
"1642.MS00545",0.0853031837502,0.0232840848639,0.1069469359647,0,0.0196909797029,0.0229800890935,0.1932390210401,0.0914333962412,0.0318272367278,0.0957137153958,0.1142044502747,0.0890116340148,0.0229497594625,0.0719731558298,0.020700663162,0.0929421411398,0.0876894101,0.0231692313666,0.0239486168695,0.0231398231394,0.0894935084695,0.0864936082943,0.0942980568279,0.1181498627898,0.1472727928929,0.090643121689,0.1451353273136,0.0876674260127,0.1053997434328,0.0337906003653,0.1028422844929,0.0917327761321,0.0297644257109,0.0246269025997,0.0238409065364,0.0208236016869,0.026343959085,0.1048996708063,0.0199417624729,0.0350499554271
"1642.MS00401",0.0809774567367,0.0235821929237,0.0981722572004,0.0196909797029,0,0.0253758644484,0.1751560739223,0.0832463126286,0.0332270754699,0.0886084355917,0.1017874418901,0.082502010247,0.0201365538211,0.0701621702707,0.0202577297134,0.0880333289304,0.0811272309273,0.0200384130251,0.0208538232366,0.0225702950568,0.0805081017692,0.0803302746829,0.0879764935814,0.1083094373288,0.1463086695476,0.0823831815408,0.1451501731243,0.0812492204367,0.0962844687311,0.0289216004155,0.0956480672169,0.0819516422956,0.0302676393617,0.0200940735863,0.0245860852568,0.0205043612061,0.0202349012955,0.0955643102368,0.0213987897135,0.0282633982321
"1642.MS00636",0.095662459235,0.026719645458,0.1163839134343,0.0229800890935,0.0253758644484,0,0.1736952290873,0.0996768247651,0.0360988939709,0.1023961168959,0.1183519028503,0.0950920301393,0.0262721039213,0.0773250290755,0.0265661914442,0.100576296697,0.0935007446208,0.0258417678636,0.0282727159011,0.0275841552885,0.0945686303402,0.0888053906133,0.1009220859102,0.1233150419918,0.1587030508145,0.0990459083985,0.1513324666955,0.0965778169482,0.1132932598747,0.0372896543215,0.1086804805113,0.0979632039342,0.0296763572361,0.0290867746936,0.0265531759593,0.0241996608478,0.029499902191,0.1108900146511,0.0241833463923,0.0376062512421
"1001.SKM9",0.1471829633643,0.1846292184981,0.1326861412283,0.1932390210401,0.1751560739223,0.1736952290873,0,0.1138600615292,0.1898146716232,0.1222655353112,0.1063002559375,0.1355816084396,0.1637957205913,0.1826609926299,0.2009853958585,0.1089986718239,0.1450540424898,0.1686726626712,0.1729199969279,0.1783401915002,0.141539309519,0.1365960278733,0.1204121372083,0.1120747042038,0.0366623836682,0.1092505670421,0.0294335587001,0.1541992584442,0.0932990727737,0.1557824168613,0.0891094474193,0.1266847960213,0.1707378286103,0.1750475339072,0.1894401145583,0.1779153621266,0.1592658641051,0.1025950953839,0.1889323887218,0.1603222503353
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0527933131451,0.0978125935367,0.0565662038033,0.0914333962412,0.0832463126286,0.0996768247651,0.1138600615292,0,0.105275681242,0.0396314421001,0.0494958720657,0.0320246633346,0.0822461294967,0.1121377694314,0.0884392351446,0.0329062107893,0.0349762941642,0.0792623913132,0.089939311054,0.0896540883026,0.0263622149069,0.035523045004,0.0328812150435,0.0536233073726,0.0969387641114,0.0440989729655,0.0882083214601,0.0363287800526,0.0428911482304,0.0768637002741,0.043130473291,0.0355829099668,0.1009682298793,0.0931881450782,0.0996516494711,0.0908068426767,0.0862959918065,0.0473110243852,0.0889976796388,0.0852366996867
"1642.MS00613",0.1138249496753,0.0351165621884,0.1224590372685,0.0318272367278,0.0332270754699,0.0360988939709,0.1898146716232,0.105275681242,0,0.1091515704039,0.1282635157469,0.0916238302174,0.0375109765881,0.1076137806595,0.030572511974,0.1135617457352,0.1023349947911,0.0333253739757,0.0344444214444,0.0374457826022,0.0933947662864,0.0964240247248,0.1178233482924,0.1315655504084,0.173742896058,0.1139803189677,0.1643800082884,0.0944398967256,0.1265655321035,0.0490379184084,0.1223040060149,0.1015156711256,0.0395612223743,0.033358958092,0.0317390942379,0.0294866737618,0.0391511472309,0.1171603263762,0.0311346778891,0.0490109606312
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.0435873712421,0.1031112977596,0.022529338859,0.0957137153958,0.0886084355917,0.1023961168959,0.1222655353112,0.0396314421001,0.1091515704039,0,0.0168642903029,0.0384223078303,0.0882679527054,0.1055205305676,0.0928912158064,0.0196242283398,0.0223732034111,0.0856002409942,0.0934814123251,0.0926001344181,0.0355355005811,0.0460614162869,0.0245124503724,0.0181727283384,0.0775448537255,0.0297097037018,0.0648487223817,0.0398587713685,0.0179477243679,0.0809846316812,0.0173370820422,0.0158303868049,0.1042343904926,0.0977813887664,0.1035235104613,0.0992673643152,0.0952011974421,0.0206652253339,0.0916502497954,0.0897898818697
