"","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00601","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00545","1642.MS00401","1642.MS00636","1001.SKM9","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00358","1642.MS00438","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00414","1642.MS00463","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1001.SKB9","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00355","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","1642.MS00419","1642.MS00580","1642.MS00462","1642.MS00379","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00562","1642.MS00360"
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",NA,0.350095151018017,-4.2649852057453,-0.280067350935665,-0.85859779578241,0.916329377760638,-0.893904082164829,-4.52498391128346,2.339131544996,-4.13967289717267,-4.53121840552692,-3.39724758554203,-0.76878029633929,-0.147311557682496,-0.429938901541376,-4.17067497814511,-5.02781003917515,-0.406162680263775,-0.555616527170839,-0.219324221781737,-4.22313448468729,-3.96562174935117,-4.95197286743863,-3.91439314743231,-3.38577073227562,-6.72754083043153,-2.6362719771493,-3.09088425047734,-3.43258346692327,-2.11019296739464,-4.81911504613286,-4.132661151107,1.24852786419261,0.0550363331561921,0.687410692518009,0.180248275589362,-0.808794579624495,-4.15444653063349,-0.369818856668318,-0.799691959635488
"1642.MS00601",0.350095151018017,NA,1.56431698160586,-4.76510785809588,-4.24374560360164,-1.9909244336668,2.7131612024696,5.68923978628384,-2.46292053474521,0.472076226916682,1.10454679800787,7.1553550367621,-3.7394050122537,2.27752425289693,-3.99014123873661,1.46968033060634,0.865059661506934,-2.60337277680042,-3.50848867648812,-4.20009996759324,7.0778001752311,7.69833864653466,0.82946715788937,1.04764521138416,3.06223350090472,0.603055891410035,1.76857903860078,6.2763176708011,1.24097229971247,-1.90587052762771,0.673161891775482,0.927856348482824,-3.61399854576784,-3.63564431609882,-3.48411597930094,-4.80931787006223,-3.38264219733109,0.30467586386866,-4.62958434127369,-2.19742560499129
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",-4.2649852057453,1.56431698160586,NA,0.190861809705853,-0.32063647916057,2.1559474740735,-2.21480980147743,-4.69727279096388,1.92266233042587,-5.46339970998272,-4.87773211323554,-3.53142571943112,-0.152788329095567,-0.0613017930795637,-0.105922666558211,-5.21956621808155,-5.56286140717524,0.235728335202412,0.0432459876951446,0.249007559457738,-5.18613429029586,-4.18794467542988,-5.15161402833515,-5.58868993597937,-4.57493674692857,-5.55685636108883,-3.88946750560506,-3.19976954397969,-6.20437171933787,-1.18145411229104,-4.92935753204505,-4.31685633974971,1.57517027763593,1.66804815564438,1.08519038983718,1.24043339650626,0.198878254501343,-5.4537106509513,0.0994034093364345,-0.734543954984222
"1642.MS00545",-0.280067350935665,-4.76510785809588,0.190861809705853,NA,-5.17880358271579,-3.33722168427363,2.36910279521659,1.08208883694932,-2.5528663500966,-0.241190108601815,0.386170399769672,1.04840838660015,-3.94501178645209,-0.236608234110415,-5.24629993408798,0.101071814203174,-0.00631286828514321,-3.4600605178025,-4.19340913634567,-4.42034408426709,1.12935712690853,1.19728811024135,-0.256865387238053,0.235228222781211,0.66087862017383,-0.153276848720193,0.331372201825131,0.906351566179066,0.273276609338409,-2.24149150123492,-0.259906334531097,0.00241790549015859,-3.13772981229182,-4.95295575631413,-3.69415578699158,-4.54476333333984,-4.62180203675047,-0.368057976769871,-5.11702064533145,-2.56106141444595
"1642.MS00401",-0.85859779578241,-4.24374560360164,-0.32063647916057,-5.17880358271579,NA,-2.38942373314244,1.91897244127625,1.7812736066948,-3.24119280009455,-0.763442627123988,-0.203863961993837,2.17444676502028,-2.36507152930281,0.391889460601318,-5.19643198382585,0.0132758917652559,-0.358566680850681,-3.3452080399591,-4.84914798892076,-5.14270651996685,1.90920703727759,2.94845866501321,-0.687965535312063,-0.272320400988102,1.12066808133435,-1.01472354059896,0.410460148972599,1.72963796642591,-0.200669811325868,-2.04257275430652,-0.964451090043786,-0.664094457092541,-4.2672384196134,-4.49887049342133,-3.24069164724221,-4.49472111513909,-5.31694076036273,-1.00300290469113,-4.08218988503641,-2.73558503129329
"1642.MS00636",0.916329377760638,-1.9909244336668,2.1559474740735,-3.33722168427363,-2.38942373314244,NA,1.88120861990961,7.14694477214119,-0.0888068441299448,0.472717056267198,1.04511003643803,7.36899906707034,-1.88882718649223,0.900432723771448,-2.00360480630346,1.48524040034891,0.862369855532859,-2.574786680093,-2.52140820106778,-3.23566114936775,7.92594455946728,7.82091116785508,0.965623355731325,1.03824024304962,2.72429995766536,1.11526895312625,1.25456766330726,7.29115802439568,1.44742425401716,-1.62873552418754,0.636061341915494,1.46985942524191,-4.36765732061626,-1.16849463571901,-2.34301184745464,-2.2552338792959,-3.69241466044169,0.169455761795266,-1.80888041979594,-1.9147486084493
"1001.SKM9",-0.893904082164829,2.7131612024696,-2.21480980147743,2.36910279521659,1.91897244127625,1.88120861990961,NA,-2.26102612352235,2.85944426522746,-1.90458411695754,-2.35256209755403,-0.820579327904071,1.31542878861788,0.959961664246882,2.16738997915481,-2.59435628710896,-0.257196109280787,1.59135942774504,1.53312370903763,2.27799509599649,-0.251348309157418,-0.702634099469007,-1.71687817029819,-2.57412399256962,-3.57172540260287,-3.00969244118288,-2.8591235719961,0.152519961366875,-3.12247147177052,-0.0451362610677248,-4.02209031037196,-1.47369108171014,1.61051804589045,2.31511044951141,2.65194838338518,2.36027714092482,0.655280798350353,-2.72481948744837,2.07344146282586,0.28738272707629
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",-4.52498391128346,5.68923978628384,-4.69727279096388,1.08208883694932,1.7812736066948,7.14694477214119,-2.26102612352235,NA,6.45893025574232,-4.07865224154667,-2.510231954954,-3.7506018275976,3.04507528353918,1.23684462799852,0.489974336268943,-4.95533965216233,-2.67719925920056,2.12439983609252,2.740666345694,2.33120432801994,-4.82834847073042,-3.62895015443322,-4.01248890257392,-3.60266280343153,-3.64138371874742,-6.11759644949323,-3.95337080437423,-2.94244307622357,-3.56572836542551,-0.724725731799589,-6.03264203177621,-4.6021059324707,4.09233932682173,4.85594147068423,2.64305564268864,5.7064908972231,2.46223584376841,-3.55286028482201,0.962305103261232,-0.0276937767884441
"1642.MS00613",2.339131544996,-2.46292053474521,1.92266233042587,-2.5528663500966,-3.24119280009455,-0.0888068441299448,2.85944426522746,6.45893025574232,NA,0.84398422055966,1.32206955796412,6.3347582088209,-1.47785682158656,4.4300286046098,-3.78028813173801,2.47272642188486,1.35833229830708,-2.06145354671142,-3.55156446353704,-2.91020869083461,5.73625237228778,9.62813097272686,1.80844785151137,1.32553786203372,4.27696903857558,2.16399457352091,2.78759380763821,6.58837663529119,2.09499325864902,-1.46816522528235,1.50254812474735,1.30218465507438,-2.59315328934905,-3.32691170316423,-3.61293669162006,-3.91827723945146,-3.08565207414349,0.387141919973837,-2.78049823219143,-1.44197233862198
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",-4.13967289717267,0.472076226916682,-5.46339970998272,-0.241190108601815,-0.763442627123988,0.472717056267198,-1.90458411695754,-4.07865224154667,0.84398422055966,NA,-6.11179482148627,-5.5783384807468,-0.864703570193671,-1.25099835083844,-0.420655161690512,-5.90387515756928,-7.02913589165267,-0.353774171210822,-0.515791546932023,-0.447812031154649,-6.59844216102856,-4.91152150902034,-6.21011617430337,-6.67643014918028,-4.27442354355771,-5.90495516979192,-4.54628401879663,-5.27179244212651,-6.73605964625774,-1.44484562886456,-7.3439138632756,-3.46384682008153,1.24360553236505,-0.0167661661507823,0.193747283602698,0.478831128315387,-0.601722162438294,-6.62187286579958,-0.416467898953417,-1.14274859078817
