"","1642.MS00354","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00620","1642.MS00388","1642.MS00625","1642.MS00569","1642.MS00429","1642.MS00541","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","1642.MS00491","1642.MS00437","1642.MS00418","1642.MS00614","1642.MS00363","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00338","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00412","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00498"
"1642.MS00354",0,0.9562,0.8022,0.6654,0.8082,0.7812,0.7238,0.785,0.9756,0.6604,0.9776,0.9476,0.667,0.9584,0.6286,0.7636,0.9522,0.9542,0.8072,0.7906,0.7344,0.7296,0.8306,0.588,0.9572,0.9602,0.6762,0.9818,0.534,0.952,0.7658,0.6552,0.9746,0.9556,0.5938,0.9526,0.963,0.5696,0.9768,0.7048
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9562,0,0.913,0.9398,0.897,0.9044,0.9164,0.9178,0.9086,0.9738,0.8976,0.8746,0.9562,0.742,0.9376,0.8954,0.8748,0.7992,0.913,0.8972,0.9148,0.9102,0.9224,0.9058,0.8154,0.5682,0.9078,0.9342,0.9462,0.5044,0.937,0.922,0.8756,0.6914,0.9308,0.7414,0.7006,0.9466,0.8988,0.915
"1642.MS00620",0.8022,0.913,0,0.6886,0.5208,0.5066,0.6348,0.5384,0.9706,0.9198,0.965,0.905,0.7922,0.8962,0.6894,0.4966,0.9292,0.9404,0.5194,0.5538,0.541,0.5518,0.529,0.6544,0.9548,0.9082,0.5612,0.9746,0.75,0.8884,0.634,0.5922,0.9578,0.8868,0.6262,0.9214,0.9056,0.735,0.9654,0.5854
"1642.MS00388",0.6654,0.9398,0.6886,0,0.6894,0.6482,0.5818,0.6808,0.972,0.8412,0.9416,0.9088,0.7254,0.9442,0.525,0.6394,0.9326,0.9236,0.6982,0.6804,0.5976,0.5918,0.714,0.556,0.9304,0.9448,0.565,0.9688,0.5404,0.9314,0.6532,0.5774,0.9538,0.9362,0.588,0.9144,0.9462,0.6264,0.9436,0.616
"1642.MS00625",0.8082,0.897,0.5208,0.6894,0,0.4676,0.6308,0.5648,0.9638,0.9224,0.9582,0.896,0.7918,0.8932,0.7074,0.479,0.9142,0.9296,0.484,0.4836,0.5184,0.553,0.487,0.6104,0.9444,0.8908,0.5416,0.9694,0.7504,0.8788,0.6224,0.5812,0.9498,0.8796,0.6464,0.91,0.8972,0.7484,0.958,0.5688
"1642.MS00569",0.7812,0.9044,0.5066,0.6482,0.4676,0,0.6002,0.528,0.9652,0.9042,0.9598,0.891,0.7746,0.9008,0.6654,0.464,0.91,0.9298,0.4946,0.5166,0.496,0.5146,0.512,0.5856,0.945,0.8958,0.4974,0.968,0.719,0.8848,0.5758,0.536,0.9484,0.8894,0.607,0.9164,0.9012,0.7288,0.9578,0.525
"1642.MS00429",0.7238,0.9164,0.6348,0.5818,0.6308,0.6002,0,0.6076,0.9696,0.866,0.9644,0.9148,0.7164,0.9266,0.6004,0.5802,0.9264,0.9366,0.6328,0.6436,0.5302,0.536,0.6688,0.583,0.951,0.9162,0.5472,0.9712,0.6388,0.9034,0.6022,0.5432,0.9544,0.918,0.5856,0.923,0.9268,0.6794,0.9638,0.562
"1642.MS00541",0.785,0.9178,0.5384,0.6808,0.5648,0.528,0.6076,0,0.9608,0.895,0.9572,0.8898,0.779,0.9224,0.6608,0.5136,0.9068,0.9234,0.584,0.612,0.5792,0.5478,0.6278,0.629,0.9436,0.9154,0.5284,0.9678,0.7196,0.9078,0.5342,0.5808,0.949,0.9076,0.5734,0.9196,0.9308,0.716,0.956,0.5238
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.9756,0.9086,0.9706,0.972,0.9638,0.9652,0.9696,0.9608,0,0.9912,0.6066,0.8868,0.9822,0.9374,0.9704,0.9642,0.7706,0.6944,0.9668,0.9646,0.9694,0.9682,0.9674,0.9622,0.74,0.904,0.9638,0.5942,0.9712,0.906,0.9714,0.9706,0.4774,0.9202,0.9646,0.7994,0.9054,0.9782,0.6128,0.961
"1642.MS00370",0.6604,0.9738,0.9198,0.8412,0.9224,0.9042,0.866,0.895,0.9912,0,0.991,0.9718,0.866,0.9798,0.809,0.888,0.9604,0.9746,0.9244,0.8954,0.883,0.8884,0.9326,0.7482,0.984,0.9748,0.8292,0.9904,0.7186,0.9696,0.8896,0.8546,0.9874,0.9832,0.7478,0.9778,0.9798,0.8116,0.9894,0.8452
