"","1642.MS00354","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00620","1642.MS00388","1642.MS00625","1642.MS00569","1642.MS00429","1642.MS00541","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","1642.MS00491","1642.MS00437","1642.MS00418","1642.MS00614","1642.MS00363","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00338","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00412","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00498"
"1642.MS00354",0,1,0.998,-0.342,1,0.995,0.637,0.998,1,-0.998,1,1,-0.496,1,-0.659,0.97,1,1,1,1,0.772,0.721,1,-0.953,1,1,-0.18,1,-0.992,1,0.97,-0.456,1,1,-0.914,1,1,-0.974,1,0.295
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,1,1,1,1,1,1,0.915,1,1,1,1,0.998,1,1,1,0.957,1,1,1,1,1,1,0.965,-0.699,1,0.986,1,-0.99,1,1,0.974,0.777,1,0.906,0.571,1,0.974,1
"1642.MS00620",0.998,1,0,0.996,-0.659,-0.85,0.873,-0.618,1,0.876,1,1,1,1,0.98,-0.892,1,1,-0.712,-0.327,-0.414,-0.201,-0.687,0.893,1,1,-0.163,1,0.998,1,0.823,0.461,1,1,0.604,1,1,1,1,0.21
"1642.MS00388",-0.342,1,0.996,0,0.996,0.796,-0.208,0.96,1,-0.722,1,1,0.889,1,-0.938,0.724,1,1,0.998,0.97,0.048,0.012,0.998,-0.649,1,1,-0.414,1,-0.929,1,0.814,-0.211,1,1,-0.221,1,1,-0.143,1,0.319
"1642.MS00625",1,1,-0.659,0.996,0,-0.974,0.894,-0.17,1,0.928,1,1,1,1,0.996,-0.934,1,1,-0.923,-0.951,-0.667,-0.14,-0.956,0.419,1,1,-0.357,1,1,1,0.742,0.382,1,1,0.873,1,1,1,1,-0.02
"1642.MS00569",0.995,1,-0.85,0.796,-0.974,0,0.353,-0.776,1,0.52,1,1,1,1,0.848,-0.991,1,1,-0.912,-0.786,-0.917,-0.736,-0.868,-0.05,1,1,-0.898,1,0.988,1,-0.106,-0.447,1,1,0.284,1,1,0.998,1,-0.702
"1642.MS00429",0.637,1,0.873,-0.208,0.894,0.353,0,0.27,1,-0.475,1,1,0.83,1,-0.116,0.0940000000000001,1,1,0.848,0.846,-0.671,-0.567,0.986,-0.178,1,1,-0.427,1,0.203,1,0.274,-0.454,1,1,-0.088,1,1,0.79,1,-0.266
"1642.MS00541",0.998,1,-0.618,0.96,-0.17,-0.776,0.27,0,1,0.21,1,1,1,1,0.756,-0.855,1,1,0.071,0.419,-0.05,-0.485,0.617,0.474,1,1,-0.793,1,0.984,1,-0.754,0.048,1,1,-0.279,1,1,0.966,1,-0.805
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",1,0.915,1,1,1,1,1,1,0,1,-0.996,0.484,1,0.998,1,1,-0.864,-0.982,1,1,1,1,1,1,-0.892,0.86,1,-1,1,0.879,1,1,-1,0.978,1,-0.791,0.826,1,-0.984,1
"1642.MS00370",-0.998,1,0.876,-0.722,0.928,0.52,-0.475,0.21,1,0,1,1,-0.417,1,-0.854,0.014,1,1,0.94,0.241,-0.148,-0.002,0.982,-0.992,1,1,-0.786,1,-0.996,1,0.0209999999999999,-0.658,1,1,-0.992,1,1,-0.826,1,-0.712
