"","1642.MS00354","1642.MS00611","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00376","1642.MS00620","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00569","1642.MS00429","1642.MS00437","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00491","1642.MS00347","1642.MS00390","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00412","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00614","1642.MS00338","1642.MS00388","1642.MS00399","1642.MS00498","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00418","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","1642.MS00363","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541"
"1642.MS00354",0,0.0548565865527,0.0856705115003,0.0812916341797,0.0797981668917,0.1333044364182,0.0425599379596,0.020114751913,0.0718942102279,0.0782941570159,0.0452073198363,0.0505800735972,0.0306580605597,0.0387017656709,0.0883844975428,0.0343574031693,0.0496745464352,0.0204703402994,0.0246870347367,0.0887533699024,0.0350123430553,0.0997351540354,0.0647589710281,0.0213001634603,0.0321195011231,0.0304060796531,0.0398635283932,0.0764339028854,0.0770310509415,0.0514702753536,0.0980350471273,0.0832538966224,0.0354913620841,0.0985501006001,0.0541711267429,0.0273391530839,0.1165576481945,0.0926389065497,0.0849053196743,0.0465798883918
"1642.MS00611",0.0548565865527,0,0.1034646773142,0.1021858910954,0.0963779328584,0.0900093077109,0.0292225676996,0.0516672079709,0.0261311373413,0.1096600729549,0.0260812428783,0.0260466462492,0.0372631178103,0.0282712440729,0.097060088727,0.0296624356462,0.0304609774986,0.0579293787372,0.0412278357357,0.1138974365678,0.0374125172606,0.1313693885128,0.0236396276602,0.0474122990022,0.048555270317,0.0328284500102,0.0267315615769,0.0957909509974,0.100296209617,0.0259646775817,0.1329041565378,0.1206848985037,0.028452268967,0.1221812622044,0.1113616258644,0.0322812268693,0.0931761334774,0.0983066517422,0.0922609140317,0.0290930218534
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0856705115003,0.1034646773142,0,0.0400146751378,0.0407697160387,0.037330107412,0.1157208814911,0.1069155113237,0.1155746710158,0.0353915015404,0.095852380684,0.1013650287096,0.0944201888435,0.0932407603222,0.0264255206875,0.0953079874989,0.102934367105,0.1070410271299,0.1042641676988,0.0622045798015,0.1022708192659,0.0756764082417,0.107886255887,0.0970566940823,0.107542525783,0.1019032590584,0.0977419236688,0.0497053080482,0.0469777632296,0.100987977398,0.070955699113,0.0517730538288,0.1033546301251,0.0658631164625,0.1305061619279,0.0779661510313,0.0387344878669,0.0382514670628,0.0209030000399,0.1084188362705
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.0812916341797,0.1021858910954,0.0400146751378,0,0.0282776850045,0.0522389811742,0.1103277108812,0.1053336318777,0.1220364236563,0.0287171588565,0.0976860872805,0.1043037395479,0.0960511423049,0.0968450687764,0.0400911075361,0.0967536533829,0.0991710211122,0.1042917723637,0.0959415903083,0.0323213435866,0.1028746692287,0.0393003103577,0.1075686328865,0.0906821543973,0.1039765218796,0.097339287917,0.0942847796553,0.0460740708568,0.0344123188327,0.1061171653196,0.0327496746345,0.0214296720688,0.1008029657651,0.0307270601321,0.1155606264579,0.0819576398841,0.0460182508324,0.0430587525759,0.0408209508567,0.1024870011958
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.0797981668917,0.0963779328584,0.0407697160387,0.0282776850045,0,0.0646420549289,0.1047273030454,0.1004947543481,0.1225194594948,0.0211766919182,0.0911524100679,0.0971522677834,0.0907163653683,0.0904301263258,0.0366284940033,0.0915248326182,0.092366569349,0.0979071599206,0.096309591622,0.0283826420002,0.0974911722883,0.0429688361423,0.1009065540003,0.0873401777819,0.0981621624059,0.0959343498625,0.0903948649722,0.0386337270548,0.0380575430325,0.0990330974783,0.03374298874,0.0311510803231,0.0941954745856,0.0328558521892,0.1110492464238,0.0771915280456,0.0620548293952,0.0405577183713,0.0352146612307,0.1000550825147
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.1333044364182,0.0900093077109,0.037330107412,0.0522389811742,0.0646420549289,0,0.1110519369536,0.1099732601855,0.101090760217,0.0771910181065,0.0905875196155,0.093836207417,0.0936964321692,0.0862489110969,0.028459447841,0.0967224921632,0.0892600719381,0.1122078015547,0.1130449466035,0.0705423732518,0.098169271261,0.0828160986883,0.0905588429171,0.1185300530548,0.1126694783347,0.1193328739144,0.1021307666648,0.0580488466877,0.0555079910796,0.0888721662403,0.0733673283871,0.0587368414844,0.0951297208983,0.0692298303028,0.1695966464322,0.0949021241087,0.030620026421,0.0297369400267,0.0271110730522,0.1038359396255
"1642.MS00552",0.0425599379596,0.0292225676996,0.1157208814911,0.1103277108812,0.1047273030454,0.1110519369536,0,0.044539494735,0.0325549710325,0.1145461533364,0.0276217089859,0.0301429451431,0.0279576366052,0.0280906102341,0.113471938766,0.0282744401117,0.0338280571309,0.0434294368978,0.0279469991321,0.1300690899367,0.0314347050008,0.1389947800074,0.0363833788818,0.0331718058786,0.0318659180577,0.0237298890096,0.0214259132126,0.1091270484153,0.1131017104785,0.0294764040647,0.1469476278275,0.1288646755209,0.0250425253352,0.1392498866002,0.1033350395673,0.0308248417095,0.1144787624778,0.114830294678,0.1071682320476,0.0246027874249
"1642.MS00376",0.020114751913,0.0516672079709,0.1069155113237,0.1053336318777,0.1004947543481,0.1099732601855,0.044539494735,0,0.0494972159219,0.1048513329369,0.0436363772303,0.0497579870718,0.030180459193,0.0339369261797,0.1065456148847,0.0331829415494,0.0498109950064,0.0251087716033,0.0276644275749,0.1131716076076,0.030412422627,0.1263046592899,0.0598597446528,0.0258090361551,0.0297191273267,0.0307872989049,0.039777195958,0.0937688209234,0.1019392799181,0.0486660301273,0.12545366392,0.113933279472,0.0316641118938,0.1236788711291,0.0716489648624,0.0267973534606,0.1088976922088,0.1136734116531,0.1032267781693,0.0468881023059
"1642.MS00620",0.0718942102279,0.0261311373413,0.1155746710158,0.1220364236563,0.1225194594948,0.101090760217,0.0325549710325,0.0494972159219,0,0.1352314665632,0.0278411111412,0.0272023796939,0.0387545044874,0.0292568057954,0.1097044347702,0.0342862658287,0.0326309806593,0.0500010246473,0.0450261612302,0.1419551901005,0.0337004876822,0.1653968973522,0.0295104412073,0.055156444808,0.0429153271824,0.0397249863323,0.0331085832031,0.1148055901222,0.121371843006,0.0267259389134,0.1563065107189,0.1366446128607,0.0290055998296,0.1470390129321,0.1238917251039,0.0428940703727,0.1056122063129,0.1091475561537,0.1053981183544,0.0285754827506
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",0.0782941570159,0.1096600729549,0.0353915015404,0.0287171588565,0.0211766919182,0.0771910181065,0.1145461533364,0.1048513329369,0.1352314665632,0,0.1054531582476,0.112563225911,0.0973816797598,0.1034802518075,0.047574438708,0.1012692423012,0.1083567895898,0.101976641013,0.0974437786016,0.0247909624464,0.1084325177685,0.0383254017627,0.1162114458336,0.0847174384652,0.105742906642,0.1016626758433,0.097374475859,0.0440856623338,0.0342160964126,0.1179843071466,0.0282323450891,0.0274998030967,0.1034787670734,0.0307851451775,0.1072290735727,0.0833734865276,0.0729325856019,0.0564763784937,0.0445150477196,0.1096968528785
