"","1642.MS00354","1642.MS00611","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00376","1642.MS00620","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00569","1642.MS00429","1642.MS00437","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00491","1642.MS00347","1642.MS00390","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00412","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00614","1642.MS00338","1642.MS00388","1642.MS00399","1642.MS00498","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00418","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","1642.MS00363","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541"
"1642.MS00354",NA,-0.913628625020438,-1.04649843652662,-1.73053779738152,-1.57258105955127,1.97834597368846,-3.61840236248351,-7.20936394213883,0.231356600019576,-1.87328332799996,-2.20395522296299,-0.835967288652617,-5.6770344750067,-2.78658955264285,-0.856788347646823,-3.02315557596401,-1.66217895158024,-6.10504136332101,-5.15636920199735,-1.77529400466024,-0.352055506084261,-1.824016167278,1.47286004435028,-4.8100360516931,-2.91370575920272,-4.1192396689787,-3.20343851471875,-1.84962232244369,-2.09552839818508,-1.44232160996011,-1.77579046676842,-2.24365859119668,-3.24894133466653,-1.57692088866987,-6.68757514986306,-5.33320763858605,0.684581848737248,-0.88544292269202,-1.01338132761689,-2.49330945889112
"1642.MS00611",-0.913628625020438,NA,6.79798568262,0.971500108265235,0.779523676163592,4.49798813874572,-3.80185035778134,-2.13111558576225,-3.0828078219025,1.50508820248223,-1.76853359894542,-2.25513569497167,-2.2323017267749,-1.4029546404787,5.87987675430358,-0.997423583059521,-1.11099055154251,1.3940030362004,-1.6067688161787,-0.249769786439224,0.184462898260556,0.0305378522115687,-2.89013516415743,0.142824717863965,0.562071358823368,-2.31387306744119,-4.35098114156013,0.743804078237567,0.270309795485313,-1.7786082092133,0.526177529352177,0.810119995735918,-2.79798371835958,0.00631336034231987,-1.70383323163729,-1.87962680954071,4.47282264721456,4.25479458139508,4.98251088058932,-4.19045574199822
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",-1.04649843652662,6.79798568262,NA,-7.42736739809897,-2.23369771662146,-5.71354020626526,8.03376139907618,0.990094938615867,10.7686924607264,-3.85651127425971,5.48868826201983,6.93604973092836,2.97235995916575,3.24110410086969,-8.71658650888449,2.51936387205286,6.00816006632377,2.04974202447426,2.57261374096856,-2.61805370860692,6.82242652492093,-4.25943167120849,6.72429954399527,0.243891754735914,3.51115245454677,1.58344515227869,2.68137788123218,-5.95274746524255,-6.04037114407251,7.32066666532558,-3.76668327243829,-4.46945714353258,8.06408098064164,-2.52460462632034,-1.06664954157386,-0.973508721667083,-7.74390361393309,-5.81598833346834,-7.92976701477452,7.18267378526094
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",-1.73053779738152,0.971500108265235,-7.42736739809897,NA,-7.26202776205418,-4.65082048108551,2.02302247302357,-0.921804636326146,4.3245531510668,-6.02445315755528,1.18842165156677,2.00044621629894,-0.576320698627522,-0.118855728104525,-7.62938120364575,-0.0280981713757814,0.655604398372379,-0.476036587284984,-0.711127987670078,-6.21827074827886,2.21528709845117,-6.35564534996168,1.1442019601398,-1.42765920449212,0.39242812239177,-0.0765416386019032,-0.455125381510207,-7.04104187291225,-7.43785590791164,1.72726752482351,-6.08531540077158,-8.75029850823142,2.18623873938935,-6.92844890796043,-2.88977536943435,-1.6758040951436,-5.41323448356415,-5.82148188314528,-7.35317009870713,2.02754936162142
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",-1.57258105955127,0.779523676163592,-2.23369771662146,-7.26202776205418,NA,-0.0720093722022953,1.13684301252393,-0.611307349717326,3.39365641302142,-4.85591990146099,0.42615820841989,0.855399675038041,-0.341904644418677,-0.0541027873957224,-2.73839523277877,-0.0245062818871238,0.228337722868706,-0.0285114255094654,-0.282174743428953,-6.49091296513952,0.815134961024911,-5.68504017815413,0.809090734791502,-1.15963347018899,1.82854775180289,-0.00946146531337536,-0.173420029492428,-5.41163649186419,-5.82535411258563,1.45031123840432,-5.88475060364494,-5.64980811206564,3.93472422869738,-6.4570964976211,-2.30396989811425,-1.24558374434738,-1.37929869249074,-2.50310084818904,-2.72877059881217,0.817095356793679
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",1.97834597368846,4.49798813874572,-5.71354020626526,-4.65082048108551,-0.0720093722022953,NA,7.56113686293668,1.40302624744428,8.81235531436432,-1.12687947250727,5.09131162768974,6.02753013595608,3.98504381785454,2.58637529061598,-10.9232112652244,4.10444929952359,3.86573509049395,3.61725274414992,4.42907036576596,-2.19138917326574,7.08564732639994,-3.60502673960039,3.44304649712571,2.80518976282443,5.56233595628047,4.05088858189536,3.67284411958662,-4.64425920942524,-4.89533474070478,5.03751404727378,-3.41107611427662,-3.66436139461345,6.45674804758536,-2.28968759143487,1.81373122345604,1.59320979059938,-8.26834282505394,-9.25648050062055,-9.38873468526038,7.72675209475642
"1642.MS00552",-3.61840236248351,-3.80185035778134,8.03376139907618,2.02302247302357,1.13684301252393,7.56113686293668,NA,-3.13865083189015,-2.54652805794487,1.35827417663046,-3.69224486002063,-3.50959973285834,-4.33276389100637,-5.3941364560564,8.76095244009439,-4.06714694988342,-2.84747221343768,-2.78029212966897,-6.85543058597584,0.657133146393801,-4.37284615376763,0.559594188676771,-2.60336648570346,-4.64796936745614,-4.53229584116835,-6.39304853672998,-5.15994424274025,2.08229013825922,1.6818946457858,-4.68974564813409,1.57595853213736,1.55502958044819,-6.25811839476512,0.875210730989251,-2.59937461631316,-3.31203506473223,7.68246720299192,6.60287385154311,6.85009117442761,-5.69911167099076
"1642.MS00376",-7.20936394213883,-2.13111558576225,0.990094938615867,-0.921804636326146,-0.611307349717326,1.40302624744428,-3.13865083189015,NA,-1.68975579370624,-1.15072554511207,-2.4254745927583,-1.93192337399082,-4.26469598096116,-3.99091360494385,1.21980069902633,-3.0026444361037,-2.15536357023754,-3.14473365760277,-4.22662998149846,-1.07672331390581,-3.92707337869405,-1.3317802368564,-1.07255477400197,-3.52280600250622,-4.10055373166039,-4.14536831639543,-3.34658430439401,-1.59052822403705,-1.33523330227104,-2.33735183192876,-1.06288123817011,-1.1495424107943,-4.23333990475472,-0.707880430568089,-3.60574889603429,-4.14118693813035,1.33705747203151,1.50580217794799,0.757717133897627,-2.55136302052198
"1642.MS00620",0.231356600019576,-3.0828078219025,10.7686924607264,4.3245531510668,3.39365641302142,8.81235531436432,-2.54652805794487,-1.68975579370624,NA,4.00584828790017,-0.940240112814328,-1.92485216817182,-1.48845599520151,-1.75084800483786,10.58066266545,-0.0234592727855312,-0.65355133632787,0.0110298971097552,-0.294616574582732,1.57822540527738,-1.85437196631412,2.87946887350749,-1.27874579081572,0.104207291658059,-0.900522015790695,-0.165557359708059,-0.939361603673449,3.91511416248064,3.41483173253348,-2.75859310815606,2.69943798994492,2.5843618156238,-3.10755156960463,1.63174812265623,-0.311754096241619,-0.0614628240341783,8.57205094123555,7.47249197593018,8.85604281514546,-3.40678518155565
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",-1.87328332799996,1.50508820248223,-3.85651127425971,-6.02445315755528,-4.85591990146099,-1.12687947250727,1.35827417663046,-1.15072554511207,4.00584828790017,NA,1.18583689977699,1.42123845586651,-0.934316851250684,0.198320616484435,-3.14118788729094,-0.253207512914094,0.642759504114988,-0.575620727829116,-1.07079252096403,-5.8773193110641,0.96539852969905,-5.50574722084773,1.88808418955562,-1.86825595055548,0.488676400302192,-0.337879003656015,-0.228242610786348,-5.07109650963863,-6.01020404434005,2.08950634841033,-5.05633916604276,-5.15387751622006,1.62568532445893,-5.69042562902359,-3.22742041181925,-1.5357223505354,-1.97435098853346,-2.35040611253634,-3.51764945907705,0.717841310031549
