"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","1642.MS00457","1642.MS00488","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00357","1642.MS00540","1642.MS00458","1642.MS00531","1001.SKD7","1642.MS00376","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00577","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00363","1642.MS00495","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1642.MS00344"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,0.8966,0.9074,0.9228,0.5508,0.5946,0.9064,0.9142,0.8984,0.9156,0.9564,0.9504,0.8036,0.6222,0.7974,0.8124,0.7192,0.788,0.903,0.9204,0.6078,0.9026,0.9236,0.8168,0.934,0.785,0.902,0.6224,0.9226,0.7038,0.6932,0.6484,0.5796,0.6322,0.9302,0.7938,0.9142,0.7918,0.9126,0.9178
"1642.MS00405",0.8966,0,0.4378,0.5244,0.906,0.9276,0.5612,0.51,0.4768,0.5436,0.981,0.7394,0.8692,0.8902,0.8936,0.8958,0.8958,0.8966,0.5294,0.5364,0.9274,0.5458,0.5734,0.8918,0.5728,0.8834,0.454,0.9362,0.6004,0.9638,0.9338,0.9422,0.9034,0.9422,0.516,0.9344,0.4804,0.8894,0.5198,0.5858
"1642.MS00457",0.9074,0.4378,0,0.4958,0.9086,0.9236,0.6052,0.4996,0.4814,0.5134,0.9784,0.75,0.8714,0.8928,0.8948,0.8996,0.8948,0.8936,0.5404,0.532,0.9282,0.5706,0.565,0.8936,0.576,0.883,0.4508,0.9338,0.6266,0.9634,0.9392,0.9378,0.9082,0.9386,0.5164,0.9354,0.474,0.8886,0.478,0.6186
"1642.MS00488",0.9228,0.5244,0.4958,0,0.9212,0.936,0.654,0.5154,0.5596,0.5274,0.983,0.7814,0.909,0.9076,0.9264,0.9282,0.9138,0.9286,0.594,0.56,0.9364,0.6262,0.5526,0.9252,0.6052,0.9156,0.4768,0.9484,0.6952,0.973,0.9496,0.952,0.9264,0.9486,0.5108,0.951,0.529,0.9146,0.5212,0.6922
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0.5508,0.906,0.9086,0.9212,0,0.6048,0.9122,0.9136,0.9046,0.9194,0.9392,0.9502,0.7388,0.694,0.7232,0.7182,0.7918,0.7152,0.9058,0.923,0.6936,0.9098,0.9248,0.7972,0.9372,0.7042,0.9076,0.6662,0.9264,0.7802,0.6342,0.7224,0.673,0.7056,0.9304,0.8138,0.91,0.7762,0.9118,0.9248
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",0.5946,0.9276,0.9236,0.936,0.6048,0,0.9338,0.9332,0.9272,0.9162,0.9614,0.96,0.8336,0.6098,0.8258,0.843,0.736,0.8336,0.9224,0.935,0.4754,0.9286,0.9324,0.8618,0.9458,0.8194,0.9258,0.6164,0.941,0.7766,0.5594,0.7208,0.6866,0.616,0.9424,0.7744,0.9294,0.8326,0.9296,0.9366
"1642.MS00357",0.9064,0.5612,0.6052,0.654,0.9122,0.9338,0,0.6362,0.6378,0.6534,0.9802,0.6028,0.9048,0.918,0.9132,0.915,0.92,0.914,0.6592,0.6284,0.936,0.554,0.6284,0.9208,0.653,0.9056,0.6024,0.9394,0.4578,0.9688,0.9302,0.9446,0.9204,0.9472,0.58,0.938,0.649,0.916,0.6582,0.4342
"1642.MS00540",0.9142,0.51,0.4996,0.5154,0.9136,0.9332,0.6362,0,0.549,0.5018,0.9816,0.7804,0.8992,0.9068,0.9132,0.9142,0.9108,0.9164,0.5968,0.5078,0.9354,0.6068,0.515,0.9174,0.5628,0.9046,0.5002,0.9432,0.671,0.97,0.9336,0.9488,0.9212,0.9448,0.549,0.9386,0.5558,0.9128,0.4934,0.6768
"1642.MS00458",0.8984,0.4768,0.4814,0.5596,0.9046,0.9272,0.6378,0.549,0,0.5698,0.9816,0.7838,0.8626,0.891,0.8856,0.8986,0.9,0.8938,0.471,0.5602,0.9272,0.577,0.5854,0.8864,0.5906,0.879,0.4876,0.9334,0.6528,0.9632,0.935,0.9376,0.9026,0.937,0.584,0.934,0.4462,0.8804,0.5044,0.6564
"1642.MS00531",0.9156,0.5436,0.5134,0.5274,0.9194,0.9162,0.6534,0.5018,0.5698,0,0.9822,0.7888,0.9052,0.9108,0.9122,0.9138,0.9024,0.9204,0.6088,0.5572,0.9386,0.6382,0.5526,0.9198,0.6048,0.9056,0.5152,0.9446,0.687,0.9708,0.922,0.9524,0.928,0.9528,0.5836,0.9228,0.5758,0.9142,0.5284,0.6734
