"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","1642.MS00457","1642.MS00488","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00357","1642.MS00540","1642.MS00458","1642.MS00531","1001.SKD7","1642.MS00376","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00577","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00363","1642.MS00495","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1642.MS00344"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,1,1,1,-0.998,-0.982,1,1,1,1,1,1,1,-0.948,0.998,1,-0.614,0.992,1,1,-0.99,1,1,1,1,0.994,1,-0.996,1,-0.992,-0.593,-0.957,-1,-0.992,1,-0.765,1,0.994,1,1
"1642.MS00405",1,0,-1,-0.812,1,1,-0.477,-0.891,-0.98,-0.567,1,0.979,1,1,1,1,1,1,-0.732,-0.691,1,-0.691,-0.0649999999999999,1,-0.126,1,-1,1,-0.079,1,1,1,1,1,-0.923,1,-0.99,1,-0.781,-0.376
"1642.MS00457",1,-1,0,-0.956,1,1,0.332,-0.945,-0.99,-0.899,1,0.992,1,1,1,1,1,1,-0.65,-0.769,1,-0.305,-0.275,1,-0.161,1,-1,1,0.429,1,1,1,1,1,-0.932,1,-0.994,1,-0.984,0.214
"1642.MS00488",1,-0.812,-0.956,0,1,1,0.902,-0.907,-0.294,-0.873,1,1,1,1,1,1,1,1,0.158,-0.512,1,0.578,-0.596,1,0.312,1,-0.994,1,0.98,1,1,1,1,1,-0.974,1,-0.814,1,-0.858,0.984
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",-0.998,1,1,1,0,-0.988,1,1,1,1,0.964,1,0.897,-0.466,0.842,0.73,0.537,0.741,1,1,-0.776,1,1,1,1,0.63,1,-0.921,1,-0.83,-0.949,-0.645,-0.746,-0.839,1,-0.588,1,0.997,1,1
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",-0.982,1,1,1,-0.988,0,1,1,1,1,0.998,1,0.998,-0.982,0.996,1,-0.401,1,1,1,-1,1,1,1,1,0.994,1,-0.992,1,-0.822,-1,-0.666,-0.74,-0.996,1,-0.828,1,0.998,1,1
"1642.MS00357",1,-0.477,0.332,0.902,1,1,0,0.723,0.843,0.907,1,-0.829,1,1,1,1,1,1,0.905,0.568,1,-0.739,0.646,1,0.866,1,0.198,1,-1,1,1,1,1,1,-0.396,1,0.87,1,0.946,-1
"1642.MS00540",1,-0.891,-0.945,-0.907,1,1,0.723,0,-0.392,-0.958,1,0.998,1,1,1,1,1,1,0.34,-0.946,1,0.344,-0.901,1,-0.394,1,-0.928,1,0.923,1,1,1,1,1,-0.643,1,-0.371,1,-0.962,0.926
"1642.MS00458",1,-0.98,-0.99,-0.294,1,1,0.843,-0.392,0,-0.0629999999999999,1,1,1,1,1,1,1,1,-0.992,-0.346,1,-0.198,0.267,1,0.247,1,-0.978,1,0.821,1,1,1,1,1,0.0109999999999999,1,-1,1,-0.878,0.854
"1642.MS00531",1,-0.567,-0.899,-0.873,1,1,0.907,-0.958,-0.0629999999999999,0,1,1,1,1,1,1,1,1,0.489,-0.493,1,0.756,-0.569,1,0.345,1,-0.9,1,0.966,1,1,1,1,1,-0.142,0.998,-0.053,1,-0.768,0.934
"1001.SKD7",1,1,1,1,0.964,0.998,1,1,1,1,0,1,1,1,1,1,0.989,1,1,1,1,1,1,1,1,1,1,0.998,1,0.996,0.964,0.998,0.998,0.992,1,0.994,1,1,1,1
"1642.MS00376",1,0.979,0.992,1,1,1,-0.829,0.998,1,1,1,0,1,1,1,1,1,1,1,1,1,0.838,1,1,1,1,0.998,1,-0.815,1,1,1,1,1,0.842,1,0.998,1,1,-0.724
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,0.897,0.998,1,1,1,1,1,1,0,0.99,-0.789,0.419,0.984,-0.972,1,1,0.99,1,1,0.089,1,-0.691,1,0.992,1,0.912,1,0.992,0.924,0.978,1,0.984,1,0.002,1,1
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",-0.948,1,1,1,-0.466,-0.982,1,1,1,1,1,1,0.99,0,1,1,-1,1,1,1,-1,1,1,1,1,0.998,1,-0.992,1,-0.98,-0.36,-0.905,-0.994,-1,1,-0.506,1,0.99,1,1
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,1,1,1,0.842,0.996,1,1,1,1,1,1,-0.789,1,0,-0.94,1,-0.988,1,1,0.998,1,1,0.868,1,-1,1,0.995,1,0.923,1,1,0.974,0.984,1,0.998,1,0.962,1,1
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,0.73,1,1,1,1,1,1,1,0.419,1,-0.94,0,1,-0.772,1,1,1,1,1,0.994,1,-0.998,1,1,1,0.984,1,1,0.988,1,1,0.991,1,1,1,1
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",-0.614,1,1,1,0.537,-0.401,1,1,1,1,0.989,1,0.984,-1,1,1,0,1,1,1,-0.878,1,1,1,1,1,1,-0.112,1,-0.447,0.639,-0.819,-0.682,-0.95,1,-0.85,1,0.998,1,1
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.992,1,1,1,0.741,1,1,1,1,1,1,1,-0.972,1,-0.988,-0.772,1,0,1,1,1,1,1,0.353,1,-0.952,1,0.974,1,0.869,1,0.996,0.957,0.99,1,0.99,1,0.533,1,1
"1642.MS00491",1,-0.732,-0.65,0.158,1,1,0.905,0.34,-0.992,0.489,1,1,1,1,1,1,1,1,0,0.024,1,0.279,0.241,1,0.0900000000000001,1,-0.748,1,0.93,1,1,1,1,1,0.282,1,-0.942,1,-0.478,0.864
"1642.MS00577",1,-0.691,-0.769,-0.512,1,1,0.568,-0.946,-0.346,-0.493,1,1,1,1,1,1,1,1,0.024,0,1,-0.9,-0.983,1,-1,1,-0.948,1,0.802,1,1,1,1,1,-0.915,1,0.269,1,-0.828,0.528
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",-0.99,1,1,1,-0.776,-1,1,1,1,1,1,1,0.99,-1,0.998,1,-0.878,1,1,1,0,1,1,1,1,0.99,1,-1,1,-0.998,-0.679,-0.831,-0.994,-1,1,0.0609999999999999,1,1,1,1
"1642.MS00363",1,-0.691,-0.305,0.578,1,1,-0.739,0.344,-0.198,0.756,1,0.838,1,1,1,1,1,1,0.279,-0.9,1,0,0.0469999999999999,1,-0.954,1,-0.635,1,-0.076,1,1,1,1,1,-0.738,1,-0.08,1,0.668,-0.721
"1642.MS00495",1,-0.0649999999999999,-0.275,-0.596,1,1,0.646,-0.901,0.267,-0.569,1,1,1,1,1,1,1,1,0.241,-0.983,1,0.0469999999999999,0,1,-0.348,1,-0.755,1,0.932,1,1,1,1,1,-0.816,1,0.43,1,-0.475,0.702
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,1,0.089,1,0.868,0.994,1,0.353,1,1,1,1,1,0,1,0.565,1,0.998,1,0.998,1,0.992,0.987,1,1,1,1,-0.922,1,1
"1642.MS00571",1,-0.126,-0.161,0.312,1,1,0.866,-0.394,0.247,0.345,1,1,1,1,1,1,1,1,0.0900000000000001,-1,1,-0.954,-0.348,1,0,1,-0.52,1,0.976,1,1,1,1,1,-0.492,1,0.497,1,0.249,0.678
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.994,1,1,1,0.63,0.994,1,1,1,1,1,1,-0.691,0.998,-1,-0.998,1,-0.952,1,1,0.99,1,1,0.565,1,0,1,0.966,1,0.918,1,0.992,0.984,0.978,1,0.99,1,0.611,1,1
"1642.MS00496",1,-1,-1,-0.994,1,1,0.198,-0.928,-0.978,-0.9,1,0.998,1,1,1,1,1,1,-0.748,-0.948,1,-0.635,-0.755,1,-0.52,1,0,1,0.614,1,1,1,1,1,-0.962,1,-0.97,1,-0.978,0.374
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",-0.996,1,1,1,-0.921,-0.992,1,1,1,1,0.998,1,0.992,-0.992,0.995,1,-0.112,0.974,1,1,-1,1,1,0.998,1,0.966,1,0,1,-1,-0.126,-0.888,-1,-1,1,0.158,1,0.984,1,1
"1642.MS00341",1,-0.079,0.429,0.98,1,1,-1,0.923,0.821,0.966,1,-0.815,1,1,1,1,1,1,0.93,0.802,1,-0.076,0.932,1,0.976,1,0.614,1,0,1,1,1,1,1,0.194,1,0.932,1,0.966,-1
