"","1642.MS00491","1642.MS00444","1642.MS00457","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","1001.SKD7","1642.MS00496","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00363","1642.MS00357","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00458","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00632","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","1642.MS00577","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00540","1642.MS00405","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531"
"1642.MS00491",0,0.0302561085753,0.0255573515353,0.0972718462701,0.0922539770964,0.0285436154961,0.1500324388594,0.0243079006309,0.0803369383593,0.0237506303051,0.08483368511,0.0862655893027,0.0277509989725,0.0355391758005,0.0964333193004,0.0228755980435,0.0865860052671,0.0946956228464,0.0281678497658,0.0842360748973,0.0269264564554,0.0899078033625,0.027284677048,0.0275578931838,0.1184855927239,0.0378566669145,0.0910400988706,0.0956026581124,0.1110896812715,0.0914313286912,0.0877501123678,0.0368920846452,0.0917467414542,0.0288875296578,0.0259666808496,0.0992784626706,0.0463073107183,0.0875884767026,0.0888869418165,0.0289190979729
"1642.MS00444",0.0302561085753,0,0.0215673849688,0.1072100671805,0.1005428255837,0.0197874102746,0.1427938571074,0.0244798405156,0.0992681472665,0.0260193502075,0.099119188093,0.0981160015669,0.026047644696,0.0260110126054,0.0998130698491,0.0300130264554,0.0993904421428,0.1037134025646,0.0286290923649,0.0943330889611,0.0230463923414,0.0994639803702,0.0250098270852,0.023663644718,0.1251325865873,0.0310650993196,0.098691469047,0.107526213861,0.1080217244687,0.0998886679191,0.1054852724901,0.0279623403057,0.1000902008642,0.0239694966365,0.0231786780306,0.1088834518995,0.0337134131621,0.0960950773886,0.0991815684007,0.0266550180032
"1642.MS00457",0.0255573515353,0.0215673849688,0,0.1000074989956,0.0917216191766,0.0221701544331,0.1407430734063,0.0186538161832,0.0864231024535,0.0209443200677,0.0835133109336,0.0853183717664,0.0223153584775,0.0272704455611,0.0904951883924,0.0213963537815,0.0852821959693,0.09250338553,0.0208231957584,0.082932988154,0.0231708068775,0.0864015599342,0.0220848881822,0.0209144567046,0.1142942692376,0.029605488892,0.0883098597751,0.0965592460828,0.1066995064638,0.0870200237458,0.0895700922224,0.0264518928416,0.0892739471638,0.0209292029315,0.0189872919496,0.0977889307414,0.0364320552646,0.086045611671,0.0873065537254,0.0209543411425
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",0.0972718462701,0.1072100671805,0.1000074989956,0,0.0201626595802,0.1240707786952,0.0797772164963,0.0984617428171,0.0439241535986,0.10161536538,0.0567758666705,0.0467356263348,0.0843679975497,0.0910190048178,0.0473219195294,0.0965776679037,0.0419753425299,0.0203674805569,0.1041707057283,0.0485253358669,0.1101384403388,0.036734761435,0.0999221208125,0.0993727243521,0.0211599914938,0.0905792612643,0.0372316210846,0.034048823855,0.0501450848662,0.046455913987,0.0517486001844,0.0874064174811,0.026037101187,0.1052411654759,0.0955680891571,0.0284756950311,0.1012209099905,0.0223591941817,0.03488393885,0.1124588391871
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.0922539770964,0.1005428255837,0.0917216191766,0.0201626595802,0,0.1151768287347,0.0821325860915,0.0887699041063,0.0374187182867,0.0940237072632,0.0386815978015,0.0441386815923,0.0754667122259,0.0855836635396,0.0347409809794,0.0893335983093,0.0340131627767,0.0165087086922,0.0988648888069,0.0364692637537,0.1061201693517,0.0264247552631,0.093030002076,0.0932111579818,0.0217924638805,0.0853215204759,0.0253281010554,0.0317497935622,0.0408020425165,0.0416905639991,0.0456495453529,0.0833089436316,0.0237445983387,0.1021106162832,0.0885053370315,0.0211873832941,0.094839091006,0.0212658806495,0.0264091097645,0.1072426886583
"1642.MS00488",0.0285436154961,0.0197874102746,0.0221701544331,0.1240707786952,0.1151768287347,0,0.1561811827001,0.0192867700318,0.1051816761255,0.022813132265,0.1064737493787,0.1088730425054,0.0291897589342,0.0306618478994,0.1089929069346,0.0269388640357,0.108199324951,0.1123526039195,0.0236022293204,0.1050729222802,0.0213309270814,0.1054444921441,0.0239566835858,0.0215857023859,0.1340535891503,0.0359694265179,0.1067648004208,0.1168403688319,0.1251863489701,0.1127283763484,0.1098259217704,0.0329585552488,0.1104558220423,0.0225131608577,0.0248254497779,0.1195355381341,0.0412049439108,0.1046244061082,0.1062987502863,0.0213836781767
"1001.SKD7",0.1500324388594,0.1427938571074,0.1407430734063,0.0797772164963,0.0821325860915,0.1561811827001,0,0.1402218923905,0.112504105739,0.1480156456707,0.0982836832606,0.0974256339469,0.1138123611062,0.1220924963126,0.0627540080339,0.1460121528219,0.0966884102247,0.0693371393255,0.1483327940883,0.0966192366884,0.1439389999176,0.0696950726576,0.1314659536526,0.1413819757629,0.0800412685175,0.1230691036786,0.0749827305451,0.0801406401037,0.0605124495635,0.0911656445351,0.1194550631143,0.1216090729197,0.0740117405982,0.1481054387554,0.1377685845592,0.0802819578165,0.1279186440799,0.0716554419471,0.0784495423312,0.1504893471885
"1642.MS00496",0.0243079006309,0.0244798405156,0.0186538161832,0.0984617428171,0.0887699041063,0.0192867700318,0.1402218923905,0,0.0876753363817,0.0199349110051,0.086191782662,0.0851056737888,0.0229292693356,0.0277544971326,0.0894134214655,0.0211794120693,0.085409499582,0.0915891364225,0.020997632392,0.0831222864239,0.0211109111821,0.0845724860691,0.0214779959006,0.0212034732519,0.1152614665248,0.0315978026006,0.0886104436311,0.0930986129742,0.0964577276208,0.0875099113335,0.0941191450005,0.0295313465922,0.089423117223,0.0216094312646,0.0192590533329,0.0965578642493,0.0385521240163,0.0851536547437,0.0855150803866,0.0207888109635
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0803369383593,0.0992681472665,0.0864231024535,0.0439241535986,0.0374187182867,0.1051816761255,0.112504105739,0.0876753363817,0,0.0860702891609,0.0314931964654,0.0328505074433,0.0760904869964,0.0869042949731,0.0523080608933,0.0809753924201,0.0323371327832,0.0413027166029,0.0896604459608,0.0282252971405,0.0959125954283,0.0417346284009,0.0895365595045,0.0927411508045,0.0614087653583,0.0866186816124,0.0334444651154,0.0495848414137,0.0654504959903,0.035449783147,0.0251096969191,0.0840722604327,0.045034846257,0.0977441618829,0.0804208728287,0.0471759764586,0.1009361287688,0.0334572549514,0.0411952822571,0.1007462816146
"1642.MS00446",0.0237506303051,0.0260193502075,0.0209443200677,0.10161536538,0.0940237072632,0.022813132265,0.1480156456707,0.0199349110051,0.0860702891609,0,0.0841591806555,0.0875911708443,0.0227442327055,0.0321154019911,0.0950065438767,0.0198361792597,0.0863150400653,0.0958609448793,0.0237166245015,0.0854854642354,0.0260439415943,0.0908647788221,0.0257322748954,0.0253613985211,0.1220029337121,0.0352486522761,0.0907679793661,0.102210672919,0.1110916436696,0.089794554596,0.088678820599,0.0329732000568,0.0947860143361,0.0252811731542,0.021565824428,0.1034301718182,0.0402015390798,0.0888004567352,0.0914502896165,0.0242654771093
