"","1642.MS00491","1642.MS00444","1642.MS00457","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","1001.SKD7","1642.MS00496","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00363","1642.MS00357","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00458","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00632","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","1642.MS00577","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00540","1642.MS00405","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531"
"1642.MS00491",NA,-1.93614717711516,-2.71363305124689,0.271202637024434,0.469942705639662,-2.31281073830993,1.71372077549124,-2.58306834480504,3.18387954689209,-1.59435421842998,4.12606719083125,3.92207101674357,-2.69370359379336,-2.04524750692085,1.27883729746337,-1.84956654523078,3.56627506615764,-0.077882549327071,-1.20303503597763,3.90813328420165,-2.85197527014141,0.122398090987302,-2.27197782846612,-1.84378529906469,0.0424043780221798,-1.33004312231016,1.9364071900268,0.908448787665192,0.231578194372227,3.78997969128444,4.72932827029845,-1.49802091821392,-0.125449684142472,-2.41987663915486,-2.29803374427561,-0.00254948988857688,-1.79393557299387,1.05025531504805,0.348983178725871,-2.74352401233463
"1642.MS00444",-1.93614717711516,NA,-3.66767982254795,0.669496682661341,0.623086006997394,-5.09949601732422,0.719437883688701,-0.886078455943881,4.84145084790588,-0.998383767723743,4.3762524253272,3.79328703904219,-1.54545622453371,-2.1473358505676,1.00194608895956,-0.311604197726299,3.64182763332652,0.139535911414767,-1.16211602417764,3.41961326473063,-4.1401009343952,0.621766849501952,-2.12235069421586,-3.19575430418159,0.111646708436489,-1.40931235052198,1.81735177608998,1.67323475257977,-0.346825086985403,3.16396384864889,5.22905857043334,-1.74058042647674,0.0962924733806031,-3.64114670942609,-3.05375831246662,0.232752752556367,-1.94961615079152,1.64317855359862,0.694421277226197,-1.44400710019807
"1642.MS00457",-2.71363305124689,-3.66767982254795,NA,0.400902697806303,0.373519339504348,-2.89207080399647,0.994646425376347,-5.08469233885753,5.10299293676536,-3.88279425554192,3.68587589342692,4.32296823001008,-4.26099119784867,-2.51712923941599,0.781711528442271,-3.13808930940731,3.7982004818755,-0.195958355452437,-3.63933212692505,4.34338540955413,-1.37067466284411,-0.0355809529713656,-5.85988727272429,-2.8130557793484,-0.140797205752856,-1.86843595169334,1.89851230846768,1.30868864725755,0.621075687595925,3.9305452647937,5.69130269827873,-2.21614782689206,-0.243880498173618,-2.64868342126371,-3.788443056527,-0.0761926851178724,-2.33075544775785,0.750609637496743,0.326676544457721,-4.31035630875657
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",0.271202637024434,0.669496682661341,0.400902697806303,NA,-7.97715880309444,2.9761954179295,-4.7848710926656,0.346830580683471,-5.25197159539504,0.914558687123025,-3.4452633228616,-4.32840725198308,-1.22575953723078,-0.758095771286979,-3.82240201387904,0.382579049226819,-6.94582167559583,-5.68058985196678,1.07962036572203,-5.28335901432233,1.08078080522217,-3.01499714772772,-0.200497770522939,0.0671179027538063,-5.59095983147166,-1.15703642059729,-3.6087659158858,-5.57179657607353,-3.44948168188027,-6.41521744046505,-3.11425316112108,-1.14126837839111,-3.87170390060314,0.949687308496782,0.193797621010209,-4.1187002027317,-0.852166339235677,-5.0346512747357,-4.45810570631626,1.543008609688
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.469942705639662,0.623086006997394,0.373519339504348,-7.97715880309444,NA,1.97328016043718,-3.50036954761659,0.139093920250706,-5.69350139438181,0.709453572986667,-5.19558768319202,-2.25509340650672,-1.02291957348711,-0.53152409383253,-5.29956185747087,0.354452047513994,-7.35522680857279,-6.88180233607391,0.947083974638869,-6.76712818896806,0.9618049331059,-3.85234311016389,-0.145329953483262,0.116756625104487,-5.61913339829365,-0.86879438950246,-5.09894391463189,-6.51032861768382,-3.07256207367332,-5.50635559656607,-2.02649457182899,-0.933462410229659,-5.10871844620175,0.930505416271052,0.269779991199349,-5.86378564418601,-0.72018761108456,-7.78515453397757,-5.99370300269976,1.41071636237949
"1642.MS00488",-2.31281073830993,-5.09949601732422,-2.89207080399647,2.9761954179295,1.97328016043718,NA,2.39527232549653,-4.13935852328463,8.59296903797951,-4.23297086464408,8.46397140274963,9.44314754381208,-2.36030253950995,-2.29910346988626,3.57013017636292,-2.42778195229731,8.39154898756767,0.806194774763269,-3.17834128366378,8.9336448218841,-5.20806867510132,2.11846734748433,-4.63194566614866,-3.65035894639574,0.652462421811723,-1.72166959711861,4.73000827710419,3.14248122226116,2.20324144081963,8.51606728302126,9.2422111132298,-1.99836383505815,0.848196668942372,-3.9430719057442,-2.16927949380719,0.811680525350899,-2.17022143767607,3.05632752295593,1.40277395232144,-4.09232595372145
"1001.SKD7",1.71372077549124,0.719437883688701,0.994646425376347,-4.7848710926656,-3.50036954761659,2.39527232549653,NA,0.708486051601627,-1.88329219150719,1.63752918022269,-3.25215846139811,-2.67214597669639,-1.46829499977312,-1.35410528207438,-5.40916667864449,1.56913013068131,-3.46380524189428,-3.33749344514983,1.72918134543922,-3.14494922230879,0.862181988738385,-4.66646702448186,-0.261251758655156,0.525157831252951,-3.05072292900588,-1.30767592180407,-4.43467862609117,-4.40616431683337,-5.46587816873167,-3.98995053842717,-1.6599938358486,-1.30468073178617,-3.29571640441649,1.56666027988965,0.633432542298636,-2.81783472321324,-1.28754182025629,-4.83468848687042,-3.56033531584233,1.75584764366377
"1642.MS00496",-2.58306834480504,-0.886078455943881,-5.08469233885753,0.346830580683471,0.139093920250706,-4.13935852328463,0.708486051601627,NA,4.58712915475664,-5.70320655811573,4.15920551061666,3.47630948487807,-4.02621808516548,-2.82060904444208,-0.0330100439434851,-4.26483495469191,3.10235684315059,-0.300410177258941,-3.85192156549389,3.54910138323005,-5.25396562493346,-0.349226679565498,-5.56650837273895,-3.51945725697853,-0.137300448165173,-1.90966427485136,1.60199913276782,1.06714068486612,-0.752863235951002,2.96462888983894,5.97879108964231,-2.28180653562757,-0.250022391083795,-3.83457477629639,-4.66137434180642,-0.0621753110327054,-2.45493110823043,0.866690714133013,0.209891347690478,-4.13140764003043
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",3.18387954689209,4.84145084790588,5.10299293676536,-5.25197159539504,-5.69350139438181,8.59296903797951,-1.88329219150719,4.58712915475664,NA,5.04239198838611,-5.65014928672694,-4.84493634764831,0.073804183133375,2.42574260315421,-3.43301573135593,4.52845559462122,-5.22610983636934,-4.97823975912296,6.51357135917297,-6.02856510917163,3.5948969473617,-3.22079823030702,1.33388161512575,2.81215529945964,-3.85422537061578,1.44826581090936,-5.66545179997069,-4.4691962063524,-3.0672032388385,-5.08150633768737,-5.16401958399297,1.21507402670089,-2.79045761320736,7.13124674886889,3.4309689252359,-5.65531501992903,1.76431254854145,-4.50275288545564,-5.36678390791989,7.55569182936467
"1642.MS00446",-1.59435421842998,-0.998383767723743,-3.88279425554192,0.914558687123025,0.709453572986667,-4.23297086464408,1.63752918022269,-5.70320655811573,5.04239198838611,NA,4.30791486217804,4.86290971655884,-3.94351029304897,-1.74087353342159,1.32239323480903,-3.35873101390079,3.74548365080644,0.326230130764515,-2.87509062293556,5.03679197486351,-1.52175881959141,0.930541977121223,-3.18179784438479,-2.35659322122805,0.220904798416609,-1.20660912744967,2.59833205845303,1.87435033587654,0.486459370548186,3.97960774445469,5.34721731939582,-1.55669403380892,0.282560973222508,-2.4174149447571,-3.25446788112596,0.283937723618744,-2.22465535142852,1.2462104451863,0.65928417571211,-3.69908842201015
