"","1642.MS00355","1642.MS00404","1642.MS00544","1642.MS00546","1642.MS00454","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00452","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00590","1642.MS00374","1642.MS00613","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00571","1642.MS00430","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00469","1642.MS00503","1642.MS00441","1642.MS00412","1642.MS00445","1642.MS00556","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444"
"1642.MS00355",0,0.672,0.6232,0.6482,0.6482,0.5754,0.9046,0.934,0.6432,0.9376,0.9538,0.6692,0.9434,0.9366,0.6402,0.9098,0.7274,0.6582,0.7882,0.9216,0.693,0.9256,0.958,0.695,0.6582,0.6576,0.918,0.682,0.6598,0.6214,0.6076,0.668,0.684,0.9298,0.639,0.9354,0.7376,0.929,0.9426,0.6322
"1642.MS00404",0.672,0,0.5208,0.564,0.5896,0.5028,0.8438,0.9192,0.5886,0.9016,0.9346,0.4742,0.9248,0.922,0.5628,0.8654,0.6404,0.6058,0.6604,0.871,0.496,0.8796,0.9408,0.6096,0.5978,0.5204,0.8738,0.5934,0.5822,0.5398,0.5464,0.5212,0.5172,0.8852,0.5654,0.9182,0.6718,0.8762,0.93,0.5842
"1642.MS00544",0.6232,0.5208,0,0.4436,0.497,0.5244,0.865,0.9274,0.4824,0.9214,0.9392,0.5318,0.9324,0.9312,0.4572,0.887,0.5748,0.657,0.6348,0.8936,0.5028,0.9036,0.9468,0.5372,0.4834,0.5732,0.8924,0.529,0.477,0.4728,0.5792,0.5742,0.4986,0.9034,0.4336,0.9222,0.63,0.898,0.9316,0.551
"1642.MS00546",0.6482,0.564,0.4436,0,0.564,0.5708,0.8578,0.9366,0.554,0.9248,0.9468,0.558,0.9384,0.9422,0.549,0.8838,0.6094,0.696,0.547,0.8858,0.5218,0.9026,0.9554,0.549,0.549,0.5984,0.8898,0.5692,0.5524,0.5208,0.605,0.5976,0.4996,0.8916,0.5074,0.9254,0.6548,0.8952,0.94,0.5756
"1642.MS00454",0.6482,0.5896,0.497,0.564,0,0.5186,0.8884,0.9392,0.4496,0.9334,0.955,0.564,0.9456,0.9392,0.473,0.9076,0.5354,0.6894,0.7284,0.9182,0.548,0.9246,0.9622,0.5192,0.502,0.5716,0.9178,0.4816,0.4726,0.5022,0.605,0.574,0.5642,0.9318,0.4792,0.9376,0.5846,0.9208,0.94,0.5482
"1642.MS00428",0.5754,0.5028,0.5244,0.5708,0.5186,0,0.8796,0.9302,0.511,0.9158,0.946,0.5078,0.9382,0.9314,0.4958,0.895,0.562,0.5802,0.7154,0.8982,0.5282,0.903,0.9486,0.547,0.5592,0.4558,0.8932,0.519,0.5358,0.4784,0.4954,0.4938,0.539,0.9094,0.5198,0.929,0.598,0.8988,0.934,0.494
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.9046,0.8438,0.865,0.8578,0.8884,0.8796,0,0.8914,0.9056,0.8754,0.8938,0.854,0.8832,0.9008,0.893,0.7182,0.9114,0.899,0.8638,0.747,0.871,0.7806,0.9082,0.9086,0.9076,0.8802,0.737,0.9066,0.8922,0.8854,0.887,0.8908,0.8706,0.7156,0.8862,0.8776,0.9258,0.7734,0.9058,0.912
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",0.934,0.9192,0.9274,0.9366,0.9392,0.9302,0.8914,0,0.9398,0.8526,0.6002,0.9324,0.402,0.483,0.9354,0.8616,0.9298,0.9292,0.9434,0.8752,0.9328,0.8708,0.6084,0.9366,0.948,0.9284,0.8468,0.9386,0.9422,0.9316,0.934,0.9398,0.9324,0.8672,0.9308,0.5618,0.9368,0.8686,0.5372,0.9414
"1642.MS00510",0.6432,0.5886,0.4824,0.554,0.4496,0.511,0.9056,0.9398,0,0.9418,0.9564,0.5788,0.946,0.946,0.458,0.9234,0.5044,0.6666,0.7044,0.9292,0.533,0.9312,0.9586,0.4898,0.4866,0.5392,0.9272,0.5016,0.441,0.4762,0.5808,0.5484,0.5512,0.9326,0.454,0.938,0.557,0.9262,0.9428,0.489
"2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences",0.9376,0.9016,0.9214,0.9248,0.9334,0.9158,0.8754,0.8526,0.9418,0,0.853,0.9208,0.8492,0.809,0.9284,0.7632,0.9356,0.9254,0.9416,0.7326,0.9262,0.698,0.8696,0.9418,0.9434,0.9142,0.7138,0.9346,0.9332,0.9266,0.929,0.9338,0.922,0.7524,0.9334,0.8336,0.9372,0.7382,0.8284,0.9424
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9538,0.9346,0.9392,0.9468,0.955,0.946,0.8938,0.6002,0.9564,0.853,0,0.9494,0.5434,0.6546,0.9514,0.8692,0.9504,0.949,0.9576,0.8796,0.9544,0.8824,0.5382,0.9566,0.9622,0.9458,0.8782,0.954,0.959,0.9534,0.9554,0.9576,0.9478,0.874,0.952,0.5818,0.9592,0.8746,0.6524,0.9596
"1642.MS00452",0.6692,0.4742,0.5318,0.558,0.564,0.5078,0.854,0.9324,0.5788,0.9208,0.9494,0,0.94,0.939,0.5542,0.8808,0.6226,0.6332,0.6686,0.8862,0.4724,0.8982,0.959,0.5924,0.597,0.5112,0.887,0.5702,0.5784,0.502,0.5408,0.5042,0.501,0.9014,0.5532,0.9264,0.6406,0.8988,0.935,0.5534
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.9434,0.9248,0.9324,0.9384,0.9456,0.9382,0.8832,0.402,0.946,0.8492,0.5434,0.94,0,0.5218,0.9424,0.8582,0.941,0.9328,0.9452,0.8672,0.9386,0.8688,0.5738,0.9386,0.951,0.939,0.8446,0.9482,0.9464,0.9374,0.943,0.9444,0.935,0.8546,0.9414,0.6034,0.9462,0.8666,0.5992,0.9488
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",0.9366,0.922,0.9312,0.9422,0.9392,0.9314,0.9008,0.483,0.946,0.809,0.6546,0.939,0.5218,0,0.9414,0.8534,0.9398,0.9324,0.9534,0.8296,0.9402,0.8184,0.6324,0.9402,0.9576,0.933,0.8144,0.9416,0.9458,0.9382,0.9434,0.9428,0.9354,0.8438,0.9396,0.568,0.945,0.8558,0.511,0.9508
"1642.MS00471",0.6402,0.5628,0.4572,0.549,0.473,0.4958,0.893,0.9354,0.458,0.9284,0.9514,0.5542,0.9424,0.9414,0,0.9078,0.546,0.6474,0.72,0.9096,0.526,0.9136,0.9552,0.5258,0.4714,0.5442,0.9076,0.4732,0.4316,0.4708,0.5724,0.5642,0.542,0.919,0.4606,0.9328,0.566,0.9108,0.9386,0.5374
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9098,0.8654,0.887,0.8838,0.9076,0.895,0.7182,0.8616,0.9234,0.7632,0.8692,0.8808,0.8582,0.8534,0.9078,0,0.9192,0.9032,0.8938,0.6292,0.8934,0.651,0.8876,0.9206,0.9196,0.892,0.6092,0.9156,0.9084,0.8998,0.9046,0.9058,0.8938,0.61,0.9096,0.8176,0.9346,0.639,0.857,0.9276
"1642.MS00590",0.7274,0.6404,0.5748,0.6094,0.5354,0.562,0.9114,0.9298,0.5044,0.9356,0.9504,0.6226,0.941,0.9398,0.546,0.9192,0,0.7028,0.7232,0.9282,0.557,0.9296,0.951,0.4812,0.5852,0.5972,0.9248,0.5244,0.52,0.5728,0.624,0.6102,0.5736,0.9344,0.5604,0.9352,0.52,0.929,0.9388,0.5774
"1642.MS00374",0.6582,0.6058,0.657,0.696,0.6894,0.5802,0.899,0.9292,0.6666,0.9254,0.949,0.6332,0.9328,0.9324,0.6474,0.9032,0.7028,0,0.7542,0.9182,0.6416,0.922,0.9528,0.677,0.696,0.5814,0.9138,0.6662,0.6704,0.62,0.5872,0.6084,0.6472,0.922,0.6686,0.933,0.703,0.9102,0.9378,0.6428
"1642.MS00613",0.7882,0.6604,0.6348,0.547,0.7284,0.7154,0.8638,0.9434,0.7044,0.9416,0.9576,0.6686,0.9452,0.9534,0.72,0.8938,0.7232,0.7542,0,0.9022,0.6082,0.9166,0.964,0.6872,0.691,0.686,0.911,0.694,0.7184,0.6568,0.6828,0.6696,0.5888,0.902,0.6754,0.937,0.7152,0.9002,0.9522,0.689
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9216,0.871,0.8936,0.8858,0.9182,0.8982,0.747,0.8752,0.9292,0.7326,0.8796,0.8862,0.8672,0.8296,0.9096,0.6292,0.9282,0.9182,0.9022,0,0.8948,0.4908,0.902,0.929,0.9246,0.9004,0.509,0.9164,0.9112,0.9032,0.911,0.9112,0.8962,0.5264,0.913,0.8462,0.936,0.6344,0.869,0.931
"1642.MS00492",0.693,0.496,0.5028,0.5218,0.548,0.5282,0.871,0.9328,0.533,0.9262,0.9544,0.4724,0.9386,0.9402,0.526,0.8934,0.557,0.6416,0.6082,0.8948,0,0.9046,0.9584,0.5406,0.5604,0.529,0.8974,0.5234,0.5464,0.5118,0.5344,0.5006,0.473,0.905,0.5196,0.93,0.5868,0.8966,0.939,0.5498
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9256,0.8796,0.9036,0.9026,0.9246,0.903,0.7806,0.8708,0.9312,0.698,0.8824,0.8982,0.8688,0.8184,0.9136,0.651,0.9296,0.922,0.9166,0.4908,0.9046,0,0.9056,0.9306,0.9306,0.8996,0.4756,0.9206,0.9206,0.9114,0.916,0.9196,0.9044,0.5294,0.923,0.8418,0.9322,0.6308,0.8636,0.937
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.958,0.9408,0.9468,0.9554,0.9622,0.9486,0.9082,0.6084,0.9586,0.8696,0.5382,0.959,0.5738,0.6324,0.9552,0.8876,0.951,0.9528,0.964,0.902,0.9584,0.9056,0,0.962,0.968,0.9484,0.8982,0.9608,0.9626,0.9572,0.9596,0.961,0.9516,0.8916,0.9562,0.5606,0.9586,0.9032,0.6118,0.9628
"1642.MS00495",0.695,0.6096,0.5372,0.549,0.5192,0.547,0.9086,0.9366,0.4898,0.9418,0.9566,0.5924,0.9386,0.9402,0.5258,0.9206,0.4812,0.677,0.6872,0.929,0.5406,0.9306,0.962,0,0.5678,0.5666,0.9238,0.5016,0.5204,0.53,0.579,0.5736,0.55,0.9326,0.5478,0.9394,0.5584,0.927,0.9422,0.5402
"1642.MS00571",0.6582,0.5978,0.4834,0.549,0.502,0.5592,0.9076,0.948,0.4866,0.9434,0.9622,0.597,0.951,0.9576,0.4714,0.9196,0.5852,0.696,0.691,0.9246,0.5604,0.9306,0.968,0.5678,0,0.605,0.9232,0.53,0.421,0.5178,0.6082,0.5918,0.568,0.9316,0.415,0.9446,0.5954,0.9286,0.9504,0.568
"1642.MS00430",0.6576,0.5204,0.5732,0.5984,0.5716,0.4558,0.8802,0.9284,0.5392,0.9142,0.9458,0.5112,0.939,0.933,0.5442,0.892,0.5972,0.5814,0.686,0.9004,0.529,0.8996,0.9484,0.5666,0.605,0,0.8964,0.5554,0.575,0.485,0.5086,0.4678,0.5262,0.912,0.5602,0.9282,0.6062,0.8988,0.9336,0.5006
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.918,0.8738,0.8924,0.8898,0.9178,0.8932,0.737,0.8468,0.9272,0.7138,0.8782,0.887,0.8446,0.8144,0.9076,0.6092,0.9248,0.9138,0.911,0.509,0.8974,0.4756,0.8982,0.9238,0.9232,0.8964,0,0.9168,0.911,0.9058,0.9088,0.9102,0.897,0.532,0.913,0.834,0.9326,0.633,0.86,0.929
"1642.MS00469",0.682,0.5934,0.529,0.5692,0.4816,0.519,0.9066,0.9386,0.5016,0.9346,0.954,0.5702,0.9482,0.9416,0.4732,0.9156,0.5244,0.6662,0.694,0.9164,0.5234,0.9206,0.9608,0.5016,0.53,0.5554,0.9168,0,0.5174,0.5274,0.5764,0.5618,0.5372,0.9234,0.5256,0.9374,0.5328,0.9164,0.9436,0.5406
"1642.MS00503",0.6598,0.5822,0.477,0.5524,0.4726,0.5358,0.8922,0.9422,0.441,0.9332,0.959,0.5784,0.9464,0.9458,0.4316,0.9084,0.52,0.6704,0.7184,0.9112,0.5464,0.9206,0.9626,0.5204,0.421,0.575,0.911,0.5174,0,0.49,0.5904,0.5812,0.5702,0.9192,0.4074,0.9396,0.5668,0.9174,0.9488,0.5444
"1642.MS00441",0.6214,0.5398,0.4728,0.5208,0.5022,0.4784,0.8854,0.9316,0.4762,0.9266,0.9534,0.502,0.9374,0.9382,0.4708,0.8998,0.5728,0.62,0.6568,0.9032,0.5118,0.9114,0.9572,0.53,0.5178,0.485,0.9058,0.5274,0.49,0,0.518,0.5138,0.543,0.9104,0.4774,0.9312,0.6026,0.9004,0.9368,0.4758
"1642.MS00412",0.6076,0.5464,0.5792,0.605,0.605,0.4954,0.887,0.934,0.5808,0.929,0.9554,0.5408,0.943,0.9434,0.5724,0.9046,0.624,0.5872,0.6828,0.911,0.5344,0.916,0.9596,0.579,0.6082,0.5086,0.9088,0.5764,0.5904,0.518,0,0.5172,0.5492,0.915,0.5774,0.9326,0.6164,0.9136,0.9454,0.5406
"1642.MS00445",0.668,0.5212,0.5742,0.5976,0.574,0.4938,0.8908,0.9398,0.5484,0.9338,0.9576,0.5042,0.9444,0.9428,0.5642,0.9058,0.6102,0.6084,0.6696,0.9112,0.5006,0.9196,0.961,0.5736,0.5918,0.4678,0.9102,0.5618,0.5812,0.5138,0.5172,0,0.529,0.916,0.5564,0.9338,0.6168,0.9096,0.9438,0.4934
"1642.MS00556",0.684,0.5172,0.4986,0.4996,0.5642,0.539,0.8706,0.9324,0.5512,0.922,0.9478,0.501,0.935,0.9354,0.542,0.8938,0.5736,0.6472,0.5888,0.8962,0.473,0.9044,0.9516,0.55,0.568,0.5262,0.897,0.5372,0.5702,0.543,0.5492,0.529,0,0.9078,0.5346,0.9236,0.5892,0.9038,0.935,0.5706
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9298,0.8852,0.9034,0.8916,0.9318,0.9094,0.7156,0.8672,0.9326,0.7524,0.874,0.9014,0.8546,0.8438,0.919,0.61,0.9344,0.922,0.902,0.5264,0.905,0.5294,0.8916,0.9326,0.9316,0.912,0.532,0.9234,0.9192,0.9104,0.915,0.916,0.9078,0,0.9202,0.831,0.9376,0.626,0.8656,0.9356
"1642.MS00505",0.639,0.5654,0.4336,0.5074,0.4792,0.5198,0.8862,0.9308,0.454,0.9334,0.952,0.5532,0.9414,0.9396,0.4606,0.9096,0.5604,0.6686,0.6754,0.913,0.5196,0.923,0.9562,0.5478,0.415,0.5602,0.913,0.5256,0.4074,0.4774,0.5774,0.5564,0.5346,0.9202,0,0.929,0.6076,0.915,0.935,0.5338
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.9354,0.9182,0.9222,0.9254,0.9376,0.929,0.8776,0.5618,0.938,0.8336,0.5818,0.9264,0.6034,0.568,0.9328,0.8176,0.9352,0.933,0.937,0.8462,0.93,0.8418,0.5606,0.9394,0.9446,0.9282,0.834,0.9374,0.9396,0.9312,0.9326,0.9338,0.9236,0.831,0.929,0,0.9434,0.8394,0.4368,0.9436
"1642.MS00588",0.7376,0.6718,0.63,0.6548,0.5846,0.598,0.9258,0.9368,0.557,0.9372,0.9592,0.6406,0.9462,0.945,0.566,0.9346,0.52,0.703,0.7152,0.936,0.5868,0.9322,0.9586,0.5584,0.5954,0.6062,0.9326,0.5328,0.5668,0.6026,0.6164,0.6168,0.5892,0.9376,0.6076,0.9434,0,0.9328,0.9496,0.593
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.929,0.8762,0.898,0.8952,0.9208,0.8988,0.7734,0.8686,0.9262,0.7382,0.8746,0.8988,0.8666,0.8558,0.9108,0.639,0.929,0.9102,0.9002,0.6344,0.8966,0.6308,0.9032,0.927,0.9286,0.8988,0.633,0.9164,0.9174,0.9004,0.9136,0.9096,0.9038,0.626,0.915,0.8394,0.9328,0,0.8696,0.928
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.9426,0.93,0.9316,0.94,0.94,0.934,0.9058,0.5372,0.9428,0.8284,0.6524,0.935,0.5992,0.511,0.9386,0.857,0.9388,0.9378,0.9522,0.869,0.939,0.8636,0.6118,0.9422,0.9504,0.9336,0.86,0.9436,0.9488,0.9368,0.9454,0.9438,0.935,0.8656,0.935,0.4368,0.9496,0.8696,0,0.9532
"1642.MS00444",0.6322,0.5842,0.551,0.5756,0.5482,0.494,0.912,0.9414,0.489,0.9424,0.9596,0.5534,0.9488,0.9508,0.5374,0.9276,0.5774,0.6428,0.689,0.931,0.5498,0.937,0.9628,0.5402,0.568,0.5006,0.929,0.5406,0.5444,0.4758,0.5406,0.4934,0.5706,0.9356,0.5338,0.9436,0.593,0.928,0.9532,0
