"","1642.MS00355","1642.MS00404","1642.MS00544","1642.MS00546","1642.MS00454","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00452","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00590","1642.MS00374","1642.MS00613","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00571","1642.MS00430","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00469","1642.MS00503","1642.MS00441","1642.MS00412","1642.MS00445","1642.MS00556","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444"
"1642.MS00355",0,0.877,0.109,0.522,0.397,-0.562,1,1,0.333,1,1,0.791,1,1,0.381,1,0.998,0.602,1,1,0.981,1,1,0.97,0.648,0.75,1,0.912,0.611,-0.005,-0.125,0.813,0.95,1,0.204,1,1,1,1,0.172
"1642.MS00404",0.877,0,-0.606,-0.08,0.138,-0.864,1,1,0.11,1,1,-0.992,1,1,-0.134,1,0.832,0.411,0.978,1,-0.91,1,1,0.708,0.412,-0.574,1,0.341,-0.02,-0.507,-0.145,-0.651,-0.538,1,-0.253,1,0.998,1,1,0.0800000000000001
"1642.MS00544",0.109,-0.606,0,-1,-0.968,-0.677,1,1,-0.996,1,1,-0.597,1,1,-1,1,-0.275,0.954,0.753,1,-0.872,1,1,-0.564,-0.996,0.119,1,-0.694,-0.99,-0.996,0.263,0.0109999999999999,-0.87,1,-1,1,0.85,1,1,-0.454
"1642.MS00546",0.522,-0.08,-1,0,-0.348,-0.1,1,1,-0.469,1,1,-0.354,1,1,-0.496,1,0.143,0.998,-0.556,1,-0.73,1,1,-0.489,-0.462,0.411,1,-0.219,-0.539,-0.824,0.643,0.288,-0.919,1,-0.96,1,0.964,1,1,-0.186
"1642.MS00454",0.397,0.138,-0.968,-0.348,0,-0.862,1,1,-1,1,1,-0.316,1,1,-1,1,-0.811,0.992,1,1,-0.511,1,1,-0.882,-0.955,-0.194,1,-0.99,-0.994,-0.964,0.351,-0.246,-0.252,1,-0.996,1,-0.141,1,1,-0.624
"1642.MS00428",-0.562,-0.864,-0.677,-0.1,-0.862,0,1,1,-0.899,1,1,-0.875,1,1,-0.928,1,-0.433,-0.137,1,1,-0.598,1,1,-0.4,-0.257,-1,1,-0.788,-0.703,-0.988,-0.929,-0.938,-0.319,1,-0.857,1,0.393,1,1,-0.984
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.826,1,1,1,0.978,1,1,1,1,1,1,0.96,1,1,1,1,1,1,0.759,1,0.998,1,1,1,1
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,1,0,1,0.99,-0.996,1,-1,-1,1,1,1,1,1,1,1,1,-0.976,1,1,1,0.998,1,1,1,1,1,1,0.996,1,-0.994,1,1,-1,1
"1642.MS00510",0.333,0.11,-0.996,-0.469,-1,-0.899,1,1,0,1,1,-0.149,1,1,-0.998,1,-0.982,0.953,0.998,1,-0.722,1,1,-0.988,-0.988,-0.622,1,-0.984,-1,-0.998,-0.029,-0.507,-0.395,1,-0.998,1,-0.467,1,1,-0.992
"2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,0.99,1,0,0.928,1,0.992,0.929,1,0.998,1,1,1,0.94,1,0.586,0.976,1,1,1,0.857,1,1,1,1,1,1,0.973,1,0.97,1,0.966,0.899,1
