"","1642.MS00588","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00556","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00355","1642.MS00590","1642.MS00374","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00546","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00454","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00444","1642.MS00441","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00503","1642.MS00404","1642.MS00505","1642.MS00613","1642.MS00452","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00544","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00588",0,0.1142315849228,0.1161891551889,0.0266747874576,0.0979838717398,0.1184608037671,0.1240995348418,0.028891789585,0.10404377907,0.0275561339547,0.0436846196931,0.0270826631034,0.0455209195268,0.1064731457895,0.0265682179241,0.1045239087192,0.107452914917,0.0307370043233,0.034715622563,0.1024940220366,0.0283113040019,0.1074585769376,0.0309816965951,0.0297222900396,0.0288701046049,0.0258257334173,0.09966107902,0.0337372986178,0.1176540932286,0.0267031045961,0.0264313903589,0.0361595938477,0.0289558152622,0.0386458071567,0.0335054227601,0.1047986110584,0.0292439831378,0.0311995217879,0.0290770613896,0.0935885776757
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",0.1142315849228,0,0.015820699251,0.1125359336773,0.0471094443955,0.0279639384903,0.0138166891843,0.1057639521273,0.0413074588523,0.1157590711229,0.081797630353,0.1157660548172,0.1086975700733,0.0615854092496,0.1072827148133,0.0197287040804,0.0417563503062,0.111119984925,0.0982260829158,0.0227958231946,0.1058228581854,0.0539637941133,0.1073137140854,0.1094861826487,0.1003190091576,0.1130029583212,0.0454175156335,0.1059529944613,0.0216849786966,0.0992376703246,0.0988800825664,0.0953246458378,0.0944657423308,0.1153206299742,0.0985635974705,0.0384910952405,0.0926675738679,0.093734965792,0.0959149359141,0.0424140608525
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",0.1161891551889,0.015820699251,0,0.1147741845624,0.0544377485372,0.0287852676569,0.0171816522753,0.112651239356,0.0387482040265,0.1176026699249,0.0830710801034,0.1192137508525,0.1041986828242,0.0602957789319,0.1093465235781,0.0192311390627,0.0351082456207,0.1184837252937,0.1090193431989,0.0208637473713,0.1084857396801,0.049625685102,0.1138632133862,0.1157912100814,0.1054993322136,0.1122637813959,0.042632208341,0.1110937416815,0.0242869456118,0.1021331661084,0.1005006115797,0.0997947389644,0.0993642447726,0.1271874353422,0.105434986837,0.0338153690148,0.0945589357471,0.0988936699352,0.0962366254258,0.0520362448115
"1642.MS00510",0.0266747874576,0.1125359336773,0.1147741845624,0,0.1020522969856,0.1139579271994,0.1195122605078,0.0239199584714,0.1048059852415,0.0193471383203,0.034835475009,0.0222596423153,0.039711933915,0.1097946549564,0.0218579298651,0.1054895874493,0.1146318999321,0.0202125698463,0.0250530409781,0.1034843184289,0.0181096617111,0.1190732373128,0.022459925932,0.0214363693956,0.0215365265935,0.0212023989489,0.1025860390173,0.0271302019141,0.1145239122493,0.0211299672678,0.0179494030464,0.0242205037855,0.0183418814423,0.0348245218799,0.022494160738,0.1067306561743,0.0219601685301,0.0206730273692,0.0212933846105,0.0900770682242
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0979838717398,0.0471094443955,0.0544377485372,0.1020522969856,0,0.0583001814837,0.0486026871502,0.0915183782561,0.0282580058482,0.0951804707446,0.0801353106118,0.1044961792766,0.0950370154359,0.0376205521598,0.0890847736521,0.044470285341,0.0396186627093,0.0959679331137,0.0839662416237,0.0398047066229,0.0944651319335,0.0292214431141,0.0966491559906,0.096874027763,0.0886920197713,0.0960126766499,0.030052985203,0.090017182024,0.0438619124582,0.0865784340966,0.085998602931,0.0791518508831,0.0834431169775,0.0899723200507,0.0898823605598,0.031197571382,0.0848489911143,0.0793560868169,0.0828795189133,0.035766361053
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.1184608037671,0.0279639384903,0.0287852676569,0.1139579271994,0.0583001814837,0,0.0279123017438,0.1144423951451,0.0597576453211,0.1179674194909,0.0927641189496,0.1191594955388,0.118638193439,0.074977396898,0.108882619445,0.0204663281171,0.0579849630496,0.1185004598571,0.1060186329607,0.0205614487132,0.1077447813945,0.0514145541408,0.117030390688,0.1178389960454,0.1092848636262,0.1158851738931,0.0528365201825,0.1168835383077,0.0200531950372,0.10170997614,0.1000169378782,0.1044513929259,0.0983561981121,0.1213195751811,0.1059524715958,0.0517689394142,0.1003211708765,0.0971993038605,0.1020561478188,0.0539049630773
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.1240995348418,0.0138166891843,0.0171816522753,0.1195122605078,0.0486026871502,0.0279123017438,0,0.1118225189823,0.0442834522139,0.1230184552578,0.0879330315201,0.1250410891842,0.1138033840451,0.0629415137195,0.1116757322438,0.0203660453663,0.0409399734014,0.1172213470102,0.1038601034083,0.02066593688,0.1106277654275,0.0489153139922,0.1153696070935,0.1161868859621,0.106780000908,0.1196876282748,0.047724920991,0.1151904556319,0.0224046529378,0.1048627544926,0.1051131755334,0.1005397210148,0.0998965352084,0.121594273395,0.1029197100362,0.0406409390501,0.0995891864712,0.0979830689209,0.103175826305,0.0448053144709
"1642.MS00556",0.028891789585,0.1057639521273,0.112651239356,0.0239199584714,0.0915183782561,0.1144423951451,0.1118225189823,0,0.0960535455838,0.0241501129585,0.0337770952436,0.0284224385795,0.0425671172118,0.0960744054413,0.0257752193386,0.1028407599745,0.1021708479535,0.0244532074441,0.0239301006806,0.0987831895525,0.0245150459333,0.0973289935773,0.025444173291,0.0309349769224,0.0244017913177,0.02400832804,0.0919570319798,0.0286417976897,0.107081272776,0.024109919525,0.0244448787102,0.025109005071,0.0222979622323,0.031693237499,0.0245448329749,0.0934000879271,0.0240499891403,0.0217983077408,0.024090222983,0.0822131911942
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.10404377907,0.0413074588523,0.0387482040265,0.1048059852415,0.0282580058482,0.0597576453211,0.0442834522139,0.0960535455838,0,0.0987166476116,0.078065468374,0.1089961767959,0.088718744813,0.0380672564209,0.0906365180197,0.0435035043136,0.0334322600158,0.0995115401086,0.087039509333,0.0431063470938,0.0964579111909,0.0238538764745,0.0988450786379,0.1007149880581,0.0916745817001,0.0980896514455,0.023276491713,0.0949193333149,0.0483854903629,0.0875603897828,0.0884240341523,0.0813740046952,0.0846217798647,0.1015220316359,0.0908078845827,0.0172022846384,0.087170755067,0.0807058242339,0.0835515828648,0.0330522453528
"1642.MS00495",0.0275561339547,0.1157590711229,0.1176026699249,0.0193471383203,0.0951804707446,0.1179674194909,0.1230184552578,0.0241501129585,0.0987166476116,0,0.0353663773538,0.0221036345102,0.0397966006783,0.1045786911429,0.022708845644,0.1069530518343,0.1092186359674,0.0224589184486,0.0243332694476,0.1041402994601,0.0197155307763,0.105605212118,0.0233537482252,0.0236928008698,0.0219915808849,0.0214941690131,0.0963444361792,0.0254691429806,0.1151635554418,0.0213582109861,0.0207133232138,0.0270248263762,0.0203381607118,0.0322423304773,0.0248610198629,0.1001469498598,0.0236727773961,0.0213479322507,0.0241057189444,0.0854519411209
