"","1642.MS00588","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00556","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00355","1642.MS00590","1642.MS00374","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00546","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00454","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00444","1642.MS00441","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00503","1642.MS00404","1642.MS00505","1642.MS00613","1642.MS00452","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00544","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00588",NA,2.65986221139184,3.90766307467777,-2.80948569104196,6.37755877253195,2.00335308152452,3.11540117519724,-2.67021117175145,8.54303165381729,-2.96553547206948,-2.41273182364586,-2.27787524454515,-0.985091510810793,8.0262178031996,-3.62816906670465,1.88888161796367,4.13823920455965,-1.85637351177775,-2.40121652896497,2.00487022044494,-3.11040826981208,8.4786071085548,-3.64532180515441,-2.60379335840278,-3.79470791659947,-1.5178731720702,6.7020269476684,-2.376038634659,1.55954044668563,-2.86537672283337,-2.58517821715883,-1.98898888473407,-2.29180944705286,-2.77254844590647,-2.2427637412125,7.947022499398,-3.91914559867188,-2.69530111494884,-4.00706739871271,5.13876813251589
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",2.65986221139184,NA,-7.44019933319959,1.03110767664937,-5.12397829537771,-6.25028800224162,-5.21089805986407,1.15419992558076,-4.69929384740093,2.17598029345829,-1.84266463586986,2.74312160959047,1.11660072381781,-3.20396439108739,0.282455781060842,-6.9725951742832,-5.06446547230601,1.88979145955253,0.0801672021084265,-6.12635813178947,0.683947135292643,-2.83960389154068,1.08578638040505,0.905082424728488,0.23000214392877,1.59417365579424,-4.89425733250022,1.30705232531938,-6.11790960588257,0.0324884519165672,-0.12916453682693,0.450405191647347,-0.423673470074648,1.58161718917064,0.320804805523175,-6.80883192232691,-0.371357946502086,-0.276927459030043,-0.0115820460997157,-4.95952092804827
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",3.90766307467777,-7.44019933319959,NA,1.93347935965087,-3.67002630991953,-6.01626844169597,-7.45704293879252,3.3982324500575,-4.53208562334086,3.44990521304199,-1.46644137034097,4.04316280506881,1.40747661597316,-2.77063686268146,0.88297439152429,-7.82814113873656,-5.93360547866707,4.12117222117012,1.74283886570597,-7.40321634369881,1.70218262520878,-3.1846967476116,2.96090068151974,2.1663315375257,1.4369628432627,2.40503603642745,-5.39803543646339,3.16124827796349,-6.07741274912601,0.900554774095589,0.387648811679668,2.20506601426887,0.170216473740451,4.05250888600164,1.80680438599042,-8.13349178083699,0.260811619199584,0.749800978189464,0.814398559243029,-4.21433993963899
"1642.MS00510",-2.80948569104196,1.03110767664937,1.93347935965087,NA,3.92296565614719,0.790836570123434,1.66328125637343,-2.5946549467628,4.16100098851161,-5.7187388388809,-2.07206889408563,-3.29605964525833,-0.391433678171713,4.7313396030047,-5.06910793360332,0.350071352091987,3.83021790169153,-5.57593339278592,-3.56806107346503,0.434689323545131,-5.85966353607727,6.01626683524249,-4.392219591803,-4.85598407444715,-5.03218887188697,-2.14096353124054,3.53795042616621,-2.48676874719904,0.551670752636861,-3.8673008294339,-5.49801646475101,-4.30182350946597,-4.74341680570427,-2.44924324120808,-3.26627371596496,3.93287877462129,-3.76853120355322,-4.99406262208495,-5.66220146684971,2.43350247847053
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",6.37755877253195,-5.12397829537771,-3.67002630991953,3.92296565614719,NA,-5.59491838482348,-6.66022817182156,6.36627106793833,-7.95332668287509,4.06358877930986,-0.190788909694943,6.4750925282354,4.13805206483475,-3.88635009452393,1.21844525268016,-5.93053241237205,-5.16634960307975,8.5492202148813,2.07022038980083,-6.85699193716626,3.26846624696692,-7.50111577202636,6.78752150718891,3.91899902000776,2.47426424585732,4.17825935391057,-7.75977379094022,5.76130044819656,-7.48405158920773,1.65320690984234,1.10184633073659,4.73716964071991,0.587807128661069,4.22727762831505,5.22120068106101,-7.72360790922917,4.56897839320557,0.943744116324853,2.85334065582903,-7.37058375283999
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",2.00335308152452,-6.25028800224162,-6.01626844169597,0.790836570123434,-5.59491838482348,NA,-5.43155215134836,1.68785335552919,-4.78844096314929,1.03981797675041,-1.23178845637148,1.58789488020977,1.70828490418198,-3.01767860169262,-0.160124337364627,-5.72773311275022,-4.60389873742045,2.26711576589795,0.374340945621626,-5.56528709356013,0.388108136462744,-6.29269030876772,1.58524675614163,1.30368055950908,0.660375412804404,1.42555739038237,-7.4566066394019,2.26507638173946,-6.22973343087632,-0.224935246883871,-0.571550195331147,0.868112713354111,-0.580042751066421,1.86779611180997,0.578781437638314,-8.10228277501534,-0.0735366165994805,-0.406593493541013,0.1540128115254,-5.13212006833146
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",3.11540117519724,-5.21089805986407,-7.45704293879252,1.66328125637343,-6.66022817182156,-5.43155215134836,NA,1.66472936357246,-3.81237962967734,2.47769500039316,-1.1956077685154,2.87785438881985,1.52665406139127,-2.58979515562898,0.633755166529775,-6.53556208800058,-6.52392169159596,2.24457153348823,0.592647407152673,-7.01856122311579,0.977940055160839,-5.19282836777828,1.90857200723825,1.50999121880942,0.873631279072193,2.13945019046363,-6.35326791134619,2.14131096364896,-5.73700382749313,0.541027743898804,0.341192115616422,0.88537136586555,-0.104584282660753,2.21124675820838,0.539193294498475,-8.03702934850233,0.283177149634523,0.0444075521986676,0.732959880261268,-3.87768990524697
"1642.MS00556",-2.67021117175145,1.15419992558076,3.3982324500575,-2.5946549467628,6.36627106793833,1.68785335552919,1.66472936357246,NA,8.75209228942466,-3.10213823264247,-2.4404823717348,-1.15841714853137,0.261386663845577,7.78327579264019,-3.12974615688472,0.88298961984608,5.26061340620405,-1.2546494974599,-2.23808594451281,0.961520099134644,-3.96636925480566,7.38035082306359,-3.60541476670273,0.224685223598295,-3.54904529913406,-3.17310120953208,6.60355242723534,-1.84957839343679,0.247830246923867,-2.69454286771854,-2.05738638576458,-2.02805686021259,-2.75458919566516,-0.477457164141056,-1.7521981402049,6.72298694701541,-4.0072476480507,-2.52377231292805,-4.26710947751819,4.39364683693262
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",8.54303165381729,-4.69929384740093,-4.53208562334086,4.16100098851161,-7.95332668287509,-4.78844096314929,-3.81237962967734,8.75209228942466,NA,5.41726529098736,-0.464714802165096,7.91075901882791,2.48842863021173,-3.27213205018904,1.45355340898743,-5.82536705104193,-5.97935698791737,9.41662454748659,2.84060387409901,-6.30674945615613,3.64297508198172,-6.10868633410454,8.43227775604252,4.60827791888642,3.02615196466725,4.70907136638843,-7.02875392494011,7.86472363586137,-5.00076136579979,1.80153342039613,1.32484754860334,5.476777964848,0.681545141490743,7.92149029732207,5.61157821638572,-9.85004635220534,5.52045006625209,1.15412156479776,2.99655362024309,-8.6521571433459
"1642.MS00495",-2.96553547206948,2.17598029345829,3.44990521304199,-5.7187388388809,4.06358877930986,1.03981797675041,2.47769500039316,-3.10213823264247,5.41726529098736,NA,-2.83562455550767,-3.67605078599698,-0.660251469521138,6.07451244134058,-5.75632329760364,1.68026192348255,4.60883286298113,-3.63238558326904,-5.3381355408986,1.4477588042927,-6.48478679482488,6.06322477412453,-3.92950869429894,-4.11677112902251,-4.78411399155633,-3.94856935909773,4.01116106807521,-3.50637124333298,0.717659868805856,-3.26543171155202,-4.03856928710306,-2.55120623412303,-3.96993210527634,-3.40130079361354,-3.11987126125806,4.97056251992878,-3.68504093608588,-6.17695436068495,-3.43614114707734,2.41069728752848
