"","1642.MS00516","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00513","1642.MS00472","1642.MS00421","1642.MS00561","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00333","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00633"
"1642.MS00516",0,0.9318,0.667,0.9098,0.9566,0.506,0.967,0.916,0.481,0.9344,0.5102,0.492,0.5476,0.494,0.513,0.936,0.9192,0.5736,0.9488,0.7716,0.918,0.9476,0.5216,0.9016,0.5232,0.9464,0.5058,0.9152,0.9328,0.5638,0.6574,0.9604,0.4782,0.9448,0.9246,0.7204,0.9368,0.9084,0.93,0.5448
"2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences",0.9318,0,0.933,0.7998,0.7442,0.9234,0.7598,0.8112,0.9188,0.6816,0.9328,0.9372,0.9198,0.9204,0.93,0.6392,0.8112,0.917,0.7478,0.9512,0.7194,0.6746,0.9296,0.795,0.9162,0.7434,0.9298,0.6752,0.6678,0.9238,0.9288,0.8264,0.9194,0.652,0.6662,0.9496,0.6068,0.7838,0.6492,0.9266
"1642.MS00355",0.667,0.933,0,0.9246,0.9604,0.6482,0.9602,0.93,0.6382,0.9302,0.6994,0.6198,0.7066,0.6002,0.67,0.9316,0.923,0.7108,0.9462,0.6246,0.9212,0.9404,0.7144,0.9098,0.614,0.946,0.6608,0.9166,0.9282,0.6516,0.6006,0.9462,0.589,0.9408,0.9252,0.5328,0.9332,0.9192,0.933,0.7478
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9098,0.7998,0.9246,0,0.864,0.8938,0.9414,0.6372,0.907,0.6742,0.9224,0.9124,0.8968,0.889,0.9128,0.7646,0.6838,0.8994,0.8422,0.9554,0.8186,0.7674,0.9146,0.6228,0.8888,0.8516,0.9194,0.8466,0.6626,0.9172,0.9378,0.9074,0.899,0.8328,0.796,0.9378,0.725,0.5906,0.7128,0.9118
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",0.9566,0.7442,0.9604,0.864,0,0.9514,0.7616,0.8832,0.9464,0.6476,0.9522,0.9576,0.9476,0.9496,0.9512,0.6614,0.8302,0.9218,0.3632,0.9764,0.5464,0.6568,0.9562,0.8674,0.943,0.5436,0.953,0.7436,0.6056,0.952,0.9588,0.7646,0.9444,0.5952,0.587,0.971,0.6572,0.8716,0.7104,0.9562
"1642.MS00546",0.506,0.9234,0.6482,0.8938,0.9514,0,0.964,0.8918,0.5124,0.9224,0.6216,0.5348,0.5968,0.5398,0.5008,0.9262,0.8908,0.6298,0.9382,0.8022,0.9052,0.9414,0.6088,0.8838,0.5262,0.9348,0.5494,0.9118,0.9114,0.598,0.6836,0.954,0.5162,0.9412,0.9052,0.7142,0.9282,0.8796,0.9104,0.603
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.967,0.7598,0.9602,0.9414,0.7616,0.964,0,0.9386,0.9538,0.7542,0.9616,0.9624,0.9518,0.9614,0.9564,0.7582,0.9088,0.9298,0.766,0.9766,0.7838,0.7226,0.9624,0.9302,0.9546,0.7982,0.9568,0.6574,0.774,0.9662,0.9592,0.5352,0.9568,0.6496,0.7486,0.9728,0.6932,0.936,0.6082,0.945
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.916,0.8112,0.93,0.6372,0.8832,0.8918,0.9386,0,0.9126,0.7428,0.9264,0.9216,0.909,0.9062,0.9172,0.7854,0.6156,0.901,0.865,0.9582,0.8398,0.7918,0.9194,0.6336,0.899,0.842,0.921,0.8652,0.7292,0.9158,0.9408,0.9254,0.9054,0.8616,0.7252,0.9458,0.7874,0.6284,0.7676,0.9228
"1642.MS00568",0.481,0.9188,0.6382,0.907,0.9464,0.5124,0.9538,0.9126,0,0.9206,0.527,0.471,0.536,0.5162,0.46,0.9172,0.9126,0.5924,0.9356,0.7798,0.9018,0.935,0.527,0.9014,0.508,0.933,0.4592,0.9006,0.9158,0.599,0.6256,0.9446,0.4812,0.9344,0.9072,0.7014,0.925,0.9064,0.9196,0.541
"2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences",0.9344,0.6816,0.9302,0.6742,0.6476,0.9224,0.7542,0.7428,0.9206,0,0.9282,0.9314,0.9124,0.9196,0.9242,0.5992,0.7404,0.8918,0.6172,0.9616,0.6262,0.532,0.9208,0.7582,0.9116,0.6734,0.9276,0.7172,0.514,0.927,0.9364,0.787,0.9162,0.6136,0.5854,0.9492,0.4884,0.756,0.5576,0.9242
