"","1642.MS00516","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00513","1642.MS00472","1642.MS00421","1642.MS00561","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00333","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00633"
"1642.MS00516",0,1,0.847,1,1,-0.747,1,1,-0.924,1,-0.697,-0.903,-0.051,-0.773,-0.7,1,1,0.334,1,1,1,1,-0.555,1,-0.632,1,-0.784,1,1,0.0920000000000001,0.747,1,-0.888,1,1,0.97,1,1,1,-0.15
"2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences",1,0,1,0.988,-0.558,1,-0.835,0.998,1,-0.318,1,1,1,1,1,-0.8,0.984,1,-0.236,1,-0.139,-0.515,1,0.963,1,-0.362,1,-0.561,-0.503,1,1,0.05,1,-0.805,-0.503,1,-0.866,0.939,-0.633,1
"1642.MS00355",0.847,1,0,1,1,0.604,1,1,0.474,1,0.97,0.173,0.984,-0.016,0.816,1,1,0.994,1,-0.443,1,1,0.984,1,0.0129999999999999,1,0.746,1,1,0.661,-0.356,1,-0.255,1,1,-0.946,1,1,1,1
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.988,1,0,0.953,1,1,0.389,1,0.536,1,1,1,1,1,0.8,0.898,1,0.966,1,0.992,0.934,1,0.476,1,0.969,1,1,0.189,1,1,0.994,1,0.997,1,1,0.829,-0.26,0.743,1
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",1,-0.558,1,0.953,0,1,-0.796,0.984,1,-0.978,1,1,1,1,1,-0.938,0.614,1,-1,1,-1,-0.952,1,0.966,1,-1,1,-0.531,-0.996,1,1,-0.633,1,-0.996,-1,1,-0.96,0.964,-0.748,1
"1642.MS00546",-0.747,1,0.604,1,1,0,1,1,-0.74,1,0.783,-0.588,0.513,-0.334,-0.844,1,1,0.91,1,1,1,1,0.683,1,-0.675,1,-0.347,1,1,0.504,0.938,1,-0.671,1,1,0.913,1,1,1,0.615
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",1,-0.835,1,1,-0.796,1,0,1,1,-0.91,1,1,1,1,1,-0.856,0.95,0.998,-0.776,1,-0.72,-0.947,1,0.996,1,-0.611,1,-0.994,-0.812,1,1,-0.996,1,-0.996,-0.902,1,-0.986,0.996,-1,1
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.998,1,0.389,0.984,1,1,0,1,0.96,1,1,1,1,1,0.894,-0.072,1,0.994,1,0.998,0.976,1,0.27,1,0.913,1,1,0.793,1,1,1,1,0.998,0.824,1,0.994,0.05,0.984,1
"1642.MS00568",-0.924,1,0.474,1,1,-0.74,1,1,0,1,-0.532,-0.968,-0.398,-0.652,-0.977,1,1,0.482,1,1,1,1,-0.546,1,-0.833,1,-0.99,1,1,0.507,0.351,1,-0.914,1,1,0.826,1,1,1,-0.403
"2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences",1,-0.318,1,0.536,-0.978,1,-0.91,0.96,1,0,1,1,1,1,1,-0.92,0.958,1,-0.976,1,-0.801,-0.994,1,0.986,1,-0.874,1,0.146,-0.994,1,1,-0.493,1,-0.93,-0.832,1,-1,0.986,-0.944,1
"1642.MS00478",-0.697,1,0.97,1,1,0.783,1,1,-0.532,1,0,-0.627,0.022,0.01,-0.457,1,1,0.801,1,0.998,1,1,-0.894,1,-0.168,1,-0.748,1,1,0.611,0.691,1,-0.35,1,1,0.974,1,1,1,-0.514
"1642.MS00513",-0.903,1,0.173,1,1,-0.588,1,1,-0.968,1,-0.627,0,-0.32,-0.8,-0.81,1,1,0.419,1,0.998,1,1,-0.413,1,-0.974,1,-0.998,1,1,0.452,-0.359,1,-0.935,1,1,0.401,1,1,1,0.0980000000000001
"1642.MS00472",-0.051,1,0.984,1,1,0.513,1,1,-0.398,1,0.022,-0.32,0,-0.232,-0.289,1,1,0.618,1,1,1,1,-0.029,1,-0.448,1,-0.692,1,1,0.715,0.948,1,-0.464,1,1,1,1,1,1,0.25
"1642.MS00421",-0.773,1,-0.016,1,1,-0.334,1,1,-0.652,1,0.01,-0.8,-0.232,0,-0.322,1,1,0.456,1,0.949,1,1,0.211,1,-0.974,1,-0.572,1,1,-0.313,-0.027,1,-0.992,1,1,0.201,1,1,1,0.625
"1642.MS00561",-0.7,1,0.816,1,1,-0.844,1,1,-0.977,1,-0.457,-0.81,-0.289,-0.322,0,1,1,0.764,1,1,1,1,-0.77,1,-0.832,1,-0.848,1,1,0.88,0.707,1,-0.823,1,1,0.95,1,1,1,-0.397
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",1,-0.8,1,0.8,-0.938,1,-0.856,0.894,1,-0.92,1,1,1,1,1,0,0.812,1,-0.679,1,-0.447,-0.998,1,0.984,1,-0.862,1,-0.119,-1,1,1,-0.771,1,-1,-0.866,1,-0.982,0.99,-0.73,1
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.984,1,0.898,0.614,1,0.95,-0.072,1,0.958,1,1,1,1,1,0.812,0,1,0.724,1,0.934,0.967,1,-0.224,1,0.306,1,1,0.706,1,1,0.862,1,0.968,0.772,1,0.986,0.381,0.938,1
"1642.MS00595",0.334,1,0.994,1,1,0.91,0.998,1,0.482,1,0.801,0.419,0.618,0.456,0.764,1,1,0,1,1,1,1,0.727,1,0.522,1,0.638,1,1,0.702,1,1,0.527,1,1,1,1,1,1,0.563
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",1,-0.236,1,0.966,-1,1,-0.776,0.994,1,-0.976,1,1,1,1,1,-0.679,0.724,1,0,1,-1,-0.871,1,0.992,1,-0.99,1,-0.649,-0.985,1,1,-0.499,1,-0.938,-0.986,1,-0.908,0.965,-0.82,1
"1642.MS00376",1,1,-0.443,1,1,1,1,1,1,1,0.998,0.998,1,0.949,1,1,1,1,1,0,1,1,1,1,0.996,1,1,1,1,0.762,0.9,1,0.9,1,1,-0.173,1,1,1,1
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",1,-0.139,1,0.992,-1,1,-0.72,0.998,1,-0.801,1,1,1,1,1,-0.447,0.934,1,-1,1,0,-0.409,1,0.991,1,-0.992,1,-0.866,-0.912,1,1,-0.488,1,-0.777,-0.904,1,-0.466,0.962,-0.452,1
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",1,-0.515,1,0.934,-0.952,1,-0.947,0.976,1,-0.994,1,1,1,1,1,-0.998,0.967,1,-0.871,1,-0.409,0,1,1,1,-0.772,1,0.168,-1,1,1,-0.697,1,-0.998,-0.882,1,-1,1,-0.942,1
"1642.MS00600",-0.555,1,0.984,1,1,0.683,1,1,-0.546,1,-0.894,-0.413,-0.029,0.211,-0.77,1,1,0.727,1,1,1,1,0,1,0.159,1,-0.435,1,1,0.716,0.936,1,-0.02,1,1,1,1,1,1,-0.472
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.963,1,0.476,0.966,1,0.996,0.27,1,0.986,1,1,1,1,1,0.984,-0.224,1,0.992,1,0.991,1,1,0,1,0.893,1,1,0.916,1,1,1,1,1,0.99,1,0.994,-0.217,0.914,1
