"","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00513","1642.MS00561","1642.MS00355","1642.MS00546","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00333","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00419","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00595","1642.MS00421","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00368","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00411","1642.MS00376","1642.MS00516"
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0,0.0345536948506,0.0974833256655,0.0216374135657,0.1148051305285,0.0190532826177,0.0908041306218,0.0620591741307,0.0287947059258,0.0959626777652,0.0244671456262,0.0570663208826,0.0820573159275,0.0278483242358,0.1049912719376,0.0953635207258,0.0696108834298,0.0977137055353,0.0582724031852,0.1142110029645,0.0723828853031,0.0623469005308,0.0995350105365,0.0349599419645,0.0256042302698,0.0372889361903,0.0219049751664,0.0315408135284,0.0203854757675,0.0875496333446,0.0881793894776,0.0286350805615,0.0266676938616,0.0510399855894,0.0727808932666,0.0285015682137,0.1195626434284,0.0924372175041,0.0778252008412,0.1105311835955
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",0.0345536948506,0,0.0820125941448,0.0209242596211,0.1016654155081,0.0297873412562,0.0844876968854,0.0313770852115,0.0222267106159,0.0820293942658,0.0215573299802,0.0303203668303,0.07476001012,0.0225921038353,0.0934297283345,0.0872303793979,0.0734498092698,0.0830240203663,0.0378007204967,0.0987809944461,0.0774291044883,0.0348171337274,0.0880071769695,0.0219039624203,0.0270250482491,0.0253356390191,0.026984365989,0.0184617283241,0.0213087008113,0.0725922083134,0.0772330148576,0.0231210204537,0.0192712682402,0.0252703980633,0.084039968726,0.0257197871082,0.1027760519768,0.0814121511828,0.0900652538671,0.0919266538703
"1642.MS00472",0.0974833256655,0.0820125941448,0,0.0953336366959,0.0227403674389,0.0954574405551,0.018375158766,0.0808188704993,0.0859814774585,0.0203556985372,0.0870119270155,0.0869519820786,0.0197233728369,0.093007995467,0.019332817296,0.0215243484254,0.032417805682,0.0254123853666,0.0846043928311,0.0252065416303,0.0254418514743,0.0839665022453,0.0263739659353,0.0845207833175,0.0930287055953,0.081141666899,0.1010184584421,0.079947715215,0.0957192886926,0.0256041220565,0.0212283465445,0.0849332943548,0.0852144649963,0.0809581493828,0.0353116274454,0.081244397012,0.0231147609071,0.0223337338053,0.0350380342577,0.0222771991104
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.0216374135657,0.0209242596211,0.0953336366959,0,0.1126627425176,0.023318033686,0.0991971192939,0.0423355804663,0.0205316977348,0.100553558616,0.020845173803,0.0445595356301,0.0922150656654,0.0232876947053,0.1103076707525,0.1008937821824,0.088640152273,0.0993681100353,0.0464936705962,0.1166381893778,0.0874851242935,0.0430628448185,0.1031548806531,0.0257890092474,0.0199496814541,0.0245016403582,0.0114437974617,0.0223673077097,0.0167509318299,0.091137439385,0.0893360353972,0.0171181198186,0.0239043816336,0.0377873257054,0.0972493242493,0.0240963235738,0.1177054122677,0.0959217167006,0.1023419966861,0.1115746042571
"1642.MS00600",0.1148051305285,0.1016654155081,0.0227403674389,0.1126627425176,0,0.113427034097,0.0225894717506,0.1023095252658,0.1096977944167,0.0224788984622,0.1062494665951,0.1089749290678,0.0242773992865,0.1125296922498,0.0202801757974,0.0221287598505,0.0376079694653,0.0252629850514,0.106776840782,0.0236092334518,0.0308373022142,0.1047362963217,0.0269075648063,0.1036288199567,0.1097580665236,0.0983011203041,0.1149054911266,0.0994118963525,0.1155962460483,0.0296542452277,0.0248098685453,0.105700689787,0.1043504832145,0.1005769471982,0.0393855082065,0.1034114996541,0.0202462108319,0.025876510088,0.0413920784383,0.0223767268759
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.0190532826177,0.0297873412562,0.0954574405551,0.023318033686,0.113427034097,0,0.0929180990642,0.0575096685392,0.0304681123623,0.0922496482317,0.0273076160527,0.0565044129046,0.0810887658116,0.0276081053897,0.1069618153316,0.0949580059497,0.0775811169269,0.0989993175862,0.0650375737854,0.1105233901676,0.0749824123898,0.0577110281977,0.0985517865943,0.0296941583561,0.026402815224,0.0349749197385,0.0258169805983,0.0326898970954,0.0205356462738,0.0866965375524,0.0898470716511,0.0277731799785,0.029494288287,0.05260634777,0.0799465209384,0.0246573645043,0.1163061659409,0.0905578791014,0.0846484467026,0.1078593923957
"1642.MS00477",0.0908041306218,0.0844876968854,0.018375158766,0.0991971192939,0.0225894717506,0.0929180990642,0,0.0869354070395,0.0921805013851,0.019265414296,0.0900839000921,0.0935408899089,0.0185218305643,0.0949028117423,0.0184801330662,0.0208396652855,0.0334502189736,0.0235276426452,0.0927171337101,0.0221166972829,0.0235089724962,0.0868962887361,0.0239034645596,0.0866915418915,0.0937574178264,0.084562893758,0.1009388389816,0.0840775181449,0.0984588408895,0.0244221863659,0.0205350171392,0.0871625649776,0.0884670196206,0.0838239690543,0.036619238209,0.083126089547,0.0204374023769,0.0222960048391,0.0359009548748,0.020887333296
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0620591741307,0.0313770852115,0.0808188704993,0.0423355804663,0.1023095252658,0.0575096685392,0.0869354070395,0,0.0347888172768,0.0848635205396,0.0391292084254,0.0218246982355,0.0762824359902,0.0425640785418,0.0901102405444,0.0877579876663,0.077774165213,0.0813022608221,0.0242021054584,0.0994176018182,0.0829695627308,0.0273709876431,0.0873457249812,0.0370436338921,0.041441661414,0.0326822525259,0.0455732604241,0.0325898615684,0.0463461578404,0.0756340969104,0.0773574956228,0.0390474870726,0.03615048949,0.027161357762,0.0853875551163,0.0431168935887,0.1028997746804,0.0819256063228,0.092227439923,0.0899329613402
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.0287947059258,0.0222267106159,0.0859814774585,0.0205316977348,0.1096977944167,0.0304681123623,0.0921805013851,0.0347888172768,0,0.0912412040434,0.0159452043516,0.0355122781242,0.0819794452069,0.0180310048285,0.0997502175444,0.0936903619541,0.0787909912637,0.0920412316453,0.0356976080916,0.11186739221,0.0790867224305,0.0312306424835,0.0955233831859,0.0221058945147,0.0203678946929,0.0232919569511,0.021131676593,0.0175919093855,0.0181702052713,0.0809873340457,0.0820668544155,0.0242338669353,0.0173612228267,0.0242222165326,0.0876493013272,0.0296910690716,0.113905254035,0.0891087894573,0.0935068091002,0.1011027270723
"1642.MS00568",0.0959626777652,0.0820293942658,0.0203556985372,0.100553558616,0.0224788984622,0.0922496482317,0.019265414296,0.0848635205396,0.0912412040434,0,0.0925417082322,0.0915043042761,0.021227195546,0.0958673938874,0.0194402456832,0.0200348503702,0.0345377244091,0.0210519136903,0.0911078961392,0.0249532500803,0.0287409037805,0.086907572706,0.0250965451624,0.0884242312116,0.0949162759445,0.0836521733389,0.1045482205726,0.0835962265641,0.1004487847681,0.0251846843059,0.021806129849,0.0891930596387,0.0884417412385,0.0833168967688,0.0392297556668,0.08274072069,0.0225059853656,0.0227923346571,0.0380826164602,0.0198250716158
