"","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00513","1642.MS00561","1642.MS00355","1642.MS00546","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00333","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00419","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00595","1642.MS00421","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00368","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00411","1642.MS00376","1642.MS00516"
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",NA,-5.06212151529608,-0.386022300646402,-5.19946277180231,1.11460280230561,-5.03663128818775,-1.25149363174271,-2.74632793145918,-5.94499582159289,-0.530930425894581,-6.33240654611105,-3.64790240174608,-1.49235399440955,-6.9606710936585,0.168035782466014,-0.733335683347493,-2.92218338430694,-0.661256711149268,-4.46853266298016,1.16086990341992,-2.29155222745684,-3.99184983197223,-0.572087399314364,-6.24841985228139,-5.68514889368112,-5.66554679881162,-6.33780888969502,-5.30331834017644,-5.98378144204246,-1.24128009695403,-1.25981040334653,-6.22250648805364,-6.59993559636587,-3.37581149719457,-2.45190331611283,-6.56254806147112,1.47672925984322,-0.901797129240527,-2.84906343509936,0.586597480706696
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",-5.06212151529608,NA,0.706153061481388,-5.32940095194766,3.10906164394545,-7.13702014866647,0.383113272868239,-5.67111137364231,-5.32680487638083,2.14315281102154,-6.37187797673768,-2.7460264121907,-0.288163686335741,-4.9532515573051,1.15325710204336,0.857166339239913,-0.898100124036121,0.563001450404398,-1.17062691543688,2.81409387492849,-0.6434368982242,-4.36811746040319,1.17775970457175,-5.58283751059021,-5.68873395021662,-6.84766537942842,-5.0011844013327,-4.89620708654937,-7.00198401407494,1.05736121483629,-0.0196816119402642,-5.69650733749251,-6.60777096384139,-6.89588041226774,-0.539307138201843,-6.61357058841708,3.33571975283693,0.390761827162294,-0.206780454118899,1.60347728021776
"1642.MS00472",-0.386022300646402,0.706153061481388,NA,0.319709511953086,-5.0159093162242,-1.08327237717521,-5.74100672825913,4.53052815245087,1.80369428552942,-5.83583730452269,0.509496602572957,4.56553309020341,-5.39144603448884,1.42256085204597,-5.92930695132262,-6.3432025764778,-3.2014685797864,-4.4665410598571,5.09501677146962,-3.5117792529589,-4.2886247619097,4.25973280136678,-4.28067765133122,1.87641047064396,-0.00491975340253144,0.796647160101984,0.433863789590712,0.30987524703164,1.41152502987313,-3.58702667020825,-4.79407896629774,0.633944189866497,1.46041340716257,4.56814615686089,-3.56716194072831,0.671757394904088,-5.06158032339357,-4.53749779490381,-4.00995193682146,-4.96606157648058
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",-5.19946277180231,-5.32940095194766,0.319709511953086,NA,1.51060127187214,-4.49542356668471,0.215145606759354,-5.07795496459333,-6.98909157573901,0.691224207754772,-5.73249464671913,-3.28999341015849,-0.0822964900507389,-5.73903050274701,0.925785039278535,0.462904972000394,-0.497999263449966,0.480908274011634,-2.13055138720581,1.84898612283609,-0.834334012975428,-5.37910798665757,0.793901751161733,-5.68937582733298,-4.83596009823955,-7.07599556008128,-4.72134361367989,-4.70011038155233,-5.30959355401383,0.270353247407748,-0.201699423911838,-7.59582918296273,-5.46307086800153,-5.94956147799367,-0.444236051688283,-5.64033927306896,1.76240137181195,0.251187199737181,-0.277081248221109,1.34994954990391
"1642.MS00600",1.11460280230561,3.10906164394545,-5.0159093162242,1.51060127187214,NA,0.469177969878835,-3.10020968055554,9.7357819949926,6.4288618082618,-2.72673947168609,3.61078053428862,9.79382590101454,-1.95562120248298,4.52110594466434,-2.62710429354094,-3.04061806036988,-1.84717118417874,-4.54958580351872,10.6615395726723,-3.22638935904711,-1.29293645372381,9.46386667368153,-2.49165637115669,6.28579187066425,2.10876165557573,3.99033127753842,1.86789272746884,3.64606365087703,4.13902613083007,-1.80746891404038,-2.10167779874536,3.71685864470267,5.41879633021937,10.3889839147156,-1.91526615038719,4.36876656264297,-2.20561852231917,-1.48879422031293,-2.70808510920977,-4.60220046850638
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",-5.03663128818775,-7.13702014866647,-1.08327237717521,-4.49542356668471,0.469177969878835,NA,-1.32479670796146,-3.75610444060199,-6.08155585369124,-0.983590251497216,-7.66963054613437,-2.84501335474406,-1.91125978451403,-7.94211368180965,-0.287261377063531,-1.22840818676195,-2.72853963641525,-1.06250881298511,-2.69032080990606,0.320548072641745,-2.33912073542421,-5.02290940784699,-1.10443357476735,-6.94731025070934,-5.39229054721312,-5.65546990364834,-5.12324089929409,-5.23335092574142,-7.03620465105353,-1.40252647553126,-1.60895609365425,-6.53248830966176,-5.6902364186839,-4.4671481459022,-2.30155621304214,-7.97006699512389,0.808110615038224,-1.42102197656094,-2.60991137027619,-0.0492791115316855
"1642.MS00477",-1.25149363174271,0.383113272868239,-5.74100672825913,0.215145606759354,-3.10020968055554,-1.32479670796146,NA,2.59221351939972,1.69082484245422,-4.72699624232838,0.463112439117161,3.2861306224094,-4.07254344797917,0.915159732508374,-4.10768452117381,-4.24831440653162,-2.53966817764755,-4.23791718900574,3.48012690879328,-3.17696965974679,-4.02474838529124,2.21833960738715,-4.66081039610318,2.25614641128328,-0.277008888018244,0.649832442644349,0.012672289056801,0.288843676131877,1.03036053270309,-3.63418867734398,-4.32668359420121,0.328697181690016,0.837422485495371,2.05658866739117,-2.33053669288755,0.316645777728771,-3.72662214765287,-2.66805182947783,-3.33439387420223,-3.84152221125696
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",-2.74632793145918,-5.67111137364231,4.53052815245087,-5.07795496459333,9.7357819949926,-3.75610444060199,2.59221351939972,NA,-4.45635610960273,3.35211153727252,-3.67618900307319,-8.25106899513166,0.962761772662398,-3.47869802163084,3.4215036310034,3.21844350980246,0.316110750210117,2.08132722377651,-7.85137650698023,9.61238084163944,0.507783588308398,-7.55304848077404,5.85055827747888,-6.46431643615324,-6.04818532515209,-6.9531475651215,-5.32165734779531,-5.19874706566102,-2.94862288910209,2.59116137360615,2.72653191835508,-6.1997359162377,-5.11051905789304,-7.4269966067911,0.506824448439224,-5.05937849727742,10.2387737518959,3.35225132244123,1.23903525665758,5.89747656510395
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",-5.94499582159289,-5.32680487638083,1.80369428552942,-6.98909157573901,6.4288618082618,-6.08155585369124,1.69082484245422,-4.45635610960273,NA,2.45077098383651,-5.76213391318952,-3.326844098543,0.609582351403521,-6.22284880451047,2.84496514093721,2.18767995066316,-0.232591874046805,2.07787561645211,-2.96246437538501,6.38230139661611,-0.681411535464905,-4.77201509527281,3.51803752172321,-7.09222555746416,-7.03943954345704,-6.81882423320606,-6.90700911380054,-4.2358419258471,-4.65449319150942,1.58744372326062,1.10957374059438,-6.40820720077102,-6.8768494489455,-5.834683133913,-0.0946843795253849,-5.00797609659771,6.73295269757084,2.0634443695571,0.281461829304685,4.36052907283966
"1642.MS00568",-0.530930425894581,2.14315281102154,-5.83583730452269,0.691224207754772,-2.72673947168609,-0.983590251497216,-4.72699624232838,3.35211153727252,2.45077098383651,NA,1.36078704406089,3.91002948440377,-2.30706381646553,2.043343642352,-2.25768037245797,-3.78536066741574,-1.90442702506641,-5.98652840139912,4.41046954406765,-1.30022610198268,-1.73403381243768,3.14740921202073,-2.29802984497463,3.79000313909413,0.361132782352298,1.33357279526603,0.826728187176493,0.980148752252787,2.03958701924034,-2.20466991205722,-2.69922962463269,1.2383980676616,1.92740193992529,3.08509804380264,-1.3112409418188,1.16606143661132,-2.08944475443773,-1.51355623866223,-2.67720531124166,-4.6071163141202
