"","1642.MS00516","1642.MS00354","1642.MS00517","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00402","1001.SKD8","1642.MS00538","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00486","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00470","1642.MS00426","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00491","1642.MS00494","1642.MS00418","1642.MS00520","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00463","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1001.SKM7","1642.MS00578","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00498","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00516",0,0.7396,0.4718,0.9494,0.967,0.9072,0.5058,0.989,0.4596,0.9428,0.698,0.494,0.5134,0.9624,0.9608,0.4998,0.5318,0.8876,0.9134,0.9424,0.9944,0.5362,0.5094,0.5146,0.564,0.9152,0.5146,0.9502,0.501,0.94,0.9754,0.9926,0.5582,0.9088,0.5708,0.9462,0.8956,0.8896,0.476,0.904
"1642.MS00354",0.7396,0,0.6842,0.965,0.9688,0.9486,0.7552,0.9908,0.7574,0.9546,0.5778,0.6854,0.7668,0.9686,0.9726,0.7678,0.683,0.947,0.9572,0.9548,0.9932,0.7906,0.8,0.7296,0.5412,0.9598,0.6218,0.964,0.7492,0.955,0.9818,0.9932,0.698,0.9556,0.7696,0.9592,0.8728,0.9462,0.7048,0.9512
"1642.MS00517",0.4718,0.6842,0,0.9426,0.9624,0.8994,0.521,0.9898,0.4906,0.9394,0.6882,0.498,0.5266,0.9586,0.9524,0.5104,0.5344,0.8776,0.9068,0.9398,0.99,0.5586,0.5464,0.5484,0.5518,0.9156,0.4796,0.943,0.5072,0.9336,0.9696,0.9886,0.5552,0.9058,0.5936,0.943,0.8416,0.8874,0.4778,0.8972
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0.9494,0.965,0.9426,0,0.78,0.8644,0.9336,0.9672,0.9394,0.8842,0.9536,0.9372,0.9456,0.527,0.5972,0.9386,0.9294,0.8742,0.874,0.5108,0.9834,0.9364,0.927,0.9404,0.962,0.8774,0.9544,0.6104,0.9386,0.645,0.6724,0.9682,0.9556,0.884,0.9524,0.5722,0.6386,0.9004,0.936,0.8472
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.967,0.9688,0.9624,0.78,0,0.9306,0.9564,0.9656,0.9514,0.9278,0.9684,0.9614,0.9618,0.6582,0.8474,0.9598,0.953,0.9414,0.939,0.768,0.957,0.9624,0.9516,0.961,0.9704,0.9398,0.9714,0.715,0.9564,0.6734,0.7658,0.9546,0.9678,0.9448,0.9616,0.5566,0.7458,0.9412,0.952,0.929
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9072,0.9486,0.8994,0.8644,0.9306,0,0.8754,0.9656,0.8892,0.7454,0.9256,0.8916,0.9122,0.863,0.8454,0.892,0.8786,0.7278,0.501,0.8084,0.9742,0.8846,0.8792,0.8974,0.9498,0.6818,0.9238,0.8266,0.9042,0.8256,0.9368,0.9614,0.9366,0.6384,0.9316,0.857,0.8022,0.8124,0.9028,0.5168
"1642.MS00402",0.5058,0.7552,0.521,0.9336,0.9564,0.8754,0,0.988,0.4812,0.9208,0.6874,0.4594,0.541,0.9476,0.943,0.4916,0.491,0.8548,0.8808,0.9238,0.9932,0.5506,0.4848,0.481,0.6612,0.8894,0.5784,0.9298,0.5262,0.9172,0.968,0.9904,0.65,0.8834,0.622,0.9284,0.9164,0.854,0.528,0.8754
"1001.SKD8",0.989,0.9908,0.9898,0.9672,0.9656,0.9656,0.988,0,0.986,0.9606,0.988,0.988,0.989,0.9506,0.9768,0.984,0.984,0.9778,0.9772,0.961,0.7818,0.9898,0.986,0.9874,0.9924,0.972,0.989,0.973,0.988,0.9638,0.963,0.742,0.9906,0.9854,0.987,0.9634,0.9766,0.9846,0.9868,0.972
"1642.MS00538",0.4596,0.7574,0.4906,0.9394,0.9514,0.8892,0.4812,0.986,0,0.9326,0.7188,0.5016,0.5194,0.952,0.9492,0.4692,0.5092,0.8664,0.8982,0.9264,0.9912,0.5128,0.4964,0.5042,0.5896,0.9038,0.539,0.9392,0.479,0.9224,0.9684,0.9886,0.5774,0.8956,0.569,0.9316,0.9006,0.8796,0.4908,0.8878
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.9428,0.9546,0.9394,0.8842,0.9278,0.7454,0.9208,0.9606,0.9326,0,0.9376,0.9284,0.938,0.8512,0.8886,0.9302,0.922,0.867,0.7412,0.8334,0.9742,0.9302,0.9256,0.9326,0.9574,0.838,0.9478,0.8634,0.9338,0.8478,0.9316,0.9666,0.954,0.8204,0.9426,0.8648,0.8564,0.8994,0.9342,0.7792
