"","1642.MS00516","1642.MS00354","1642.MS00517","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00402","1001.SKD8","1642.MS00538","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00486","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00470","1642.MS00426","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00491","1642.MS00494","1642.MS00418","1642.MS00520","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00463","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1001.SKM7","1642.MS00578","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00498","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00516",0,0.774,-0.984,1,1,1,-0.789,1,-0.992,1,0.954,-0.88,-0.812,1,1,-0.824,-0.522,1,1,1,1,-0.51,-0.704,-0.752,-0.633,1,-0.836,1,-0.838,1,1,1,-0.515,1,-0.0600000000000001,1,1,1,-0.974,1
"1642.MS00354",0.774,0,-0.043,1,1,1,0.929,1,0.922,1,-0.944,-0.073,0.946,1,1,0.978,-0.0679999999999999,1,1,1,1,0.996,1,0.669,-0.988,1,-0.779,1,0.873,1,1,1,0.107,1,0.971,1,1,1,0.281,1
"1642.MS00517",-0.984,-0.043,0,1,1,1,-0.738,1,-0.944,1,0.898,-0.915,-0.769,1,1,-0.844,-0.636,1,1,1,1,-0.391,-0.397,-0.45,-0.747,1,-0.982,1,-0.88,1,1,1,-0.604,1,0.119,1,1,1,-0.98,1
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,0,-0.81,0.966,1,0.969,1,0.988,1,1,1,-0.998,-0.986,1,1,0.984,0.984,-1,0.995,1,1,1,1,0.982,1,-0.98,1,-0.935,-0.978,0.998,1,0.996,1,-0.996,-0.962,1,1,0.857
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,-0.81,0,0.996,1,0.888,1,0.984,1,1,1,-0.966,-0.261,1,1,1,1,-0.86,0.655,1,1,1,1,0.998,1,-0.934,1,-0.97,-0.874,0.905,1,0.998,1,-1,-0.884,1,1,0.998
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.966,0.996,0,1,0.997,1,0.724,1,1,1,0.92,0.792,1,1,0.898,-0.98,0.958,0.998,1,1,1,1,0.505,1,0.924,1,0.968,0.986,1,1,-0.001,1,0.994,0.99,1,1,-0.972
"1642.MS00402",-0.789,0.929,-0.738,1,1,1,0,1,-0.947,1,0.93,-0.996,-0.598,1,1,-0.911,-0.888,1,1,1,1,-0.334,-0.904,-0.94,0.694,1,-0.00600000000000001,1,-0.551,1,1,1,0.794,1,0.694,1,1,1,-0.663,1
"1001.SKD8",1,1,1,0.969,0.888,0.997,1,0,1,0.954,1,1,1,0.743,0.996,1,1,1,1,0.963,-0.945,1,1,1,1,1,1,0.99,1,0.975,0.79,-0.966,1,1,1,0.951,0.998,1,1,1
"1642.MS00538",-0.992,0.922,-0.944,1,1,1,-0.947,1,0,1,1,-0.861,-0.81,1,1,-0.976,-0.812,1,1,1,1,-0.832,-0.862,-0.866,-0.346,1,-0.609,1,-0.968,1,1,1,-0.292,1,-0.166,1,1,1,-0.948,1
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.988,0.984,0.724,1,0.954,1,0,1,1,1,0.783,0.978,1,1,1,0.644,0.975,0.994,1,1,1,1,1,1,0.986,1,0.976,0.934,1,1,1,1,0.986,0.996,1,1,0.966
