"","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00426","1642.MS00421","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00516","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00520","1001.SKM7","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00538","1642.MS00498","1642.MS00494","1001.SKD8","1642.MS00588","1642.MS00463","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00354","1642.MS00470","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00418","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00491"
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",0,0.1049175648645,0.0845357563441,0.085416969453,0.0181885129137,0.1018032706641,0.0180005200045,0.0925030611811,0.0789394104404,0.044982600377,0.0276261129879,0.0368963766605,0.0980577137388,0.0590064017224,0.0331632100982,0.09884388563,0.0170119099166,0.0891692535584,0.0940360292891,0.094464163829,0.0955976396663,0.0768834971829,0.1050104700957,0.0908625868183,0.0378326060406,0.0732759133783,0.0964983064368,0.0198594720372,0.0863906875288,0.0986430795174,0.0880884975114,0.0234975182682,0.0380384581791,0.0172901462139,0.0167878081312,0.0383997872117,0.0258540060346,0.0248473258568,0.1124962147599,0.094288103533
"1642.MS00578",0.1049175648645,0,0.0299845261286,0.0264732347785,0.1089016131254,0.0221507844096,0.1089993651358,0.0172705062747,0.1851378056261,0.1176209155654,0.1032074064431,0.1193262005879,0.1939576586884,0.1126585095121,0.1045046647473,0.0229497538601,0.1162422475082,0.0474257999739,0.0246643845795,0.0205409697129,0.0270932982363,0.1564364820469,0.0239064215258,0.0226636828764,0.093000771311,0.0422927803732,0.0238697409979,0.1014815809169,0.0273122758621,0.025353258646,0.0224368405396,0.0996721296157,0.1073019145773,0.1119623818554,0.125102874543,0.1073766424167,0.1108725503289,0.1309851701965,0.0230741700599,0.0359826615747
"1642.MS00426",0.0845357563441,0.0299845261286,0,0.020931040376,0.0880324434349,0.0262054795674,0.0895399079888,0.0296061908594,0.1547350121567,0.0834698197659,0.0775825889591,0.0819531523547,0.1608571970886,0.0849422064039,0.0785146252029,0.0263928415313,0.0966192164532,0.0281128146651,0.0250984105799,0.0247181408458,0.0294363737444,0.1442592393212,0.0326866946179,0.025819158679,0.0691227678325,0.0305366521775,0.0258199350743,0.0830227058723,0.0231728298354,0.0236530353792,0.0238900477221,0.081064211515,0.0806664089307,0.0897154125855,0.1066002019273,0.0817947957519,0.0943145924842,0.1102009172147,0.0251403965278,0.0302313634529
"1642.MS00421",0.085416969453,0.0264732347785,0.020931040376,0,0.0898274450245,0.0238285676514,0.0876445775371,0.0249806934312,0.1517110479891,0.0824407787141,0.0783971673914,0.0824077131751,0.1567868006492,0.0817696159688,0.0780565036782,0.0244223390674,0.0960585611027,0.0322192696455,0.0219884391531,0.0220684206172,0.023437042073,0.1427358555655,0.0309857581973,0.0246358554187,0.0671310718958,0.0312549611683,0.022840537437,0.0832087157998,0.0211462829055,0.021049001672,0.0208809594946,0.0814500334919,0.0800275659914,0.0902905456726,0.1027105613044,0.0804812627014,0.0906733386788,0.1121292630552,0.0215342737361,0.0268234719522
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.0181885129137,0.1089016131254,0.0880324434349,0.0898274450245,0,0.1087937229689,0.018577079044,0.0911839762046,0.0909974324479,0.0600542587344,0.0306313802375,0.0538610174254,0.1052577843343,0.0608418732209,0.0389798965709,0.1047616130471,0.0156189097402,0.0918194273179,0.0999899767046,0.0984810515254,0.0974838881991,0.0700442880016,0.1052579063657,0.0978234484221,0.0425530981315,0.0716520504234,0.1018602659326,0.0229526924203,0.0940627587094,0.0995260431085,0.0928160525278,0.0222175350747,0.0410279960349,0.0162205344991,0.0187156862372,0.04097970004,0.0188367397084,0.0238139965295,0.1176890562435,0.1000890744609
"1642.MS00516",0.1018032706641,0.0221507844096,0.0262054795674,0.0238285676514,0.1087937229689,0,0.10677338199,0.0217984599811,0.1795656468757,0.0942555281042,0.0965345891973,0.0970138829664,0.18720845552,0.0989643532609,0.094070915324,0.0216461336359,0.1153629200277,0.0436667030665,0.02075035432,0.0219460950932,0.0222203011959,0.1658370737924,0.0285044437587,0.0238986072797,0.0800391219668,0.042104972164,0.0211982377948,0.0983647013534,0.0240496366514,0.0233125157255,0.0204637519935,0.0950343246835,0.0943693504662,0.1083950176534,0.1217425404605,0.0966418635707,0.1114125762879,0.1301049207542,0.0201553490501,0.0257510423336
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.0180005200045,0.1089993651358,0.0895399079888,0.0876445775371,0.018577079044,0.10677338199,0,0.0934933224308,0.0946117907752,0.0528564027247,0.0315002615226,0.0484357732486,0.1088876608948,0.065224631661,0.0350053412681,0.1011578587125,0.0172288972408,0.0941630780513,0.0976048068608,0.0969620855953,0.0950280411401,0.0763783661345,0.1063268037001,0.0949293871028,0.0380946500267,0.0775811586561,0.1015793126522,0.0219087127123,0.092616748949,0.0994721763755,0.0894109568767,0.0173612904075,0.0380538869396,0.0182867327987,0.0173122627878,0.0410834333516,0.0284272779793,0.0263145523421,0.1153211800219,0.0987946690589
"1642.MS00520",0.0925030611811,0.0172705062747,0.0296061908594,0.0249806934312,0.0911839762046,0.0217984599811,0.0934933224308,0,0.1873135803718,0.1238748918369,0.0969957609436,0.1241551879503,0.199313545983,0.095867816587,0.0942781458816,0.020341925634,0.098695867462,0.0459585534443,0.0221637329615,0.019954323692,0.0261633957104,0.1360142445711,0.0235777808318,0.0229223400411,0.0817734717788,0.0370715288797,0.023600730659,0.088505580623,0.0267445894764,0.0234045325573,0.0201823211237,0.0837009121589,0.096207116136,0.0960350199848,0.1067293057418,0.0958519812004,0.0877580535809,0.1085789012664,0.020341467993,0.030608474465
"1001.SKM7",0.0789394104404,0.1851378056261,0.1547350121567,0.1517110479891,0.0909974324479,0.1795656468757,0.0946117907752,0.1873135803718,0,0.127079723284,0.0990716801241,0.1005135325983,0.0056114748715,0.1357093586548,0.0931622616039,0.1804153048733,0.0720931406389,0.1530197659073,0.1681550763708,0.1712322056593,0.1682244695111,0.0254011480084,0.1645709151407,0.1661276046315,0.1158016424227,0.1547906514973,0.1659886409229,0.104563100214,0.1618880796874,0.1688632714587,0.1678713586926,0.1065870884991,0.1120389391406,0.082344361555,0.0800845742668,0.1011313600768,0.0933267172639,0.0970064757852,0.1787994318685,0.1684310826778
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.044982600377,0.1176209155654,0.0834698197659,0.0824407787141,0.0600542587344,0.0942555281042,0.0528564027247,0.1238748918369,0.127079723284,0,0.0592021268316,0.0229767929113,0.1467649703063,0.0442922928699,0.0276521315566,0.1045611594938,0.0581451043229,0.1004095613971,0.086952990712,0.0963945065722,0.0818399214703,0.1413592005137,0.1013410415119,0.0895203830065,0.031903875334,0.1244951476341,0.0846819988035,0.050517612793,0.0815421193536,0.0913253909556,0.0898174101875,0.0510356671331,0.0324427863147,0.0562316652866,0.0506077074147,0.0275244299203,0.0819855601285,0.0754641761608,0.093421799969,0.0837220134288
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.0276261129879,0.1032074064431,0.0775825889591,0.0783971673914,0.0306313802375,0.0965345891973,0.0315002615226,0.0969957609436,0.0990716801241,0.0592021268316,0,0.0481847064927,0.1072015732918,0.0518581654957,0.0243889900135,0.08761340519,0.0318108192836,0.0804172536714,0.0880549029907,0.0877131009789,0.0920956940687,0.0838283497267,0.0981565568622,0.0877573528884,0.0391417977155,0.0675438895482,0.08815565783,0.0289995107683,0.0839095440555,0.0905549615678,0.0821881909601,0.0321903353232,0.0354078094749,0.0352221651215,0.0452718751158,0.0263439356812,0.0402938637726,0.0604519996682,0.106965164101,0.0939239335436
