"","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00426","1642.MS00421","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00516","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00520","1001.SKM7","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00538","1642.MS00498","1642.MS00494","1001.SKD8","1642.MS00588","1642.MS00463","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00354","1642.MS00470","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00418","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00491"
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",NA,0.803455047488743,-0.365116096177998,-0.631280948577981,-7.98903296901769,1.77889549246126,-7.27155067976019,-0.511571747263363,-3.46762342188086,-4.33015680110556,-3.25716652927574,-4.98225013195994,-3.33594248272425,-3.64081455107818,-5.60579693728788,0.227055942456824,-7.38940946068679,-1.01844244108952,0.795009973379329,0.36243110906704,1.48186592896753,-5.34597247222079,2.14102228276027,0.455790186266991,-5.45122405163334,-1.85548975306667,1.14002143409932,-5.91139011737599,-0.081183680191424,1.69140311323266,-0.395874231564039,-3.52184845551635,-4.91782636500599,-5.40652365376845,-6.58507284051204,-4.86657231137531,-7.99950720694335,-3.6727948914843,2.94219378118432,0.971583619991691
"1642.MS00578",0.803455047488743,NA,-3.58384443913492,-4.99562068043218,0.448085035423672,-5.4303293415791,0.339122733498477,-6.71881406445845,2.75586973723524,4.5155559139764,1.04640796381159,5.0458184031037,2.61627901952062,13.3426416007971,2.95236604521898,-5.4956358987907,0.574094047235181,-2.20949187886117,-4.03259697649948,-4.67274887847501,-4.25728906137173,0.528778641394858,-3.64146825401761,-4.55536151399692,1.47789512823764,-2.76295832021054,-5.45228351180075,0.299056454515024,-3.86503662082053,-5.81327698338774,-6.02357226060397,2.89810686396597,2.77909847362273,0.327557134876709,0.754867243826607,3.2688681693482,-0.57148836227445,0.261849829302084,-3.0273844316276,-2.08217742842065
"1642.MS00426",-0.365116096177998,-3.58384443913492,NA,-3.25580322510398,-0.876672505702529,-2.45254588224515,-0.691468786965136,-2.22072280168665,1.47591734521806,3.76178590643447,-0.831753687562313,3.77099804087196,1.00733684340518,6.99924871525531,2.54988371170842,-3.76785983296757,-0.841206709282285,-3.70844648926086,-2.35640314648876,-3.09803730220646,-0.626777918964779,-0.0609074031630873,-2.85544150145724,-2.86572569185067,0.152968053062094,-4.1418929789811,-2.78232326066924,-1.33464957476038,-2.86249758915472,-3.17496188344756,-3.94066561226778,-0.269488413860843,1.51221691152577,-1.33370251683496,0.194484756132443,3.11760897487007,-1.77578457577146,-1.2397966492348,-4.00729983088611,-1.62219873408096
"1642.MS00421",-0.631280948577981,-4.99562068043218,-3.25580322510398,NA,-0.808360476325232,-3.54625372415919,-0.956360852852856,-5.4446900267963,1.09856832551131,2.55954206048726,-0.910516378180908,2.91837301822928,0.419575505579044,6.97155481218796,1.16712631455414,-4.83244982684691,-1.10690431252157,-2.63733091328937,-5.39874904944812,-4.16890407014347,-3.37241030510292,-0.338114225074919,-4.01471181475595,-4.14863742057476,-0.778210439875404,-3.82469548132808,-3.86115045775996,-1.1520884039551,-2.38320773399565,-4.05319268349896,-5.17571126013382,-0.105056503727628,0.902660780107511,-1.41398645355058,-0.132966611039765,1.55145560710468,-2.04541615910973,-1.12035576030994,-4.54547884291599,-2.93219490352973
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",-7.98903296901769,0.448085035423672,-0.876672505702529,-0.808360476325232,NA,1.38643498237828,-6.70093926110133,-0.816745907756738,-2.79362246761878,-2.1677070194427,-4.37078797506836,-2.38846611275958,-2.89430581093759,-3.50178914806108,-5.03414797107083,0.143265636540098,-7.20261701704316,-1.32725091476843,0.554536166622054,0.185971405734845,0.67855792808895,-5.6717079781326,2.30998773729193,0.0405816300968207,-5.79180974688197,-1.97667645365668,0.705509784265126,-6.50779732772692,0.144705634165098,1.86754676955692,-0.605301376862832,-3.77069610488638,-4.9822802073908,-8.27246568051761,-6.66715498425878,-6.9703489659184,-6.9779581512534,-6.39693053632843,2.41765097471609,0.544487122134656
"1642.MS00516",1.77889549246126,-5.4303293415791,-2.45254588224515,-3.54625372415919,1.38643498237828,NA,0.915008772777038,-4.0096785244508,3.09688483713697,5.0301751049893,0.93956123085788,6.08369766976864,2.93427721635346,11.1343206194604,4.81783365158869,-4.64586588293709,1.48597345011611,-1.06191275295001,-3.65627985935531,-2.91957260456881,-4.41041071529675,2.14038707883192,-2.45921160627755,-3.68886132111828,1.9737771787397,-1.53814372956871,-5.03116761500968,0.878011925770134,-2.05399330067072,-4.22907002342891,-3.88996631301553,2.31081627097991,4.14331341721438,1.04740774227762,1.1374619281287,5.1073943106753,-0.303521014045993,0.782453706699442,-4.19765940871099,-2.50231734502513
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",-7.27155067976019,0.339122733498477,-0.691468786965136,-0.956360852852856,-6.70093926110133,0.915008772777038,NA,-0.731302449413892,-2.59697470447615,-2.05428000465663,-3.6084457326836,-2.49480945285934,-2.57662227479221,-2.85352288133162,-4.75941755085833,-0.0429433509973617,-7.50381325422957,-0.917849840494021,0.0750200533171511,-0.196741084578884,0.0788608087426069,-4.87782383512157,1.76729100441719,-0.125022105161888,-4.24776872851734,-1.69936685223157,0.491577673846938,-7.42801342905328,-0.246153593374148,1.2871090212179,-0.829349643959401,-2.97641832159491,-4.03052513748307,-5.29426845725126,-5.92227900370372,-6.31768638302741,-6.39561364357457,-6.30883994224609,1.61246140515685,0.281537630763521
"1642.MS00520",-0.511571747263363,-6.71881406445845,-2.22072280168665,-5.4446900267963,-0.816745907756738,-4.0096785244508,-0.731302449413892,NA,1.90196722829198,2.70522155282222,0.0694524627410647,2.922220360872,1.77869435940482,9.93032332155918,0.617839894681688,-6.79080390996499,-0.763536089353912,-1.12938193633134,-4.80216661246946,-4.5760481407605,-4.7653645387268,-0.710265972936547,-4.19420519672316,-5.27169931748829,-0.348471130254531,-2.2435170767717,-5.47214596475278,-0.738508369821665,-3.90484790057218,-5.01986514226168,-5.70430452774618,0.953433328312194,0.565864082238125,-0.89481335886223,-0.370039052795922,0.669080464809189,-1.56575605319342,-1.05026450813296,-3.05658552534697,-3.09924597427717
"1001.SKM7",-3.46762342188086,2.75586973723524,1.47591734521806,1.09856832551131,-2.79362246761878,3.09688483713697,-2.59697470447615,1.90196722829198,NA,-0.813557923576024,-1.90299961214889,-2.16193527353441,-7.12881194015679,-0.249185770894681,-2.36061637648244,2.33242026408377,-4.01603916566523,0.7951263264978,2.56324728368529,2.50188254791797,2.44177991136151,-3.07570391231791,1.92192538726472,2.1737029034393,-1.28002415423714,0.134020698246276,2.1315457761077,-2.58745269277026,2.19845036896448,2.65352884095477,2.02684337582046,-2.13624909574696,-1.63383136904464,-3.6957525681014,-2.81659950602199,-2.26692704848288,-2.84058867732858,-3.48369635706972,2.98496824133638,2.24425012575467
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.33015680110556,4.5155559139764,3.76178590643447,2.55954206048726,-2.1677070194427,5.0301751049893,-2.05428000465663,2.70522155282222,-0.813557923576024,NA,-0.722801736621315,-8.09556482531458,-0.481654811031171,-7.11978596885572,-8.01386724517555,2.77106498828709,-4.42179271352981,3.81636933293862,4.53493638239994,3.5319597816841,4.34119342210121,-0.973224337664581,6.83364252833992,4.16726945770965,-7.2978554939356,1.89443793616909,3.31311261086311,-3.58627062593698,4.85640100276142,7.05670743901297,2.47620641447837,-1.87625380484683,-6.53128594989096,-4.75300633367292,-2.37175597495381,-7.22509866463816,-2.11724711156548,-3.94929444610449,3.99118275188971,3.9174559934335
