"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00519","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00604","1642.MS00475","1642.MS00426","1642.MS00383","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00483","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00527","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00362","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","1642.MS00394","1642.MS00449","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00550","1642.MS00441","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00507"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,0.8966,0.7996,0.6464,0.9076,0.7876,0.9192,0.805,0.9194,0.934,0.5706,0.9222,0.9116,0.8986,0.9084,0.6046,0.9118,0.926,0.9096,0.7196,0.7856,0.9214,0.9336,0.6964,0.788,0.92,0.9016,0.8168,0.9146,0.9072,0.9166,0.625,0.9072,0.9154,0.8262,0.8022,0.9244,0.5648,0.9376,0.9364
"1642.MS00405",0.8966,0,0.8866,0.9344,0.4996,0.8858,0.5312,0.8974,0.4926,0.5958,0.9512,0.5152,0.5424,0.4776,0.5024,0.9406,0.5094,0.5262,0.5102,0.8882,0.8936,0.6716,0.5566,0.916,0.8966,0.6166,0.512,0.8918,0.4978,0.4504,0.473,0.944,0.5344,0.495,0.8864,0.885,0.6172,0.9164,0.6698,0.6232
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7996,0.8866,0,0.8678,0.8858,0.616,0.9144,0.5438,0.8968,0.9432,0.9128,0.9052,0.8982,0.8898,0.9006,0.916,0.9086,0.9248,0.8836,0.8924,0.893,0.9136,0.9334,0.842,0.657,0.9208,0.8952,0.509,0.9144,0.8934,0.9008,0.888,0.908,0.903,0.6192,0.5874,0.9344,0.831,0.933,0.9372
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.6464,0.9344,0.8678,0,0.9382,0.8522,0.9504,0.8552,0.9468,0.9568,0.7094,0.9468,0.9428,0.9356,0.9358,0.798,0.943,0.9542,0.9402,0.813,0.8736,0.9536,0.9592,0.6954,0.8628,0.9514,0.9382,0.8676,0.9492,0.9358,0.945,0.8366,0.9422,0.9448,0.8784,0.8696,0.954,0.6108,0.961,0.957
"1642.MS00609",0.9076,0.4996,0.8858,0.9382,0,0.875,0.6202,0.892,0.439,0.6096,0.9526,0.4686,0.5744,0.5416,0.5706,0.9464,0.571,0.5468,0.457,0.912,0.9058,0.6462,0.572,0.9144,0.8878,0.6848,0.5854,0.8934,0.5524,0.51,0.5048,0.9424,0.5362,0.5356,0.8786,0.877,0.6238,0.9132,0.744,0.6302
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7876,0.8858,0.616,0.8522,0.875,0,0.9124,0.5936,0.8886,0.9396,0.867,0.9044,0.896,0.8842,0.895,0.888,0.9056,0.9216,0.88,0.8834,0.8888,0.9146,0.9312,0.8094,0.5162,0.922,0.8908,0.613,0.9034,0.8834,0.901,0.8414,0.9064,0.8978,0.5788,0.519,0.9334,0.7906,0.9364,0.9368
"1642.MS00351",0.9192,0.5312,0.9144,0.9504,0.6202,0.9124,0,0.9242,0.6318,0.6762,0.9632,0.6312,0.635,0.5026,0.5456,0.9516,0.536,0.6308,0.6168,0.9082,0.9176,0.7258,0.6332,0.9358,0.923,0.5378,0.4938,0.9166,0.5746,0.5442,0.5642,0.954,0.6504,0.5882,0.9178,0.9162,0.6914,0.9316,0.5218,0.6966
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.805,0.8974,0.5438,0.8552,0.892,0.5936,0.9242,0,0.9018,0.9444,0.9046,0.91,0.9102,0.8982,0.9122,0.919,0.9174,0.9262,0.8926,0.9012,0.9042,0.9134,0.9354,0.8384,0.6032,0.9276,0.9058,0.5116,0.9178,0.899,0.9138,0.8812,0.9202,0.9112,0.6016,0.5954,0.9376,0.8192,0.944,0.9444
"1642.MS00606",0.9194,0.4926,0.8968,0.9468,0.439,0.8886,0.6318,0.9018,0,0.5954,0.9556,0.498,0.5556,0.5414,0.573,0.9488,0.5732,0.5678,0.4868,0.9126,0.9094,0.6614,0.5898,0.9236,0.8978,0.6914,0.5924,0.9016,0.5608,0.509,0.517,0.9462,0.5196,0.5308,0.8914,0.8906,0.6208,0.924,0.7406,0.6324
"1642.MS00519",0.934,0.5958,0.9432,0.9568,0.6096,0.9396,0.6762,0.9444,0.5954,0,0.9628,0.6142,0.5584,0.6026,0.5988,0.9538,0.5774,0.5718,0.6424,0.9294,0.9328,0.6514,0.4892,0.947,0.9382,0.636,0.6562,0.946,0.522,0.6174,0.6026,0.9598,0.5238,0.5118,0.9372,0.9426,0.5096,0.9432,0.7266,0.4952
