"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00519","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00604","1642.MS00475","1642.MS00426","1642.MS00383","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00483","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00527","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00362","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","1642.MS00394","1642.MS00449","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00550","1642.MS00441","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00507"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,1,1,-0.97,1,0.998,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-0.41,0.693,1,1,-0.62,0.994,1,1,1,1,1,1,-0.968,1,1,1,1,1,-0.998,1,1
"1642.MS00405",1,0,1,1,-0.968,1,-0.855,1,-0.978,0.225,1,-0.85,-0.634,-0.998,-0.956,1,-0.975,-0.8,-0.84,1,1,1,-0.387,1,1,0.0649999999999999,-0.927,1,-0.988,-1,-1,1,-0.669,-0.99,1,1,0.808,1,0.761,0.159
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0,1,1,-0.207,1,-0.942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.562,1,1,-0.998,1,1,1,1,1,1,-0.377,-0.652,1,1,1,1
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",-0.97,1,1,0,1,0.996,1,0.992,1,1,-0.828,1,1,1,1,-0.406,1,1,1,0.528,0.99,1,1,-0.826,1,1,1,0.998,1,1,1,0.835,1,1,1,0.998,1,-0.994,1,1
"1642.MS00609",1,-0.968,1,1,0,1,0.595,1,-1,0.394,1,-1,-0.247,-0.54,-0.138,1,-0.253,-0.591,-0.998,1,1,0.952,-0.214,1,1,0.972,0.0109999999999999,1,-0.58,-0.912,-0.956,1,-0.742,-0.731,1,1,0.8,1,1,0.284
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.998,1,-0.207,0.996,1,0,1,-0.461,1,1,0.978,1,1,1,1,0.99,1,1,1,1,1,1,1,0.975,-0.998,1,1,-0.325,1,1,1,0.998,1,1,-0.806,-0.992,1,0.984,1,1
"1642.MS00351",1,-0.855,1,1,0.595,1,0,1,0.818,0.978,1,0.782,0.639,-0.988,-0.709,1,-0.868,0.694,0.673,1,1,1,0.696,1,1,-0.966,-0.998,1,-0.348,-0.688,-0.391,1,0.923,-0.111,1,1,1,1,-0.998,0.974
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-0.942,0.992,1,-0.461,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.34,1,1,-1,1,1,1,1,1,1,-0.557,-0.54,1,1,1,1
"1642.MS00606",1,-0.978,1,1,-1,1,0.818,1,0,0.209,1,-0.956,-0.484,-0.497,-0.02,1,-0.15,-0.133,-0.991,1,1,0.996,0.205,1,1,0.981,0.339,1,-0.373,-0.922,-0.825,1,-0.88,-0.777,1,1,0.797,1,1,0.388
"1642.MS00519",1,0.225,1,1,0.394,1,0.978,1,0.209,0,1,0.521,-0.647,0.328,0.114,1,-0.373,-0.367,0.91,1,1,0.899,-1,1,1,0.283,0.94,1,-0.954,0.526,0.318,1,-0.92,-0.975,1,1,-0.97,1,0.996,-0.998
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",-1,1,1,-0.828,1,0.978,1,1,1,1,0,1,1,1,1,-1,1,1,1,0.154,0.966,1,1,-0.743,0.972,1,1,1,1,1,1,-1,1,1,1,1,1,-0.99,1,1
"1642.MS00604",1,-0.85,1,1,-1,1,0.782,1,-0.956,0.521,1,0,0.316,0.024,0.312,1,0.095,-0.112,-1,1,1,0.375,-0.268,1,1,0.966,0.325,1,-0.074,-0.57,-0.625,1,-0.6,-0.364,1,1,0.698,1,1,0.387
"1642.MS00475",1,-0.634,1,1,-0.247,1,0.639,1,-0.484,-0.647,1,0.316,0,-0.633,-0.208,1,-0.539,-0.05,0.406,1,1,0.99,-0.414,1,1,0.111,-0.175,1,-0.777,-0.511,0.368,1,-0.551,-0.966,1,1,0.69,1,0.923,-0.305
"1642.MS00426",1,-0.998,1,1,-0.54,1,-0.988,1,-0.497,0.328,1,0.024,-0.633,0,-0.968,1,-1,-0.446,-0.123,1,1,0.999,0.0229999999999999,1,1,-0.892,-1,1,-0.894,-0.996,-0.539,1,-0.15,-0.768,1,1,0.852,1,-0.306,0.627
