"","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00475","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","1642.MS00588","1642.MS00519","1642.MS00609","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00449","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00427","1642.MS00483","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00527","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00604","1642.MS00394","1642.MS00507","1642.MS00550","1642.MS00383","1642.MS00441","1642.MS00351","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00426"
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.0251474652366,0.081551424877,0.021393927794,0.0807877052821,0.0406586672901,0.0239712343368,0.0223517911177,0.0607620952613,0.0742794691895,0.0534684241894,0.0817494952543,0.0903689802934,0.0984364718934,0.0782036724512,0.0462055026869,0.078560523,0.0543575399207,0.085568114926,0.0835703927476,0.051535780374,0.0754238988208,0.0231747663717,0.075647111548,0.0230275520474,0.0939467561297,0.0904697990603,0.038319257935,0.0719808282306,0.0375127617088,0.0765603301832,0.0746756114879,0.1037879237928,0.0845406559727,0.0741850852497,0.0847459911389,0.0793475377948,0.0516129163322,0.0920003572427,0.0744964889091
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0251474652366,0,0.084346112064,0.0190373879184,0.0828337846921,0.0443009743484,0.0260338046911,0.0261681186295,0.0535164923359,0.0776714573557,0.0540364507448,0.0787261079092,0.0929448327008,0.0974887937098,0.0823101354871,0.0437181961118,0.0824324133081,0.0534950686592,0.0858061567605,0.0849748218975,0.0493667747431,0.0740720603195,0.0220323563641,0.0746323106208,0.0237999116605,0.0842697430126,0.0885206517341,0.0425725893197,0.0734259293018,0.0357099216906,0.0795554454699,0.0774298981403,0.0976137927269,0.0857539658035,0.0780608564914,0.0837621105517,0.0785920025908,0.0478132940121,0.0865445847777,0.0771973110831
"1642.MS00606",0.081551424877,0.084346112064,0,0.08224802404,0.0220882283919,0.0899169588769,0.0895639389145,0.0863222777727,0.0917145926247,0.0207129234108,0.099376593799,0.0212736146436,0.0280855681432,0.0231341278353,0.0180866889222,0.0939032821454,0.0210357093891,0.0870869796304,0.0254984074197,0.0230280632079,0.1054426145763,0.0313806338573,0.0860378437338,0.0291958955693,0.0849792087459,0.033073707649,0.0247694765795,0.0873950944151,0.0211173226332,0.0887603171835,0.0205427513455,0.0230979774102,0.0218326113804,0.0216886680848,0.0259290659414,0.0212951612475,0.0317412570302,0.1020090960167,0.0408895508257,0.0268641990035
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.021393927794,0.0190373879184,0.08224802404,0,0.0738143099679,0.0341070763516,0.0260616783934,0.0192911163015,0.0356146633279,0.0758891956529,0.0443387030004,0.0664394970992,0.088855383515,0.0882711577796,0.0794119729823,0.0407172867127,0.0792813019548,0.0431101439113,0.076515242173,0.0811012026568,0.03970185613,0.0681772219239,0.0241902728557,0.0737450707011,0.02276497694,0.068018203819,0.0807233357181,0.0295095482574,0.0710627686384,0.030627581449,0.0783104011907,0.0731427281351,0.0838721738218,0.0828165964794,0.0729933639779,0.075972382437,0.0729381817919,0.0425237767324,0.0798202365046,0.0701183419291
"1642.MS00475",0.0807877052821,0.0828337846921,0.0220882283919,0.0738143099679,0,0.0748208761777,0.087865777938,0.0736239993963,0.0773301999024,0.0250352108153,0.0774986887313,0.0213158447205,0.0251148601889,0.0204463069012,0.023285652043,0.0858344080937,0.0232817679491,0.0697698919398,0.020680996881,0.0209568620903,0.0867380352441,0.0243270013911,0.0784530719436,0.0267108782919,0.076286728869,0.0234071069929,0.0239609586988,0.0736380408847,0.0206897734468,0.0728682488092,0.0234073048066,0.0218317809049,0.0211136976467,0.0199684732324,0.020643353393,0.0199556123101,0.0276101308794,0.0814304405123,0.0328306371717,0.0229952006933
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.0406586672901,0.0443009743484,0.0899169588769,0.0341070763516,0.0748208761777,0,0.0509258949367,0.034532923528,0.0266075369805,0.086585433287,0.0253164647253,0.071917074122,0.0932593161406,0.0916044756269,0.0898614895024,0.0251297952377,0.087468805672,0.0289269314477,0.080094804499,0.0907593255018,0.0237488173154,0.066368979376,0.0395619831492,0.0781814747643,0.0370942881469,0.0654073646283,0.0854376627642,0.0190255511618,0.0774965101995,0.0224106293711,0.0870809513939,0.0816103145635,0.0856037202875,0.087694465136,0.0745012533132,0.0824381924754,0.0758401559623,0.0255659793176,0.078532075235,0.0748510528326
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0239712343368,0.0260338046911,0.0895639389145,0.0260616783934,0.087865777938,0.0509258949367,0,0.0301657948783,0.0695525368189,0.0823255873114,0.0683818495588,0.0914320127475,0.0974440650161,0.1051529464412,0.0866652232985,0.0487739924726,0.0858052579,0.0749261240781,0.0919982722478,0.0988226607512,0.0635362051731,0.0782642867366,0.0198657158126,0.0785983448818,0.0223158530195,0.0976999683615,0.0953600110943,0.0486284217205,0.0774812349882,0.0446853605455,0.0817205487182,0.0818860333031,0.1112343901926,0.0926198849011,0.0808724231679,0.0912816874816,0.0841268364476,0.0624219388383,0.0901313330359,0.080353870629
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0223517911177,0.0261681186295,0.0863222777727,0.0192911163015,0.0736239993963,0.034532923528,0.0301657948783,0,0.0301700001254,0.0800417573933,0.0466650324116,0.0682397696719,0.0910033273701,0.0912568989029,0.082542347501,0.0396973042218,0.0819378346195,0.0463381999432,0.0771974009071,0.0850758154482,0.0345123193943,0.0678367979773,0.0272879628565,0.0752169539529,0.0251938702016,0.0675766329434,0.083161934285,0.0247868270529,0.0717197870243,0.0297488994482,0.080477137937,0.0741146445829,0.0867713371236,0.0852521641847,0.0730261540259,0.078267230247,0.0748247197622,0.0407219703685,0.0794514094261,0.0698008492684
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",0.0607620952613,0.0535164923359,0.0917145926247,0.0356146633279,0.0773301999024,0.0266075369805,0.0695525368189,0.0301700001254,0,0.0908359324139,0.0299486066684,0.0710218270786,0.0862826062543,0.0873597706078,0.0989988592689,0.0326542343117,0.0909875332941,0.0332908618562,0.0793655074279,0.0954331661312,0.0144744427768,0.0707258687872,0.0467866851469,0.078629798588,0.0411597935695,0.0676133028251,0.0869779810836,0.0201047690619,0.0787452322788,0.0209488535838,0.0907100969978,0.0881023734603,0.081179544183,0.0872298031849,0.0734744816212,0.0809031631556,0.0805876026336,0.0178317009805,0.0780417299195,0.0756872272236
"1642.MS00628",0.0742794691895,0.0776714573557,0.0207129234108,0.0758891956529,0.0250352108153,0.086585433287,0.0823255873114,0.0800417573933,0.0908359324139,0,0.0911272801457,0.0202073111521,0.0283946785748,0.0254560877822,0.0182906115558,0.097179836977,0.0201401219589,0.0797938535311,0.025267196432,0.0225677328199,0.1095205681376,0.0276176350774,0.0802130737358,0.0287721739991,0.0792294798646,0.0291141619153,0.0234587773431,0.0863809335409,0.0219645569023,0.0852563701908,0.0188937981033,0.0231650144957,0.0226726365315,0.0221054592416,0.0245418131618,0.0209609717368,0.0290277174715,0.1050126772423,0.039870894274,0.025739780214
