"","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00620","1642.MS00454","1642.MS00511","1642.MS00353","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00518","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00408","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00521","1642.MS00586","1642.MS00332","1642.MS00449","1642.MS00551","1642.MS00410","1642.MS00340","1642.MS00439","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",0,0.9214,0.501,0.9072,0.9162,0.925,0.9392,0.9396,0.8074,0.916,0.6634,0.674,0.9154,0.771,0.9366,0.9156,0.722,0.5862,0.7452,0.6666,0.8372,0.9544,0.9334,0.7756,0.5078,0.9288,0.9276,0.9478,0.9202,0.9288,0.9146,0.944,0.9244,0.6524,0.4892,0.9298,0.818,0.5434,0.8596,0.7636
"1642.MS00355",0.9214,0,0.9194,0.707,0.7104,0.6482,0.67,0.408,0.9298,0.6692,0.9628,0.9524,0.6542,0.9282,0.676,0.5864,0.9118,0.9462,0.9298,0.9126,0.9002,0.5738,0.7458,0.9216,0.9282,0.7496,0.753,0.594,0.6818,0.7034,0.678,0.608,0.6812,0.9476,0.933,0.6812,0.9346,0.9224,0.9048,0.914
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.501,0.9194,0,0.9076,0.9256,0.9178,0.936,0.9324,0.8072,0.9146,0.6146,0.6366,0.913,0.798,0.934,0.9074,0.7722,0.6288,0.6914,0.7856,0.8492,0.9512,0.9266,0.7984,0.609,0.9244,0.9254,0.9476,0.9166,0.9216,0.9154,0.9368,0.917,0.616,0.6026,0.925,0.8564,0.6472,0.8764,0.7894
"1642.MS00609",0.9072,0.707,0.9076,0,0.4908,0.6036,0.6126,0.6912,0.8868,0.4826,0.963,0.9536,0.5096,0.8822,0.6096,0.527,0.8988,0.93,0.9118,0.9058,0.8508,0.8014,0.506,0.8802,0.9144,0.5664,0.5502,0.7804,0.5048,0.567,0.494,0.7396,0.5482,0.945,0.9004,0.6458,0.8936,0.904,0.8584,0.8708
"1642.MS00620",0.9162,0.7104,0.9256,0.4908,0,0.603,0.6456,0.6904,0.9056,0.5094,0.9706,0.9638,0.5414,0.8964,0.6556,0.5428,0.905,0.9462,0.9238,0.9198,0.8574,0.793,0.5466,0.9028,0.9324,0.6274,0.6156,0.774,0.5228,0.617,0.522,0.7492,0.5694,0.9574,0.916,0.7062,0.9086,0.92,0.8596,0.8906
"1642.MS00454",0.925,0.6482,0.9178,0.6036,0.603,0,0.4598,0.637,0.9306,0.564,0.9616,0.954,0.5106,0.921,0.4746,0.5182,0.9046,0.9458,0.935,0.907,0.8906,0.6778,0.5712,0.92,0.9222,0.5458,0.564,0.6424,0.6074,0.5832,0.6066,0.6062,0.5876,0.9472,0.9304,0.5234,0.9362,0.9148,0.8894,0.9088
"1642.MS00511",0.9392,0.67,0.936,0.6126,0.6456,0.4598,0,0.6568,0.94,0.612,0.9722,0.967,0.5338,0.9374,0.4876,0.557,0.9292,0.9512,0.9448,0.9312,0.92,0.5744,0.5756,0.935,0.9438,0.5424,0.559,0.6174,0.626,0.6126,0.646,0.5084,0.6156,0.9582,0.9432,0.4434,0.9474,0.9344,0.924,0.931
"1642.MS00353",0.9396,0.408,0.9324,0.6912,0.6904,0.637,0.6568,0,0.9422,0.654,0.9752,0.9696,0.642,0.938,0.6688,0.5598,0.9278,0.9572,0.9424,0.9306,0.916,0.5376,0.72,0.9356,0.9384,0.7306,0.7324,0.5424,0.662,0.6834,0.6664,0.5754,0.649,0.9614,0.9424,0.6826,0.9476,0.9394,0.9196,0.9272
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.8074,0.9298,0.8072,0.8868,0.9056,0.9306,0.94,0.9422,0,0.8996,0.9138,0.8966,0.911,0.5906,0.9414,0.904,0.8708,0.86,0.8294,0.8936,0.7112,0.962,0.9198,0.5926,0.8256,0.9286,0.9246,0.958,0.9074,0.91,0.8952,0.9492,0.9104,0.9076,0.767,0.93,0.6992,0.855,0.7588,0.5828
"1642.MS00452",0.916,0.6692,0.9146,0.4826,0.5094,0.564,0.612,0.654,0.8996,0,0.9664,0.9578,0.5162,0.8972,0.6154,0.5062,0.8896,0.94,0.922,0.8998,0.85,0.7696,0.5616,0.8918,0.9222,0.6014,0.5992,0.7438,0.4966,0.6096,0.4904,0.7078,0.5316,0.9458,0.9162,0.6426,0.908,0.9054,0.8524,0.8824
