"","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00620","1642.MS00454","1642.MS00511","1642.MS00353","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00518","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00408","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00521","1642.MS00586","1642.MS00332","1642.MS00449","1642.MS00551","1642.MS00410","1642.MS00340","1642.MS00439","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",0,1,-0.998,1,1,1,1,1,0.996,1,-0.994,-0.972,1,0.96,1,1,-0.042,-0.994,0.226,-0.754,1,1,1,0.98,-1,1,1,1,1,1,1,1,1,-0.99,-1,1,1,-0.996,1,0.9
"1642.MS00355",1,0,1,0.98,0.99,0.394,0.66,-1,1,0.759,1,1,0.556,1,0.812,-0.369,1,1,1,1,1,-0.854,1,1,1,1,1,-0.67,0.9,0.964,0.865,-0.431,0.917,1,1,0.666,1,1,1,1
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",-0.998,1,0,1,1,1,1,1,1,1,-1,-0.994,1,0.998,1,1,0.748,-0.954,-0.483,0.646,1,1,1,0.998,-0.82,1,1,1,1,1,1,1,1,-0.998,-0.843,1,1,-0.74,1,0.996
"1642.MS00609",1,0.98,1,0,-0.862,0.315,0.287,0.935,1,-0.93,1,1,-0.734,1,0.464,-0.57,1,1,1,1,1,1,-0.736,1,1,-0.0639999999999999,-0.333,1,-0.713,-0.181,-0.858,0.996,-0.175,1,1,0.49,1,1,1,1
"1642.MS00620",1,0.99,1,-0.862,0,0.278,0.696,0.946,1,-0.772,1,1,-0.453,1,0.953,-0.367,1,1,1,1,1,1,-0.228,1,1,0.779,0.643,1,-0.553,0.614,-0.62,0.998,0.097,1,1,0.979,1,1,1,1
"1642.MS00454",1,0.394,1,0.315,0.278,0,-1,0.236,1,-0.331,1,1,-0.829,1,-0.976,-0.807,1,1,1,1,1,0.261,-0.168,1,1,-0.608,-0.281,-0.105,0.384,-0.089,0.385,-0.379,0.085,1,1,-0.926,1,1,1,1
"1642.MS00511",1,0.66,1,0.287,0.696,-1,0,0.475,1,0.212,1,1,-0.787,1,-0.976,-0.521,1,1,1,1,1,-0.83,-0.194,1,1,-0.687,-0.507,-0.435,0.534,0.148,0.742,-0.982,0.346,1,1,-1,1,1,1,1
"1642.MS00353",1,-1,1,0.935,0.946,0.236,0.475,0,1,0.584,1,1,0.432,1,0.703,-0.668,1,1,1,1,1,-0.972,0.992,1,1,1,0.996,-0.94,0.736,0.872,0.745,-0.741,0.596,1,1,0.655,1,1,1,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.996,1,1,1,1,1,1,1,0,1,0.92,0.966,1,-0.444,1,1,1,0.992,0.996,1,0.936,1,1,-0.36,1,1,1,1,1,1,1,1,1,0.988,0.978,1,0.672,1,0.982,-0.569
"1642.MS00452",1,0.759,1,-0.93,-0.772,-0.331,0.212,0.584,1,0,1,1,-0.738,1,0.438,-0.818,1,1,1,1,1,0.995,-0.079,1,1,0.348,0.296,0.994,-0.852,0.454,-0.912,0.947,-0.456,1,1,0.413,1,1,1,1
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",-0.994,1,-1,1,1,1,1,1,0.92,1,0,-1,1,0.822,1,1,0.418,-1,-0.934,0.68,0.994,1,1,0.902,-0.88,1,1,1,1,1,1,1,1,-1,-0.908,1,0.98,-0.956,0.99,0.646
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",-0.972,1,-0.994,1,1,1,1,1,0.966,1,-1,0,1,0.809,1,1,-0.149,-1,-0.93,0.279,1,1,1,0.917,-0.758,1,1,1,1,1,1,1,1,-0.996,-0.81,1,0.87,-0.976,1,0.679
"1642.MS00518",1,0.556,1,-0.734,-0.453,-0.829,-0.787,0.432,1,-0.738,1,1,0,1,-0.802,-0.934,1,1,1,1,1,0.938,-0.778,1,1,-0.463,-0.33,0.884,-0.596,-0.546,-0.766,0.483,-0.38,1,1,-0.447,1,1,1,1
