"","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00454","1642.MS00355","1642.MS00452","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00340","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00620","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00504","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00521","1642.MS00586","1642.MS00439","1642.MS00410","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00366","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00353","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00518","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00583","1642.MS00449"
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0,0.0439815326094,0.0246356779856,0.1098976592699,0.0930996499042,0.1054075018491,0.0178012726144,0.0647165803835,0.094779504687,0.1212719790152,0.0148456418251,0.1463527123953,0.0285430035537,0.0507426182329,0.0351932324065,0.0133261936079,0.1141756483077,0.0919264043499,0.0260171246846,0.0658243988293,0.1131014115094,0.1295941416439,0.133148202622,0.1171789208977,0.1143585595262,0.0402424432226,0.0355946186834,0.0966965166796,0.0580654259324,0.1196545016292,0.0516007941115,0.1022986458358,0.0522672809911,0.0254651863594,0.1044313598815,0.1161535627397,0.0693647811757,0.1070612664167,0.1486899024375,0.1231484554695
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.0439815326094,0,0.0273408129704,0.0805927015316,0.0628924592574,0.0796186983484,0.0310244957954,0.0517237139847,0.0708940082247,0.0888573234607,0.0330841050637,0.1025686527145,0.0172502429686,0.0389557398871,0.0403837742517,0.0421169894784,0.0808295633462,0.0649889022676,0.0342304766842,0.047736160218,0.0831604834029,0.0917994423598,0.097672218211,0.082012881212,0.0771185160534,0.0103587789329,0.0312170974146,0.0716865912528,0.0424697041271,0.0887355860087,0.0360754897907,0.0705867442931,0.0471463049757,0.0358133081366,0.0768718877364,0.0813586063663,0.0551217514698,0.0709897949994,0.1025565275078,0.0854509562987
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",0.0246356779856,0.0273408129704,0,0.0787461940529,0.0647575878717,0.0782608389716,0.0174066993946,0.0362712809853,0.0676099501355,0.0854699098224,0.0236294027612,0.1059915866565,0.0191027924333,0.0453432218452,0.0174699418549,0.0226867565843,0.0808851692149,0.0630165273571,0.0228464928763,0.0326238662594,0.080315057931,0.0897028804653,0.0949228943247,0.080414668994,0.0773532457614,0.0268780039423,0.0160445176695,0.0687744257229,0.0307654918684,0.0881434843445,0.0320755412259,0.0712140455579,0.0358509212435,0.0183268999088,0.0752765195539,0.0797372297651,0.0453662355267,0.0710382424459,0.1032780989719,0.0845742847569
"1642.MS00454",0.1098976592699,0.0805927015316,0.0787461940529,0,0.0305931567947,0.0207249367638,0.0931146687619,0.0849203485086,0.0270025907933,0.0200859541188,0.1049713308595,0.028660288461,0.0806255014556,0.0817180600917,0.0879668718102,0.1057125559569,0.0159778315975,0.0163451351497,0.0811446353058,0.086473145251,0.0239846815964,0.0199367957201,0.020570947593,0.0228384924553,0.0215160237924,0.0786904260672,0.0857299110733,0.0309024844026,0.0830276806552,0.0221054720343,0.0688886348945,0.0322472432938,0.090356665878,0.0799293582601,0.0328692052393,0.0201126962563,0.1027259393727,0.0200111058785,0.0229232796774,0.0218480184464
"1642.MS00355",0.0930996499042,0.0628924592574,0.0647575878717,0.0305931567947,0,0.0269806787093,0.0826268283616,0.0743205691297,0.0214933892315,0.0343516620033,0.0860175001042,0.0405774793623,0.0672291845048,0.067402127278,0.0733230153562,0.0910779244,0.0307256641715,0.0269091064077,0.0690904067382,0.0750193388756,0.0339510814241,0.0382964381737,0.0400936637974,0.029460135,0.0271211282082,0.0657481266788,0.0698573950399,0.0198461229318,0.0681619356236,0.0358753224103,0.0560391136884,0.0149974318156,0.0791345894443,0.0667901157372,0.0180934315046,0.0323717270591,0.0917777215379,0.0260276740819,0.0401296916929,0.0294467010522
"1642.MS00452",0.1054075018491,0.0796186983484,0.0782608389716,0.0207249367638,0.0269806787093,0,0.0875212455699,0.0783541382312,0.0259027854471,0.0242458028131,0.0994781452497,0.0238725576002,0.0786170283155,0.0674462371394,0.0861122600982,0.101501912482,0.0208887053134,0.0230249517014,0.0774098087267,0.0810303895868,0.0247376235437,0.0241244560052,0.025599236014,0.0230401490347,0.0201847491078,0.0805607313768,0.0790605768666,0.0315189011618,0.0790106049763,0.0212568091773,0.0641736981195,0.026778537339,0.0762642459406,0.0790868607132,0.0296134812712,0.020986725501,0.0880831350477,0.0181529719666,0.025507278364,0.0200290082756
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.0178012726144,0.0310244957954,0.0174066993946,0.0931146687619,0.0826268283616,0.0875212455699,0,0.0398823037123,0.087209329463,0.1056414024629,0.0153726883584,0.1285563985548,0.0181287808344,0.0446854625977,0.0262491539213,0.0139012142298,0.0996242711068,0.0797658062596,0.0223828780923,0.0383544310468,0.0947092996359,0.1114549412377,0.1107948614036,0.0997225609652,0.094005725844,0.0274780595676,0.0205794946228,0.085521893796,0.032301975248,0.0987194633541,0.0372080223687,0.0897988264183,0.0384839130194,0.0204498027909,0.0930744224068,0.0990348366068,0.0462170701428,0.0904004030879,0.1297739607185,0.1019473734306
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0647165803835,0.0517237139847,0.0362712809853,0.0849203485086,0.0743205691297,0.0783541382312,0.0398823037123,0,0.0741130807195,0.089700420778,0.057836809209,0.0902699152319,0.038212636659,0.0403474833095,0.04360661854,0.0503745453391,0.0855939067595,0.0705088135826,0.033360842863,0.0240145602706,0.0751637059581,0.0948033873933,0.0938270369284,0.0811203815357,0.073972398566,0.0530730130927,0.0308276560822,0.0814300482645,0.0306163980204,0.0828227115425,0.0313031664704,0.0773415059019,0.0241343613003,0.0333837574844,0.0870986658854,0.0805153963272,0.0240978290658,0.0704883114651,0.0926535217394,0.0810197026761
"1642.MS00340",0.094779504687,0.0708940082247,0.0676099501355,0.0270025907933,0.0214933892315,0.0259027854471,0.087209329463,0.0741130807195,0,0.0230433236014,0.0950854283799,0.0486801866814,0.0716472829978,0.093405598287,0.0762426619118,0.0960827067213,0.023717851111,0.0232486112892,0.0722944225845,0.0792538615864,0.0305876676461,0.0301926097942,0.0321839463321,0.0220162817758,0.0235949836777,0.0701013981479,0.0755409553627,0.0187647337255,0.0753517958724,0.0344986372008,0.0634752819948,0.0192939971396,0.0985022997123,0.0671595268544,0.0144629254195,0.0279211916889,0.1074216334572,0.0219770634415,0.0334259385476,0.0244565906373
"1642.MS00519",0.1212719790152,0.0888573234607,0.0854699098224,0.0200859541188,0.0343516620033,0.0242458028131,0.1056414024629,0.089700420778,0.0230433236014,0,0.1176612942828,0.0336407588964,0.0903082442787,0.0976954694275,0.0946620965047,0.1186832858737,0.0178849700106,0.0188812879432,0.0914078313415,0.0955091869155,0.0276612524178,0.0191665349107,0.0201133580465,0.0222508549737,0.0242104334789,0.0890731647978,0.0902068735824,0.0321713836857,0.0949247271871,0.0239259345951,0.078973292714,0.0340085248411,0.1002791407837,0.0869776374713,0.0284788341367,0.0217378124679,0.1103269409241,0.0236254557049,0.0223303479161,0.0225068278109
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.0148456418251,0.0330841050637,0.0236294027612,0.1049713308595,0.0860175001042,0.0994781452497,0.0153726883584,0.057836809209,0.0950854283799,0.1176612942828,0,0.1344381229946,0.0211666905504,0.0400819151446,0.0346153248863,0.0163912426321,0.1086829483561,0.0886395651098,0.027089708195,0.0600716513148,0.1050494567857,0.1252247230605,0.1274098910925,0.1105248409115,0.105442847952,0.0303397376118,0.032551254973,0.092282885941,0.051270301217,0.1127245002524,0.0415024703969,0.0977147710345,0.0479528180578,0.0245644573229,0.0978458077517,0.106624549386,0.0657604897581,0.0995230256135,0.1403076241594,0.1161131566773
"1642.MS00620",0.1463527123953,0.1025686527145,0.1059915866565,0.028660288461,0.0405774793623,0.0238725576002,0.1285563985548,0.0902699152319,0.0486801866814,0.0336407588964,0.1344381229946,0,0.1121674940442,0.0792300394156,0.1094055205323,0.1362111814512,0.0338258344147,0.0445273874528,0.110621055019,0.0927250469639,0.0292856526452,0.0264553176377,0.0248732728356,0.0266867854591,0.0222634757956,0.1118047146609,0.10545567694,0.0510431800112,0.0919255060679,0.0209300316901,0.0751100814664,0.0406729682774,0.0889703709864,0.1048101558739,0.0513960117556,0.0244293871024,0.0973429469188,0.0272254778644,0.0232766599774,0.0226663470015
"2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences",0.0285430035537,0.0172502429686,0.0191027924333,0.0806255014556,0.0672291845048,0.0786170283155,0.0181287808344,0.038212636659,0.0716472829978,0.0903082442787,0.0211666905504,0.1121674940442,0,0.0443253311491,0.0271989063028,0.0246424471118,0.0849664500947,0.0658679237336,0.0236143716429,0.0413579065042,0.0828217356145,0.0933390327882,0.0972546289265,0.0837808118862,0.0783517235181,0.0173366481631,0.0225472129565,0.0743758492234,0.0347972379672,0.0884452673778,0.0323468346267,0.0743252979865,0.042226049006,0.0217470585475,0.0806299765754,0.0835114809572,0.0546329081135,0.0728397755348,0.1086669509473,0.0866897586032
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0507426182329,0.0389557398871,0.0453432218452,0.0817180600917,0.067402127278,0.0674462371394,0.0446854625977,0.0403474833095,0.093405598287,0.0976954694275,0.0400819151446,0.0792300394156,0.0443253311491,0,0.0536135802663,0.0546346933161,0.0975536504885,0.0875363053176,0.0522273253846,0.0335207564232,0.0760668331961,0.0875876201427,0.0869445144957,0.0760582188653,0.0690407893714,0.0476001313427,0.0555653152362,0.0931929978139,0.0316617831005,0.0745847584746,0.0148144378823,0.0719964659682,0.0304268292289,0.0431304791663,0.0911486866346,0.0758800630394,0.0396913020643,0.0701904970992,0.0885275979521,0.0762604697043
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",0.0351932324065,0.0403837742517,0.0174699418549,0.0879668718102,0.0733230153562,0.0861122600982,0.0262491539213,0.04360661854,0.0762426619118,0.0946620965047,0.0346153248863,0.1094055205323,0.0271989063028,0.0536135802663,0,0.0322773407092,0.091108489464,0.0734120851332,0.0278217399032,0.0401316502525,0.0916751693877,0.0999843763042,0.1050714038381,0.0893206109461,0.0862898614028,0.0411192614374,0.0224033719263,0.0785869304489,0.0352636954912,0.0956026206519,0.036910874472,0.0791384809667,0.0412845301802,0.0231013129489,0.0840667762127,0.0883345357528,0.0502966558227,0.0799076024037,0.1097223404788,0.0927933574134
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.0133261936079,0.0421169894784,0.0226867565843,0.1057125559569,0.0910779244,0.101501912482,0.0139012142298,0.0503745453391,0.0960827067213,0.1186832858737,0.0163912426321,0.1362111814512,0.0246424471118,0.0546346933161,0.0322773407092,0,0.1114930406793,0.0912755783196,0.022888630087,0.0548159122046,0.106088886138,0.1262160099903,0.1270879891087,0.1141041794657,0.111013240507,0.0351850450895,0.0286358894908,0.0959603514754,0.0474329203849,0.1124535745542,0.0498934887289,0.1011905022665,0.0443839623887,0.0244802198235,0.1048440939771,0.1135953674491,0.0585878272141,0.1034916077076,0.141750581161,0.1163564973205
"1642.MS00511",0.1141756483077,0.0808295633462,0.0808851692149,0.0159778315975,0.0307256641715,0.0208887053134,0.0996242711068,0.0855939067595,0.023717851111,0.0178849700106,0.1086829483561,0.0338258344147,0.0849664500947,0.0975536504885,0.091108489464,0.1114930406793,0,0.0180350829833,0.085333318842,0.0891910768555,0.0253958545312,0.0188212933293,0.0189169528939,0.0211720989841,0.0221434589984,0.0804745893414,0.0859106025359,0.0292711396057,0.0861757537226,0.0208374356768,0.0706713460481,0.0314717914379,0.102770715893,0.0802030871998,0.0296547334533,0.0186304457287,0.115566406505,0.0200999671254,0.0200752598829,0.0203903050646
"1642.MS00504",0.0919264043499,0.0649889022676,0.0630165273571,0.0163451351497,0.0269091064077,0.0230249517014,0.0797658062596,0.0705088135826,0.0232486112892,0.0188812879432,0.0886395651098,0.0445273874528,0.0658679237336,0.0875363053176,0.0734120851332,0.0912755783196,0.0180350829833,0,0.0666595838093,0.0745387589385,0.0274188991871,0.0224522516315,0.0223194905762,0.0241750402425,0.0245983997297,0.0634664716265,0.0717158321435,0.0290586856545,0.0683923793223,0.0250271409145,0.0570712845693,0.0286284261457,0.0925124628893,0.064869264492,0.0294064323234,0.022660866609,0.1052302576849,0.0227424845611,0.0278182326616,0.0244178368959
