"","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00454","1642.MS00355","1642.MS00452","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00340","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00620","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00504","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00521","1642.MS00586","1642.MS00439","1642.MS00410","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00366","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00353","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00518","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00583","1642.MS00449"
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",NA,-4.83324064418651,-5.53382399315931,-0.128814167452377,-1.45723471272205,-0.483135624333957,-5.11115644592718,-3.79823866466876,-1.30334526953878,0.665454787975886,-4.25996276876883,3.59721574312648,-4.73615033475326,-4.37671812128633,-5.50078299667973,-4.08508422789193,-0.0347595287041461,-1.35132488559633,-3.53567394264215,-3.50946422397477,0.00525753573861121,1.76325500209754,1.75621705986186,0.859589658900633,0.492720340269058,-4.49946063243072,-4.68686157233282,-1.55659048830567,-5.02022824578365,0.919651590938805,-4.45782269108565,-1.02001953579197,-4.44847656572742,-7.17040315579819,-1.16882023888535,0.581977887566353,-2.86061131217416,-0.241599027161176,3.6790891959349,1.33275809727759
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",-4.83324064418651,NA,-7.03845984952028,0.234600029427983,-2.50744497491616,0.724973569699263,-6.69472529992866,-5.02490848975676,-1.34172099998629,0.792036815071728,-4.93379724373503,4.86021871966772,-8.04614015039601,-4.49039763029623,-5.63931751284757,-4.56002672462856,-0.27196229557397,-1.38208670838651,-3.79146753160419,-3.63433452139008,0.0278950005403598,1.96085568810718,2.98381857634158,0.937185050451448,0.355250607658098,-9.57585506923573,-5.32373886817207,-1.85030602811387,-5.35225552254805,2.45299812220826,-4.67640386562857,-2.16902642884829,-4.3058734629463,-5.37693187245853,-1.43699165215328,0.544749138861408,-2.82612007377105,-0.821669669872253,4.26648069718643,1.37402111056996
"2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences",-5.53382399315931,-7.03845984952028,NA,-0.141749099177613,-2.08085514459948,0.0342534965032901,-6.97500250457503,-5.34231212447228,-1.56739921623512,0.386872576473792,-7.83177624584105,4.48789353022897,-6.41875883170694,-2.89585500781623,-7.72658722556429,-4.98441416768434,-0.295991969908704,-1.54041715179282,-3.49019212995505,-4.78079631448381,-0.356215254879564,1.50780399449656,2.13224407395279,0.353712351791731,-0.129589546312038,-6.76526303884547,-7.72014092740327,-1.89620680577188,-5.84305106188593,1.62614606837402,-4.86792458487054,-1.98610994681388,-2.88556751551002,-8.38366586688506,-1.64568099906744,0.126635853696678,-1.12375675949336,-1.23839473909379,3.51981688986141,1.01287002296551
"1642.MS00454",-0.128814167452377,0.234600029427983,-0.141749099177613,NA,-2.50070175517327,-4.63604328754989,-0.0222914377063092,1.91285848156878,-2.56382692152408,-2.91239962900066,0.329040392656181,-0.714934247994773,-0.0723507159194436,2.40935196677945,1.60076727056071,-0.00778000091594061,-5.95837024329253,-5.79744905115474,-0.673982242626656,2.4744015963971,-2.16318629785617,-4.43521638435014,-4.20175240732621,-3.96790501109487,-5.45667025061887,-0.355381420767659,0.843779661360258,-3.44575431898531,0.886434868977837,-4.6711669813955,0.274072384353718,-2.57367082936405,3.62850881004029,1.64357415991039,-1.54222686279759,-4.2175211089474,5.89553970544237,-4.68307225787799,-3.99283450396825,-5.13428452656248
"1642.MS00355",-1.45723471272205,-2.50744497491616,-2.08085514459948,-2.50070175517327,NA,-2.7273147059522,-0.783623341139158,-0.404569885285079,-3.35075686207064,-2.93104502108189,-1.6229627389601,-0.476052376006164,-1.93587835684551,-0.343060820584835,-0.879688925085596,-0.929367215542511,-2.33853619986971,-3.2396239637847,-1.82524009950991,0.334120797558786,-2.80414333837519,-2.63645921607557,-2.24045073929099,-2.47343891241709,-2.83697132008758,-2.1476774724477,-1.06919230035266,-2.93294957403517,-1.40096808452485,-1.9716678312073,-1.80946737629239,-5.72563638751527,1.02539714779047,-1.69736998361126,-6.59393948494357,-2.32178930059287,3.22912013436668,-2.06177644563755,-1.94333747767548,-2.11281193628893
"1642.MS00452",-0.483135624333957,0.724973569699263,0.0342534965032901,-4.63604328754989,-2.7273147059522,NA,-0.25848743084881,3.69705283741571,-4.40463034732589,-4.14450345715965,0.0127110810070683,-1.90239005403394,-0.133003803930053,1.86177249088946,1.65380564968642,-0.223302800256433,-4.10632291620191,-3.41811883884459,-0.737185958764926,4.62071604544075,-4.12229983340392,-4.59136493441705,-3.74943696128848,-3.10553315483221,-3.68915482499145,0.198251748555419,0.370690667232096,-3.89484283874668,2.26146840112485,-2.97188173116819,0.781687315113034,-3.67411356444179,3.53790731277492,0.698942430276623,-4.06966734583341,-4.21568092379673,7.7196388020949,-4.70196804285688,-2.63747996169839,-3.85797758475538
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",-5.11115644592718,-6.69472529992866,-6.97500250457503,-0.0222914377063092,-0.783623341139158,-0.25848743084881,NA,-6.24990460236783,-0.763018822429282,0.623977156312696,-8.4738490945522,2.78964765441976,-5.29554960292137,-2.25668208270355,-6.98492335776425,-8.2059905979438,0.144718377865961,-0.937555807584553,-3.5054021173134,-4.94979144938156,-0.00431109347318236,1.33876858962194,1.09695571159924,0.642169594287483,0.305343378200044,-6.45537960981798,-6.43700379563863,-1.158179048712,-5.8537972396552,0.582836594528455,-2.53880316511894,-0.592440372428199,-5.60344501749055,-7.2934997336536,-0.692268182744117,0.49703815421126,-3.11179858555547,-0.0434497297884224,2.6750312442522,0.838002926390435
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",-3.79823866466876,-5.02490848975676,-5.34231212447228,1.91285848156878,-0.404569885285079,3.69705283741571,-6.24990460236783,NA,-0.604802803993223,2.79647840020273,-4.51034581115124,8.41125195515587,-6.84266856334058,-5.23149363351409,-3.71475171479735,-6.46643137881151,0.989601847809264,-0.689914361712273,-3.66850256314116,-7.90296043528473,0.738698494064824,6.69670274146245,6.98412314499103,4.93767559587164,2.73866804341322,-5.02496901096183,-3.89193219826001,-0.463491856322917,-7.78608229881651,6.50197850731178,-8.35767226450579,-0.218068797774019,-7.8670515546776,-6.24856133983534,0.243817922557596,2.40425066047482,-8.097107930111,0.361793198792609,8.64050815954183,5.40319666077908
"1642.MS00340",-1.30334526953878,-1.34172099998629,-1.56739921623512,-2.56382692152408,-3.35075686207064,-4.40463034732589,-0.763018822429282,-0.604802803993223,NA,-5.15879375363773,-0.985210626943633,0.134787004902319,-1.30873463026592,1.53361604618429,-0.701540044264842,-0.789181126632287,-3.21387604820192,-4.31154270744484,-1.44594524727001,-0.0287921979773602,-2.35256081060371,-2.64119263796908,-1.59165003048202,-4.22869676022358,-4.01555902352091,-1.48430859872316,-0.754171699948838,-4.32960069296117,-0.730085874568881,-1.1968615186001,-0.842798276860692,-4.37044621866779,1.80721734224147,-1.37642480894434,-7.18817890662448,-3.17052126139433,2.70036892536709,-3.17559283268622,-1.19084995172712,-3.22035032238771
"1642.MS00519",0.665454787975886,0.792036815071728,0.386872576473792,-2.91239962900066,-2.93104502108189,-4.14450345715965,0.623977156312696,2.79647840020273,-5.15879375363773,NA,1.27621180698055,-0.700308278747156,0.617376098999404,3.86464342579066,2.09187649719925,0.842513464198667,-3.72965530789276,-3.59883781737445,0.239832419026943,3.95350730490712,-2.3955952577144,-5.13433036648243,-4.14425973938736,-3.73918989982599,-4.40656978256806,0.294861815291243,1.05562130711558,-3.93618276305273,3.05541556732302,-4.70507615852989,1.1390953542671,-3.51061946235008,5.15300795030834,2.85751642641065,-4.74652932435832,-3.44081356085842,7.41362570475734,-3.6303320691759,-3.98625470420945,-4.92099863423905
