"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00481","1642.MS00380","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00364","1642.MS00574","1642.MS00464","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00579","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,0.6166,0.9168,0.8788,0.9322,0.8748,0.9064,0.5744,0.6382,0.761,0.8488,0.9596,0.932,0.9874,0.6474,0.926,0.7008,0.9516,0.926,0.611,0.9518,0.9548,0.9248,0.9266,0.7476,0.9064,0.7148,0.9016,0.9438,0.636,0.6976,0.8814,0.9424,0.8892,0.9364,0.75,0.639,0.9486,0.6212,0.9012
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.6166,0,0.9286,0.8602,0.9356,0.8392,0.8874,0.5116,0.6074,0.7628,0.8232,0.969,0.9282,0.989,0.5352,0.9326,0.5406,0.9428,0.927,0.5944,0.9452,0.96,0.9288,0.9314,0.7436,0.887,0.6002,0.8738,0.9434,0.4998,0.6072,0.8626,0.9404,0.8576,0.9314,0.7044,0.4616,0.9444,0.8348,0.8134
"1642.MS00406",0.9168,0.9286,0,0.9086,0.582,0.9,0.8998,0.9318,0.9512,0.9172,0.9068,0.7802,0.5802,0.8304,0.9308,0.4878,0.9314,0.676,0.532,0.9002,0.7128,0.7876,0.5268,0.5342,0.896,0.907,0.9488,0.8954,0.5908,0.9638,0.9482,0.9096,0.5072,0.9004,0.527,0.9146,0.9382,0.54,0.9226,0.9178
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8788,0.8602,0.9086,0,0.917,0.614,0.6504,0.8606,0.9086,0.925,0.7146,0.9548,0.9014,0.9876,0.9048,0.8976,0.8584,0.9282,0.8954,0.8748,0.9196,0.9492,0.9018,0.9046,0.8956,0.6952,0.8762,0.6798,0.9252,0.9342,0.9008,0.6074,0.9274,0.5044,0.9162,0.7424,0.8656,0.9344,0.9166,0.7146
"1642.MS00357",0.9322,0.9356,0.582,0.917,0,0.9074,0.9054,0.942,0.9654,0.9446,0.9134,0.6776,0.6498,0.648,0.947,0.5732,0.9382,0.731,0.6006,0.9246,0.7574,0.649,0.6192,0.6276,0.9274,0.9208,0.9552,0.9082,0.618,0.9696,0.9598,0.9126,0.5926,0.9028,0.6516,0.9212,0.9404,0.58,0.938,0.9282
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8748,0.8392,0.9,0.614,0.9074,0,0.5902,0.8396,0.8972,0.8752,0.6354,0.9544,0.874,0.9866,0.8538,0.888,0.8168,0.9134,0.877,0.8576,0.8886,0.9498,0.8888,0.8936,0.882,0.6058,0.8452,0.5288,0.9078,0.9326,0.8684,0.5162,0.9106,0.5002,0.9042,0.7238,0.8558,0.9232,0.915,0.6406
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9064,0.8874,0.8998,0.6504,0.9054,0.5902,0,0.888,0.9208,0.9074,0.6448,0.9544,0.8778,0.9854,0.8962,0.8868,0.844,0.9082,0.8832,0.8798,0.9002,0.951,0.8888,0.893,0.8952,0.6352,0.8902,0.5026,0.9078,0.9474,0.9062,0.6058,0.9116,0.5638,0.904,0.805,0.8874,0.9246,0.9304,0.736
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.5744,0.5116,0.9318,0.8606,0.942,0.8396,0.888,0,0.4728,0.7832,0.8244,0.9668,0.9426,0.9866,0.5626,0.9464,0.5006,0.9552,0.941,0.6718,0.9634,0.9662,0.9402,0.9432,0.798,0.9016,0.5262,0.8802,0.9556,0.6132,0.5134,0.8726,0.9528,0.8638,0.949,0.6442,0.554,0.956,0.796,0.8726
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.6382,0.6074,0.9512,0.9086,0.9654,0.8972,0.9208,0.4728,0,0.8724,0.867,0.9774,0.9678,0.9936,0.677,0.9666,0.5642,0.9708,0.9642,0.7706,0.9734,0.9776,0.96,0.965,0.8408,0.935,0.5962,0.9162,0.973,0.5942,0.575,0.912,0.9718,0.906,0.9656,0.7532,0.5768,0.975,0.8548,0.915
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",0.761,0.7628,0.9172,0.925,0.9446,0.8752,0.9074,0.7832,0.8724,0,0.88,0.9722,0.94,0.9856,0.6156,0.9424,0.7854,0.9558,0.9326,0.5472,0.9624,0.9626,0.9306,0.9322,0.4306,0.9132,0.776,0.8974,0.9522,0.8502,0.7846,0.9162,0.9506,0.9106,0.9394,0.838,0.8496,0.9482,0.8266,0.9118
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8488,0.8232,0.9068,0.7146,0.9134,0.6354,0.6448,0.8244,0.867,0.88,0,0.9582,0.889,0.9852,0.8438,0.898,0.7922,0.914,0.8872,0.8386,0.9038,0.9526,0.8982,0.9026,0.8786,0.588,0.783,0.6304,0.9156,0.8934,0.8472,0.6422,0.9184,0.6716,0.9106,0.75,0.8352,0.931,0.9104,0.7236
"1642.MS00358",0.9596,0.969,0.7802,0.9548,0.6776,0.9544,0.9544,0.9668,0.9774,0.9722,0.9582,0,0.8478,0.7602,0.972,0.7764,0.9684,0.8696,0.8194,0.9586,0.8958,0.7732,0.8274,0.8004,0.964,0.9568,0.9784,0.9512,0.8396,0.9846,0.9818,0.9546,0.786,0.9516,0.8106,0.9648,0.972,0.785,0.9576,0.9688
"1642.MS00481",0.932,0.9282,0.5802,0.9014,0.6498,0.874,0.8778,0.9426,0.9678,0.94,0.889,0.8478,0,0.911,0.937,0.5024,0.9292,0.6834,0.4706,0.9172,0.5606,0.8254,0.495,0.55,0.9248,0.8944,0.9492,0.8642,0.484,0.9712,0.955,0.8854,0.5702,0.8826,0.5696,0.906,0.9328,0.5888,0.948,0.899
"1642.MS00380",0.9874,0.989,0.8304,0.9876,0.648,0.9866,0.9854,0.9866,0.9936,0.9856,0.9852,0.7602,0.911,0,0.99,0.8338,0.9904,0.902,0.8764,0.9844,0.9384,0.7228,0.8824,0.86,0.9836,0.9868,0.9906,0.9836,0.8682,0.9938,0.9926,0.988,0.8048,0.9848,0.8466,0.9848,0.9876,0.776,0.9824,0.9892
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",0.6474,0.5352,0.9308,0.9048,0.947,0.8538,0.8962,0.5626,0.677,0.6156,0.8438,0.972,0.937,0.99,0,0.9402,0.5716,0.9548,0.935,0.5132,0.9526,0.9686,0.9326,0.941,0.72,0.9092,0.5732,0.8932,0.9538,0.6648,0.549,0.897,0.954,0.892,0.9394,0.7892,0.615,0.9484,0.8604,0.875
"1642.MS00424",0.926,0.9326,0.4878,0.8976,0.5732,0.888,0.8868,0.9464,0.9666,0.9424,0.898,0.7764,0.5024,0.8338,0.9402,0,0.9364,0.6752,0.4892,0.9212,0.6524,0.7706,0.491,0.508,0.9226,0.8962,0.9516,0.8776,0.51,0.9718,0.9588,0.8914,0.473,0.8798,0.5264,0.9138,0.9386,0.5308,0.943,0.9094
