"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00481","1642.MS00380","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00364","1642.MS00574","1642.MS00464","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00579","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,-0.982,1,0.972,1,0.972,1,-0.998,-0.98,-0.494,0.791,1,1,1,-0.964,1,-0.842,1,1,-0.968,1,1,1,1,-0.566,0.996,-0.792,0.998,1,-0.996,-0.928,0.974,1,0.988,1,-0.546,-0.952,1,-0.978,0.996
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",-0.982,0,1,0.992,1,0.953,1,-1,-1,-0.317,0.868,1,1,1,-0.998,1,-1,1,1,-0.976,1,1,1,1,-0.343,1,-0.98,1,1,-1,-0.994,0.996,1,0.984,1,-0.606,-1,1,-0.101,0.734
"1642.MS00406",1,1,0,1,0.022,1,1,1,1,1,1,0.888,0.274,0.947,1,-0.914,1,0.992,-0.455,1,0.998,0.964,-0.531,-0.47,1,1,1,1,0.41,1,1,1,-0.79,1,-0.616,1,1,-0.541,0.998,1
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.972,0.992,1,0,1,-0.052,0.43,0.982,0.866,1,0.968,1,1,1,0.994,1,0.973,1,1,1,1,1,1,1,1,0.92,0.977,0.874,1,0.97,0.896,-0.033,1,-0.964,1,0.929,0.99,1,0.976,0.768
"1642.MS00357",1,1,0.022,1,0,1,1,1,1,1,1,-0.507,0.93,-0.93,1,0.00499999999999989,1,1,0.503,1,1,-0.564,0.688,0.738,1,1,1,1,0.65,1,1,1,0.201,1,0.926,1,1,-0.036,1,1
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",0.972,0.953,1,-0.052,1,0,-0.47,0.888,0.727,0.992,0.227,1,1,1,0.677,1,0.698,1,1,0.998,1,1,1,1,1,-0.217,0.816,-0.885,1,0.966,0.549,-0.924,1,-0.984,1,0.811,0.972,1,0.98,-0.211
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.43,1,-0.47,0,0.996,0.955,1,0.277,1,1,1,0.98,1,0.92,1,1,1,1,1,1,1,1,0.1,0.994,-0.968,1,0.998,0.935,-0.246,1,-0.717,1,1,1,1,0.988,0.869
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",-0.998,-1,1,0.982,1,0.888,0.996,0,-1,-0.149,0.767,1,1,1,-0.992,1,-0.998,1,1,-0.854,1,1,1,1,0.236,1,-0.998,1,1,-0.996,-1,0.992,1,0.976,1,-0.94,-0.998,1,-0.549,0.97
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",-0.98,-1,1,0.866,1,0.727,0.955,-1,0,0.208,0.212,1,1,1,-0.964,1,-1,1,1,-0.813,1,1,1,1,-0.219,0.996,-0.994,0.94,1,-0.992,-0.998,0.915,1,0.82,1,-0.923,-0.998,1,-0.169,0.923
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",-0.494,-0.317,1,1,1,0.992,1,-0.149,0.208,0,0.992,1,1,1,-0.988,1,-0.098,1,1,-0.996,1,1,1,1,-1,1,-0.351,1,1,-0.249,-0.592,1,1,1,1,0.834,0.71,1,-0.192,1
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.791,0.868,1,0.968,1,0.227,0.277,0.767,0.212,0.992,0,1,1,1,0.463,1,0.287,1,1,0.988,1,1,1,1,0.998,-0.436,-0.088,0.176,1,0.468,0.111,0.384,1,0.743,1,0.952,0.886,1,0.974,0.811
"1642.MS00358",1,1,0.888,1,-0.507,1,1,1,1,1,1,0,0.998,0.111,1,0.834,1,1,0.988,1,1,0.582,0.988,0.968,1,1,1,1,0.996,1,1,1,0.894,1,0.978,1,1,0.882,1,1
"1642.MS00481",1,1,0.274,1,0.93,1,1,1,1,1,1,0.998,0,1,1,-0.661,1,1,-0.87,1,-0.157,1,-0.729,0.022,1,1,1,1,-0.828,1,1,1,0.164,1,0.228,1,1,0.383,1,1
"1642.MS00380",1,1,0.947,1,-0.93,1,1,1,1,1,1,0.111,1,0,1,0.968,1,1,1,1,1,-0.337,1,0.998,1,1,1,1,1,1,1,1,0.824,1,0.988,1,1,0.404,1,1
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",-0.964,-0.998,1,0.994,1,0.677,0.98,-0.992,-0.964,-0.988,0.463,1,1,1,0,1,-0.996,1,1,-1,1,1,1,1,-0.79,0.996,-0.996,0.978,1,-0.974,-0.998,0.974,1,0.976,1,-0.301,-0.982,1,0.14,0.888
"1642.MS00424",1,1,-0.914,1,0.00499999999999989,1,1,1,1,1,1,0.834,-0.661,0.968,1,0,1,0.988,-0.771,1,0.945,0.934,-0.803,-0.647,1,1,1,1,-0.661,1,1,1,-0.95,1,-0.492,1,1,-0.555,1,1
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",-0.842,-1,1,0.973,1,0.698,0.92,-0.998,-1,-0.098,0.287,1,1,1,-0.996,1,0,1,1,-0.864,1,1,1,1,0.358,0.994,-1,0.856,1,-0.99,-1,0.938,1,0.926,1,-0.429,-0.964,1,0.201,0.932
