"","1642.MS00358","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00574","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00364","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00438","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00481","1642.MS00579","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00380","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00358",0,0.121223480171,0.1141334855274,0.0731378719864,0.0890031092368,0.1128688515167,0.0829550330356,0.1289036505656,0.13582138885,0.1269186900468,0.1358260155083,0.074715702446,0.1139067512514,0.1168254074123,0.058278537417,0.114938269931,0.1242402487989,0.1240756083521,0.080897750159,0.0918825500718,0.1485573769575,0.1057140065393,0.1130529362781,0.0636954092239,0.109108930039,0.1238918289248,0.0810547418696,0.100969916323,0.1358532558764,0.0717023805979,0.1480313442179,0.1330383414263,0.0762091207078,0.1407051071159,0.0812507391472,0.1297563451597,0.1312655572708,0.1107555946565,0.0981900853911,0.1111428952139
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.121223480171,0,0.030523998209,0.080738486569,0.0814749312269,0.0198905379453,0.0896742072657,0.0549512672476,0.0565289913085,0.0207865419221,0.0467315481097,0.0794055088088,0.0416199442112,0.0570234114803,0.0914043391492,0.0614308579236,0.0243267636456,0.0453926309026,0.0780474801372,0.0825442595151,0.0643107102222,0.0475559183452,0.0884008716894,0.0696785570383,0.0407850302508,0.031507760394,0.0776210267121,0.0891402568275,0.019807591098,0.081457497149,0.030358747022,0.0529944935744,0.0751168912317,0.059518630505,0.1216939241308,0.0317896455704,0.0586777475447,0.0230196393972,0.092354004136,0.0491642094802
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.1141334855274,0.030523998209,0,0.0857831889075,0.087382263794,0.0355097043119,0.094957589663,0.0535572354356,0.053700311421,0.0272974506409,0.0501877311322,0.0874730502507,0.0461190863613,0.0573407642752,0.0940952833504,0.0642679148106,0.0279428169061,0.0468557663951,0.0853553163499,0.0863194662244,0.0722835407069,0.0515414025072,0.0906451398575,0.077245405313,0.0384712659982,0.0377086241738,0.0833982975322,0.0917187498137,0.0280900576548,0.0809320949348,0.026504677839,0.0648390983492,0.0842281910874,0.0633183301009,0.1188731896236,0.032193464678,0.0662268325639,0.0273445059919,0.0968294221954,0.0377901558996
"1642.MS00357",0.0731378719864,0.080738486569,0.0857831889075,0,0.0303990979385,0.0845021388416,0.0297000568574,0.0924533195482,0.1100614724963,0.0856589756022,0.0887177653007,0.0294737425718,0.0855733163061,0.0845942940666,0.0324533501438,0.0793888189679,0.081431243419,0.0878438721775,0.0232471020611,0.0236256229088,0.1028102662931,0.0825205659217,0.045867303674,0.0233905501075,0.0860708815662,0.0851192023795,0.0320388096463,0.0331555154551,0.0851231811487,0.0359706247028,0.096961138573,0.0846888166725,0.0308512431286,0.1080359298431,0.0305130497545,0.0862655329171,0.0867259903441,0.0793962011574,0.0252748247938,0.0936242920007
"1642.MS00574",0.0890031092368,0.0814749312269,0.087382263794,0.0303990979385,0,0.0897395790122,0.0243000089507,0.1057038149527,0.1178081506049,0.0835566429184,0.1000856714785,0.0207921130261,0.0992669096651,0.1058531137888,0.0538063319974,0.103903432986,0.0814144154438,0.1024783630291,0.0219130234947,0.0228960586378,0.1275361022883,0.0970311162201,0.0314473328985,0.0220577647085,0.0981160256819,0.0850464663626,0.0230514366711,0.0212237792091,0.0834612189155,0.0301003086193,0.0909249721658,0.1002378300248,0.021791259991,0.1272464216526,0.0628558591253,0.0888093625435,0.1019900327286,0.0820656643041,0.0285161205731,0.1079700778161
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.1128688515167,0.0198905379453,0.0355097043119,0.0845021388416,0.0897395790122,0,0.0972400026866,0.0601362450238,0.058197336303,0.0268839235854,0.042572188807,0.0876705528867,0.0429415345027,0.0500904862686,0.0952616587538,0.0599304074423,0.0320002048328,0.0421215890048,0.0842864534086,0.0872103932881,0.0658134627702,0.0442274892875,0.1010542304196,0.0771045601721,0.0416094094669,0.0404815066859,0.0901465163116,0.0957862005947,0.0296424010241,0.0884156070374,0.0370960006885,0.0487750494871,0.0847687315652,0.0617665630645,0.1180805567335,0.0294213921722,0.0571214254222,0.0271347250482,0.0980845274085,0.0501481331899
"1642.MS00442",0.0829550330356,0.0896742072657,0.094957589663,0.0297000568574,0.0243000089507,0.0972400026866,0,0.1180322783713,0.1281220208762,0.0921798949686,0.1068610845511,0.0228207027111,0.1004854804512,0.1099832127973,0.0570191834545,0.1115474657908,0.0874069994622,0.1092492602802,0.0254768853471,0.0199569222116,0.1272488388758,0.102542133708,0.028899904869,0.0228995874485,0.1038983229039,0.0975574201745,0.0222816912524,0.024389897267,0.090021126154,0.0346005086949,0.1009081237662,0.1015726811006,0.0266168390883,0.1294300449027,0.0573453519345,0.0940758375479,0.1083657244721,0.0879399903119,0.0249163965355,0.113782054798
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",0.1289036505656,0.0549512672476,0.0535572354356,0.0924533195482,0.1057038149527,0.0601362450238,0.1180322783713,0,0.0159312746417,0.0584545631181,0.0207072672413,0.100939552047,0.0186421194378,0.0216726118736,0.0982182401351,0.0343777297817,0.0628937627754,0.0185590815621,0.0902022579999,0.1060416936839,0.019025404493,0.0162548432667,0.1208778708336,0.0930164187691,0.0230479503132,0.0535484220238,0.1040834520176,0.1138071499381,0.0559910077004,0.1080048549407,0.0738552269427,0.0224091172453,0.0981783986711,0.0232174527367,0.1256428555336,0.0303974117993,0.0162762725818,0.0629600131462,0.1132568913941,0.0248221183045
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",0.13582138885,0.0565289913085,0.053700311421,0.1100614724963,0.1178081506049,0.058197336303,0.1281220208762,0.0159312746417,0,0.0582412049664,0.0200699403842,0.1133714440868,0.0188093374891,0.0202711154649,0.1217959304804,0.0334111443122,0.0645946767753,0.0145912689553,0.1007924379791,0.1184430420249,0.0150322909968,0.0286359862847,0.1356547177449,0.1020648514264,0.0180570654674,0.0546091458528,0.1152333100103,0.1249168696841,0.0551236066545,0.1137600103141,0.0698232657833,0.0389422405508,0.1110158726962,0.0151934685916,0.1436983787458,0.0357983564706,0.0354086380959,0.0589259136138,0.1259469907131,0.0176841523198
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.1269186900468,0.0207865419221,0.0272974506409,0.0856589756022,0.0835566429184,0.0268839235854,0.0921798949686,0.0584545631181,0.0582412049664,0,0.0505319361372,0.0810932652951,0.0436790579018,0.0572310797997,0.0965539862684,0.0645922343606,0.0221587712733,0.047242749002,0.0817828967604,0.0859835438759,0.0692764039421,0.0519812222777,0.0875735572554,0.0742752495924,0.0413740215823,0.0287949527393,0.0803432414763,0.0918945761527,0.0198627479442,0.0812907908175,0.0273097945462,0.0559333714929,0.0785175945187,0.0629102050812,0.1245173626661,0.028058071348,0.0607844482565,0.023319995441,0.0956348363638,0.0488659351104
