"","1642.MS00358","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00574","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00364","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00438","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00481","1642.MS00579","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00380","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00358",NA,3.5473589913866,2.36390643200656,3.86620339076039,3.10129535069584,2.08940591672877,1.58760878430224,-0.0419535062151469,-0.210305413972957,4.45714233323472,1.49405083396839,0.472053844696439,-0.704604941993009,-0.538410506763049,-2.30391519981608,-0.954352850970979,4.19143400756497,0.168131526671212,2.52585793490022,5.48531777463524,0.139209561632267,-0.878805909928258,5.62994866710238,-0.716683080413594,-1.07539600359064,2.4526458690857,1.26937542830241,4.69375741887528,5.42254787619951,-1.48522927715308,6.78985262316501,1.51285041269373,0.53669493173602,0.120205446525354,2.24842004986602,2.00797959870322,0.727658798127311,1.73572033131698,5.76754746834329,-1.51076865839423
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",3.5473589913866,NA,-5.22564998511918,0.658728875306439,3.00471346439239,-6.44613376098939,4.76068018166612,-4.98964624386559,-3.41599201479791,-8.0670213677796,-4.86319558258888,2.6746262324753,-3.69671891335393,-4.87097366861104,-0.114974057118127,-4.06717508523825,-8.72644062692974,-4.65271459502205,0.376290345389858,0.676289801752997,-4.41721880052773,-5.12862130389408,3.44551485589936,-0.303064501970315,-4.60978892951739,-7.18950848920315,1.90615243938197,3.24622599264955,-6.68177622861989,1.47366926438815,-4.43032252349961,-2.53083327968388,0.7975462568663,-4.42644066716689,1.21205952765161,-2.97305332948126,-3.85699282689237,-7.17560285906367,2.97032747673059,-5.05181354332998
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",2.36390643200656,-5.22564998511918,NA,1.63610185902905,3.88060702506757,-4.55026089842343,5.43382249040235,-5.18038825268627,-4.63341370024429,-6.60315021757516,-4.00351657485898,4.00540090543466,-3.18732355889725,-3.240134837114,0.11284742971063,-3.78355818383194,-6.22609990478707,-4.83006540112432,1.48514966273108,0.979348490594943,-2.73182734607717,-4.10803060380644,3.37677933705072,0.534766617295035,-5.06491570381756,-4.40521758695184,2.82700221703412,3.11850403999647,-4.85261265692107,0.869527955872739,-3.22279716868681,-1.48966718392249,2.37178438440526,-3.59411798009709,1.73589178664615,-2.73357461235127,-2.31585485203777,-6.79514318088456,3.64930010662667,-6.04218494289839
"1642.MS00357",3.86620339076039,0.658728875306439,1.63610185902905,NA,-1.9172415958401,1.16581102245176,-1.68645280254392,-1.37448493906973,-0.434571374847163,1.75065547536745,-0.957934796700076,-1.54700669888566,-1.30317985997516,-2.27501672639173,-4.59827032375376,-2.7188165385678,1.14945334984754,-1.46485762290497,-4.13352265670318,-2.29725714096656,-1.69161825644518,-1.34438881669185,-1.01696506137031,-2.31080225906277,-1.34148855534277,0.168298073807405,-1.69875132758521,-2.35090095660528,1.78695124659208,-3.82674917761096,3.7122111291345,-0.44724011530013,-2.12252457416171,-0.869213429301778,-3.96685610692562,0.275416767578409,-1.28204064321152,0.211347947241388,-1.90120004950202,-1.38474421837654
"1642.MS00574",3.10129535069584,3.00471346439239,3.88060702506757,-1.9172415958401,NA,5.0506200544132,-2.3459905027611,0.561426689945244,0.427190702095181,4.06412065883774,0.798315564718756,-2.59016430535941,-0.0447345739793065,0.797315418116658,-2.93153780582288,-0.157253178029771,4.57045675999894,0.561363866739575,-3.93796749292985,-2.03882115537724,0.26125355096027,1.35110298072418,-1.41100462159125,-2.82300870518766,0.150761978547509,1.38988246350059,-3.05328904694345,-3.37808589603204,4.50898975499786,-3.12314243023808,5.85162719411524,1.2150276765257,-2.78475393680374,0.886690901941917,-1.80923443658326,1.06222004012571,0.802931004427354,3.59437870713116,0.266268545861103,0.575170912733973
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",2.08940591672877,-6.44613376098939,-4.55026089842343,1.16581102245176,5.0506200544132,NA,6.22832153567633,-4.58991975930353,-3.35826208847941,-6.52630377518302,-5.32904327922316,4.91752718315294,-3.44521629232933,-5.46723254292346,0.051340253421967,-5.23693908622274,-6.06079572953341,-4.62751062178278,1.50025874297475,1.31713318146963,-4.15994678887214,-5.53120200874166,5.8587737895386,0.822937062723779,-4.64014267578481,-3.50122432234824,5.77878662903274,4.22952479458657,-3.69727263373196,2.77001544505538,-2.5643792422864,-2.8667452699761,2.81962709989705,-3.99731764887027,0.816483784124081,-3.31637631085892,-4.28761258789346,-8.09096572631533,3.95429755111921,-5.02183354780423
"1642.MS00442",1.58760878430224,4.76068018166612,5.43382249040235,-1.68645280254392,-2.3459905027611,6.22832153567633,NA,1.395538756653,0.986270231741601,6.07068095592437,1.42604309271897,-3.29892967807473,0.0292363521462991,0.898505355759917,-2.34681038677832,0.0671901957485116,5.31520473732752,1.03785970894332,-3.980122071163,-5.19199901216693,0.558819825450411,1.4100208423402,-2.3929699386117,-2.34697882446958,0.460265040743895,3.86572114131865,-2.74463465742434,-3.66854974018309,5.49959337657178,-2.99915646057987,8.57470792504771,0.840686554258627,-2.83477950906174,1.05939101769549,-2.12528482311611,1.29596992436869,0.944434556693769,4.50919099853107,-1.0422138881388,1.16454351710916
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",-0.0419535062151469,-4.98964624386559,-5.18038825268627,-1.37448493906973,0.561426689945244,-4.58991975930353,1.395538756653,NA,-6.563388121302,-4.45862689421545,-7.03484687677129,-0.0292285011689214,-8.05761446121497,-8.02155074869811,-2.35910474186384,-4.66270117464779,-3.89992264359134,-7.02926574675626,-1.39739365417159,-0.293660478578751,-7.36453226322662,-6.321598205766,1.5397019485317,-1.12449865986481,-5.07148348524559,-5.05051709054231,-0.0801248854456119,1.07851379053741,-4.42745347982654,0.382681489177866,-2.89975254092468,-7.43633104117596,-0.596001338017229,-4.52616635103029,-0.0763698200636894,-7.20883309900404,-6.30449772330353,-4.26879193279524,0.755383606928123,-6.33240679577885
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",-0.210305413972957,-3.41599201479791,-4.63341370024429,-0.434571374847163,0.427190702095181,-3.35826208847941,0.986270231741601,-6.563388121302,NA,-3.42210808088854,-5.53842859933111,0.113948443443701,-5.22186049004273,-6.18894799409835,-0.640639717158217,-3.90563268087538,-2.86095443220574,-6.14546494385841,-1.10398232923662,-0.0615197735111424,-5.23750230084082,-5.52146048990171,1.46313661742905,-0.848676207742118,-3.61870744398334,-5.0335596097896,0.125951432698352,0.664905715212681,-4.5770863168203,-0.170622604125943,-2.68407433070304,-2.59193258481024,-0.246651807080175,-3.81161246717192,0.0646814195762139,-5.13582715979487,-3.63207767687475,-3.19896014756388,0.571327730789062,-5.48661635636189
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",4.45714233323472,-8.0670213677796,-6.60315021757516,1.75065547536745,4.06412065883774,-6.52630377518302,6.07068095592437,-4.45862689421545,-3.42210808088854,NA,-4.20258786516208,3.38555415464786,-3.65719232684385,-4.4980115525002,1.04163732499896,-4.16962820676703,-8.54573380199468,-4.46271784874706,1.25853438598642,1.11795297190652,-3.96920483991147,-4.72145837819476,3.90818507271499,0.452882766107775,-3.84793222512184,-7.90068770886401,3.07347527362664,4.0068223889074,-5.58834452087475,1.70223077160241,-3.13243362777663,-2.54080042451339,1.41228363937639,-3.92435207801459,1.60429582001157,-7.47955902470307,-3.84192476229123,-9.75189269516983,3.98668489162572,-4.9078310214005
