"","1642.MS00516","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00606","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00530","1642.MS00601","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00612","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00461","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00559","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00431","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00442","1642.MS00341","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00505","1642.MS00633"
"1642.MS00516",0,0.9122,0.4986,0.8882,0.5138,0.5058,0.9624,0.9488,0.4722,0.4942,0.9498,0.918,0.9142,0.4688,0.918,0.9196,0.5492,0.4932,0.9226,0.9462,0.5108,0.5132,0.9518,0.5516,0.4668,0.9548,0.6668,0.4998,0.4872,0.9152,0.5268,0.528,0.6522,0.9628,0.9762,0.9254,0.9682,0.491,0.4976,0.5448
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9122,0,0.8854,0.7598,0.9116,0.8968,0.8994,0.871,0.9032,0.9074,0.8798,0.8348,0.6046,0.8894,0.8924,0.893,0.9328,0.9074,0.6884,0.8026,0.896,0.9176,0.8708,0.8802,0.9052,0.8876,0.9232,0.9144,0.9174,0.6992,0.9022,0.912,0.917,0.9054,0.929,0.7648,0.904,0.906,0.9136,0.91
"1642.MS00621",0.4986,0.8854,0,0.8556,0.528,0.4344,0.9496,0.934,0.4924,0.524,0.933,0.8988,0.883,0.4454,0.9016,0.8984,0.5728,0.4814,0.9054,0.9272,0.4916,0.5666,0.932,0.514,0.492,0.9422,0.6722,0.5488,0.5594,0.8926,0.5416,0.522,0.6604,0.948,0.9604,0.9024,0.9556,0.5442,0.546,0.5268
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8882,0.7598,0.8556,0,0.879,0.8646,0.92,0.8768,0.8738,0.8902,0.8896,0.776,0.7198,0.8584,0.766,0.76,0.9168,0.8868,0.738,0.8772,0.8756,0.9004,0.8872,0.8624,0.8824,0.9164,0.912,0.8886,0.905,0.706,0.8758,0.8984,0.9022,0.8988,0.938,0.8024,0.9198,0.8848,0.881,0.8982
"1642.MS00541",0.5138,0.9116,0.528,0.879,0,0.51,0.95,0.9388,0.4956,0.5448,0.9326,0.9006,0.9148,0.5184,0.8894,0.8902,0.5746,0.5772,0.9286,0.9234,0.5794,0.5124,0.9402,0.6168,0.533,0.943,0.6578,0.5926,0.5052,0.9212,0.528,0.603,0.6734,0.9514,0.962,0.915,0.9582,0.6072,0.554,0.5346
"1642.MS00606",0.5058,0.8968,0.4344,0.8646,0.51,0,0.9554,0.9402,0.4944,0.5178,0.9418,0.902,0.8898,0.4376,0.9126,0.9094,0.578,0.5058,0.9104,0.937,0.5158,0.5462,0.9398,0.5386,0.5006,0.946,0.6806,0.5608,0.5458,0.8968,0.5436,0.5424,0.673,0.954,0.9644,0.9136,0.9588,0.5658,0.5494,0.5332
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.9624,0.8994,0.9496,0.92,0.95,0.9554,0,0.653,0.9486,0.9616,0.4356,0.6744,0.8738,0.9568,0.8026,0.8678,0.9614,0.9602,0.892,0.5876,0.9622,0.9504,0.475,0.9546,0.9566,0.5582,0.9542,0.9536,0.9554,0.9076,0.9494,0.962,0.9572,0.673,0.5748,0.618,0.523,0.9594,0.9548,0.9524
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.9488,0.871,0.934,0.8768,0.9388,0.9402,0.653,0,0.939,0.9482,0.658,0.495,0.8326,0.9416,0.724,0.784,0.953,0.9474,0.7926,0.6834,0.945,0.944,0.5778,0.933,0.9402,0.6738,0.9502,0.9416,0.9454,0.8284,0.9392,0.9498,0.9492,0.4742,0.6196,0.5778,0.526,0.9438,0.941,0.9466
"1642.MS00530",0.4722,0.9032,0.4924,0.8738,0.4956,0.4944,0.9486,0.939,0,0.5126,0.9406,0.903,0.8998,0.4684,0.8994,0.9032,0.548,0.4892,0.9104,0.9294,0.5056,0.558,0.9348,0.5342,0.4488,0.9424,0.6654,0.5302,0.5094,0.9156,0.512,0.5096,0.659,0.9546,0.9674,0.9134,0.9556,0.5134,0.526,0.5564
"1642.MS00601",0.4942,0.9074,0.524,0.8902,0.5448,0.5178,0.9616,0.9482,0.5126,0,0.9524,0.92,0.9054,0.4938,0.9254,0.9284,0.5932,0.528,0.9182,0.9434,0.5544,0.5634,0.9502,0.5628,0.5216,0.9552,0.6992,0.5564,0.5516,0.9126,0.5336,0.552,0.6928,0.9632,0.9718,0.926,0.9686,0.5562,0.5684,0.5658
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",0.9498,0.8798,0.933,0.8896,0.9326,0.9418,0.4356,0.658,0.9406,0.9524,0,0.667,0.8492,0.9426,0.7462,0.7698,0.955,0.9516,0.8642,0.5888,0.949,0.9378,0.5086,0.938,0.9436,0.5332,0.9424,0.9404,0.947,0.8764,0.9386,0.9542,0.9456,0.736,0.6778,0.5856,0.5406,0.9502,0.943,0.9368
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",0.918,0.8348,0.8988,0.776,0.9006,0.902,0.6744,0.495,0.903,0.92,0.667,0,0.7996,0.9046,0.5852,0.6772,0.9276,0.9212,0.793,0.6832,0.9098,0.9166,0.5792,0.8994,0.9102,0.6892,0.9224,0.909,0.9158,0.8098,0.9078,0.92,0.9232,0.625,0.714,0.5826,0.5762,0.9074,0.9042,0.9196
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9142,0.6046,0.883,0.7198,0.9148,0.8898,0.8738,0.8326,0.8998,0.9054,0.8492,0.7996,0,0.8934,0.8878,0.8854,0.9306,0.9078,0.6038,0.819,0.8976,0.9194,0.845,0.8748,0.906,0.8612,0.9254,0.9062,0.919,0.5892,0.899,0.9128,0.9222,0.874,0.9112,0.6802,0.889,0.9074,0.9114,0.9138
"1642.MS00602",0.4688,0.8894,0.4454,0.8584,0.5184,0.4376,0.9568,0.9416,0.4684,0.4938,0.9426,0.9046,0.8934,0,0.9152,0.9126,0.598,0.4732,0.9066,0.933,0.4854,0.5676,0.9416,0.5302,0.4842,0.9494,0.6902,0.5438,0.5542,0.898,0.5332,0.5254,0.6674,0.9536,0.9678,0.9092,0.96,0.534,0.5354,0.5268
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",0.918,0.8924,0.9016,0.766,0.8894,0.9126,0.8026,0.724,0.8994,0.9254,0.7462,0.5852,0.8878,0.9152,0,0.4034,0.923,0.93,0.8786,0.7816,0.9198,0.9074,0.7568,0.9094,0.9108,0.7894,0.912,0.908,0.915,0.8826,0.9004,0.92,0.91,0.8032,0.8618,0.7598,0.7638,0.9156,0.904,0.9184
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.9196,0.893,0.8984,0.76,0.8902,0.9094,0.8678,0.784,0.9032,0.9284,0.7698,0.6772,0.8854,0.9126,0.4034,0,0.931,0.9292,0.886,0.8296,0.9196,0.9116,0.825,0.9106,0.915,0.7744,0.914,0.9142,0.9226,0.8808,0.9044,0.9272,0.9214,0.8768,0.9244,0.7542,0.8544,0.9226,0.91,0.915
"1642.MS00482",0.5492,0.9328,0.5728,0.9168,0.5746,0.578,0.9614,0.953,0.548,0.5932,0.955,0.9276,0.9306,0.598,0.923,0.931,0,0.5796,0.9368,0.945,0.592,0.518,0.953,0.5974,0.5446,0.9538,0.6536,0.575,0.527,0.9422,0.5528,0.5532,0.702,0.9732,0.977,0.9348,0.9654,0.5636,0.5886,0.5794
"1642.MS00612",0.4932,0.9074,0.4814,0.8868,0.5772,0.5058,0.9602,0.9474,0.4892,0.528,0.9516,0.9212,0.9078,0.4732,0.93,0.9292,0.5796,0,0.915,0.9436,0.4728,0.5958,0.9526,0.5304,0.4644,0.9566,0.709,0.5458,0.5696,0.919,0.5482,0.4852,0.6918,0.9628,0.9722,0.9232,0.9686,0.5284,0.5686,0.536
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9226,0.6884,0.9054,0.738,0.9286,0.9104,0.892,0.7926,0.9104,0.9182,0.8642,0.793,0.6038,0.9066,0.8786,0.886,0.9368,0.915,0,0.8452,0.9046,0.9252,0.8594,0.889,0.914,0.8862,0.9334,0.92,0.9298,0.5624,0.9108,0.9174,0.9298,0.8686,0.9136,0.709,0.8954,0.9152,0.9216,0.9254
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.9462,0.8026,0.9272,0.8772,0.9234,0.937,0.5876,0.6834,0.9294,0.9434,0.5888,0.6832,0.819,0.933,0.7816,0.8296,0.945,0.9436,0.8452,0,0.937,0.9332,0.591,0.9204,0.9358,0.616,0.9292,0.9346,0.9422,0.8806,0.9278,0.9444,0.9434,0.73,0.7108,0.6166,0.5778,0.938,0.9334,0.932
"1642.MS00524",0.5108,0.896,0.4916,0.8756,0.5794,0.5158,0.9622,0.945,0.5056,0.5544,0.949,0.9098,0.8976,0.4854,0.9198,0.9196,0.592,0.4728,0.9046,0.937,0,0.6084,0.9492,0.5096,0.4768,0.9526,0.6836,0.54,0.5712,0.9154,0.548,0.4902,0.6798,0.9586,0.9716,0.9128,0.963,0.5064,0.5636,0.5568
"1642.MS00461",0.5132,0.9176,0.5666,0.9004,0.5124,0.5462,0.9504,0.944,0.558,0.5634,0.9378,0.9166,0.9194,0.5676,0.9074,0.9116,0.518,0.5958,0.9252,0.9332,0.6084,0,0.9404,0.6186,0.556,0.9396,0.6392,0.574,0.5268,0.9286,0.565,0.6062,0.6824,0.9606,0.9676,0.9262,0.9558,0.5886,0.5454,0.5486
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.9518,0.8708,0.932,0.8872,0.9402,0.9398,0.475,0.5778,0.9348,0.9502,0.5086,0.5792,0.845,0.9416,0.7568,0.825,0.953,0.9526,0.8594,0.591,0.9492,0.9404,0,0.9372,0.9448,0.6304,0.9394,0.9446,0.946,0.8748,0.9338,0.9508,0.945,0.5922,0.5848,0.5912,0.536,0.9492,0.943,0.939
"1642.MS00433",0.5516,0.8802,0.514,0.8624,0.6168,0.5386,0.9546,0.933,0.5342,0.5628,0.938,0.8994,0.8748,0.5302,0.9094,0.9106,0.5974,0.5304,0.889,0.9204,0.5096,0.6186,0.9372,0,0.5204,0.9474,0.673,0.5248,0.5914,0.8958,0.4978,0.4898,0.6842,0.9544,0.9698,0.9084,0.9578,0.512,0.582,0.6166
"1642.MS00559",0.4668,0.9052,0.492,0.8824,0.533,0.5006,0.9566,0.9402,0.4488,0.5216,0.9436,0.9102,0.906,0.4842,0.9108,0.915,0.5446,0.4644,0.914,0.9358,0.4768,0.556,0.9448,0.5204,0,0.9504,0.6446,0.5012,0.5062,0.911,0.5146,0.4794,0.646,0.9602,0.9742,0.9218,0.9642,0.481,0.5236,0.5552
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.9548,0.8876,0.9422,0.9164,0.943,0.946,0.5582,0.6738,0.9424,0.9552,0.5332,0.6892,0.8612,0.9494,0.7894,0.7744,0.9538,0.9566,0.8862,0.616,0.9526,0.9396,0.6304,0.9474,0.9504,0,0.947,0.9496,0.954,0.8986,0.9446,0.959,0.9502,0.7922,0.7406,0.5626,0.6224,0.9522,0.9466,0.9448
"1642.MS00361",0.6668,0.9232,0.6722,0.912,0.6578,0.6806,0.9542,0.9502,0.6654,0.6992,0.9424,0.9224,0.9254,0.6902,0.912,0.914,0.6536,0.709,0.9334,0.9292,0.6836,0.6392,0.9394,0.673,0.6446,0.947,0,0.6102,0.6552,0.9326,0.5792,0.6422,0.541,0.9608,0.967,0.931,0.9586,0.6154,0.6694,0.6814
